Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
Marshall Islands,MHL,2018,Agricultural land (sq. km),AG.LND.AGRI.K2,70.0
Marshall Islands,MHL,2017,Agricultural land (sq. km),AG.LND.AGRI.K2,70.0
Marshall Islands,MHL,2016,Agricultural land (sq. km),AG.LND.AGRI.K2,70.0
Marshall Islands,MHL,2015,Agricultural land (sq. km),AG.LND.AGRI.K2,70.0
Marshall Islands,MHL,2014,Agricultural land (sq. km),AG.LND.AGRI.K2,70.0
Marshall Islands,MHL,2013,Agricultural land (sq. km),AG.LND.AGRI.K2,70.0
Marshall Islands,MHL,2012,Agricultural land (sq. km),AG.LND.AGRI.K2,75.0
Marshall Islands,MHL,2011,Agricultural land (sq. km),AG.LND.AGRI.K2,85.0
Marshall Islands,MHL,2010,Agricultural land (sq. km),AG.LND.AGRI.K2,85.0
Marshall Islands,MHL,2009,Agricultural land (sq. km),AG.LND.AGRI.K2,85.0
Marshall Islands,MHL,2008,Agricultural land (sq. km),AG.LND.AGRI.K2,85.0
Marshall Islands,MHL,2007,Agricultural land (sq. km),AG.LND.AGRI.K2,85.0
Marshall Islands,MHL,2006,Agricultural land (sq. km),AG.LND.AGRI.K2,85.0
Marshall Islands,MHL,2005,Agricultural land (sq. km),AG.LND.AGRI.K2,85.0
Marshall Islands,MHL,2004,Agricultural land (sq. km),AG.LND.AGRI.K2,85.0
Marshall Islands,MHL,2003,Agricultural land (sq. km),AG.LND.AGRI.K2,85.0
Marshall Islands,MHL,2002,Agricultural land (sq. km),AG.LND.AGRI.K2,85.0
Marshall Islands,MHL,2001,Agricultural land (sq. km),AG.LND.AGRI.K2,85.0
Marshall Islands,MHL,2000,Agricultural land (sq. km),AG.LND.AGRI.K2,85.0
Marshall Islands,MHL,1999,Agricultural land (sq. km),AG.LND.AGRI.K2,85.0
Marshall Islands,MHL,1998,Agricultural land (sq. km),AG.LND.AGRI.K2,85.0
Marshall Islands,MHL,1997,Agricultural land (sq. km),AG.LND.AGRI.K2,85.0
Marshall Islands,MHL,1996,Agricultural land (sq. km),AG.LND.AGRI.K2,85.0
Marshall Islands,MHL,1995,Agricultural land (sq. km),AG.LND.AGRI.K2,85.0
Marshall Islands,MHL,1994,Agricultural land (sq. km),AG.LND.AGRI.K2,85.0
Marshall Islands,MHL,1993,Agricultural land (sq. km),AG.LND.AGRI.K2,85.0
Marshall Islands,MHL,1992,Agricultural land (sq. km),AG.LND.AGRI.K2,85.0
Marshall Islands,MHL,1991,Agricultural land (sq. km),AG.LND.AGRI.K2,85.0
Marshall Islands,MHL,1990,Agricultural land (sq. km),AG.LND.AGRI.K2,120.0
Marshall Islands,MHL,1989,Agricultural land (sq. km),AG.LND.AGRI.K2,120.0
Marshall Islands,MHL,1988,Agricultural land (sq. km),AG.LND.AGRI.K2,120.0
Marshall Islands,MHL,1987,Agricultural land (sq. km),AG.LND.AGRI.K2,120.0
Marshall Islands,MHL,1986,Agricultural land (sq. km),AG.LND.AGRI.K2,120.0
Marshall Islands,MHL,1985,Agricultural land (sq. km),AG.LND.AGRI.K2,120.0
Marshall Islands,MHL,1984,Agricultural land (sq. km),AG.LND.AGRI.K2,120.0
Marshall Islands,MHL,1983,Agricultural land (sq. km),AG.LND.AGRI.K2,120.0
Marshall Islands,MHL,1982,Agricultural land (sq. km),AG.LND.AGRI.K2,120.0
Marshall Islands,MHL,1981,Agricultural land (sq. km),AG.LND.AGRI.K2,120.0
Marshall Islands,MHL,1980,Agricultural land (sq. km),AG.LND.AGRI.K2,120.0
Marshall Islands,MHL,1979,Agricultural land (sq. km),AG.LND.AGRI.K2,120.0
Marshall Islands,MHL,1978,Agricultural land (sq. km),AG.LND.AGRI.K2,120.0
Marshall Islands,MHL,1977,Agricultural land (sq. km),AG.LND.AGRI.K2,120.0
Marshall Islands,MHL,1976,Agricultural land (sq. km),AG.LND.AGRI.K2,120.0
Marshall Islands,MHL,1975,Agricultural land (sq. km),AG.LND.AGRI.K2,120.0
Marshall Islands,MHL,1974,Agricultural land (sq. km),AG.LND.AGRI.K2,120.0
Marshall Islands,MHL,1973,Agricultural land (sq. km),AG.LND.AGRI.K2,120.0
Marshall Islands,MHL,1972,Agricultural land (sq. km),AG.LND.AGRI.K2,120.0
Marshall Islands,MHL,1971,Agricultural land (sq. km),AG.LND.AGRI.K2,120.0
Marshall Islands,MHL,1970,Agricultural land (sq. km),AG.LND.AGRI.K2,120.0
Marshall Islands,MHL,1969,Agricultural land (sq. km),AG.LND.AGRI.K2,120.0
Marshall Islands,MHL,1968,Agricultural land (sq. km),AG.LND.AGRI.K2,120.0
Marshall Islands,MHL,1967,Agricultural land (sq. km),AG.LND.AGRI.K2,120.0
Marshall Islands,MHL,1966,Agricultural land (sq. km),AG.LND.AGRI.K2,120.0
Marshall Islands,MHL,1965,Agricultural land (sq. km),AG.LND.AGRI.K2,120.0
Marshall Islands,MHL,1964,Agricultural land (sq. km),AG.LND.AGRI.K2,120.0
Marshall Islands,MHL,1963,Agricultural land (sq. km),AG.LND.AGRI.K2,120.0
Marshall Islands,MHL,1962,Agricultural land (sq. km),AG.LND.AGRI.K2,120.0
Marshall Islands,MHL,1961,Agricultural land (sq. km),AG.LND.AGRI.K2,120.0
Marshall Islands,MHL,2021,Agricultural land (% of land area),AG.LND.AGRI.ZS,38.8888888888889
Marshall Islands,MHL,2020,Agricultural land (% of land area),AG.LND.AGRI.ZS,38.8888888888889
Marshall Islands,MHL,2019,Agricultural land (% of land area),AG.LND.AGRI.ZS,38.8888888888889
Marshall Islands,MHL,2018,Agricultural land (% of land area),AG.LND.AGRI.ZS,38.8888888888889
Marshall Islands,MHL,2017,Agricultural land (% of land area),AG.LND.AGRI.ZS,38.8888888888889
Marshall Islands,MHL,2016,Agricultural land (% of land area),AG.LND.AGRI.ZS,38.8888888888889
Marshall Islands,MHL,2015,Agricultural land (% of land area),AG.LND.AGRI.ZS,38.8888888888889
Marshall Islands,MHL,2014,Agricultural land (% of land area),AG.LND.AGRI.ZS,38.8888888888889
Marshall Islands,MHL,2013,Agricultural land (% of land area),AG.LND.AGRI.ZS,38.8888888888889
Marshall Islands,MHL,2012,Agricultural land (% of land area),AG.LND.AGRI.ZS,41.6666666666667
Marshall Islands,MHL,2011,Agricultural land (% of land area),AG.LND.AGRI.ZS,47.2222222222222
Marshall Islands,MHL,2010,Agricultural land (% of land area),AG.LND.AGRI.ZS,47.2222222222222
Marshall Islands,MHL,2009,Agricultural land (% of land area),AG.LND.AGRI.ZS,47.2222222222222
Marshall Islands,MHL,2008,Agricultural land (% of land area),AG.LND.AGRI.ZS,47.2222222222222
Marshall Islands,MHL,2007,Agricultural land (% of land area),AG.LND.AGRI.ZS,47.2222222222222
