Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
Mauritius,MUS,2018,Agricultural land (sq. km),AG.LND.AGRI.K2,860.0
Mauritius,MUS,2017,Agricultural land (sq. km),AG.LND.AGRI.K2,860.0
Mauritius,MUS,2016,Agricultural land (sq. km),AG.LND.AGRI.K2,860.0
Mauritius,MUS,2015,Agricultural land (sq. km),AG.LND.AGRI.K2,860.0
Mauritius,MUS,2014,Agricultural land (sq. km),AG.LND.AGRI.K2,860.0
Mauritius,MUS,2013,Agricultural land (sq. km),AG.LND.AGRI.K2,860.0
Mauritius,MUS,2012,Agricultural land (sq. km),AG.LND.AGRI.K2,870.0
Mauritius,MUS,2011,Agricultural land (sq. km),AG.LND.AGRI.K2,890.0
Mauritius,MUS,2010,Agricultural land (sq. km),AG.LND.AGRI.K2,910.0
Mauritius,MUS,2009,Agricultural land (sq. km),AG.LND.AGRI.K2,910.0
Mauritius,MUS,2008,Agricultural land (sq. km),AG.LND.AGRI.K2,910.0
Mauritius,MUS,2007,Agricultural land (sq. km),AG.LND.AGRI.K2,920.0
Mauritius,MUS,2006,Agricultural land (sq. km),AG.LND.AGRI.K2,940.0
Mauritius,MUS,2005,Agricultural land (sq. km),AG.LND.AGRI.K2,960.0
Mauritius,MUS,2004,Agricultural land (sq. km),AG.LND.AGRI.K2,980.0
Mauritius,MUS,2003,Agricultural land (sq. km),AG.LND.AGRI.K2,990.0
Mauritius,MUS,2002,Agricultural land (sq. km),AG.LND.AGRI.K2,1000.0
Mauritius,MUS,2001,Agricultural land (sq. km),AG.LND.AGRI.K2,1020.0
Mauritius,MUS,2000,Agricultural land (sq. km),AG.LND.AGRI.K2,1010.0
Mauritius,MUS,1999,Agricultural land (sq. km),AG.LND.AGRI.K2,1000.0
Mauritius,MUS,1998,Agricultural land (sq. km),AG.LND.AGRI.K2,1020.0
Mauritius,MUS,1997,Agricultural land (sq. km),AG.LND.AGRI.K2,1020.0
Mauritius,MUS,1996,Agricultural land (sq. km),AG.LND.AGRI.K2,1030.0
Mauritius,MUS,1995,Agricultural land (sq. km),AG.LND.AGRI.K2,1040.0
Mauritius,MUS,1994,Agricultural land (sq. km),AG.LND.AGRI.K2,1050.0
Mauritius,MUS,1993,Agricultural land (sq. km),AG.LND.AGRI.K2,1070.0
Mauritius,MUS,1992,Agricultural land (sq. km),AG.LND.AGRI.K2,1090.0
Mauritius,MUS,1991,Agricultural land (sq. km),AG.LND.AGRI.K2,1100.0
Mauritius,MUS,1990,Agricultural land (sq. km),AG.LND.AGRI.K2,1110.0
Mauritius,MUS,1989,Agricultural land (sq. km),AG.LND.AGRI.K2,1120.0
Mauritius,MUS,1988,Agricultural land (sq. km),AG.LND.AGRI.K2,1130.0
Mauritius,MUS,1987,Agricultural land (sq. km),AG.LND.AGRI.K2,1140.0
Mauritius,MUS,1986,Agricultural land (sq. km),AG.LND.AGRI.K2,1140.0
Mauritius,MUS,1985,Agricultural land (sq. km),AG.LND.AGRI.K2,1140.0
Mauritius,MUS,1984,Agricultural land (sq. km),AG.LND.AGRI.K2,1140.0
Mauritius,MUS,1983,Agricultural land (sq. km),AG.LND.AGRI.K2,1140.0
Mauritius,MUS,1982,Agricultural land (sq. km),AG.LND.AGRI.K2,1140.0
Mauritius,MUS,1981,Agricultural land (sq. km),AG.LND.AGRI.K2,1140.0
Mauritius,MUS,1980,Agricultural land (sq. km),AG.LND.AGRI.K2,1140.0
Mauritius,MUS,1979,Agricultural land (sq. km),AG.LND.AGRI.K2,1140.0
Mauritius,MUS,1978,Agricultural land (sq. km),AG.LND.AGRI.K2,1140.0
Mauritius,MUS,1977,Agricultural land (sq. km),AG.LND.AGRI.K2,1140.0
Mauritius,MUS,1976,Agricultural land (sq. km),AG.LND.AGRI.K2,1140.0
Mauritius,MUS,1975,Agricultural land (sq. km),AG.LND.AGRI.K2,1130.0
Mauritius,MUS,1974,Agricultural land (sq. km),AG.LND.AGRI.K2,1130.0
Mauritius,MUS,1973,Agricultural land (sq. km),AG.LND.AGRI.K2,1130.0
Mauritius,MUS,1972,Agricultural land (sq. km),AG.LND.AGRI.K2,1130.0
Mauritius,MUS,1971,Agricultural land (sq. km),AG.LND.AGRI.K2,1120.0
Mauritius,MUS,1970,Agricultural land (sq. km),AG.LND.AGRI.K2,1120.0
Mauritius,MUS,1969,Agricultural land (sq. km),AG.LND.AGRI.K2,1110.0
Mauritius,MUS,1968,Agricultural land (sq. km),AG.LND.AGRI.K2,1110.0
Mauritius,MUS,1967,Agricultural land (sq. km),AG.LND.AGRI.K2,1050.0
