Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
Moldova,MDA,2018,Agricultural land (sq. km),AG.LND.AGRI.K2,22571.0
Moldova,MDA,2017,Agricultural land (sq. km),AG.LND.AGRI.K2,23173.0
Moldova,MDA,2016,Agricultural land (sq. km),AG.LND.AGRI.K2,23179.0
Moldova,MDA,2015,Agricultural land (sq. km),AG.LND.AGRI.K2,23180.0
Moldova,MDA,2014,Agricultural land (sq. km),AG.LND.AGRI.K2,23150.0
Moldova,MDA,2013,Agricultural land (sq. km),AG.LND.AGRI.K2,24610.0
Moldova,MDA,2012,Agricultural land (sq. km),AG.LND.AGRI.K2,24600.0
Moldova,MDA,2011,Agricultural land (sq. km),AG.LND.AGRI.K2,24620.0
Moldova,MDA,2010,Agricultural land (sq. km),AG.LND.AGRI.K2,24650.0
Moldova,MDA,2009,Agricultural land (sq. km),AG.LND.AGRI.K2,24720.0
Moldova,MDA,2008,Agricultural land (sq. km),AG.LND.AGRI.K2,24810.0
Moldova,MDA,2007,Agricultural land (sq. km),AG.LND.AGRI.K2,24850.0
Moldova,MDA,2006,Agricultural land (sq. km),AG.LND.AGRI.K2,24830.0
Moldova,MDA,2005,Agricultural land (sq. km),AG.LND.AGRI.K2,24990.0
Moldova,MDA,2004,Agricultural land (sq. km),AG.LND.AGRI.K2,25220.0
Moldova,MDA,2003,Agricultural land (sq. km),AG.LND.AGRI.K2,25280.0
Moldova,MDA,2002,Agricultural land (sq. km),AG.LND.AGRI.K2,25340.0
Moldova,MDA,2001,Agricultural land (sq. km),AG.LND.AGRI.K2,25390.0
Moldova,MDA,2000,Agricultural land (sq. km),AG.LND.AGRI.K2,25440.0
Moldova,MDA,1999,Agricultural land (sq. km),AG.LND.AGRI.K2,25570.0
Moldova,MDA,1998,Agricultural land (sq. km),AG.LND.AGRI.K2,25560.0
Moldova,MDA,1997,Agricultural land (sq. km),AG.LND.AGRI.K2,25560.0
Moldova,MDA,1996,Agricultural land (sq. km),AG.LND.AGRI.K2,25560.0
Moldova,MDA,1995,Agricultural land (sq. km),AG.LND.AGRI.K2,25560.0
Moldova,MDA,1994,Agricultural land (sq. km),AG.LND.AGRI.K2,25570.0
Moldova,MDA,1993,Agricultural land (sq. km),AG.LND.AGRI.K2,25570.0
Moldova,MDA,1992,Agricultural land (sq. km),AG.LND.AGRI.K2,25600.0
Moldova,MDA,1991,Agricultural land (sq. km),AG.LND.AGRI.K2,25600.0
Moldova,MDA,1990,Agricultural land (sq. km),AG.LND.AGRI.K2,25600.0
Moldova,MDA,1989,Agricultural land (sq. km),AG.LND.AGRI.K2,25600.0
Moldova,MDA,1988,Agricultural land (sq. km),AG.LND.AGRI.K2,25600.0
Moldova,MDA,1987,Agricultural land (sq. km),AG.LND.AGRI.K2,25600.0
Moldova,MDA,1986,Agricultural land (sq. km),AG.LND.AGRI.K2,25600.0
Moldova,MDA,1985,Agricultural land (sq. km),AG.LND.AGRI.K2,25600.0
Moldova,MDA,1984,Agricultural land (sq. km),AG.LND.AGRI.K2,25600.0
Moldova,MDA,1983,Agricultural land (sq. km),AG.LND.AGRI.K2,25600.0
Moldova,MDA,1982,Agricultural land (sq. km),AG.LND.AGRI.K2,25600.0
Moldova,MDA,1981,Agricultural land (sq. km),AG.LND.AGRI.K2,25600.0
Moldova,MDA,1980,Agricultural land (sq. km),AG.LND.AGRI.K2,25600.0
Moldova,MDA,1979,Agricultural land (sq. km),AG.LND.AGRI.K2,25600.0
Moldova,MDA,1978,Agricultural land (sq. km),AG.LND.AGRI.K2,25600.0
Moldova,MDA,1977,Agricultural land (sq. km),AG.LND.AGRI.K2,25600.0
Moldova,MDA,1976,Agricultural land (sq. km),AG.LND.AGRI.K2,25600.0
Moldova,MDA,1975,Agricultural land (sq. km),AG.LND.AGRI.K2,25600.0
Moldova,MDA,1974,Agricultural land (sq. km),AG.LND.AGRI.K2,25600.0
Moldova,MDA,1973,Agricultural land (sq. km),AG.LND.AGRI.K2,25600.0
Moldova,MDA,1972,Agricultural land (sq. km),AG.LND.AGRI.K2,25600.0
Moldova,MDA,1971,Agricultural land (sq. km),AG.LND.AGRI.K2,25600.0
Moldova,MDA,1970,Agricultural land (sq. km),AG.LND.AGRI.K2,25600.0
Moldova,MDA,1969,Agricultural land (sq. km),AG.LND.AGRI.K2,25600.0
Moldova,MDA,1968,Agricultural land (sq. km),AG.LND.AGRI.K2,25600.0
Moldova,MDA,1967,Agricultural land (sq. km),AG.LND.AGRI.K2,25600.0
Moldova,MDA,1966,Agricultural land (sq. km),AG.LND.AGRI.K2,25600.0
Moldova,MDA,1965,Agricultural land (sq. km),AG.LND.AGRI.K2,25600.0
Moldova,MDA,1964,Agricultural land (sq. km),AG.LND.AGRI.K2,25600.0
Moldova,MDA,1963,Agricultural land (sq. km),AG.LND.AGRI.K2,25600.0
Moldova,MDA,1962,Agricultural land (sq. km),AG.LND.AGRI.K2,25600.0
Moldova,MDA,1961,Agricultural land (sq. km),AG.LND.AGRI.K2,25600.0
Moldova,MDA,2021,Agricultural land (% of land area),AG.LND.AGRI.ZS,69.0021231422505
Moldova,MDA,2020,Agricultural land (% of land area),AG.LND.AGRI.ZS,68.8650614573387
Moldova,MDA,2019,Agricultural land (% of land area),AG.LND.AGRI.ZS,68.7711146722455
Moldova,MDA,2018,Agricultural land (% of land area),AG.LND.AGRI.ZS,68.6355301608926
Moldova,MDA,2017,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.456065673457
Moldova,MDA,2016,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.4957420924574
Moldova,MDA,2015,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.4987834549878
Moldova,MDA,2014,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.4075425790754
Moldova,MDA,2013,Agricultural land (% of land area),AG.LND.AGRI.ZS,74.8479318734793
Moldova,MDA,2012,Agricultural land (% of land area),AG.LND.AGRI.ZS,74.8630553864881
Moldova,MDA,2011,Agricultural land (% of land area),AG.LND.AGRI.ZS,74.9467275494673
Moldova,MDA,2010,Agricultural land (% of land area),AG.LND.AGRI.ZS,75.0380517503805
Moldova,MDA,2009,Agricultural land (% of land area),AG.LND.AGRI.ZS,75.1596229857099
Moldova,MDA,2008,Agricultural land (% of land area),AG.LND.AGRI.ZS,75.4332623897841
Moldova,MDA,2007,Agricultural land (% of land area),AG.LND.AGRI.ZS,75.554879902706
Moldova,MDA,2006,Agricultural land (% of land area),AG.LND.AGRI.ZS,75.4940711462451
Moldova,MDA,2005,Agricultural land (% of land area),AG.LND.AGRI.ZS,75.9805411979325
Moldova,MDA,2004,Agricultural land (% of land area),AG.LND.AGRI.ZS,76.7031630170316
Moldova,MDA,2003,Agricultural land (% of land area),AG.LND.AGRI.ZS,76.9090355947673
Moldova,MDA,2002,Agricultural land (% of land area),AG.LND.AGRI.ZS,77.0681265206813
Moldova,MDA,2001,Agricultural land (% of land area),AG.LND.AGRI.ZS,77.220194647202
Moldova,MDA,2000,Agricultural land (% of land area),AG.LND.AGRI.ZS,77.3722627737226
Moldova,MDA,1999,Agricultural land (% of land area),AG.LND.AGRI.ZS,77.7203647416413
Moldova,MDA,1998,Agricultural land (% of land area),AG.LND.AGRI.ZS,77.6663628076573
Moldova,MDA,1997,Agricultural land (% of land area),AG.LND.AGRI.ZS,77.6427703523694
Moldova,MDA,1996,Agricultural land (% of land area),AG.LND.AGRI.ZS,77.6191922259338
Moldova,MDA,1995,Agricultural land (% of land area),AG.LND.AGRI.ZS,77.6191922259338
Moldova,MDA,1994,Agricultural land (% of land area),AG.LND.AGRI.ZS,77.6259866423801
Moldova,MDA,1993,Agricultural land (% of land area),AG.LND.AGRI.ZS,77.6024279210926
Moldova,MDA,1992,Agricultural land (% of land area),AG.LND.AGRI.ZS,77.8825676909036
Moldova,MDA,2021,Arable land (% of land area),AG.LND.ARBL.ZS,51.8956627236882
Moldova,MDA,2020,Arable land (% of land area),AG.LND.ARBL.ZS,51.6898487437889
Moldova,MDA,2019,Arable land (% of land area),AG.LND.ARBL.ZS,51.3867645404261
Moldova,MDA,2018,Arable land (% of land area),AG.LND.ARBL.ZS,51.1383505700115
Moldova,MDA,2017,Arable land (% of land area),AG.LND.ARBL.ZS,52.8428093645485
Moldova,MDA,2016,Arable land (% of land area),AG.LND.ARBL.ZS,52.8588807785888
Moldova,MDA,2015,Arable land (% of land area),AG.LND.ARBL.ZS,52.7068126520681
Moldova,MDA,2014,Arable land (% of land area),AG.LND.ARBL.ZS,52.5547445255474
Moldova,MDA,2013,Arable land (% of land area),AG.LND.ARBL.ZS,55.2311435523114
Moldova,MDA,2012,Arable land (% of land area),AG.LND.ARBL.ZS,55.203895313451
Moldova,MDA,2011,Arable land (% of land area),AG.LND.ARBL.ZS,55.1293759512938
Moldova,MDA,2010,Arable land (% of land area),AG.LND.ARBL.ZS,55.1902587519026
Moldova,MDA,2009,Arable land (% of land area),AG.LND.ARBL.ZS,55.2447552447552
Moldova,MDA,2008,Arable land (% of land area),AG.LND.ARBL.ZS,55.3663727576771
