Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
Morocco,MAR,2018,Agricultural land (sq. km),AG.LND.AGRI.K2,305258.072
Morocco,MAR,2017,Agricultural land (sq. km),AG.LND.AGRI.K2,310465.482
Morocco,MAR,2016,Agricultural land (sq. km),AG.LND.AGRI.K2,308750.0
Morocco,MAR,2015,Agricultural land (sq. km),AG.LND.AGRI.K2,300470.0
Morocco,MAR,2014,Agricultural land (sq. km),AG.LND.AGRI.K2,300825.0
Morocco,MAR,2013,Agricultural land (sq. km),AG.LND.AGRI.K2,305850.0
Morocco,MAR,2012,Agricultural land (sq. km),AG.LND.AGRI.K2,304030.0
Morocco,MAR,2011,Agricultural land (sq. km),AG.LND.AGRI.K2,301038.0
Morocco,MAR,2010,Agricultural land (sq. km),AG.LND.AGRI.K2,299883.0
Morocco,MAR,2009,Agricultural land (sq. km),AG.LND.AGRI.K2,300026.0
Morocco,MAR,2008,Agricultural land (sq. km),AG.LND.AGRI.K2,299810.0
Morocco,MAR,2007,Agricultural land (sq. km),AG.LND.AGRI.K2,299600.0
Morocco,MAR,2006,Agricultural land (sq. km),AG.LND.AGRI.K2,299460.0
Morocco,MAR,2005,Agricultural land (sq. km),AG.LND.AGRI.K2,299890.0
Morocco,MAR,2004,Agricultural land (sq. km),AG.LND.AGRI.K2,300410.0
Morocco,MAR,2003,Agricultural land (sq. km),AG.LND.AGRI.K2,308760.0
Morocco,MAR,2002,Agricultural land (sq. km),AG.LND.AGRI.K2,302830.0
Morocco,MAR,2001,Agricultural land (sq. km),AG.LND.AGRI.K2,303700.0
Morocco,MAR,2000,Agricultural land (sq. km),AG.LND.AGRI.K2,306520.0
Morocco,MAR,1999,Agricultural land (sq. km),AG.LND.AGRI.K2,306930.0
Morocco,MAR,1998,Agricultural land (sq. km),AG.LND.AGRI.K2,309760.0
Morocco,MAR,1997,Agricultural land (sq. km),AG.LND.AGRI.K2,308950.0
Morocco,MAR,1996,Agricultural land (sq. km),AG.LND.AGRI.K2,309660.0
Morocco,MAR,1995,Agricultural land (sq. km),AG.LND.AGRI.K2,307490.0
Morocco,MAR,1994,Agricultural land (sq. km),AG.LND.AGRI.K2,309640.0
Morocco,MAR,1993,Agricultural land (sq. km),AG.LND.AGRI.K2,307110.0
Morocco,MAR,1992,Agricultural land (sq. km),AG.LND.AGRI.K2,306160.0
Morocco,MAR,1991,Agricultural land (sq. km),AG.LND.AGRI.K2,303550.0
Morocco,MAR,1990,Agricultural land (sq. km),AG.LND.AGRI.K2,303430.0
Morocco,MAR,1989,Agricultural land (sq. km),AG.LND.AGRI.K2,300640.0
Morocco,MAR,1988,Agricultural land (sq. km),AG.LND.AGRI.K2,297440.0
Morocco,MAR,1987,Agricultural land (sq. km),AG.LND.AGRI.K2,296660.0
Morocco,MAR,1986,Agricultural land (sq. km),AG.LND.AGRI.K2,294970.0
Morocco,MAR,1985,Agricultural land (sq. km),AG.LND.AGRI.K2,293980.0
Morocco,MAR,1984,Agricultural land (sq. km),AG.LND.AGRI.K2,293840.0
