Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
Mozambique,MOZ,2018,Agricultural land (sq. km),AG.LND.AGRI.K2,414138.32
Mozambique,MOZ,2017,Agricultural land (sq. km),AG.LND.AGRI.K2,412314.0
Mozambique,MOZ,2016,Agricultural land (sq. km),AG.LND.AGRI.K2,410097.1
Mozambique,MOZ,2015,Agricultural land (sq. km),AG.LND.AGRI.K2,406980.0
Mozambique,MOZ,2014,Agricultural land (sq. km),AG.LND.AGRI.K2,404915.72
Mozambique,MOZ,2013,Agricultural land (sq. km),AG.LND.AGRI.K2,402851.44
Mozambique,MOZ,2012,Agricultural land (sq. km),AG.LND.AGRI.K2,400787.16
Mozambique,MOZ,2011,Agricultural land (sq. km),AG.LND.AGRI.K2,398722.88
Mozambique,MOZ,2010,Agricultural land (sq. km),AG.LND.AGRI.K2,396658.6
Mozambique,MOZ,2009,Agricultural land (sq. km),AG.LND.AGRI.K2,394442.74
Mozambique,MOZ,2008,Agricultural land (sq. km),AG.LND.AGRI.K2,392226.88
Mozambique,MOZ,2007,Agricultural land (sq. km),AG.LND.AGRI.K2,390011.02
Mozambique,MOZ,2006,Agricultural land (sq. km),AG.LND.AGRI.K2,387795.16
Mozambique,MOZ,2005,Agricultural land (sq. km),AG.LND.AGRI.K2,385579.3
Mozambique,MOZ,2004,Agricultural land (sq. km),AG.LND.AGRI.K2,383363.44
Mozambique,MOZ,2003,Agricultural land (sq. km),AG.LND.AGRI.K2,381147.58
Mozambique,MOZ,2002,Agricultural land (sq. km),AG.LND.AGRI.K2,378931.72
Mozambique,MOZ,2001,Agricultural land (sq. km),AG.LND.AGRI.K2,376715.86
Mozambique,MOZ,2000,Agricultural land (sq. km),AG.LND.AGRI.K2,374500.0
Mozambique,MOZ,1999,Agricultural land (sq. km),AG.LND.AGRI.K2,372310.0
Mozambique,MOZ,1998,Agricultural land (sq. km),AG.LND.AGRI.K2,370120.0
Mozambique,MOZ,1997,Agricultural land (sq. km),AG.LND.AGRI.K2,367930.0
Mozambique,MOZ,1996,Agricultural land (sq. km),AG.LND.AGRI.K2,365740.0
Mozambique,MOZ,1995,Agricultural land (sq. km),AG.LND.AGRI.K2,363550.0
Mozambique,MOZ,1994,Agricultural land (sq. km),AG.LND.AGRI.K2,361360.0
Mozambique,MOZ,1993,Agricultural land (sq. km),AG.LND.AGRI.K2,359170.0
Mozambique,MOZ,1992,Agricultural land (sq. km),AG.LND.AGRI.K2,356980.0
Mozambique,MOZ,1991,Agricultural land (sq. km),AG.LND.AGRI.K2,354790.0
Mozambique,MOZ,1990,Agricultural land (sq. km),AG.LND.AGRI.K2,352600.0
Mozambique,MOZ,1989,Agricultural land (sq. km),AG.LND.AGRI.K2,352100.0
Mozambique,MOZ,1988,Agricultural land (sq. km),AG.LND.AGRI.K2,351600.0
Mozambique,MOZ,1987,Agricultural land (sq. km),AG.LND.AGRI.K2,351100.0
Mozambique,MOZ,1986,Agricultural land (sq. km),AG.LND.AGRI.K2,350100.0
Mozambique,MOZ,1985,Agricultural land (sq. km),AG.LND.AGRI.K2,349600.0
Mozambique,MOZ,1984,Agricultural land (sq. km),AG.LND.AGRI.K2,349100.0
Mozambique,MOZ,1983,Agricultural land (sq. km),AG.LND.AGRI.K2,348100.0
Mozambique,MOZ,1982,Agricultural land (sq. km),AG.LND.AGRI.K2,348100.0
Mozambique,MOZ,1981,Agricultural land (sq. km),AG.LND.AGRI.K2,347300.0
Mozambique,MOZ,1980,Agricultural land (sq. km),AG.LND.AGRI.K2,346800.0
Mozambique,MOZ,1979,Agricultural land (sq. km),AG.LND.AGRI.K2,346800.0
Mozambique,MOZ,1978,Agricultural land (sq. km),AG.LND.AGRI.K2,346800.0
Mozambique,MOZ,1977,Agricultural land (sq. km),AG.LND.AGRI.K2,346800.0
Mozambique,MOZ,1976,Agricultural land (sq. km),AG.LND.AGRI.K2,346800.0
Mozambique,MOZ,1975,Agricultural land (sq. km),AG.LND.AGRI.K2,346800.0
Mozambique,MOZ,1974,Agricultural land (sq. km),AG.LND.AGRI.K2,346600.0
Mozambique,MOZ,1973,Agricultural land (sq. km),AG.LND.AGRI.K2,346600.0
Mozambique,MOZ,1972,Agricultural land (sq. km),AG.LND.AGRI.K2,346080.0
Mozambique,MOZ,1971,Agricultural land (sq. km),AG.LND.AGRI.K2,345890.0
Mozambique,MOZ,1970,Agricultural land (sq. km),AG.LND.AGRI.K2,345890.0
Mozambique,MOZ,1969,Agricultural land (sq. km),AG.LND.AGRI.K2,345040.0
Mozambique,MOZ,1968,Agricultural land (sq. km),AG.LND.AGRI.K2,344000.0
Mozambique,MOZ,1967,Agricultural land (sq. km),AG.LND.AGRI.K2,343000.0
Mozambique,MOZ,1966,Agricultural land (sq. km),AG.LND.AGRI.K2,342740.0
Mozambique,MOZ,1965,Agricultural land (sq. km),AG.LND.AGRI.K2,342680.0
Mozambique,MOZ,1964,Agricultural land (sq. km),AG.LND.AGRI.K2,342580.0
