Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
Netherlands,NLD,2018,Agricultural land (sq. km),AG.LND.AGRI.K2,18230.0
Netherlands,NLD,2017,Agricultural land (sq. km),AG.LND.AGRI.K2,18190.0
Netherlands,NLD,2016,Agricultural land (sq. km),AG.LND.AGRI.K2,18150.0
Netherlands,NLD,2015,Agricultural land (sq. km),AG.LND.AGRI.K2,18460.0
Netherlands,NLD,2014,Agricultural land (sq. km),AG.LND.AGRI.K2,18391.0
Netherlands,NLD,2013,Agricultural land (sq. km),AG.LND.AGRI.K2,18476.0
Netherlands,NLD,2012,Agricultural land (sq. km),AG.LND.AGRI.K2,18417.0
Netherlands,NLD,2011,Agricultural land (sq. km),AG.LND.AGRI.K2,18584.0
Netherlands,NLD,2010,Agricultural land (sq. km),AG.LND.AGRI.K2,18723.0
Netherlands,NLD,2009,Agricultural land (sq. km),AG.LND.AGRI.K2,19174.0
Netherlands,NLD,2008,Agricultural land (sq. km),AG.LND.AGRI.K2,19293.0
Netherlands,NLD,2007,Agricultural land (sq. km),AG.LND.AGRI.K2,19144.0
Netherlands,NLD,2006,Agricultural land (sq. km),AG.LND.AGRI.K2,19196.0
Netherlands,NLD,2005,Agricultural land (sq. km),AG.LND.AGRI.K2,19377.0
Netherlands,NLD,2004,Agricultural land (sq. km),AG.LND.AGRI.K2,19494.0
Netherlands,NLD,2003,Agricultural land (sq. km),AG.LND.AGRI.K2,19137.0
Netherlands,NLD,2002,Agricultural land (sq. km),AG.LND.AGRI.K2,19401.0
Netherlands,NLD,2001,Agricultural land (sq. km),AG.LND.AGRI.K2,19227.0
Netherlands,NLD,2000,Agricultural land (sq. km),AG.LND.AGRI.K2,19596.0
Netherlands,NLD,1999,Agricultural land (sq. km),AG.LND.AGRI.K2,19726.0
Netherlands,NLD,1998,Agricultural land (sq. km),AG.LND.AGRI.K2,19158.0
Netherlands,NLD,1997,Agricultural land (sq. km),AG.LND.AGRI.K2,19633.0
Netherlands,NLD,1996,Agricultural land (sq. km),AG.LND.AGRI.K2,19506.0
Netherlands,NLD,1995,Agricultural land (sq. km),AG.LND.AGRI.K2,19647.0
Netherlands,NLD,1994,Agricultural land (sq. km),AG.LND.AGRI.K2,19504.0
Netherlands,NLD,1993,Agricultural land (sq. km),AG.LND.AGRI.K2,19669.0
Netherlands,NLD,1992,Agricultural land (sq. km),AG.LND.AGRI.K2,19638.0
Netherlands,NLD,1991,Agricultural land (sq. km),AG.LND.AGRI.K2,19695.0
Netherlands,NLD,1990,Agricultural land (sq. km),AG.LND.AGRI.K2,20180.0
Netherlands,NLD,1989,Agricultural land (sq. km),AG.LND.AGRI.K2,20059.0
Netherlands,NLD,1988,Agricultural land (sq. km),AG.LND.AGRI.K2,20154.0
Netherlands,NLD,1987,Agricultural land (sq. km),AG.LND.AGRI.K2,20143.0
Netherlands,NLD,1986,Agricultural land (sq. km),AG.LND.AGRI.K2,20180.0
Netherlands,NLD,1985,Agricultural land (sq. km),AG.LND.AGRI.K2,20198.0
Netherlands,NLD,1984,Agricultural land (sq. km),AG.LND.AGRI.K2,20149.0
Netherlands,NLD,1983,Agricultural land (sq. km),AG.LND.AGRI.K2,20088.0
Netherlands,NLD,1982,Agricultural land (sq. km),AG.LND.AGRI.K2,20274.0
Netherlands,NLD,1981,Agricultural land (sq. km),AG.LND.AGRI.K2,20305.0
Netherlands,NLD,1980,Agricultural land (sq. km),AG.LND.AGRI.K2,20372.0
Netherlands,NLD,1979,Agricultural land (sq. km),AG.LND.AGRI.K2,20368.0
Netherlands,NLD,1978,Agricultural land (sq. km),AG.LND.AGRI.K2,20503.0
Netherlands,NLD,1977,Agricultural land (sq. km),AG.LND.AGRI.K2,20658.0
Netherlands,NLD,1976,Agricultural land (sq. km),AG.LND.AGRI.K2,20799.0
Netherlands,NLD,1975,Agricultural land (sq. km),AG.LND.AGRI.K2,20871.0
Netherlands,NLD,1974,Agricultural land (sq. km),AG.LND.AGRI.K2,20991.0
Netherlands,NLD,1973,Agricultural land (sq. km),AG.LND.AGRI.K2,21080.0
Netherlands,NLD,1972,Agricultural land (sq. km),AG.LND.AGRI.K2,21217.0
Netherlands,NLD,1971,Agricultural land (sq. km),AG.LND.AGRI.K2,21364.0
Netherlands,NLD,1970,Agricultural land (sq. km),AG.LND.AGRI.K2,22013.0
Netherlands,NLD,1969,Agricultural land (sq. km),AG.LND.AGRI.K2,22182.0
Netherlands,NLD,1968,Agricultural land (sq. km),AG.LND.AGRI.K2,22347.0
Netherlands,NLD,1967,Agricultural land (sq. km),AG.LND.AGRI.K2,22417.0
Netherlands,NLD,1966,Agricultural land (sq. km),AG.LND.AGRI.K2,22481.0
Netherlands,NLD,1965,Agricultural land (sq. km),AG.LND.AGRI.K2,22473.0
Netherlands,NLD,1964,Agricultural land (sq. km),AG.LND.AGRI.K2,22578.0
Netherlands,NLD,1963,Agricultural land (sq. km),AG.LND.AGRI.K2,22769.0
Netherlands,NLD,1962,Agricultural land (sq. km),AG.LND.AGRI.K2,22873.0
Netherlands,NLD,1961,Agricultural land (sq. km),AG.LND.AGRI.K2,22969.0
