Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
New Caledonia,NCL,2018,Agricultural land (sq. km),AG.LND.AGRI.K2,1840.3
New Caledonia,NCL,2017,Agricultural land (sq. km),AG.LND.AGRI.K2,1840.3
New Caledonia,NCL,2016,Agricultural land (sq. km),AG.LND.AGRI.K2,1840.3
New Caledonia,NCL,2015,Agricultural land (sq. km),AG.LND.AGRI.K2,1840.3
New Caledonia,NCL,2014,Agricultural land (sq. km),AG.LND.AGRI.K2,1837.3
New Caledonia,NCL,2013,Agricultural land (sq. km),AG.LND.AGRI.K2,1837.3
New Caledonia,NCL,2012,Agricultural land (sq. km),AG.LND.AGRI.K2,1840.34
New Caledonia,NCL,2011,Agricultural land (sq. km),AG.LND.AGRI.K2,1903.0
New Caledonia,NCL,2010,Agricultural land (sq. km),AG.LND.AGRI.K2,1986.0
New Caledonia,NCL,2009,Agricultural land (sq. km),AG.LND.AGRI.K2,2056.0
New Caledonia,NCL,2008,Agricultural land (sq. km),AG.LND.AGRI.K2,2106.0
New Caledonia,NCL,2007,Agricultural land (sq. km),AG.LND.AGRI.K2,2181.0
New Caledonia,NCL,2006,Agricultural land (sq. km),AG.LND.AGRI.K2,2246.0
New Caledonia,NCL,2005,Agricultural land (sq. km),AG.LND.AGRI.K2,2301.0
New Caledonia,NCL,2004,Agricultural land (sq. km),AG.LND.AGRI.K2,2366.0
New Caledonia,NCL,2003,Agricultural land (sq. km),AG.LND.AGRI.K2,2436.0
New Caledonia,NCL,2002,Agricultural land (sq. km),AG.LND.AGRI.K2,2500.0
New Caledonia,NCL,2001,Agricultural land (sq. km),AG.LND.AGRI.K2,2480.0
New Caledonia,NCL,2000,Agricultural land (sq. km),AG.LND.AGRI.K2,2450.0
New Caledonia,NCL,1999,Agricultural land (sq. km),AG.LND.AGRI.K2,2430.0
New Caledonia,NCL,1998,Agricultural land (sq. km),AG.LND.AGRI.K2,2400.0
New Caledonia,NCL,1997,Agricultural land (sq. km),AG.LND.AGRI.K2,2380.0
New Caledonia,NCL,1996,Agricultural land (sq. km),AG.LND.AGRI.K2,2350.0
New Caledonia,NCL,1995,Agricultural land (sq. km),AG.LND.AGRI.K2,2330.0
New Caledonia,NCL,1994,Agricultural land (sq. km),AG.LND.AGRI.K2,2310.0
New Caledonia,NCL,1993,Agricultural land (sq. km),AG.LND.AGRI.K2,2300.0
New Caledonia,NCL,1992,Agricultural land (sq. km),AG.LND.AGRI.K2,2300.0
New Caledonia,NCL,1991,Agricultural land (sq. km),AG.LND.AGRI.K2,2290.0
New Caledonia,NCL,1990,Agricultural land (sq. km),AG.LND.AGRI.K2,2320.0
New Caledonia,NCL,1989,Agricultural land (sq. km),AG.LND.AGRI.K2,2360.0
New Caledonia,NCL,1988,Agricultural land (sq. km),AG.LND.AGRI.K2,2460.0
New Caledonia,NCL,1987,Agricultural land (sq. km),AG.LND.AGRI.K2,2560.0
New Caledonia,NCL,1986,Agricultural land (sq. km),AG.LND.AGRI.K2,2670.0
New Caledonia,NCL,1985,Agricultural land (sq. km),AG.LND.AGRI.K2,2780.0
New Caledonia,NCL,1984,Agricultural land (sq. km),AG.LND.AGRI.K2,2900.0
New Caledonia,NCL,1983,Agricultural land (sq. km),AG.LND.AGRI.K2,2800.0
New Caledonia,NCL,1982,Agricultural land (sq. km),AG.LND.AGRI.K2,2720.0
New Caledonia,NCL,1981,Agricultural land (sq. km),AG.LND.AGRI.K2,2650.0
New Caledonia,NCL,1980,Agricultural land (sq. km),AG.LND.AGRI.K2,2650.0
New Caledonia,NCL,1979,Agricultural land (sq. km),AG.LND.AGRI.K2,2650.0
New Caledonia,NCL,1978,Agricultural land (sq. km),AG.LND.AGRI.K2,2650.0
New Caledonia,NCL,1977,Agricultural land (sq. km),AG.LND.AGRI.K2,2650.0
New Caledonia,NCL,1976,Agricultural land (sq. km),AG.LND.AGRI.K2,2650.0
New Caledonia,NCL,1975,Agricultural land (sq. km),AG.LND.AGRI.K2,2640.0
New Caledonia,NCL,1974,Agricultural land (sq. km),AG.LND.AGRI.K2,2640.0
New Caledonia,NCL,1973,Agricultural land (sq. km),AG.LND.AGRI.K2,2640.0
New Caledonia,NCL,1972,Agricultural land (sq. km),AG.LND.AGRI.K2,2640.0
New Caledonia,NCL,1971,Agricultural land (sq. km),AG.LND.AGRI.K2,2630.0
New Caledonia,NCL,1970,Agricultural land (sq. km),AG.LND.AGRI.K2,2630.0
New Caledonia,NCL,1969,Agricultural land (sq. km),AG.LND.AGRI.K2,2630.0
New Caledonia,NCL,1968,Agricultural land (sq. km),AG.LND.AGRI.K2,2630.0
New Caledonia,NCL,1967,Agricultural land (sq. km),AG.LND.AGRI.K2,2620.0
New Caledonia,NCL,1966,Agricultural land (sq. km),AG.LND.AGRI.K2,2620.0
New Caledonia,NCL,1965,Agricultural land (sq. km),AG.LND.AGRI.K2,2620.0
New Caledonia,NCL,1964,Agricultural land (sq. km),AG.LND.AGRI.K2,2620.0
New Caledonia,NCL,1963,Agricultural land (sq. km),AG.LND.AGRI.K2,2610.0
New Caledonia,NCL,1962,Agricultural land (sq. km),AG.LND.AGRI.K2,2610.0
New Caledonia,NCL,1961,Agricultural land (sq. km),AG.LND.AGRI.K2,2610.0
New Caledonia,NCL,2021,Agricultural land (% of land area),AG.LND.AGRI.ZS,10.0672866520788
New Caledonia,NCL,2020,Agricultural land (% of land area),AG.LND.AGRI.ZS,10.0672866520788
New Caledonia,NCL,2019,Agricultural land (% of land area),AG.LND.AGRI.ZS,10.0672866520788
New Caledonia,NCL,2018,Agricultural land (% of land area),AG.LND.AGRI.ZS,10.0672866520788
New Caledonia,NCL,2017,Agricultural land (% of land area),AG.LND.AGRI.ZS,10.0672866520788
New Caledonia,NCL,2016,Agricultural land (% of land area),AG.LND.AGRI.ZS,10.0672866520788
New Caledonia,NCL,2015,Agricultural land (% of land area),AG.LND.AGRI.ZS,10.0672866520788
New Caledonia,NCL,2014,Agricultural land (% of land area),AG.LND.AGRI.ZS,10.050875273523
New Caledonia,NCL,2013,Agricultural land (% of land area),AG.LND.AGRI.ZS,10.050875273523
New Caledonia,NCL,2012,Agricultural land (% of land area),AG.LND.AGRI.ZS,10.0675054704595
New Caledonia,NCL,2011,Agricultural land (% of land area),AG.LND.AGRI.ZS,10.410284463895
New Caledonia,NCL,2010,Agricultural land (% of land area),AG.LND.AGRI.ZS,10.8643326039387
New Caledonia,NCL,2009,Agricultural land (% of land area),AG.LND.AGRI.ZS,11.2472647702407
New Caledonia,NCL,2008,Agricultural land (% of land area),AG.LND.AGRI.ZS,11.5207877461707
New Caledonia,NCL,2007,Agricultural land (% of land area),AG.LND.AGRI.ZS,11.9310722100656
New Caledonia,NCL,2006,Agricultural land (% of land area),AG.LND.AGRI.ZS,12.2866520787746
New Caledonia,NCL,2005,Agricultural land (% of land area),AG.LND.AGRI.ZS,12.5875273522976
New Caledonia,NCL,2004,Agricultural land (% of land area),AG.LND.AGRI.ZS,12.9431072210066
New Caledonia,NCL,2003,Agricultural land (% of land area),AG.LND.AGRI.ZS,13.3260393873085
New Caledonia,NCL,2002,Agricultural land (% of land area),AG.LND.AGRI.ZS,13.6761487964989
New Caledonia,NCL,2001,Agricultural land (% of land area),AG.LND.AGRI.ZS,13.5667396061269
New Caledonia,NCL,2000,Agricultural land (% of land area),AG.LND.AGRI.ZS,13.4026258205689
New Caledonia,NCL,1999,Agricultural land (% of land area),AG.LND.AGRI.ZS,13.2932166301969
New Caledonia,NCL,1998,Agricultural land (% of land area),AG.LND.AGRI.ZS,13.1291028446389
New Caledonia,NCL,1997,Agricultural land (% of land area),AG.LND.AGRI.ZS,13.019693654267
New Caledonia,NCL,1996,Agricultural land (% of land area),AG.LND.AGRI.ZS,12.855579868709
New Caledonia,NCL,1995,Agricultural land (% of land area),AG.LND.AGRI.ZS,12.746170678337
New Caledonia,NCL,1994,Agricultural land (% of land area),AG.LND.AGRI.ZS,12.636761487965
New Caledonia,NCL,1993,Agricultural land (% of land area),AG.LND.AGRI.ZS,12.582056892779
New Caledonia,NCL,1992,Agricultural land (% of land area),AG.LND.AGRI.ZS,12.582056892779
New Caledonia,NCL,1991,Agricultural land (% of land area),AG.LND.AGRI.ZS,12.527352297593
New Caledonia,NCL,1990,Agricultural land (% of land area),AG.LND.AGRI.ZS,12.691466083151
New Caledonia,NCL,1989,Agricultural land (% of land area),AG.LND.AGRI.ZS,12.910284463895
New Caledonia,NCL,1988,Agricultural land (% of land area),AG.LND.AGRI.ZS,13.4573304157549
New Caledonia,NCL,1987,Agricultural land (% of land area),AG.LND.AGRI.ZS,14.0043763676149
New Caledonia,NCL,1986,Agricultural land (% of land area),AG.LND.AGRI.ZS,14.6061269146608
New Caledonia,NCL,1985,Agricultural land (% of land area),AG.LND.AGRI.ZS,15.2078774617068
New Caledonia,NCL,1984,Agricultural land (% of land area),AG.LND.AGRI.ZS,15.8643326039387
New Caledonia,NCL,1983,Agricultural land (% of land area),AG.LND.AGRI.ZS,15.3172866520788
New Caledonia,NCL,1982,Agricultural land (% of land area),AG.LND.AGRI.ZS,14.8796498905908
New Caledonia,NCL,1981,Agricultural land (% of land area),AG.LND.AGRI.ZS,14.4967177242888
New Caledonia,NCL,1980,Agricultural land (% of land area),AG.LND.AGRI.ZS,14.4967177242888
New Caledonia,NCL,1979,Agricultural land (% of land area),AG.LND.AGRI.ZS,14.4967177242888
New Caledonia,NCL,1978,Agricultural land (% of land area),AG.LND.AGRI.ZS,14.4967177242888
New Caledonia,NCL,1977,Agricultural land (% of land area),AG.LND.AGRI.ZS,14.4967177242888
New Caledonia,NCL,1976,Agricultural land (% of land area),AG.LND.AGRI.ZS,14.4967177242888
New Caledonia,NCL,1975,Agricultural land (% of land area),AG.LND.AGRI.ZS,14.4420131291028
New Caledonia,NCL,1974,Agricultural land (% of land area),AG.LND.AGRI.ZS,14.4420131291028
New Caledonia,NCL,1973,Agricultural land (% of land area),AG.LND.AGRI.ZS,14.4420131291028
New Caledonia,NCL,1972,Agricultural land (% of land area),AG.LND.AGRI.ZS,14.4420131291028
New Caledonia,NCL,1971,Agricultural land (% of land area),AG.LND.AGRI.ZS,14.3873085339168
New Caledonia,NCL,1970,Agricultural land (% of land area),AG.LND.AGRI.ZS,14.3873085339168
New Caledonia,NCL,1969,Agricultural land (% of land area),AG.LND.AGRI.ZS,14.3873085339168
New Caledonia,NCL,1968,Agricultural land (% of land area),AG.LND.AGRI.ZS,14.3873085339168
New Caledonia,NCL,1967,Agricultural land (% of land area),AG.LND.AGRI.ZS,14.3326039387309
New Caledonia,NCL,1966,Agricultural land (% of land area),AG.LND.AGRI.ZS,14.3326039387309
New Caledonia,NCL,1965,Agricultural land (% of land area),AG.LND.AGRI.ZS,14.3326039387309
New Caledonia,NCL,1964,Agricultural land (% of land area),AG.LND.AGRI.ZS,14.3326039387309
New Caledonia,NCL,1963,Agricultural land (% of land area),AG.LND.AGRI.ZS,14.2778993435449
New Caledonia,NCL,1962,Agricultural land (% of land area),AG.LND.AGRI.ZS,14.2778993435449
New Caledonia,NCL,1961,Agricultural land (% of land area),AG.LND.AGRI.ZS,14.2778993435449
New Caledonia,NCL,2021,Arable land (% of land area),AG.LND.ARBL.ZS,0.326586433260394
New Caledonia,NCL,2020,Arable land (% of land area),AG.LND.ARBL.ZS,0.326586433260394
New Caledonia,NCL,2019,Arable land (% of land area),AG.LND.ARBL.ZS,0.326586433260394
New Caledonia,NCL,2018,Arable land (% of land area),AG.LND.ARBL.ZS,0.326586433260394
New Caledonia,NCL,2017,Arable land (% of land area),AG.LND.ARBL.ZS,0.326586433260394
New Caledonia,NCL,2016,Arable land (% of land area),AG.LND.ARBL.ZS,0.326586433260394
New Caledonia,NCL,2015,Arable land (% of land area),AG.LND.ARBL.ZS,0.326586433260394
New Caledonia,NCL,2014,Arable land (% of land area),AG.LND.ARBL.ZS,0.328227571115974
New Caledonia,NCL,2013,Arable land (% of land area),AG.LND.ARBL.ZS,0.328227571115974
New Caledonia,NCL,2012,Arable land (% of land area),AG.LND.ARBL.ZS,0.328446389496718
New Caledonia,NCL,2011,Arable land (% of land area),AG.LND.ARBL.ZS,0.355579868708972
New Caledonia,NCL,2010,Arable land (% of land area),AG.LND.ARBL.ZS,0.37199124726477
New Caledonia,NCL,2009,Arable land (% of land area),AG.LND.ARBL.ZS,0.37199124726477
New Caledonia,NCL,2008,Arable land (% of land area),AG.LND.ARBL.ZS,0.37199124726477
New Caledonia,NCL,2007,Arable land (% of land area),AG.LND.ARBL.ZS,0.37199124726477
New Caledonia,NCL,2006,Arable land (% of land area),AG.LND.ARBL.ZS,0.37199124726477
New Caledonia,NCL,2005,Arable land (% of land area),AG.LND.ARBL.ZS,0.37199124726477
New Caledonia,NCL,2004,Arable land (% of land area),AG.LND.ARBL.ZS,0.37199124726477
New Caledonia,NCL,2003,Arable land (% of land area),AG.LND.ARBL.ZS,0.37199124726477
New Caledonia,NCL,2002,Arable land (% of land area),AG.LND.ARBL.ZS,0.37199124726477
New Caledonia,NCL,2001,Arable land (% of land area),AG.LND.ARBL.ZS,0.382932166301969
New Caledonia,NCL,2000,Arable land (% of land area),AG.LND.ARBL.ZS,0.382932166301969
New Caledonia,NCL,1999,Arable land (% of land area),AG.LND.ARBL.ZS,0.382932166301969
New Caledonia,NCL,1998,Arable land (% of land area),AG.LND.ARBL.ZS,0.382932166301969
New Caledonia,NCL,1997,Arable land (% of land area),AG.LND.ARBL.ZS,0.382932166301969
New Caledonia,NCL,1996,Arable land (% of land area),AG.LND.ARBL.ZS,0.382932166301969
New Caledonia,NCL,1995,Arable land (% of land area),AG.LND.ARBL.ZS,0.382932166301969
New Caledonia,NCL,1994,Arable land (% of land area),AG.LND.ARBL.ZS,0.382932166301969
New Caledonia,NCL,1993,Arable land (% of land area),AG.LND.ARBL.ZS,0.437636761487965
New Caledonia,NCL,1992,Arable land (% of land area),AG.LND.ARBL.ZS,0.492341356673961
New Caledonia,NCL,1991,Arable land (% of land area),AG.LND.ARBL.ZS,0.492341356673961
New Caledonia,NCL,1990,Arable land (% of land area),AG.LND.ARBL.ZS,0.492341356673961
New Caledonia,NCL,1989,Arable land (% of land area),AG.LND.ARBL.ZS,0.492341356673961
New Caledonia,NCL,1988,Arable land (% of land area),AG.LND.ARBL.ZS,0.492341356673961
New Caledonia,NCL,1987,Arable land (% of land area),AG.LND.ARBL.ZS,0.492341356673961
New Caledonia,NCL,1986,Arable land (% of land area),AG.LND.ARBL.ZS,0.492341356673961
New Caledonia,NCL,1985,Arable land (% of land area),AG.LND.ARBL.ZS,0.547045951859956
New Caledonia,NCL,1984,Arable land (% of land area),AG.LND.ARBL.ZS,0.547045951859956
New Caledonia,NCL,1983,Arable land (% of land area),AG.LND.ARBL.ZS,0.382932166301969
New Caledonia,NCL,1982,Arable land (% of land area),AG.LND.ARBL.ZS,0.382932166301969
New Caledonia,NCL,1981,Arable land (% of land area),AG.LND.ARBL.ZS,0.382932166301969
New Caledonia,NCL,1980,Arable land (% of land area),AG.LND.ARBL.ZS,0.382932166301969
New Caledonia,NCL,1979,Arable land (% of land area),AG.LND.ARBL.ZS,0.382932166301969
New Caledonia,NCL,1978,Arable land (% of land area),AG.LND.ARBL.ZS,0.382932166301969
New Caledonia,NCL,1977,Arable land (% of land area),AG.LND.ARBL.ZS,0.382932166301969
New Caledonia,NCL,1976,Arable land (% of land area),AG.LND.ARBL.ZS,0.382932166301969
New Caledonia,NCL,1975,Arable land (% of land area),AG.LND.ARBL.ZS,0.382932166301969
New Caledonia,NCL,1974,Arable land (% of land area),AG.LND.ARBL.ZS,0.382932166301969
New Caledonia,NCL,1973,Arable land (% of land area),AG.LND.ARBL.ZS,0.382932166301969
New Caledonia,NCL,1972,Arable land (% of land area),AG.LND.ARBL.ZS,0.382932166301969
New Caledonia,NCL,1971,Arable land (% of land area),AG.LND.ARBL.ZS,0.382932166301969
New Caledonia,NCL,1970,Arable land (% of land area),AG.LND.ARBL.ZS,0.382932166301969
New Caledonia,NCL,1969,Arable land (% of land area),AG.LND.ARBL.ZS,0.382932166301969
New Caledonia,NCL,1968,Arable land (% of land area),AG.LND.ARBL.ZS,0.382932166301969
New Caledonia,NCL,1967,Arable land (% of land area),AG.LND.ARBL.ZS,0.382932166301969
New Caledonia,NCL,1966,Arable land (% of land area),AG.LND.ARBL.ZS,0.382932166301969
New Caledonia,NCL,1965,Arable land (% of land area),AG.LND.ARBL.ZS,0.382932166301969
New Caledonia,NCL,1964,Arable land (% of land area),AG.LND.ARBL.ZS,0.382932166301969
New Caledonia,NCL,1963,Arable land (% of land area),AG.LND.ARBL.ZS,0.382932166301969
New Caledonia,NCL,1962,Arable land (% of land area),AG.LND.ARBL.ZS,0.382932166301969
New Caledonia,NCL,1961,Arable land (% of land area),AG.LND.ARBL.ZS,0.382932166301969
New Caledonia,NCL,2015,Rural land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.RU.K2,1006.81458474
New Caledonia,NCL,2000,Rural land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.RU.K2,1012.05401172
New Caledonia,NCL,1990,Rural land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.RU.K2,1012.22764075
New Caledonia,NCL,2015,Rural land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.RU.ZS,5.34329845803024
New Caledonia,NCL,2000,Rural land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.RU.ZS,5.37110479149724
New Caledonia,NCL,1990,Rural land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.RU.ZS,5.37202626379342
New Caledonia,NCL,2015,Urban land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.UR.K2,12.14126249476
New Caledonia,NCL,2000,Urban land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.UR.K2,6.90183551423
New Caledonia,NCL,1990,Urban land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.UR.K2,6.72820648551
New Caledonia,NCL,2015,Urban land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.UR.ZS,0.0644352894267465
New Caledonia,NCL,2000,Urban land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.UR.ZS,0.0366289559364571
New Caledonia,NCL,1990,Urban land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.UR.ZS,0.0357074836660303
New Caledonia,NCL,2015,Land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.ZS,5.40773374745699
New Caledonia,NCL,2000,Land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.ZS,5.40773374743369
New Caledonia,NCL,1990,Land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.ZS,5.40773374745945
New Caledonia,NCL,2021,Forest area (sq. km),AG.LND.FRST.K2,8379.2
New Caledonia,NCL,2020,Forest area (sq. km),AG.LND.FRST.K2,8380.2
New Caledonia,NCL,2019,Forest area (sq. km),AG.LND.FRST.K2,8381.2
New Caledonia,NCL,2018,Forest area (sq. km),AG.LND.FRST.K2,8382.2
New Caledonia,NCL,2017,Forest area (sq. km),AG.LND.FRST.K2,8383.2
New Caledonia,NCL,2016,Forest area (sq. km),AG.LND.FRST.K2,8384.2
New Caledonia,NCL,2015,Forest area (sq. km),AG.LND.FRST.K2,8385.2
New Caledonia,NCL,2014,Forest area (sq. km),AG.LND.FRST.K2,8386.2
New Caledonia,NCL,2013,Forest area (sq. km),AG.LND.FRST.K2,8387.2
New Caledonia,NCL,2012,Forest area (sq. km),AG.LND.FRST.K2,8388.2
New Caledonia,NCL,2011,Forest area (sq. km),AG.LND.FRST.K2,8389.2
New Caledonia,NCL,2010,Forest area (sq. km),AG.LND.FRST.K2,8390.2
New Caledonia,NCL,2009,Forest area (sq. km),AG.LND.FRST.K2,8389.03
New Caledonia,NCL,2008,Forest area (sq. km),AG.LND.FRST.K2,8387.86
New Caledonia,NCL,2007,Forest area (sq. km),AG.LND.FRST.K2,8386.69
New Caledonia,NCL,2006,Forest area (sq. km),AG.LND.FRST.K2,8385.52
New Caledonia,NCL,2005,Forest area (sq. km),AG.LND.FRST.K2,8384.35
New Caledonia,NCL,2004,Forest area (sq. km),AG.LND.FRST.K2,8383.18
New Caledonia,NCL,2003,Forest area (sq. km),AG.LND.FRST.K2,8382.01
New Caledonia,NCL,2002,Forest area (sq. km),AG.LND.FRST.K2,8380.84
New Caledonia,NCL,2001,Forest area (sq. km),AG.LND.FRST.K2,8379.67
New Caledonia,NCL,2000,Forest area (sq. km),AG.LND.FRST.K2,8378.5
New Caledonia,NCL,1999,Forest area (sq. km),AG.LND.FRST.K2,8371.78
New Caledonia,NCL,1998,Forest area (sq. km),AG.LND.FRST.K2,8365.06
New Caledonia,NCL,1997,Forest area (sq. km),AG.LND.FRST.K2,8358.34
New Caledonia,NCL,1996,Forest area (sq. km),AG.LND.FRST.K2,8351.62
New Caledonia,NCL,1995,Forest area (sq. km),AG.LND.FRST.K2,8344.9
New Caledonia,NCL,1994,Forest area (sq. km),AG.LND.FRST.K2,8338.18
New Caledonia,NCL,1993,Forest area (sq. km),AG.LND.FRST.K2,8331.46
New Caledonia,NCL,1992,Forest area (sq. km),AG.LND.FRST.K2,8324.74
New Caledonia,NCL,1991,Forest area (sq. km),AG.LND.FRST.K2,8318.02
New Caledonia,NCL,1990,Forest area (sq. km),AG.LND.FRST.K2,8311.3
New Caledonia,NCL,2021,Forest area (% of land area),AG.LND.FRST.ZS,45.8380743982495
New Caledonia,NCL,2020,Forest area (% of land area),AG.LND.FRST.ZS,45.8435448577681
New Caledonia,NCL,2019,Forest area (% of land area),AG.LND.FRST.ZS,45.8490153172867
New Caledonia,NCL,2018,Forest area (% of land area),AG.LND.FRST.ZS,45.8544857768053
New Caledonia,NCL,2017,Forest area (% of land area),AG.LND.FRST.ZS,45.8599562363239
New Caledonia,NCL,2016,Forest area (% of land area),AG.LND.FRST.ZS,45.8654266958425
New Caledonia,NCL,2015,Forest area (% of land area),AG.LND.FRST.ZS,45.8708971553611
New Caledonia,NCL,2014,Forest area (% of land area),AG.LND.FRST.ZS,45.8763676148797
New Caledonia,NCL,2013,Forest area (% of land area),AG.LND.FRST.ZS,45.8818380743983
New Caledonia,NCL,2012,Forest area (% of land area),AG.LND.FRST.ZS,45.8873085339169
New Caledonia,NCL,2011,Forest area (% of land area),AG.LND.FRST.ZS,45.8927789934354
New Caledonia,NCL,2010,Forest area (% of land area),AG.LND.FRST.ZS,45.8982494529541
New Caledonia,NCL,2009,Forest area (% of land area),AG.LND.FRST.ZS,45.8918490153173
New Caledonia,NCL,2008,Forest area (% of land area),AG.LND.FRST.ZS,45.8854485776805
New Caledonia,NCL,2007,Forest area (% of land area),AG.LND.FRST.ZS,45.8790481400438
New Caledonia,NCL,2006,Forest area (% of land area),AG.LND.FRST.ZS,45.872647702407
New Caledonia,NCL,2005,Forest area (% of land area),AG.LND.FRST.ZS,45.8662472647702
New Caledonia,NCL,2004,Forest area (% of land area),AG.LND.FRST.ZS,45.8598468271335
New Caledonia,NCL,2003,Forest area (% of land area),AG.LND.FRST.ZS,45.8534463894967
New Caledonia,NCL,2002,Forest area (% of land area),AG.LND.FRST.ZS,45.84704595186
New Caledonia,NCL,2001,Forest area (% of land area),AG.LND.FRST.ZS,45.8406455142232
New Caledonia,NCL,2000,Forest area (% of land area),AG.LND.FRST.ZS,45.8342450765864
New Caledonia,NCL,1999,Forest area (% of land area),AG.LND.FRST.ZS,45.7974835886214
New Caledonia,NCL,1998,Forest area (% of land area),AG.LND.FRST.ZS,45.7607221006565
New Caledonia,NCL,1997,Forest area (% of land area),AG.LND.FRST.ZS,45.7239606126915
New Caledonia,NCL,1996,Forest area (% of land area),AG.LND.FRST.ZS,45.6871991247265
New Caledonia,NCL,1995,Forest area (% of land area),AG.LND.FRST.ZS,45.6504376367615
New Caledonia,NCL,1994,Forest area (% of land area),AG.LND.FRST.ZS,45.6136761487965
New Caledonia,NCL,1993,Forest area (% of land area),AG.LND.FRST.ZS,45.5769146608315
New Caledonia,NCL,1992,Forest area (% of land area),AG.LND.FRST.ZS,45.5401531728665
New Caledonia,NCL,1991,Forest area (% of land area),AG.LND.FRST.ZS,45.5033916849015
New Caledonia,NCL,1990,Forest area (% of land area),AG.LND.FRST.ZS,45.4666301969365
New Caledonia,NCL,2022,Cereal yield (kg per hectare),AG.YLD.CREL.KG,9589.9
New Caledonia,NCL,2021,Cereal yield (kg per hectare),AG.YLD.CREL.KG,8082.8
New Caledonia,NCL,2020,Cereal yield (kg per hectare),AG.YLD.CREL.KG,8569.0
New Caledonia,NCL,2019,Cereal yield (kg per hectare),AG.YLD.CREL.KG,7663.5
New Caledonia,NCL,2018,Cereal yield (kg per hectare),AG.YLD.CREL.KG,7574.8
New Caledonia,NCL,2017,Cereal yield (kg per hectare),AG.YLD.CREL.KG,6853.6
New Caledonia,NCL,2016,Cereal yield (kg per hectare),AG.YLD.CREL.KG,5713.9
New Caledonia,NCL,2015,Cereal yield (kg per hectare),AG.YLD.CREL.KG,4540.0
New Caledonia,NCL,2014,Cereal yield (kg per hectare),AG.YLD.CREL.KG,4800.1
New Caledonia,NCL,2013,Cereal yield (kg per hectare),AG.YLD.CREL.KG,4018.8
New Caledonia,NCL,2012,Cereal yield (kg per hectare),AG.YLD.CREL.KG,4610.9
New Caledonia,NCL,2011,Cereal yield (kg per hectare),AG.YLD.CREL.KG,3462.7
New Caledonia,NCL,2010,Cereal yield (kg per hectare),AG.YLD.CREL.KG,3923.5
New Caledonia,NCL,2009,Cereal yield (kg per hectare),AG.YLD.CREL.KG,3805.7
New Caledonia,NCL,2008,Cereal yield (kg per hectare),AG.YLD.CREL.KG,3820.9
New Caledonia,NCL,2007,Cereal yield (kg per hectare),AG.YLD.CREL.KG,4129.3
New Caledonia,NCL,2006,Cereal yield (kg per hectare),AG.YLD.CREL.KG,3956.0
New Caledonia,NCL,2005,Cereal yield (kg per hectare),AG.YLD.CREL.KG,3885.1
New Caledonia,NCL,2004,Cereal yield (kg per hectare),AG.YLD.CREL.KG,4012.8
New Caledonia,NCL,2003,Cereal yield (kg per hectare),AG.YLD.CREL.KG,4029.1
New Caledonia,NCL,2002,Cereal yield (kg per hectare),AG.YLD.CREL.KG,3870.1
New Caledonia,NCL,2001,Cereal yield (kg per hectare),AG.YLD.CREL.KG,3941.2
New Caledonia,NCL,2000,Cereal yield (kg per hectare),AG.YLD.CREL.KG,3995.8
