Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
New Zealand,NZL,2018,Agricultural land (sq. km),AG.LND.AGRI.K2,104980.0
New Zealand,NZL,2017,Agricultural land (sq. km),AG.LND.AGRI.K2,106440.0
New Zealand,NZL,2016,Agricultural land (sq. km),AG.LND.AGRI.K2,106140.0
New Zealand,NZL,2015,Agricultural land (sq. km),AG.LND.AGRI.K2,107120.0
New Zealand,NZL,2014,Agricultural land (sq. km),AG.LND.AGRI.K2,111160.0
New Zealand,NZL,2013,Agricultural land (sq. km),AG.LND.AGRI.K2,111060.0
New Zealand,NZL,2012,Agricultural land (sq. km),AG.LND.AGRI.K2,112094.0
New Zealand,NZL,2011,Agricultural land (sq. km),AG.LND.AGRI.K2,113710.0
New Zealand,NZL,2010,Agricultural land (sq. km),AG.LND.AGRI.K2,114080.0
New Zealand,NZL,2009,Agricultural land (sq. km),AG.LND.AGRI.K2,114900.0
New Zealand,NZL,2008,Agricultural land (sq. km),AG.LND.AGRI.K2,113740.0
New Zealand,NZL,2007,Agricultural land (sq. km),AG.LND.AGRI.K2,114870.0
New Zealand,NZL,2006,Agricultural land (sq. km),AG.LND.AGRI.K2,113750.0
New Zealand,NZL,2005,Agricultural land (sq. km),AG.LND.AGRI.K2,117120.0
New Zealand,NZL,2004,Agricultural land (sq. km),AG.LND.AGRI.K2,118900.0
New Zealand,NZL,2003,Agricultural land (sq. km),AG.LND.AGRI.K2,118580.0
New Zealand,NZL,2002,Agricultural land (sq. km),AG.LND.AGRI.K2,120244.045
New Zealand,NZL,2001,Agricultural land (sq. km),AG.LND.AGRI.K2,121820.813
New Zealand,NZL,2000,Agricultural land (sq. km),AG.LND.AGRI.K2,123397.124
New Zealand,NZL,1999,Agricultural land (sq. km),AG.LND.AGRI.K2,124973.449
New Zealand,NZL,1998,Agricultural land (sq. km),AG.LND.AGRI.K2,126549.997
New Zealand,NZL,1997,Agricultural land (sq. km),AG.LND.AGRI.K2,128126.617
New Zealand,NZL,1996,Agricultural land (sq. km),AG.LND.AGRI.K2,129703.315
New Zealand,NZL,1995,Agricultural land (sq. km),AG.LND.AGRI.K2,131280.648
New Zealand,NZL,1994,Agricultural land (sq. km),AG.LND.AGRI.K2,132857.919
New Zealand,NZL,1993,Agricultural land (sq. km),AG.LND.AGRI.K2,134435.345
New Zealand,NZL,1992,Agricultural land (sq. km),AG.LND.AGRI.K2,136012.539
New Zealand,NZL,1991,Agricultural land (sq. km),AG.LND.AGRI.K2,137585.833
New Zealand,NZL,1990,Agricultural land (sq. km),AG.LND.AGRI.K2,139170.0
New Zealand,NZL,1989,Agricultural land (sq. km),AG.LND.AGRI.K2,141005.0
New Zealand,NZL,1988,Agricultural land (sq. km),AG.LND.AGRI.K2,141900.0
New Zealand,NZL,1987,Agricultural land (sq. km),AG.LND.AGRI.K2,142740.0
New Zealand,NZL,1986,Agricultural land (sq. km),AG.LND.AGRI.K2,143890.0
New Zealand,NZL,1985,Agricultural land (sq. km),AG.LND.AGRI.K2,143930.0
New Zealand,NZL,1984,Agricultural land (sq. km),AG.LND.AGRI.K2,144730.0
New Zealand,NZL,1983,Agricultural land (sq. km),AG.LND.AGRI.K2,145915.0
New Zealand,NZL,1982,Agricultural land (sq. km),AG.LND.AGRI.K2,146200.0
New Zealand,NZL,1981,Agricultural land (sq. km),AG.LND.AGRI.K2,151875.0
New Zealand,NZL,1980,Agricultural land (sq. km),AG.LND.AGRI.K2,145910.0
New Zealand,NZL,1979,Agricultural land (sq. km),AG.LND.AGRI.K2,144430.0
New Zealand,NZL,1978,Agricultural land (sq. km),AG.LND.AGRI.K2,144979.0
New Zealand,NZL,1977,Agricultural land (sq. km),AG.LND.AGRI.K2,142762.0
New Zealand,NZL,1976,Agricultural land (sq. km),AG.LND.AGRI.K2,143535.0
New Zealand,NZL,1975,Agricultural land (sq. km),AG.LND.AGRI.K2,139435.0
New Zealand,NZL,1974,Agricultural land (sq. km),AG.LND.AGRI.K2,134775.0
New Zealand,NZL,1973,Agricultural land (sq. km),AG.LND.AGRI.K2,134816.5
New Zealand,NZL,1972,Agricultural land (sq. km),AG.LND.AGRI.K2,134858.0
New Zealand,NZL,1971,Agricultural land (sq. km),AG.LND.AGRI.K2,130860.0
New Zealand,NZL,1970,Agricultural land (sq. km),AG.LND.AGRI.K2,130880.0
New Zealand,NZL,1969,Agricultural land (sq. km),AG.LND.AGRI.K2,130910.0
New Zealand,NZL,1968,Agricultural land (sq. km),AG.LND.AGRI.K2,132480.0
New Zealand,NZL,1967,Agricultural land (sq. km),AG.LND.AGRI.K2,132470.0
New Zealand,NZL,1966,Agricultural land (sq. km),AG.LND.AGRI.K2,132330.0
New Zealand,NZL,1965,Agricultural land (sq. km),AG.LND.AGRI.K2,132520.0
New Zealand,NZL,1964,Agricultural land (sq. km),AG.LND.AGRI.K2,133160.0
New Zealand,NZL,1963,Agricultural land (sq. km),AG.LND.AGRI.K2,132880.0
New Zealand,NZL,1962,Agricultural land (sq. km),AG.LND.AGRI.K2,132480.0
New Zealand,NZL,1961,Agricultural land (sq. km),AG.LND.AGRI.K2,131630.0
New Zealand,NZL,2021,Agricultural land (% of land area),AG.LND.AGRI.ZS,38.6426645398959
New Zealand,NZL,2020,Agricultural land (% of land area),AG.LND.AGRI.ZS,38.5629106376514
New Zealand,NZL,2019,Agricultural land (% of land area),AG.LND.AGRI.ZS,39.2882913675895
New Zealand,NZL,2018,Agricultural land (% of land area),AG.LND.AGRI.ZS,39.8693555125138
New Zealand,NZL,2017,Agricultural land (% of land area),AG.LND.AGRI.ZS,40.4238350233565
New Zealand,NZL,2016,Agricultural land (% of land area),AG.LND.AGRI.ZS,40.3099008772929
New Zealand,NZL,2015,Agricultural land (% of land area),AG.LND.AGRI.ZS,40.6820857544339
New Zealand,NZL,2014,Agricultural land (% of land area),AG.LND.AGRI.ZS,42.2163989214234
