Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
North Macedonia,MKD,2018,Agricultural land (sq. km),AG.LND.AGRI.K2,12640.0
North Macedonia,MKD,2017,Agricultural land (sq. km),AG.LND.AGRI.K2,12660.0
North Macedonia,MKD,2016,Agricultural land (sq. km),AG.LND.AGRI.K2,12650.0
North Macedonia,MKD,2015,Agricultural land (sq. km),AG.LND.AGRI.K2,12620.0
North Macedonia,MKD,2014,Agricultural land (sq. km),AG.LND.AGRI.K2,12610.0
North Macedonia,MKD,2013,Agricultural land (sq. km),AG.LND.AGRI.K2,12600.0
North Macedonia,MKD,2012,Agricultural land (sq. km),AG.LND.AGRI.K2,12670.0
North Macedonia,MKD,2011,Agricultural land (sq. km),AG.LND.AGRI.K2,11180.0
North Macedonia,MKD,2010,Agricultural land (sq. km),AG.LND.AGRI.K2,11190.0
North Macedonia,MKD,2009,Agricultural land (sq. km),AG.LND.AGRI.K2,10130.0
North Macedonia,MKD,2008,Agricultural land (sq. km),AG.LND.AGRI.K2,10630.0
North Macedonia,MKD,2007,Agricultural land (sq. km),AG.LND.AGRI.K2,10760.0
North Macedonia,MKD,2006,Agricultural land (sq. km),AG.LND.AGRI.K2,12240.0
North Macedonia,MKD,2005,Agricultural land (sq. km),AG.LND.AGRI.K2,12280.0
North Macedonia,MKD,2004,Agricultural land (sq. km),AG.LND.AGRI.K2,12620.0
North Macedonia,MKD,2003,Agricultural land (sq. km),AG.LND.AGRI.K2,13010.0
North Macedonia,MKD,2002,Agricultural land (sq. km),AG.LND.AGRI.K2,13340.0
North Macedonia,MKD,2001,Agricultural land (sq. km),AG.LND.AGRI.K2,12420.0
North Macedonia,MKD,2000,Agricultural land (sq. km),AG.LND.AGRI.K2,12350.0
North Macedonia,MKD,1999,Agricultural land (sq. km),AG.LND.AGRI.K2,12820.0
North Macedonia,MKD,1998,Agricultural land (sq. km),AG.LND.AGRI.K2,12910.0
North Macedonia,MKD,1997,Agricultural land (sq. km),AG.LND.AGRI.K2,12830.0
North Macedonia,MKD,1996,Agricultural land (sq. km),AG.LND.AGRI.K2,12900.0
North Macedonia,MKD,1995,Agricultural land (sq. km),AG.LND.AGRI.K2,12870.0
North Macedonia,MKD,1994,Agricultural land (sq. km),AG.LND.AGRI.K2,12960.0
North Macedonia,MKD,1993,Agricultural land (sq. km),AG.LND.AGRI.K2,12970.0
North Macedonia,MKD,1992,Agricultural land (sq. km),AG.LND.AGRI.K2,13070.0
North Macedonia,MKD,1991,Agricultural land (sq. km),AG.LND.AGRI.K2,13070.0
North Macedonia,MKD,1990,Agricultural land (sq. km),AG.LND.AGRI.K2,13070.0
North Macedonia,MKD,1989,Agricultural land (sq. km),AG.LND.AGRI.K2,13070.0
North Macedonia,MKD,1988,Agricultural land (sq. km),AG.LND.AGRI.K2,13070.0
North Macedonia,MKD,1987,Agricultural land (sq. km),AG.LND.AGRI.K2,13070.0
North Macedonia,MKD,1986,Agricultural land (sq. km),AG.LND.AGRI.K2,13070.0
North Macedonia,MKD,1985,Agricultural land (sq. km),AG.LND.AGRI.K2,13070.0
North Macedonia,MKD,1984,Agricultural land (sq. km),AG.LND.AGRI.K2,13070.0
North Macedonia,MKD,1983,Agricultural land (sq. km),AG.LND.AGRI.K2,13070.0
North Macedonia,MKD,1982,Agricultural land (sq. km),AG.LND.AGRI.K2,13070.0
North Macedonia,MKD,1981,Agricultural land (sq. km),AG.LND.AGRI.K2,13070.0
North Macedonia,MKD,1980,Agricultural land (sq. km),AG.LND.AGRI.K2,13070.0
North Macedonia,MKD,1979,Agricultural land (sq. km),AG.LND.AGRI.K2,13070.0
North Macedonia,MKD,1978,Agricultural land (sq. km),AG.LND.AGRI.K2,13070.0
North Macedonia,MKD,1977,Agricultural land (sq. km),AG.LND.AGRI.K2,13070.0
North Macedonia,MKD,1976,Agricultural land (sq. km),AG.LND.AGRI.K2,13070.0
North Macedonia,MKD,1975,Agricultural land (sq. km),AG.LND.AGRI.K2,13070.0
North Macedonia,MKD,1974,Agricultural land (sq. km),AG.LND.AGRI.K2,13070.0
North Macedonia,MKD,1973,Agricultural land (sq. km),AG.LND.AGRI.K2,13070.0
North Macedonia,MKD,1972,Agricultural land (sq. km),AG.LND.AGRI.K2,13070.0
North Macedonia,MKD,1971,Agricultural land (sq. km),AG.LND.AGRI.K2,13070.0
North Macedonia,MKD,1970,Agricultural land (sq. km),AG.LND.AGRI.K2,13070.0
North Macedonia,MKD,1969,Agricultural land (sq. km),AG.LND.AGRI.K2,13070.0
North Macedonia,MKD,1968,Agricultural land (sq. km),AG.LND.AGRI.K2,13070.0
North Macedonia,MKD,1967,Agricultural land (sq. km),AG.LND.AGRI.K2,13070.0
North Macedonia,MKD,1966,Agricultural land (sq. km),AG.LND.AGRI.K2,13070.0
North Macedonia,MKD,1965,Agricultural land (sq. km),AG.LND.AGRI.K2,13070.0
North Macedonia,MKD,1964,Agricultural land (sq. km),AG.LND.AGRI.K2,13070.0
North Macedonia,MKD,1963,Agricultural land (sq. km),AG.LND.AGRI.K2,13070.0
North Macedonia,MKD,1962,Agricultural land (sq. km),AG.LND.AGRI.K2,13070.0
North Macedonia,MKD,1961,Agricultural land (sq. km),AG.LND.AGRI.K2,13070.0
North Macedonia,MKD,2021,Agricultural land (% of land area),AG.LND.AGRI.ZS,49.9603489294211
North Macedonia,MKD,2020,Agricultural land (% of land area),AG.LND.AGRI.ZS,50.0396510705789
North Macedonia,MKD,2019,Agricultural land (% of land area),AG.LND.AGRI.ZS,50.1586042823156
North Macedonia,MKD,2018,Agricultural land (% of land area),AG.LND.AGRI.ZS,50.1189532117367
North Macedonia,MKD,2017,Agricultural land (% of land area),AG.LND.AGRI.ZS,50.1982553528945
North Macedonia,MKD,2016,Agricultural land (% of land area),AG.LND.AGRI.ZS,50.1586042823156
North Macedonia,MKD,2015,Agricultural land (% of land area),AG.LND.AGRI.ZS,50.0396510705789
North Macedonia,MKD,2014,Agricultural land (% of land area),AG.LND.AGRI.ZS,50.0
North Macedonia,MKD,2013,Agricultural land (% of land area),AG.LND.AGRI.ZS,49.9603489294211
North Macedonia,MKD,2012,Agricultural land (% of land area),AG.LND.AGRI.ZS,50.2379064234734
North Macedonia,MKD,2011,Agricultural land (% of land area),AG.LND.AGRI.ZS,44.3298969072165
North Macedonia,MKD,2010,Agricultural land (% of land area),AG.LND.AGRI.ZS,44.3695479777954
North Macedonia,MKD,2009,Agricultural land (% of land area),AG.LND.AGRI.ZS,40.1665344964314
North Macedonia,MKD,2008,Agricultural land (% of land area),AG.LND.AGRI.ZS,42.1323820848197
North Macedonia,MKD,2007,Agricultural land (% of land area),AG.LND.AGRI.ZS,42.6476416963932
North Macedonia,MKD,2006,Agricultural land (% of land area),AG.LND.AGRI.ZS,48.1321274085726
North Macedonia,MKD,2005,Agricultural land (% of land area),AG.LND.AGRI.ZS,48.2894219425875
North Macedonia,MKD,2004,Agricultural land (% of land area),AG.LND.AGRI.ZS,49.6264254817145
North Macedonia,MKD,2003,Agricultural land (% of land area),AG.LND.AGRI.ZS,51.1600471883602
North Macedonia,MKD,2002,Agricultural land (% of land area),AG.LND.AGRI.ZS,52.4577270939835
North Macedonia,MKD,2001,Agricultural land (% of land area),AG.LND.AGRI.ZS,48.8399528116398
North Macedonia,MKD,2000,Agricultural land (% of land area),AG.LND.AGRI.ZS,48.5646873771136
North Macedonia,MKD,1999,Agricultural land (% of land area),AG.LND.AGRI.ZS,50.4128981517892
North Macedonia,MKD,1998,Agricultural land (% of land area),AG.LND.AGRI.ZS,50.7668108533229
