Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
Northern Mariana Islands,MNP,2018,Agricultural land (sq. km),AG.LND.AGRI.K2,5.4
Northern Mariana Islands,MNP,2017,Agricultural land (sq. km),AG.LND.AGRI.K2,17.0
Northern Mariana Islands,MNP,2016,Agricultural land (sq. km),AG.LND.AGRI.K2,17.0
Northern Mariana Islands,MNP,2015,Agricultural land (sq. km),AG.LND.AGRI.K2,17.0
Northern Mariana Islands,MNP,2014,Agricultural land (sq. km),AG.LND.AGRI.K2,17.0
Northern Mariana Islands,MNP,2013,Agricultural land (sq. km),AG.LND.AGRI.K2,17.0
Northern Mariana Islands,MNP,2012,Agricultural land (sq. km),AG.LND.AGRI.K2,17.0
Northern Mariana Islands,MNP,2011,Agricultural land (sq. km),AG.LND.AGRI.K2,17.0
Northern Mariana Islands,MNP,2010,Agricultural land (sq. km),AG.LND.AGRI.K2,17.0
Northern Mariana Islands,MNP,2009,Agricultural land (sq. km),AG.LND.AGRI.K2,17.0
Northern Mariana Islands,MNP,2008,Agricultural land (sq. km),AG.LND.AGRI.K2,17.0
Northern Mariana Islands,MNP,2007,Agricultural land (sq. km),AG.LND.AGRI.K2,17.0
Northern Mariana Islands,MNP,2006,Agricultural land (sq. km),AG.LND.AGRI.K2,30.0
Northern Mariana Islands,MNP,2005,Agricultural land (sq. km),AG.LND.AGRI.K2,30.0
Northern Mariana Islands,MNP,2004,Agricultural land (sq. km),AG.LND.AGRI.K2,30.0
Northern Mariana Islands,MNP,2003,Agricultural land (sq. km),AG.LND.AGRI.K2,30.0
Northern Mariana Islands,MNP,2002,Agricultural land (sq. km),AG.LND.AGRI.K2,30.0
Northern Mariana Islands,MNP,2001,Agricultural land (sq. km),AG.LND.AGRI.K2,30.0
Northern Mariana Islands,MNP,2000,Agricultural land (sq. km),AG.LND.AGRI.K2,30.0
Northern Mariana Islands,MNP,1999,Agricultural land (sq. km),AG.LND.AGRI.K2,30.0
Northern Mariana Islands,MNP,1998,Agricultural land (sq. km),AG.LND.AGRI.K2,30.0
Northern Mariana Islands,MNP,1997,Agricultural land (sq. km),AG.LND.AGRI.K2,40.0
Northern Mariana Islands,MNP,1996,Agricultural land (sq. km),AG.LND.AGRI.K2,40.0
Northern Mariana Islands,MNP,1995,Agricultural land (sq. km),AG.LND.AGRI.K2,40.0
Northern Mariana Islands,MNP,1994,Agricultural land (sq. km),AG.LND.AGRI.K2,40.0
Northern Mariana Islands,MNP,1993,Agricultural land (sq. km),AG.LND.AGRI.K2,40.0
Northern Mariana Islands,MNP,1992,Agricultural land (sq. km),AG.LND.AGRI.K2,40.0
Northern Mariana Islands,MNP,1991,Agricultural land (sq. km),AG.LND.AGRI.K2,40.0
Northern Mariana Islands,MNP,1990,Agricultural land (sq. km),AG.LND.AGRI.K2,40.0
Northern Mariana Islands,MNP,1989,Agricultural land (sq. km),AG.LND.AGRI.K2,40.0
Northern Mariana Islands,MNP,1988,Agricultural land (sq. km),AG.LND.AGRI.K2,40.0
Northern Mariana Islands,MNP,1987,Agricultural land (sq. km),AG.LND.AGRI.K2,40.0
Northern Mariana Islands,MNP,1986,Agricultural land (sq. km),AG.LND.AGRI.K2,40.0
Northern Mariana Islands,MNP,1985,Agricultural land (sq. km),AG.LND.AGRI.K2,40.0
Northern Mariana Islands,MNP,1984,Agricultural land (sq. km),AG.LND.AGRI.K2,40.0
Northern Mariana Islands,MNP,1983,Agricultural land (sq. km),AG.LND.AGRI.K2,40.0
Northern Mariana Islands,MNP,1982,Agricultural land (sq. km),AG.LND.AGRI.K2,40.0
Northern Mariana Islands,MNP,1981,Agricultural land (sq. km),AG.LND.AGRI.K2,40.0
Northern Mariana Islands,MNP,1980,Agricultural land (sq. km),AG.LND.AGRI.K2,40.0
Northern Mariana Islands,MNP,1979,Agricultural land (sq. km),AG.LND.AGRI.K2,40.0
Northern Mariana Islands,MNP,1978,Agricultural land (sq. km),AG.LND.AGRI.K2,40.0
Northern Mariana Islands,MNP,1977,Agricultural land (sq. km),AG.LND.AGRI.K2,40.0
Northern Mariana Islands,MNP,1976,Agricultural land (sq. km),AG.LND.AGRI.K2,40.0
Northern Mariana Islands,MNP,1975,Agricultural land (sq. km),AG.LND.AGRI.K2,40.0
Northern Mariana Islands,MNP,1974,Agricultural land (sq. km),AG.LND.AGRI.K2,40.0
Northern Mariana Islands,MNP,1973,Agricultural land (sq. km),AG.LND.AGRI.K2,40.0
Northern Mariana Islands,MNP,1972,Agricultural land (sq. km),AG.LND.AGRI.K2,40.0
Northern Mariana Islands,MNP,1971,Agricultural land (sq. km),AG.LND.AGRI.K2,40.0
Northern Mariana Islands,MNP,1970,Agricultural land (sq. km),AG.LND.AGRI.K2,40.0
Northern Mariana Islands,MNP,1969,Agricultural land (sq. km),AG.LND.AGRI.K2,40.0
