Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
Norway,NOR,2018,Agricultural land (sq. km),AG.LND.AGRI.K2,9862.8
Norway,NOR,2017,Agricultural land (sq. km),AG.LND.AGRI.K2,9851.12
Norway,NOR,2016,Agricultural land (sq. km),AG.LND.AGRI.K2,9836.61
Norway,NOR,2015,Agricultural land (sq. km),AG.LND.AGRI.K2,9860.3
Norway,NOR,2014,Agricultural land (sq. km),AG.LND.AGRI.K2,9867.6
Norway,NOR,2013,Agricultural land (sq. km),AG.LND.AGRI.K2,9871.428
Norway,NOR,2012,Agricultural land (sq. km),AG.LND.AGRI.K2,9928.0
Norway,NOR,2011,Agricultural land (sq. km),AG.LND.AGRI.K2,9990.0
Norway,NOR,2010,Agricultural land (sq. km),AG.LND.AGRI.K2,10059.0
Norway,NOR,2009,Agricultural land (sq. km),AG.LND.AGRI.K2,10142.6
Norway,NOR,2008,Agricultural land (sq. km),AG.LND.AGRI.K2,10248.0
Norway,NOR,2007,Agricultural land (sq. km),AG.LND.AGRI.K2,10320.0
Norway,NOR,2006,Agricultural land (sq. km),AG.LND.AGRI.K2,10350.0
Norway,NOR,2005,Agricultural land (sq. km),AG.LND.AGRI.K2,10360.0
Norway,NOR,2004,Agricultural land (sq. km),AG.LND.AGRI.K2,10400.0
Norway,NOR,2003,Agricultural land (sq. km),AG.LND.AGRI.K2,10400.0
Norway,NOR,2002,Agricultural land (sq. km),AG.LND.AGRI.K2,10460.0
Norway,NOR,2001,Agricultural land (sq. km),AG.LND.AGRI.K2,10470.0
Norway,NOR,2000,Agricultural land (sq. km),AG.LND.AGRI.K2,10420.0
Norway,NOR,1999,Agricultural land (sq. km),AG.LND.AGRI.K2,10380.0
Norway,NOR,1998,Agricultural land (sq. km),AG.LND.AGRI.K2,10470.0
Norway,NOR,1997,Agricultural land (sq. km),AG.LND.AGRI.K2,10380.0
Norway,NOR,1996,Agricultural land (sq. km),AG.LND.AGRI.K2,11320.0
Norway,NOR,1995,Agricultural land (sq. km),AG.LND.AGRI.K2,11270.0
Norway,NOR,1994,Agricultural land (sq. km),AG.LND.AGRI.K2,10300.0
Norway,NOR,1993,Agricultural land (sq. km),AG.LND.AGRI.K2,10130.0
Norway,NOR,1992,Agricultural land (sq. km),AG.LND.AGRI.K2,10030.0
Norway,NOR,1991,Agricultural land (sq. km),AG.LND.AGRI.K2,10100.0
Norway,NOR,1990,Agricultural land (sq. km),AG.LND.AGRI.K2,9760.0
Norway,NOR,1989,Agricultural land (sq. km),AG.LND.AGRI.K2,9910.0
Norway,NOR,1988,Agricultural land (sq. km),AG.LND.AGRI.K2,9760.0
Norway,NOR,1987,Agricultural land (sq. km),AG.LND.AGRI.K2,9700.0
Norway,NOR,1986,Agricultural land (sq. km),AG.LND.AGRI.K2,9690.0
Norway,NOR,1985,Agricultural land (sq. km),AG.LND.AGRI.K2,9570.0
Norway,NOR,1984,Agricultural land (sq. km),AG.LND.AGRI.K2,9540.0
Norway,NOR,1983,Agricultural land (sq. km),AG.LND.AGRI.K2,9450.0
Norway,NOR,1982,Agricultural land (sq. km),AG.LND.AGRI.K2,9420.0
Norway,NOR,1981,Agricultural land (sq. km),AG.LND.AGRI.K2,9360.0
Norway,NOR,1980,Agricultural land (sq. km),AG.LND.AGRI.K2,9360.0
Norway,NOR,1979,Agricultural land (sq. km),AG.LND.AGRI.K2,9540.0
Norway,NOR,1978,Agricultural land (sq. km),AG.LND.AGRI.K2,9000.0
Norway,NOR,1977,Agricultural land (sq. km),AG.LND.AGRI.K2,8990.0
Norway,NOR,1976,Agricultural land (sq. km),AG.LND.AGRI.K2,8960.0
Norway,NOR,1975,Agricultural land (sq. km),AG.LND.AGRI.K2,8980.0
Norway,NOR,1974,Agricultural land (sq. km),AG.LND.AGRI.K2,9010.0
Norway,NOR,1973,Agricultural land (sq. km),AG.LND.AGRI.K2,9040.0
Norway,NOR,1972,Agricultural land (sq. km),AG.LND.AGRI.K2,9100.0
Norway,NOR,1971,Agricultural land (sq. km),AG.LND.AGRI.K2,9310.0
Norway,NOR,1970,Agricultural land (sq. km),AG.LND.AGRI.K2,9540.0
Norway,NOR,1969,Agricultural land (sq. km),AG.LND.AGRI.K2,9860.0
Norway,NOR,1968,Agricultural land (sq. km),AG.LND.AGRI.K2,9940.0
Norway,NOR,1967,Agricultural land (sq. km),AG.LND.AGRI.K2,10000.0
