Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
Oman,OMN,2018,Agricultural land (sq. km),AG.LND.AGRI.K2,14598.9
Oman,OMN,2017,Agricultural land (sq. km),AG.LND.AGRI.K2,14519.2
Oman,OMN,2016,Agricultural land (sq. km),AG.LND.AGRI.K2,14360.0
Oman,OMN,2015,Agricultural land (sq. km),AG.LND.AGRI.K2,14340.0
Oman,OMN,2014,Agricultural land (sq. km),AG.LND.AGRI.K2,14198.0
Oman,OMN,2013,Agricultural land (sq. km),AG.LND.AGRI.K2,14195.0
Oman,OMN,2012,Agricultural land (sq. km),AG.LND.AGRI.K2,14238.0
Oman,OMN,2011,Agricultural land (sq. km),AG.LND.AGRI.K2,14368.0
Oman,OMN,2010,Agricultural land (sq. km),AG.LND.AGRI.K2,14432.0
Oman,OMN,2009,Agricultural land (sq. km),AG.LND.AGRI.K2,14544.0
Oman,OMN,2008,Agricultural land (sq. km),AG.LND.AGRI.K2,14572.0
Oman,OMN,2007,Agricultural land (sq. km),AG.LND.AGRI.K2,14650.0
Oman,OMN,2006,Agricultural land (sq. km),AG.LND.AGRI.K2,14630.0
Oman,OMN,2005,Agricultural land (sq. km),AG.LND.AGRI.K2,14650.0
Oman,OMN,2004,Agricultural land (sq. km),AG.LND.AGRI.K2,14720.0
Oman,OMN,2003,Agricultural land (sq. km),AG.LND.AGRI.K2,13730.0
Oman,OMN,2002,Agricultural land (sq. km),AG.LND.AGRI.K2,12734.0
Oman,OMN,2001,Agricultural land (sq. km),AG.LND.AGRI.K2,11736.0
Oman,OMN,2000,Agricultural land (sq. km),AG.LND.AGRI.K2,11730.0
Oman,OMN,1999,Agricultural land (sq. km),AG.LND.AGRI.K2,10710.0
Oman,OMN,1998,Agricultural land (sq. km),AG.LND.AGRI.K2,10710.0
Oman,OMN,1997,Agricultural land (sq. km),AG.LND.AGRI.K2,10700.0
Oman,OMN,1996,Agricultural land (sq. km),AG.LND.AGRI.K2,10710.0
Oman,OMN,1995,Agricultural land (sq. km),AG.LND.AGRI.K2,10710.0
Oman,OMN,1994,Agricultural land (sq. km),AG.LND.AGRI.K2,10720.0
Oman,OMN,1993,Agricultural land (sq. km),AG.LND.AGRI.K2,10720.0
Oman,OMN,1992,Agricultural land (sq. km),AG.LND.AGRI.K2,10830.0
Oman,OMN,1991,Agricultural land (sq. km),AG.LND.AGRI.K2,10800.0
Oman,OMN,1990,Agricultural land (sq. km),AG.LND.AGRI.K2,10800.0
Oman,OMN,1989,Agricultural land (sq. km),AG.LND.AGRI.K2,10770.0
Oman,OMN,1988,Agricultural land (sq. km),AG.LND.AGRI.K2,10730.0
Oman,OMN,1987,Agricultural land (sq. km),AG.LND.AGRI.K2,10700.0
Oman,OMN,1986,Agricultural land (sq. km),AG.LND.AGRI.K2,10670.0
Oman,OMN,1985,Agricultural land (sq. km),AG.LND.AGRI.K2,10610.0
Oman,OMN,1984,Agricultural land (sq. km),AG.LND.AGRI.K2,10590.0
Oman,OMN,1983,Agricultural land (sq. km),AG.LND.AGRI.K2,10550.0
Oman,OMN,1982,Agricultural land (sq. km),AG.LND.AGRI.K2,10510.0
Oman,OMN,1981,Agricultural land (sq. km),AG.LND.AGRI.K2,10510.0
Oman,OMN,1980,Agricultural land (sq. km),AG.LND.AGRI.K2,10510.0
Oman,OMN,1979,Agricultural land (sq. km),AG.LND.AGRI.K2,10510.0
Oman,OMN,1978,Agricultural land (sq. km),AG.LND.AGRI.K2,10510.0
Oman,OMN,1977,Agricultural land (sq. km),AG.LND.AGRI.K2,10490.0
Oman,OMN,1976,Agricultural land (sq. km),AG.LND.AGRI.K2,10480.0
Oman,OMN,1975,Agricultural land (sq. km),AG.LND.AGRI.K2,10470.0
Oman,OMN,1974,Agricultural land (sq. km),AG.LND.AGRI.K2,10460.0
Oman,OMN,1973,Agricultural land (sq. km),AG.LND.AGRI.K2,10450.0
Oman,OMN,1972,Agricultural land (sq. km),AG.LND.AGRI.K2,10440.0
Oman,OMN,1971,Agricultural land (sq. km),AG.LND.AGRI.K2,10420.0
Oman,OMN,1970,Agricultural land (sq. km),AG.LND.AGRI.K2,10420.0
Oman,OMN,1969,Agricultural land (sq. km),AG.LND.AGRI.K2,10400.0
Oman,OMN,1968,Agricultural land (sq. km),AG.LND.AGRI.K2,10400.0
Oman,OMN,1967,Agricultural land (sq. km),AG.LND.AGRI.K2,10380.0
Oman,OMN,1966,Agricultural land (sq. km),AG.LND.AGRI.K2,10360.0
Oman,OMN,1965,Agricultural land (sq. km),AG.LND.AGRI.K2,10360.0
Oman,OMN,1964,Agricultural land (sq. km),AG.LND.AGRI.K2,10360.0
Oman,OMN,1963,Agricultural land (sq. km),AG.LND.AGRI.K2,10350.0
Oman,OMN,1962,Agricultural land (sq. km),AG.LND.AGRI.K2,10350.0
Oman,OMN,1961,Agricultural land (sq. km),AG.LND.AGRI.K2,10350.0
Oman,OMN,2021,Agricultural land (% of land area),AG.LND.AGRI.ZS,4.73738287560582
Oman,OMN,2020,Agricultural land (% of land area),AG.LND.AGRI.ZS,4.71382875605816
Oman,OMN,2019,Agricultural land (% of land area),AG.LND.AGRI.ZS,4.72180936995153
Oman,OMN,2018,Agricultural land (% of land area),AG.LND.AGRI.ZS,4.71693053311793
Oman,OMN,2017,Agricultural land (% of land area),AG.LND.AGRI.ZS,4.69117932148627
Oman,OMN,2016,Agricultural land (% of land area),AG.LND.AGRI.ZS,4.63974151857835
Oman,OMN,2015,Agricultural land (% of land area),AG.LND.AGRI.ZS,4.63327948303716
Oman,OMN,2014,Agricultural land (% of land area),AG.LND.AGRI.ZS,4.58739903069467
Oman,OMN,2013,Agricultural land (% of land area),AG.LND.AGRI.ZS,4.58642972536349
Oman,OMN,2012,Agricultural land (% of land area),AG.LND.AGRI.ZS,4.60032310177706
Oman,OMN,2011,Agricultural land (% of land area),AG.LND.AGRI.ZS,4.64232633279483
Oman,OMN,2010,Agricultural land (% of land area),AG.LND.AGRI.ZS,4.66300484652666
Oman,OMN,2009,Agricultural land (% of land area),AG.LND.AGRI.ZS,4.69919224555735
Oman,OMN,2008,Agricultural land (% of land area),AG.LND.AGRI.ZS,4.70823909531502
Oman,OMN,2007,Agricultural land (% of land area),AG.LND.AGRI.ZS,4.73344103392569
Oman,OMN,2006,Agricultural land (% of land area),AG.LND.AGRI.ZS,4.72697899838449
Oman,OMN,2005,Agricultural land (% of land area),AG.LND.AGRI.ZS,4.73344103392569
Oman,OMN,2004,Agricultural land (% of land area),AG.LND.AGRI.ZS,4.75605815831987
Oman,OMN,2003,Agricultural land (% of land area),AG.LND.AGRI.ZS,4.43618739903069
Oman,OMN,2002,Agricultural land (% of land area),AG.LND.AGRI.ZS,4.11437802907916
Oman,OMN,2001,Agricultural land (% of land area),AG.LND.AGRI.ZS,3.79192245557351
Oman,OMN,2000,Agricultural land (% of land area),AG.LND.AGRI.ZS,3.78998384491115
Oman,OMN,1999,Agricultural land (% of land area),AG.LND.AGRI.ZS,3.46042003231018
Oman,OMN,1998,Agricultural land (% of land area),AG.LND.AGRI.ZS,3.46042003231018
Oman,OMN,1997,Agricultural land (% of land area),AG.LND.AGRI.ZS,3.45718901453958
Oman,OMN,1996,Agricultural land (% of land area),AG.LND.AGRI.ZS,3.46042003231018
Oman,OMN,1995,Agricultural land (% of land area),AG.LND.AGRI.ZS,3.46042003231018
Oman,OMN,1994,Agricultural land (% of land area),AG.LND.AGRI.ZS,3.46365105008078
Oman,OMN,1993,Agricultural land (% of land area),AG.LND.AGRI.ZS,3.46365105008078
Oman,OMN,1992,Agricultural land (% of land area),AG.LND.AGRI.ZS,3.49919224555735
Oman,OMN,1991,Agricultural land (% of land area),AG.LND.AGRI.ZS,3.48949919224556
Oman,OMN,1990,Agricultural land (% of land area),AG.LND.AGRI.ZS,3.48949919224556
Oman,OMN,1989,Agricultural land (% of land area),AG.LND.AGRI.ZS,3.47980613893376
Oman,OMN,1988,Agricultural land (% of land area),AG.LND.AGRI.ZS,3.46688206785137
Oman,OMN,1987,Agricultural land (% of land area),AG.LND.AGRI.ZS,3.45718901453958
Oman,OMN,1986,Agricultural land (% of land area),AG.LND.AGRI.ZS,3.44749596122779
Oman,OMN,1985,Agricultural land (% of land area),AG.LND.AGRI.ZS,3.4281098546042
Oman,OMN,1984,Agricultural land (% of land area),AG.LND.AGRI.ZS,3.421647819063
Oman,OMN,1983,Agricultural land (% of land area),AG.LND.AGRI.ZS,3.40872374798061
Oman,OMN,1982,Agricultural land (% of land area),AG.LND.AGRI.ZS,3.39579967689822
Oman,OMN,1981,Agricultural land (% of land area),AG.LND.AGRI.ZS,3.39579967689822
Oman,OMN,1980,Agricultural land (% of land area),AG.LND.AGRI.ZS,3.39579967689822
Oman,OMN,1979,Agricultural land (% of land area),AG.LND.AGRI.ZS,3.39579967689822
Oman,OMN,1978,Agricultural land (% of land area),AG.LND.AGRI.ZS,3.39579967689822
Oman,OMN,1977,Agricultural land (% of land area),AG.LND.AGRI.ZS,3.38933764135703
Oman,OMN,1976,Agricultural land (% of land area),AG.LND.AGRI.ZS,3.38610662358643
Oman,OMN,1975,Agricultural land (% of land area),AG.LND.AGRI.ZS,3.38287560581583
Oman,OMN,1974,Agricultural land (% of land area),AG.LND.AGRI.ZS,3.37964458804523
Oman,OMN,1973,Agricultural land (% of land area),AG.LND.AGRI.ZS,3.37641357027464
Oman,OMN,1972,Agricultural land (% of land area),AG.LND.AGRI.ZS,3.37318255250404
Oman,OMN,1971,Agricultural land (% of land area),AG.LND.AGRI.ZS,3.36672051696284
Oman,OMN,1970,Agricultural land (% of land area),AG.LND.AGRI.ZS,3.36672051696284
Oman,OMN,1969,Agricultural land (% of land area),AG.LND.AGRI.ZS,3.36025848142165
Oman,OMN,1968,Agricultural land (% of land area),AG.LND.AGRI.ZS,3.36025848142165
Oman,OMN,1967,Agricultural land (% of land area),AG.LND.AGRI.ZS,3.35379644588045
Oman,OMN,1966,Agricultural land (% of land area),AG.LND.AGRI.ZS,3.34733441033926
