Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
Papua New Guinea,PNG,2018,Agricultural land (sq. km),AG.LND.AGRI.K2,14050.0
Papua New Guinea,PNG,2017,Agricultural land (sq. km),AG.LND.AGRI.K2,14050.0
Papua New Guinea,PNG,2016,Agricultural land (sq. km),AG.LND.AGRI.K2,13280.0
Papua New Guinea,PNG,2015,Agricultural land (sq. km),AG.LND.AGRI.K2,13220.0
Papua New Guinea,PNG,2014,Agricultural land (sq. km),AG.LND.AGRI.K2,13050.0
Papua New Guinea,PNG,2013,Agricultural land (sq. km),AG.LND.AGRI.K2,12860.0
Papua New Guinea,PNG,2012,Agricultural land (sq. km),AG.LND.AGRI.K2,12860.0
Papua New Guinea,PNG,2011,Agricultural land (sq. km),AG.LND.AGRI.K2,12860.0
Papua New Guinea,PNG,2010,Agricultural land (sq. km),AG.LND.AGRI.K2,12670.0
Papua New Guinea,PNG,2009,Agricultural land (sq. km),AG.LND.AGRI.K2,12670.0
Papua New Guinea,PNG,2008,Agricultural land (sq. km),AG.LND.AGRI.K2,12450.0
Papua New Guinea,PNG,2007,Agricultural land (sq. km),AG.LND.AGRI.K2,12120.0
Papua New Guinea,PNG,2006,Agricultural land (sq. km),AG.LND.AGRI.K2,11510.0
Papua New Guinea,PNG,2005,Agricultural land (sq. km),AG.LND.AGRI.K2,11330.0
Papua New Guinea,PNG,2004,Agricultural land (sq. km),AG.LND.AGRI.K2,11230.0
Papua New Guinea,PNG,2003,Agricultural land (sq. km),AG.LND.AGRI.K2,11080.0
Papua New Guinea,PNG,2002,Agricultural land (sq. km),AG.LND.AGRI.K2,11030.0
Papua New Guinea,PNG,2001,Agricultural land (sq. km),AG.LND.AGRI.K2,10930.0
Papua New Guinea,PNG,2000,Agricultural land (sq. km),AG.LND.AGRI.K2,10880.0
Papua New Guinea,PNG,1999,Agricultural land (sq. km),AG.LND.AGRI.K2,10810.0
Papua New Guinea,PNG,1998,Agricultural land (sq. km),AG.LND.AGRI.K2,10640.0
Papua New Guinea,PNG,1997,Agricultural land (sq. km),AG.LND.AGRI.K2,10230.0
Papua New Guinea,PNG,1996,Agricultural land (sq. km),AG.LND.AGRI.K2,10160.0
Papua New Guinea,PNG,1995,Agricultural land (sq. km),AG.LND.AGRI.K2,9940.0
Papua New Guinea,PNG,1994,Agricultural land (sq. km),AG.LND.AGRI.K2,9780.0
Papua New Guinea,PNG,1993,Agricultural land (sq. km),AG.LND.AGRI.K2,9710.0
Papua New Guinea,PNG,1992,Agricultural land (sq. km),AG.LND.AGRI.K2,9420.0
Papua New Guinea,PNG,1991,Agricultural land (sq. km),AG.LND.AGRI.K2,9330.0
Papua New Guinea,PNG,1990,Agricultural land (sq. km),AG.LND.AGRI.K2,9280.0
Papua New Guinea,PNG,1989,Agricultural land (sq. km),AG.LND.AGRI.K2,9060.0
Papua New Guinea,PNG,1988,Agricultural land (sq. km),AG.LND.AGRI.K2,8870.0
Papua New Guinea,PNG,1987,Agricultural land (sq. km),AG.LND.AGRI.K2,8620.0
Papua New Guinea,PNG,1986,Agricultural land (sq. km),AG.LND.AGRI.K2,8560.0
Papua New Guinea,PNG,1985,Agricultural land (sq. km),AG.LND.AGRI.K2,8280.0
Papua New Guinea,PNG,1984,Agricultural land (sq. km),AG.LND.AGRI.K2,8070.0
Papua New Guinea,PNG,1983,Agricultural land (sq. km),AG.LND.AGRI.K2,7920.0
Papua New Guinea,PNG,1982,Agricultural land (sq. km),AG.LND.AGRI.K2,7950.0
Papua New Guinea,PNG,1981,Agricultural land (sq. km),AG.LND.AGRI.K2,8030.0
Papua New Guinea,PNG,1980,Agricultural land (sq. km),AG.LND.AGRI.K2,7970.0
Papua New Guinea,PNG,1979,Agricultural land (sq. km),AG.LND.AGRI.K2,7930.0
Papua New Guinea,PNG,1978,Agricultural land (sq. km),AG.LND.AGRI.K2,7830.0
