Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
Philippines,PHL,2018,Agricultural land (sq. km),AG.LND.AGRI.K2,126130.0
Philippines,PHL,2017,Agricultural land (sq. km),AG.LND.AGRI.K2,125900.0
Philippines,PHL,2016,Agricultural land (sq. km),AG.LND.AGRI.K2,125560.0
Philippines,PHL,2015,Agricultural land (sq. km),AG.LND.AGRI.K2,125270.0
Philippines,PHL,2014,Agricultural land (sq. km),AG.LND.AGRI.K2,124980.0
Philippines,PHL,2013,Agricultural land (sq. km),AG.LND.AGRI.K2,124690.0
Philippines,PHL,2012,Agricultural land (sq. km),AG.LND.AGRI.K2,124300.0
Philippines,PHL,2011,Agricultural land (sq. km),AG.LND.AGRI.K2,122600.0
Philippines,PHL,2010,Agricultural land (sq. km),AG.LND.AGRI.K2,121000.0
Philippines,PHL,2009,Agricultural land (sq. km),AG.LND.AGRI.K2,121000.0
Philippines,PHL,2008,Agricultural land (sq. km),AG.LND.AGRI.K2,120100.0
Philippines,PHL,2007,Agricultural land (sq. km),AG.LND.AGRI.K2,117900.0
Philippines,PHL,2006,Agricultural land (sq. km),AG.LND.AGRI.K2,115800.0
Philippines,PHL,2005,Agricultural land (sq. km),AG.LND.AGRI.K2,113550.0
Philippines,PHL,2004,Agricultural land (sq. km),AG.LND.AGRI.K2,114700.0
Philippines,PHL,2003,Agricultural land (sq. km),AG.LND.AGRI.K2,112400.0
Philippines,PHL,2002,Agricultural land (sq. km),AG.LND.AGRI.K2,111350.0
Philippines,PHL,2001,Agricultural land (sq. km),AG.LND.AGRI.K2,111840.0
Philippines,PHL,2000,Agricultural land (sq. km),AG.LND.AGRI.K2,112340.0
Philippines,PHL,1999,Agricultural land (sq. km),AG.LND.AGRI.K2,112350.0
Philippines,PHL,1998,Agricultural land (sq. km),AG.LND.AGRI.K2,112850.0
Philippines,PHL,1997,Agricultural land (sq. km),AG.LND.AGRI.K2,113350.0
Philippines,PHL,1996,Agricultural land (sq. km),AG.LND.AGRI.K2,111050.0
Philippines,PHL,1995,Agricultural land (sq. km),AG.LND.AGRI.K2,110150.0
Philippines,PHL,1994,Agricultural land (sq. km),AG.LND.AGRI.K2,110150.0
Philippines,PHL,1993,Agricultural land (sq. km),AG.LND.AGRI.K2,110650.0
Philippines,PHL,1992,Agricultural land (sq. km),AG.LND.AGRI.K2,111150.0
Philippines,PHL,1991,Agricultural land (sq. km),AG.LND.AGRI.K2,111570.0
Philippines,PHL,1990,Agricultural land (sq. km),AG.LND.AGRI.K2,111400.0
Philippines,PHL,1989,Agricultural land (sq. km),AG.LND.AGRI.K2,111000.0
Philippines,PHL,1988,Agricultural land (sq. km),AG.LND.AGRI.K2,110600.0
Philippines,PHL,1987,Agricultural land (sq. km),AG.LND.AGRI.K2,110200.0
Philippines,PHL,1986,Agricultural land (sq. km),AG.LND.AGRI.K2,109800.0
Philippines,PHL,1985,Agricultural land (sq. km),AG.LND.AGRI.K2,109100.0
Philippines,PHL,1984,Agricultural land (sq. km),AG.LND.AGRI.K2,108200.0
Philippines,PHL,1983,Agricultural land (sq. km),AG.LND.AGRI.K2,107800.0
Philippines,PHL,1982,Agricultural land (sq. km),AG.LND.AGRI.K2,107400.0
Philippines,PHL,1981,Agricultural land (sq. km),AG.LND.AGRI.K2,106700.0
Philippines,PHL,1980,Agricultural land (sq. km),AG.LND.AGRI.K2,106250.0
Philippines,PHL,1979,Agricultural land (sq. km),AG.LND.AGRI.K2,103940.0
Philippines,PHL,1978,Agricultural land (sq. km),AG.LND.AGRI.K2,101400.0
Philippines,PHL,1977,Agricultural land (sq. km),AG.LND.AGRI.K2,100900.0
Philippines,PHL,1976,Agricultural land (sq. km),AG.LND.AGRI.K2,96740.0
Philippines,PHL,1975,Agricultural land (sq. km),AG.LND.AGRI.K2,91920.0
Philippines,PHL,1974,Agricultural land (sq. km),AG.LND.AGRI.K2,88620.0
Philippines,PHL,1973,Agricultural land (sq. km),AG.LND.AGRI.K2,85960.0
Philippines,PHL,1972,Agricultural land (sq. km),AG.LND.AGRI.K2,84300.0
Philippines,PHL,1971,Agricultural land (sq. km),AG.LND.AGRI.K2,82790.0
Philippines,PHL,1970,Agricultural land (sq. km),AG.LND.AGRI.K2,83100.0
Philippines,PHL,1969,Agricultural land (sq. km),AG.LND.AGRI.K2,82530.0
Philippines,PHL,1968,Agricultural land (sq. km),AG.LND.AGRI.K2,82810.0
Philippines,PHL,1967,Agricultural land (sq. km),AG.LND.AGRI.K2,83050.0
Philippines,PHL,1966,Agricultural land (sq. km),AG.LND.AGRI.K2,81300.0
Philippines,PHL,1965,Agricultural land (sq. km),AG.LND.AGRI.K2,81320.0
Philippines,PHL,1964,Agricultural land (sq. km),AG.LND.AGRI.K2,81520.0
Philippines,PHL,1963,Agricultural land (sq. km),AG.LND.AGRI.K2,78720.0
Philippines,PHL,1962,Agricultural land (sq. km),AG.LND.AGRI.K2,77920.0
Philippines,PHL,1961,Agricultural land (sq. km),AG.LND.AGRI.K2,77130.0
Philippines,PHL,2021,Agricultural land (% of land area),AG.LND.AGRI.ZS,42.5361371029949
Philippines,PHL,2020,Agricultural land (% of land area),AG.LND.AGRI.ZS,42.455646107925
Philippines,PHL,2019,Agricultural land (% of land area),AG.LND.AGRI.ZS,42.3785089043163
Philippines,PHL,2018,Agricultural land (% of land area),AG.LND.AGRI.ZS,42.3013717007077
Philippines,PHL,2017,Agricultural land (% of land area),AG.LND.AGRI.ZS,42.224234497099
Philippines,PHL,2016,Agricultural land (% of land area),AG.LND.AGRI.ZS,42.1102055874166
Philippines,PHL,2015,Agricultural land (% of land area),AG.LND.AGRI.ZS,42.0129456350404
Philippines,PHL,2014,Agricultural land (% of land area),AG.LND.AGRI.ZS,41.9156856826642
Philippines,PHL,2013,Agricultural land (% of land area),AG.LND.AGRI.ZS,41.8184257302881
Philippines,PHL,2012,Agricultural land (% of land area),AG.LND.AGRI.ZS,41.6876278632995
Philippines,PHL,2011,Agricultural land (% of land area),AG.LND.AGRI.ZS,41.1174833148875
Philippines,PHL,2010,Agricultural land (% of land area),AG.LND.AGRI.ZS,40.580876681088
Philippines,PHL,2009,Agricultural land (% of land area),AG.LND.AGRI.ZS,40.580876681088
Philippines,PHL,2008,Agricultural land (% of land area),AG.LND.AGRI.ZS,40.2790354495757
Philippines,PHL,2007,Agricultural land (% of land area),AG.LND.AGRI.ZS,39.5412013281014
Philippines,PHL,2006,Agricultural land (% of land area),AG.LND.AGRI.ZS,38.8369051212396
Philippines,PHL,2005,Agricultural land (% of land area),AG.LND.AGRI.ZS,38.082302042459
Philippines,PHL,2004,Agricultural land (% of land area),AG.LND.AGRI.ZS,38.4679880605024
Philippines,PHL,2003,Agricultural land (% of land area),AG.LND.AGRI.ZS,37.6966160244156
Philippines,PHL,2002,Agricultural land (% of land area),AG.LND.AGRI.ZS,37.3444679209847
Philippines,PHL,2001,Agricultural land (% of land area),AG.LND.AGRI.ZS,37.5088037025858
Philippines,PHL,2000,Agricultural land (% of land area),AG.LND.AGRI.ZS,37.6764932756481
Philippines,PHL,1999,Agricultural land (% of land area),AG.LND.AGRI.ZS,37.6798470671094
Philippines,PHL,1998,Agricultural land (% of land area),AG.LND.AGRI.ZS,37.8475366401717
Philippines,PHL,1997,Agricultural land (% of land area),AG.LND.AGRI.ZS,38.0152262132341
Philippines,PHL,1996,Agricultural land (% of land area),AG.LND.AGRI.ZS,37.2438541771473
Philippines,PHL,1995,Agricultural land (% of land area),AG.LND.AGRI.ZS,36.942012945635
Philippines,PHL,1994,Agricultural land (% of land area),AG.LND.AGRI.ZS,36.942012945635
Philippines,PHL,1993,Agricultural land (% of land area),AG.LND.AGRI.ZS,37.1097025186974
Philippines,PHL,1992,Agricultural land (% of land area),AG.LND.AGRI.ZS,37.2773920917597
Philippines,PHL,1991,Agricultural land (% of land area),AG.LND.AGRI.ZS,37.4182513331321
Philippines,PHL,1990,Agricultural land (% of land area),AG.LND.AGRI.ZS,37.3612368782909
Philippines,PHL,1989,Agricultural land (% of land area),AG.LND.AGRI.ZS,37.227085219841
Philippines,PHL,1988,Agricultural land (% of land area),AG.LND.AGRI.ZS,37.0929335613911
Philippines,PHL,1987,Agricultural land (% of land area),AG.LND.AGRI.ZS,36.9587819029413
Philippines,PHL,1986,Agricultural land (% of land area),AG.LND.AGRI.ZS,36.8246302444914
Philippines,PHL,1985,Agricultural land (% of land area),AG.LND.AGRI.ZS,36.5898648422041
Philippines,PHL,1984,Agricultural land (% of land area),AG.LND.AGRI.ZS,36.2880236106919
Philippines,PHL,1983,Agricultural land (% of land area),AG.LND.AGRI.ZS,36.153871952242
Philippines,PHL,1982,Agricultural land (% of land area),AG.LND.AGRI.ZS,36.0197202937921
Philippines,PHL,1981,Agricultural land (% of land area),AG.LND.AGRI.ZS,35.7849548915048
Philippines,PHL,1980,Agricultural land (% of land area),AG.LND.AGRI.ZS,35.6340342757487
Philippines,PHL,1979,Agricultural land (% of land area),AG.LND.AGRI.ZS,34.8593084482007
Philippines,PHL,1978,Agricultural land (% of land area),AG.LND.AGRI.ZS,34.007445417044
Philippines,PHL,1977,Agricultural land (% of land area),AG.LND.AGRI.ZS,33.8397558439816
Philippines,PHL,1976,Agricultural land (% of land area),AG.LND.AGRI.ZS,32.4445785961029
Philippines,PHL,1975,Agricultural land (% of land area),AG.LND.AGRI.ZS,30.8280511117819
Philippines,PHL,1974,Agricultural land (% of land area),AG.LND.AGRI.ZS,29.7193064824441
Philippines,PHL,1973,Agricultural land (% of land area),AG.LND.AGRI.ZS,28.8233913422526
Philippines,PHL,1972,Agricultural land (% of land area),AG.LND.AGRI.ZS,28.2639307986321
Philippines,PHL,1971,Agricultural land (% of land area),AG.LND.AGRI.ZS,27.7576611010528
Philippines,PHL,1970,Agricultural land (% of land area),AG.LND.AGRI.ZS,27.861597264132
Philippines,PHL,1969,Agricultural land (% of land area),AG.LND.AGRI.ZS,27.6704888352444
Philippines,PHL,1968,Agricultural land (% of land area),AG.LND.AGRI.ZS,27.7643666599611
Philippines,PHL,1967,Agricultural land (% of land area),AG.LND.AGRI.ZS,27.8448333668611
Philippines,PHL,1966,Agricultural land (% of land area),AG.LND.AGRI.ZS,27.2580969623818
Philippines,PHL,1965,Agricultural land (% of land area),AG.LND.AGRI.ZS,27.2648025212902
Philippines,PHL,1964,Agricultural land (% of land area),AG.LND.AGRI.ZS,27.3318581103735
Philippines,PHL,1963,Agricultural land (% of land area),AG.LND.AGRI.ZS,26.3930798632066
Philippines,PHL,1962,Agricultural land (% of land area),AG.LND.AGRI.ZS,26.1248575068732
