Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
Poland,POL,2018,Agricultural land (sq. km),AG.LND.AGRI.K2,145120.0
Poland,POL,2017,Agricultural land (sq. km),AG.LND.AGRI.K2,144620.0
Poland,POL,2016,Agricultural land (sq. km),AG.LND.AGRI.K2,143740.0
Poland,POL,2015,Agricultural land (sq. km),AG.LND.AGRI.K2,143710.0
Poland,POL,2014,Agricultural land (sq. km),AG.LND.AGRI.K2,144240.0
Poland,POL,2013,Agricultural land (sq. km),AG.LND.AGRI.K2,144100.0
Poland,POL,2012,Agricultural land (sq. km),AG.LND.AGRI.K2,145290.0
Poland,POL,2011,Agricultural land (sq. km),AG.LND.AGRI.K2,147790.0
Poland,POL,2010,Agricultural land (sq. km),AG.LND.AGRI.K2,144490.0
Poland,POL,2009,Agricultural land (sq. km),AG.LND.AGRI.K2,156190.0
Poland,POL,2008,Agricultural land (sq. km),AG.LND.AGRI.K2,156010.0
Poland,POL,2007,Agricultural land (sq. km),AG.LND.AGRI.K2,154690.0
Poland,POL,2006,Agricultural land (sq. km),AG.LND.AGRI.K2,159570.0
Poland,POL,2005,Agricultural land (sq. km),AG.LND.AGRI.K2,159060.0
Poland,POL,2004,Agricultural land (sq. km),AG.LND.AGRI.K2,163270.0
Poland,POL,2003,Agricultural land (sq. km),AG.LND.AGRI.K2,161690.0
Poland,POL,2002,Agricultural land (sq. km),AG.LND.AGRI.K2,168990.0
Poland,POL,2001,Agricultural land (sq. km),AG.LND.AGRI.K2,177880.0
Poland,POL,2000,Agricultural land (sq. km),AG.LND.AGRI.K2,184130.0
Poland,POL,1999,Agricultural land (sq. km),AG.LND.AGRI.K2,184350.0
Poland,POL,1998,Agricultural land (sq. km),AG.LND.AGRI.K2,184430.0
Poland,POL,1997,Agricultural land (sq. km),AG.LND.AGRI.K2,184570.0
Poland,POL,1996,Agricultural land (sq. km),AG.LND.AGRI.K2,184740.0
Poland,POL,1995,Agricultural land (sq. km),AG.LND.AGRI.K2,186220.0
Poland,POL,1994,Agricultural land (sq. km),AG.LND.AGRI.K2,187070.0
Poland,POL,1993,Agricultural land (sq. km),AG.LND.AGRI.K2,187150.0
Poland,POL,1992,Agricultural land (sq. km),AG.LND.AGRI.K2,187430.0
Poland,POL,1991,Agricultural land (sq. km),AG.LND.AGRI.K2,187530.0
Poland,POL,1990,Agricultural land (sq. km),AG.LND.AGRI.K2,187930.0
Poland,POL,1989,Agricultural land (sq. km),AG.LND.AGRI.K2,188070.0
Poland,POL,1988,Agricultural land (sq. km),AG.LND.AGRI.K2,188200.0
Poland,POL,1987,Agricultural land (sq. km),AG.LND.AGRI.K2,188690.0
Poland,POL,1986,Agricultural land (sq. km),AG.LND.AGRI.K2,188790.0
Poland,POL,1985,Agricultural land (sq. km),AG.LND.AGRI.K2,189140.0
Poland,POL,1984,Agricultural land (sq. km),AG.LND.AGRI.K2,189390.0
Poland,POL,1983,Agricultural land (sq. km),AG.LND.AGRI.K2,188790.0
Poland,POL,1982,Agricultural land (sq. km),AG.LND.AGRI.K2,188910.0
Poland,POL,1981,Agricultural land (sq. km),AG.LND.AGRI.K2,189100.0
Poland,POL,1980,Agricultural land (sq. km),AG.LND.AGRI.K2,190070.0
Poland,POL,1979,Agricultural land (sq. km),AG.LND.AGRI.K2,190480.0
Poland,POL,1978,Agricultural land (sq. km),AG.LND.AGRI.K2,191110.0
Poland,POL,1977,Agricultural land (sq. km),AG.LND.AGRI.K2,191590.0
Poland,POL,1976,Agricultural land (sq. km),AG.LND.AGRI.K2,191990.0
Poland,POL,1975,Agricultural land (sq. km),AG.LND.AGRI.K2,192240.0
Poland,POL,1974,Agricultural land (sq. km),AG.LND.AGRI.K2,192570.0
Poland,POL,1973,Agricultural land (sq. km),AG.LND.AGRI.K2,193260.0
Poland,POL,1972,Agricultural land (sq. km),AG.LND.AGRI.K2,193710.0
Poland,POL,1971,Agricultural land (sq. km),AG.LND.AGRI.K2,195080.0
Poland,POL,1970,Agricultural land (sq. km),AG.LND.AGRI.K2,195430.0
Poland,POL,1969,Agricultural land (sq. km),AG.LND.AGRI.K2,195570.0
Poland,POL,1968,Agricultural land (sq. km),AG.LND.AGRI.K2,197770.0
Poland,POL,1967,Agricultural land (sq. km),AG.LND.AGRI.K2,198190.0
Poland,POL,1966,Agricultural land (sq. km),AG.LND.AGRI.K2,199470.0
Poland,POL,1965,Agricultural land (sq. km),AG.LND.AGRI.K2,199460.0
Poland,POL,1964,Agricultural land (sq. km),AG.LND.AGRI.K2,201300.0
Poland,POL,1963,Agricultural land (sq. km),AG.LND.AGRI.K2,201840.0
Poland,POL,1962,Agricultural land (sq. km),AG.LND.AGRI.K2,202620.0
Poland,POL,1961,Agricultural land (sq. km),AG.LND.AGRI.K2,203220.0
Poland,POL,2021,Agricultural land (% of land area),AG.LND.AGRI.ZS,47.3683763475988
Poland,POL,2020,Agricultural land (% of land area),AG.LND.AGRI.ZS,48.1266128768824
Poland,POL,2019,Agricultural land (% of land area),AG.LND.AGRI.ZS,47.4437293783281
Poland,POL,2018,Agricultural land (% of land area),AG.LND.AGRI.ZS,47.39850409903
Poland,POL,2017,Agricultural land (% of land area),AG.LND.AGRI.ZS,47.2321107808877
Poland,POL,2016,Agricultural land (% of land area),AG.LND.AGRI.ZS,46.9447075345374
Poland,POL,2015,Agricultural land (% of land area),AG.LND.AGRI.ZS,46.9349096965936
Poland,POL,2014,Agricultural land (% of land area),AG.LND.AGRI.ZS,47.1080048336001
Poland,POL,2013,Agricultural land (% of land area),AG.LND.AGRI.ZS,47.059207733255
Poland,POL,2012,Agricultural land (% of land area),AG.LND.AGRI.ZS,47.4462804519626
Poland,POL,2011,Agricultural land (% of land area),AG.LND.AGRI.ZS,48.2611109296934
Poland,POL,2010,Agricultural land (% of land area),AG.LND.AGRI.ZS,47.1757868616952
Poland,POL,2009,Agricultural land (% of land area),AG.LND.AGRI.ZS,50.9958208175526
Poland,POL,2008,Agricultural land (% of land area),AG.LND.AGRI.ZS,50.9337251061051
Poland,POL,2007,Agricultural land (% of land area),AG.LND.AGRI.ZS,50.49947767041
Poland,POL,2006,Agricultural land (% of land area),AG.LND.AGRI.ZS,52.0925829198224
Poland,POL,2005,Agricultural land (% of land area),AG.LND.AGRI.ZS,51.9243952600137
Poland,POL,2004,Agricultural land (% of land area),AG.LND.AGRI.ZS,53.2987301276401
Poland,POL,2003,Agricultural land (% of land area),AG.LND.AGRI.ZS,52.7984587251829
Poland,POL,2002,Agricultural land (% of land area),AG.LND.AGRI.ZS,55.1732018675112
Poland,POL,2001,Agricultural land (% of land area),AG.LND.AGRI.ZS,58.0756799111953
Poland,POL,2000,Agricultural land (% of land area),AG.LND.AGRI.ZS,60.1162297169349
Poland,POL,1999,Agricultural land (% of land area),AG.LND.AGRI.ZS,60.188057070097
Poland,POL,1998,Agricultural land (% of land area),AG.LND.AGRI.ZS,60.2141761076104
Poland,POL,1997,Agricultural land (% of land area),AG.LND.AGRI.ZS,60.259884423259
Poland,POL,1996,Agricultural land (% of land area),AG.LND.AGRI.ZS,60.3153873779751
Poland,POL,1995,Agricultural land (% of land area),AG.LND.AGRI.ZS,60.7985895719743
Poland,POL,1994,Agricultural land (% of land area),AG.LND.AGRI.ZS,61.0761043455549
Poland,POL,1993,Agricultural land (% of land area),AG.LND.AGRI.ZS,61.1022233830683
Poland,POL,1992,Agricultural land (% of land area),AG.LND.AGRI.ZS,61.1936400143655
Poland,POL,1991,Agricultural land (% of land area),AG.LND.AGRI.ZS,61.2262888112573
Poland,POL,1990,Agricultural land (% of land area),AG.LND.AGRI.ZS,61.3568839988246
Poland,POL,1989,Agricultural land (% of land area),AG.LND.AGRI.ZS,61.4025923144732
Poland,POL,1988,Agricultural land (% of land area),AG.LND.AGRI.ZS,61.4450357504326
Poland,POL,1987,Agricultural land (% of land area),AG.LND.AGRI.ZS,61.6050148552026
Poland,POL,1986,Agricultural land (% of land area),AG.LND.AGRI.ZS,61.6376636520944
Poland,POL,1985,Agricultural land (% of land area),AG.LND.AGRI.ZS,61.7519344412158
Poland,POL,1984,Agricultural land (% of land area),AG.LND.AGRI.ZS,61.8335564334454
Poland,POL,1983,Agricultural land (% of land area),AG.LND.AGRI.ZS,61.6376636520944
Poland,POL,1982,Agricultural land (% of land area),AG.LND.AGRI.ZS,61.6768422083646
Poland,POL,1981,Agricultural land (% of land area),AG.LND.AGRI.ZS,61.7388749224591
Poland,POL,1980,Agricultural land (% of land area),AG.LND.AGRI.ZS,62.0555682523099
Poland,POL,1979,Agricultural land (% of land area),AG.LND.AGRI.ZS,62.1894283195664
Poland,POL,1978,Agricultural land (% of land area),AG.LND.AGRI.ZS,62.395115739985
Poland,POL,1977,Agricultural land (% of land area),AG.LND.AGRI.ZS,62.5518299650658
Poland,POL,1976,Agricultural land (% of land area),AG.LND.AGRI.ZS,62.6824251526331
Poland,POL,1975,Agricultural land (% of land area),AG.LND.AGRI.ZS,62.7640471448627
Poland,POL,1974,Agricultural land (% of land area),AG.LND.AGRI.ZS,62.8717881746058
Poland,POL,1973,Agricultural land (% of land area),AG.LND.AGRI.ZS,63.0970648731594
Poland,POL,1972,Agricultural land (% of land area),AG.LND.AGRI.ZS,63.2439844591727
Poland,POL,1971,Agricultural land (% of land area),AG.LND.AGRI.ZS,63.6912729765908
Poland,POL,1970,Agricultural land (% of land area),AG.LND.AGRI.ZS,63.8055437657122
Poland,POL,1969,Agricultural land (% of land area),AG.LND.AGRI.ZS,63.8512520813608
Poland,POL,1968,Agricultural land (% of land area),AG.LND.AGRI.ZS,64.5695256129812
Poland,POL,1967,Agricultural land (% of land area),AG.LND.AGRI.ZS,64.7066505599269
Poland,POL,1966,Agricultural land (% of land area),AG.LND.AGRI.ZS,65.1245551601424
Poland,POL,1965,Agricultural land (% of land area),AG.LND.AGRI.ZS,65.1212902804532
Poland,POL,1964,Agricultural land (% of land area),AG.LND.AGRI.ZS,65.7220281432629
Poland,POL,1963,Agricultural land (% of land area),AG.LND.AGRI.ZS,65.8983316464788
Poland,POL,1962,Agricultural land (% of land area),AG.LND.AGRI.ZS,66.1529922622351
Poland,POL,1961,Agricultural land (% of land area),AG.LND.AGRI.ZS,66.3488850435862
Poland,POL,2021,Arable land (% of land area),AG.LND.ARBL.ZS,36.193270173146
Poland,POL,2020,Arable land (% of land area),AG.LND.ARBL.ZS,36.4224349132721
Poland,POL,2019,Arable land (% of land area),AG.LND.ARBL.ZS,36.1144686550586
Poland,POL,2018,Arable land (% of land area),AG.LND.ARBL.ZS,35.9571479896789
Poland,POL,2017,Arable land (% of land area),AG.LND.ARBL.ZS,35.6216728175316
