Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
Portugal,PRT,2018,Agricultural land (sq. km),AG.LND.AGRI.K2,37367.665
Portugal,PRT,2017,Agricultural land (sq. km),AG.LND.AGRI.K2,36733.928
Portugal,PRT,2016,Agricultural land (sq. km),AG.LND.AGRI.K2,36190.3
Portugal,PRT,2015,Agricultural land (sq. km),AG.LND.AGRI.K2,36387.8
Portugal,PRT,2014,Agricultural land (sq. km),AG.LND.AGRI.K2,36638.8
Portugal,PRT,2013,Agricultural land (sq. km),AG.LND.AGRI.K2,37011.0
Portugal,PRT,2012,Agricultural land (sq. km),AG.LND.AGRI.K2,36644.1
Portugal,PRT,2011,Agricultural land (sq. km),AG.LND.AGRI.K2,36493.6
Portugal,PRT,2010,Agricultural land (sq. km),AG.LND.AGRI.K2,36541.7
Portugal,PRT,2009,Agricultural land (sq. km),AG.LND.AGRI.K2,36955.8
Portugal,PRT,2008,Agricultural land (sq. km),AG.LND.AGRI.K2,37258.6
Portugal,PRT,2007,Agricultural land (sq. km),AG.LND.AGRI.K2,36609.2
Portugal,PRT,2006,Agricultural land (sq. km),AG.LND.AGRI.K2,37576.6
Portugal,PRT,2005,Agricultural land (sq. km),AG.LND.AGRI.K2,38238.9
Portugal,PRT,2004,Agricultural land (sq. km),AG.LND.AGRI.K2,38696.1
Portugal,PRT,2003,Agricultural land (sq. km),AG.LND.AGRI.K2,38136.8
Portugal,PRT,2002,Agricultural land (sq. km),AG.LND.AGRI.K2,38777.2
Portugal,PRT,2001,Agricultural land (sq. km),AG.LND.AGRI.K2,38538.2
Portugal,PRT,2000,Agricultural land (sq. km),AG.LND.AGRI.K2,39563.8
Portugal,PRT,1999,Agricultural land (sq. km),AG.LND.AGRI.K2,38630.0
Portugal,PRT,1998,Agricultural land (sq. km),AG.LND.AGRI.K2,37225.0
Portugal,PRT,1997,Agricultural land (sq. km),AG.LND.AGRI.K2,35820.0
Portugal,PRT,1996,Agricultural land (sq. km),AG.LND.AGRI.K2,37300.0
Portugal,PRT,1995,Agricultural land (sq. km),AG.LND.AGRI.K2,39240.0
Portugal,PRT,1994,Agricultural land (sq. km),AG.LND.AGRI.K2,39520.0
Portugal,PRT,1993,Agricultural land (sq. km),AG.LND.AGRI.K2,39590.0
Portugal,PRT,1992,Agricultural land (sq. km),AG.LND.AGRI.K2,38780.0
Portugal,PRT,1991,Agricultural land (sq. km),AG.LND.AGRI.K2,39200.0
Portugal,PRT,1990,Agricultural land (sq. km),AG.LND.AGRI.K2,39630.0
Portugal,PRT,1989,Agricultural land (sq. km),AG.LND.AGRI.K2,40050.0
Portugal,PRT,1988,Agricultural land (sq. km),AG.LND.AGRI.K2,40050.0
Portugal,PRT,1987,Agricultural land (sq. km),AG.LND.AGRI.K2,40010.0
