Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
Puerto Rico,PRI,2018,Agricultural land (sq. km),AG.LND.AGRI.K2,1689.0
Puerto Rico,PRI,2017,Agricultural land (sq. km),AG.LND.AGRI.K2,1738.0
Puerto Rico,PRI,2016,Agricultural land (sq. km),AG.LND.AGRI.K2,1784.0
Puerto Rico,PRI,2015,Agricultural land (sq. km),AG.LND.AGRI.K2,1830.0
Puerto Rico,PRI,2014,Agricultural land (sq. km),AG.LND.AGRI.K2,1876.0
Puerto Rico,PRI,2013,Agricultural land (sq. km),AG.LND.AGRI.K2,1922.0
Puerto Rico,PRI,2012,Agricultural land (sq. km),AG.LND.AGRI.K2,1968.0
Puerto Rico,PRI,2011,Agricultural land (sq. km),AG.LND.AGRI.K2,1955.0
Puerto Rico,PRI,2010,Agricultural land (sq. km),AG.LND.AGRI.K2,1939.0
Puerto Rico,PRI,2009,Agricultural land (sq. km),AG.LND.AGRI.K2,1923.0
Puerto Rico,PRI,2008,Agricultural land (sq. km),AG.LND.AGRI.K2,1907.0
Puerto Rico,PRI,2007,Agricultural land (sq. km),AG.LND.AGRI.K2,1890.0
Puerto Rico,PRI,2006,Agricultural land (sq. km),AG.LND.AGRI.K2,1958.0
Puerto Rico,PRI,2005,Agricultural land (sq. km),AG.LND.AGRI.K2,2024.0
Puerto Rico,PRI,2004,Agricultural land (sq. km),AG.LND.AGRI.K2,2090.0
Puerto Rico,PRI,2003,Agricultural land (sq. km),AG.LND.AGRI.K2,2156.0
Puerto Rico,PRI,2002,Agricultural land (sq. km),AG.LND.AGRI.K2,2220.0
Puerto Rico,PRI,2001,Agricultural land (sq. km),AG.LND.AGRI.K2,2347.0
Puerto Rico,PRI,2000,Agricultural land (sq. km),AG.LND.AGRI.K2,2472.0
Puerto Rico,PRI,1999,Agricultural land (sq. km),AG.LND.AGRI.K2,2599.0
Puerto Rico,PRI,1998,Agricultural land (sq. km),AG.LND.AGRI.K2,2725.0
Puerto Rico,PRI,1997,Agricultural land (sq. km),AG.LND.AGRI.K2,2910.0
Puerto Rico,PRI,1996,Agricultural land (sq. km),AG.LND.AGRI.K2,3090.0
Puerto Rico,PRI,1995,Agricultural land (sq. km),AG.LND.AGRI.K2,3090.0
Puerto Rico,PRI,1994,Agricultural land (sq. km),AG.LND.AGRI.K2,3090.0
Puerto Rico,PRI,1993,Agricultural land (sq. km),AG.LND.AGRI.K2,3110.0
Puerto Rico,PRI,1992,Agricultural land (sq. km),AG.LND.AGRI.K2,4100.0
Puerto Rico,PRI,1991,Agricultural land (sq. km),AG.LND.AGRI.K2,4200.0
Puerto Rico,PRI,1990,Agricultural land (sq. km),AG.LND.AGRI.K2,4350.0
Puerto Rico,PRI,1989,Agricultural land (sq. km),AG.LND.AGRI.K2,4500.0
Puerto Rico,PRI,1988,Agricultural land (sq. km),AG.LND.AGRI.K2,4620.0
Puerto Rico,PRI,1987,Agricultural land (sq. km),AG.LND.AGRI.K2,4620.0
Puerto Rico,PRI,1986,Agricultural land (sq. km),AG.LND.AGRI.K2,4630.0
Puerto Rico,PRI,1985,Agricultural land (sq. km),AG.LND.AGRI.K2,4610.0
Puerto Rico,PRI,1984,Agricultural land (sq. km),AG.LND.AGRI.K2,4640.0
Puerto Rico,PRI,1983,Agricultural land (sq. km),AG.LND.AGRI.K2,4660.0
Puerto Rico,PRI,1982,Agricultural land (sq. km),AG.LND.AGRI.K2,4670.0
Puerto Rico,PRI,1981,Agricultural land (sq. km),AG.LND.AGRI.K2,4670.0
Puerto Rico,PRI,1980,Agricultural land (sq. km),AG.LND.AGRI.K2,4750.0
Puerto Rico,PRI,1979,Agricultural land (sq. km),AG.LND.AGRI.K2,4860.0
Puerto Rico,PRI,1978,Agricultural land (sq. km),AG.LND.AGRI.K2,4950.0
Puerto Rico,PRI,1977,Agricultural land (sq. km),AG.LND.AGRI.K2,4910.0
Puerto Rico,PRI,1976,Agricultural land (sq. km),AG.LND.AGRI.K2,4930.0
Puerto Rico,PRI,1975,Agricultural land (sq. km),AG.LND.AGRI.K2,4930.0
Puerto Rico,PRI,1974,Agricultural land (sq. km),AG.LND.AGRI.K2,4940.0
Puerto Rico,PRI,1973,Agricultural land (sq. km),AG.LND.AGRI.K2,4920.0
Puerto Rico,PRI,1972,Agricultural land (sq. km),AG.LND.AGRI.K2,5150.0
Puerto Rico,PRI,1971,Agricultural land (sq. km),AG.LND.AGRI.K2,5300.0
Puerto Rico,PRI,1970,Agricultural land (sq. km),AG.LND.AGRI.K2,5520.0
Puerto Rico,PRI,1969,Agricultural land (sq. km),AG.LND.AGRI.K2,5620.0
Puerto Rico,PRI,1968,Agricultural land (sq. km),AG.LND.AGRI.K2,5660.0
Puerto Rico,PRI,1967,Agricultural land (sq. km),AG.LND.AGRI.K2,5680.0
Puerto Rico,PRI,1966,Agricultural land (sq. km),AG.LND.AGRI.K2,5810.0
Puerto Rico,PRI,1965,Agricultural land (sq. km),AG.LND.AGRI.K2,6090.0
Puerto Rico,PRI,1964,Agricultural land (sq. km),AG.LND.AGRI.K2,5850.0
Puerto Rico,PRI,1963,Agricultural land (sq. km),AG.LND.AGRI.K2,6050.0
Puerto Rico,PRI,1962,Agricultural land (sq. km),AG.LND.AGRI.K2,6010.0
Puerto Rico,PRI,1961,Agricultural land (sq. km),AG.LND.AGRI.K2,6160.0
Puerto Rico,PRI,2021,Agricultural land (% of land area),AG.LND.AGRI.ZS,19.0417136414882
Puerto Rico,PRI,2020,Agricultural land (% of land area),AG.LND.AGRI.ZS,19.0417136414882
Puerto Rico,PRI,2019,Agricultural land (% of land area),AG.LND.AGRI.ZS,19.0417136414882
Puerto Rico,PRI,2018,Agricultural land (% of land area),AG.LND.AGRI.ZS,19.0417136414882
Puerto Rico,PRI,2017,Agricultural land (% of land area),AG.LND.AGRI.ZS,19.5941375422773
Puerto Rico,PRI,2016,Agricultural land (% of land area),AG.LND.AGRI.ZS,20.1127395715896
Puerto Rico,PRI,2015,Agricultural land (% of land area),AG.LND.AGRI.ZS,20.6313416009019
Puerto Rico,PRI,2014,Agricultural land (% of land area),AG.LND.AGRI.ZS,21.1499436302142
Puerto Rico,PRI,2013,Agricultural land (% of land area),AG.LND.AGRI.ZS,21.6685456595265
Puerto Rico,PRI,2012,Agricultural land (% of land area),AG.LND.AGRI.ZS,22.1871476888388
Puerto Rico,PRI,2011,Agricultural land (% of land area),AG.LND.AGRI.ZS,22.0405862457723
Puerto Rico,PRI,2010,Agricultural land (% of land area),AG.LND.AGRI.ZS,21.8602029312289
Puerto Rico,PRI,2009,Agricultural land (% of land area),AG.LND.AGRI.ZS,21.6798196166855
Puerto Rico,PRI,2008,Agricultural land (% of land area),AG.LND.AGRI.ZS,21.4994363021421
Puerto Rico,PRI,2007,Agricultural land (% of land area),AG.LND.AGRI.ZS,21.3077790304397
Puerto Rico,PRI,2006,Agricultural land (% of land area),AG.LND.AGRI.ZS,22.0744081172492
Puerto Rico,PRI,2005,Agricultural land (% of land area),AG.LND.AGRI.ZS,22.8184892897407
Puerto Rico,PRI,2004,Agricultural land (% of land area),AG.LND.AGRI.ZS,23.5625704622322
Puerto Rico,PRI,2003,Agricultural land (% of land area),AG.LND.AGRI.ZS,24.3066516347238
Puerto Rico,PRI,2002,Agricultural land (% of land area),AG.LND.AGRI.ZS,25.0281848928974
Puerto Rico,PRI,2001,Agricultural land (% of land area),AG.LND.AGRI.ZS,26.4599774520857
Puerto Rico,PRI,2000,Agricultural land (% of land area),AG.LND.AGRI.ZS,27.869222096956
Puerto Rico,PRI,1999,Agricultural land (% of land area),AG.LND.AGRI.ZS,29.3010146561443
Puerto Rico,PRI,1998,Agricultural land (% of land area),AG.LND.AGRI.ZS,30.7215332581736
Puerto Rico,PRI,1997,Agricultural land (% of land area),AG.LND.AGRI.ZS,32.8072153325817
Puerto Rico,PRI,1996,Agricultural land (% of land area),AG.LND.AGRI.ZS,34.836527621195
Puerto Rico,PRI,1995,Agricultural land (% of land area),AG.LND.AGRI.ZS,34.836527621195
Puerto Rico,PRI,1994,Agricultural land (% of land area),AG.LND.AGRI.ZS,34.836527621195
Puerto Rico,PRI,1993,Agricultural land (% of land area),AG.LND.AGRI.ZS,35.0620067643743
Puerto Rico,PRI,1992,Agricultural land (% of land area),AG.LND.AGRI.ZS,46.2232243517475
Puerto Rico,PRI,1991,Agricultural land (% of land area),AG.LND.AGRI.ZS,47.3506200676437
Puerto Rico,PRI,1990,Agricultural land (% of land area),AG.LND.AGRI.ZS,49.0417136414882
Puerto Rico,PRI,1989,Agricultural land (% of land area),AG.LND.AGRI.ZS,50.7328072153326
Puerto Rico,PRI,1988,Agricultural land (% of land area),AG.LND.AGRI.ZS,52.0856820744081
Puerto Rico,PRI,1987,Agricultural land (% of land area),AG.LND.AGRI.ZS,52.0856820744081
Puerto Rico,PRI,1986,Agricultural land (% of land area),AG.LND.AGRI.ZS,52.1984216459977
Puerto Rico,PRI,1985,Agricultural land (% of land area),AG.LND.AGRI.ZS,51.9729425028185
Puerto Rico,PRI,1984,Agricultural land (% of land area),AG.LND.AGRI.ZS,52.3111612175874
Puerto Rico,PRI,1983,Agricultural land (% of land area),AG.LND.AGRI.ZS,52.5366403607666
Puerto Rico,PRI,1982,Agricultural land (% of land area),AG.LND.AGRI.ZS,52.6493799323563
Puerto Rico,PRI,1981,Agricultural land (% of land area),AG.LND.AGRI.ZS,52.6493799323563
Puerto Rico,PRI,1980,Agricultural land (% of land area),AG.LND.AGRI.ZS,53.5512965050733
Puerto Rico,PRI,1979,Agricultural land (% of land area),AG.LND.AGRI.ZS,54.7914317925592
Puerto Rico,PRI,1978,Agricultural land (% of land area),AG.LND.AGRI.ZS,55.8060879368658
Puerto Rico,PRI,1977,Agricultural land (% of land area),AG.LND.AGRI.ZS,55.3551296505073
Puerto Rico,PRI,1976,Agricultural land (% of land area),AG.LND.AGRI.ZS,55.5806087936866
Puerto Rico,PRI,1975,Agricultural land (% of land area),AG.LND.AGRI.ZS,55.5806087936866
Puerto Rico,PRI,1974,Agricultural land (% of land area),AG.LND.AGRI.ZS,55.6933483652762
Puerto Rico,PRI,1973,Agricultural land (% of land area),AG.LND.AGRI.ZS,55.467869222097
Puerto Rico,PRI,1972,Agricultural land (% of land area),AG.LND.AGRI.ZS,58.0608793686584
Puerto Rico,PRI,1971,Agricultural land (% of land area),AG.LND.AGRI.ZS,59.7519729425028
Puerto Rico,PRI,1970,Agricultural land (% of land area),AG.LND.AGRI.ZS,62.2322435174746
Puerto Rico,PRI,1969,Agricultural land (% of land area),AG.LND.AGRI.ZS,63.3596392333709
Puerto Rico,PRI,1968,Agricultural land (% of land area),AG.LND.AGRI.ZS,63.8105975197294
Puerto Rico,PRI,1967,Agricultural land (% of land area),AG.LND.AGRI.ZS,64.0360766629087
Puerto Rico,PRI,1966,Agricultural land (% of land area),AG.LND.AGRI.ZS,65.5016910935738
Puerto Rico,PRI,1965,Agricultural land (% of land area),AG.LND.AGRI.ZS,68.6583990980834
Puerto Rico,PRI,1964,Agricultural land (% of land area),AG.LND.AGRI.ZS,65.9526493799324
Puerto Rico,PRI,1963,Agricultural land (% of land area),AG.LND.AGRI.ZS,68.2074408117249
Puerto Rico,PRI,1962,Agricultural land (% of land area),AG.LND.AGRI.ZS,67.7564825253664
Puerto Rico,PRI,1961,Agricultural land (% of land area),AG.LND.AGRI.ZS,69.4475760992108
Puerto Rico,PRI,2021,Arable land (% of land area),AG.LND.ARBL.ZS,5.65952649379932
Puerto Rico,PRI,2020,Arable land (% of land area),AG.LND.ARBL.ZS,5.65952649379932
Puerto Rico,PRI,2019,Arable land (% of land area),AG.LND.ARBL.ZS,5.65952649379932
Puerto Rico,PRI,2018,Arable land (% of land area),AG.LND.ARBL.ZS,5.65952649379932
Puerto Rico,PRI,2017,Arable land (% of land area),AG.LND.ARBL.ZS,5.70462232243517
Puerto Rico,PRI,2016,Arable land (% of land area),AG.LND.ARBL.ZS,5.80608793686584
Puerto Rico,PRI,2015,Arable land (% of land area),AG.LND.ARBL.ZS,5.90755355129651
Puerto Rico,PRI,2014,Arable land (% of land area),AG.LND.ARBL.ZS,6.00901916572717
Puerto Rico,PRI,2013,Arable land (% of land area),AG.LND.ARBL.ZS,6.11048478015784
Puerto Rico,PRI,2012,Arable land (% of land area),AG.LND.ARBL.ZS,6.2119503945885
Puerto Rico,PRI,2011,Arable land (% of land area),AG.LND.ARBL.ZS,5.89627959413754
Puerto Rico,PRI,2010,Arable land (% of land area),AG.LND.ARBL.ZS,5.5467869222097
Puerto Rico,PRI,2009,Arable land (% of land area),AG.LND.ARBL.ZS,5.08455467869222
Puerto Rico,PRI,2008,Arable land (% of land area),AG.LND.ARBL.ZS,4.62232243517475
Puerto Rico,PRI,2007,Arable land (% of land area),AG.LND.ARBL.ZS,4.16009019165727
Puerto Rico,PRI,2006,Arable land (% of land area),AG.LND.ARBL.ZS,4.9379932356257
Puerto Rico,PRI,2005,Arable land (% of land area),AG.LND.ARBL.ZS,5.70462232243517
Puerto Rico,PRI,2004,Arable land (% of land area),AG.LND.ARBL.ZS,6.24577226606539
Puerto Rico,PRI,2003,Arable land (% of land area),AG.LND.ARBL.ZS,6.89966178128523
Puerto Rico,PRI,2002,Arable land (% of land area),AG.LND.ARBL.ZS,7.6662908680947
Puerto Rico,PRI,2001,Arable land (% of land area),AG.LND.ARBL.ZS,7.31679819616685
Puerto Rico,PRI,2000,Arable land (% of land area),AG.LND.ARBL.ZS,6.73055242390079
Puerto Rico,PRI,1999,Arable land (% of land area),AG.LND.ARBL.ZS,6.15558060879369
Puerto Rico,PRI,1998,Arable land (% of land area),AG.LND.ARBL.ZS,5.80608793686584
Puerto Rico,PRI,1997,Arable land (% of land area),AG.LND.ARBL.ZS,4.17136414881623
Puerto Rico,PRI,1996,Arable land (% of land area),AG.LND.ARBL.ZS,3.72040586245772
Puerto Rico,PRI,1995,Arable land (% of land area),AG.LND.ARBL.ZS,3.72040586245772
Puerto Rico,PRI,1994,Arable land (% of land area),AG.LND.ARBL.ZS,3.72040586245772
Puerto Rico,PRI,1993,Arable land (% of land area),AG.LND.ARBL.ZS,3.60766629086809
Puerto Rico,PRI,1992,Arable land (% of land area),AG.LND.ARBL.ZS,5.86245772266065
Puerto Rico,PRI,1991,Arable land (% of land area),AG.LND.ARBL.ZS,6.20067643742954
Puerto Rico,PRI,1990,Arable land (% of land area),AG.LND.ARBL.ZS,7.32807215332582
Puerto Rico,PRI,1989,Arable land (% of land area),AG.LND.ARBL.ZS,7.89177001127396
Puerto Rico,PRI,1988,Arable land (% of land area),AG.LND.ARBL.ZS,8.68094701240135
Puerto Rico,PRI,1987,Arable land (% of land area),AG.LND.ARBL.ZS,7.10259301014656
Puerto Rico,PRI,1986,Arable land (% of land area),AG.LND.ARBL.ZS,7.21533258173619
Puerto Rico,PRI,1985,Arable land (% of land area),AG.LND.ARBL.ZS,7.10259301014656
Puerto Rico,PRI,1984,Arable land (% of land area),AG.LND.ARBL.ZS,7.44081172491545
Puerto Rico,PRI,1983,Arable land (% of land area),AG.LND.ARBL.ZS,7.21533258173619
Puerto Rico,PRI,1982,Arable land (% of land area),AG.LND.ARBL.ZS,7.55355129650507
Puerto Rico,PRI,1981,Arable land (% of land area),AG.LND.ARBL.ZS,7.6662908680947
Puerto Rico,PRI,1980,Arable land (% of land area),AG.LND.ARBL.ZS,8.34272829763247
Puerto Rico,PRI,1979,Arable land (% of land area),AG.LND.ARBL.ZS,10.9357384441939
Puerto Rico,PRI,1978,Arable land (% of land area),AG.LND.ARBL.ZS,11.0484780157835
Puerto Rico,PRI,1977,Arable land (% of land area),AG.LND.ARBL.ZS,10.8229988726043
Puerto Rico,PRI,1976,Arable land (% of land area),AG.LND.ARBL.ZS,10.597519729425
Puerto Rico,PRI,1975,Arable land (% of land area),AG.LND.ARBL.ZS,10.597519729425
Puerto Rico,PRI,1974,Arable land (% of land area),AG.LND.ARBL.ZS,10.7102593010147
Puerto Rico,PRI,1973,Arable land (% of land area),AG.LND.ARBL.ZS,10.7102593010147
Puerto Rico,PRI,1972,Arable land (% of land area),AG.LND.ARBL.ZS,12.9650507328072
Puerto Rico,PRI,1971,Arable land (% of land area),AG.LND.ARBL.ZS,14.6561443066516
Puerto Rico,PRI,1970,Arable land (% of land area),AG.LND.ARBL.ZS,17.1364148816234
Puerto Rico,PRI,1969,Arable land (% of land area),AG.LND.ARBL.ZS,18.7147688838782
Puerto Rico,PRI,1968,Arable land (% of land area),AG.LND.ARBL.ZS,18.489289740699
