Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
Rwanda,RWA,2018,Agricultural land (sq. km),AG.LND.AGRI.K2,19490.0
Rwanda,RWA,2017,Agricultural land (sq. km),AG.LND.AGRI.K2,20050.0
Rwanda,RWA,2016,Agricultural land (sq. km),AG.LND.AGRI.K2,20050.0
Rwanda,RWA,2015,Agricultural land (sq. km),AG.LND.AGRI.K2,20070.0
Rwanda,RWA,2014,Agricultural land (sq. km),AG.LND.AGRI.K2,20060.0
Rwanda,RWA,2013,Agricultural land (sq. km),AG.LND.AGRI.K2,19800.0
Rwanda,RWA,2012,Agricultural land (sq. km),AG.LND.AGRI.K2,19590.0
Rwanda,RWA,2011,Agricultural land (sq. km),AG.LND.AGRI.K2,19430.0
Rwanda,RWA,2010,Agricultural land (sq. km),AG.LND.AGRI.K2,19220.0
Rwanda,RWA,2009,Agricultural land (sq. km),AG.LND.AGRI.K2,19060.0
Rwanda,RWA,2008,Agricultural land (sq. km),AG.LND.AGRI.K2,18800.0
Rwanda,RWA,2007,Agricultural land (sq. km),AG.LND.AGRI.K2,18780.0
Rwanda,RWA,2006,Agricultural land (sq. km),AG.LND.AGRI.K2,18840.0
Rwanda,RWA,2005,Agricultural land (sq. km),AG.LND.AGRI.K2,18810.0
Rwanda,RWA,2004,Agricultural land (sq. km),AG.LND.AGRI.K2,18830.0
Rwanda,RWA,2003,Agricultural land (sq. km),AG.LND.AGRI.K2,18860.0
Rwanda,RWA,2002,Agricultural land (sq. km),AG.LND.AGRI.K2,18880.0
Rwanda,RWA,2001,Agricultural land (sq. km),AG.LND.AGRI.K2,18970.0
Rwanda,RWA,2000,Agricultural land (sq. km),AG.LND.AGRI.K2,18260.0
Rwanda,RWA,1999,Agricultural land (sq. km),AG.LND.AGRI.K2,17170.0
Rwanda,RWA,1998,Agricultural land (sq. km),AG.LND.AGRI.K2,16710.0
Rwanda,RWA,1997,Agricultural land (sq. km),AG.LND.AGRI.K2,16510.0
Rwanda,RWA,1996,Agricultural land (sq. km),AG.LND.AGRI.K2,16010.0
Rwanda,RWA,1995,Agricultural land (sq. km),AG.LND.AGRI.K2,15500.0
Rwanda,RWA,1994,Agricultural land (sq. km),AG.LND.AGRI.K2,15500.0
Rwanda,RWA,1993,Agricultural land (sq. km),AG.LND.AGRI.K2,17550.0
Rwanda,RWA,1992,Agricultural land (sq. km),AG.LND.AGRI.K2,18350.0
Rwanda,RWA,1991,Agricultural land (sq. km),AG.LND.AGRI.K2,18750.0
Rwanda,RWA,1990,Agricultural land (sq. km),AG.LND.AGRI.K2,18780.0
Rwanda,RWA,1989,Agricultural land (sq. km),AG.LND.AGRI.K2,18540.0
Rwanda,RWA,1988,Agricultural land (sq. km),AG.LND.AGRI.K2,18530.0
Rwanda,RWA,1987,Agricultural land (sq. km),AG.LND.AGRI.K2,18420.0
Rwanda,RWA,1986,Agricultural land (sq. km),AG.LND.AGRI.K2,18300.0
Rwanda,RWA,1985,Agricultural land (sq. km),AG.LND.AGRI.K2,18190.0
Rwanda,RWA,1984,Agricultural land (sq. km),AG.LND.AGRI.K2,18080.0
Rwanda,RWA,1983,Agricultural land (sq. km),AG.LND.AGRI.K2,17900.0
Rwanda,RWA,1982,Agricultural land (sq. km),AG.LND.AGRI.K2,17750.0
Rwanda,RWA,1981,Agricultural land (sq. km),AG.LND.AGRI.K2,17600.0
Rwanda,RWA,1980,Agricultural land (sq. km),AG.LND.AGRI.K2,17150.0
Rwanda,RWA,1979,Agricultural land (sq. km),AG.LND.AGRI.K2,16970.0
Rwanda,RWA,1978,Agricultural land (sq. km),AG.LND.AGRI.K2,16800.0
Rwanda,RWA,1977,Agricultural land (sq. km),AG.LND.AGRI.K2,16650.0
Rwanda,RWA,1976,Agricultural land (sq. km),AG.LND.AGRI.K2,16390.0
Rwanda,RWA,1975,Agricultural land (sq. km),AG.LND.AGRI.K2,16120.0
Rwanda,RWA,1974,Agricultural land (sq. km),AG.LND.AGRI.K2,15840.0
Rwanda,RWA,1973,Agricultural land (sq. km),AG.LND.AGRI.K2,15050.0
Rwanda,RWA,1972,Agricultural land (sq. km),AG.LND.AGRI.K2,15080.0
Rwanda,RWA,1971,Agricultural land (sq. km),AG.LND.AGRI.K2,14480.0
Rwanda,RWA,1970,Agricultural land (sq. km),AG.LND.AGRI.K2,14040.0
Rwanda,RWA,1969,Agricultural land (sq. km),AG.LND.AGRI.K2,13970.0
Rwanda,RWA,1968,Agricultural land (sq. km),AG.LND.AGRI.K2,13830.0
Rwanda,RWA,1967,Agricultural land (sq. km),AG.LND.AGRI.K2,13750.0
Rwanda,RWA,1966,Agricultural land (sq. km),AG.LND.AGRI.K2,13650.0
Rwanda,RWA,1965,Agricultural land (sq. km),AG.LND.AGRI.K2,13550.0
Rwanda,RWA,1964,Agricultural land (sq. km),AG.LND.AGRI.K2,13450.0
Rwanda,RWA,1963,Agricultural land (sq. km),AG.LND.AGRI.K2,13350.0
Rwanda,RWA,1962,Agricultural land (sq. km),AG.LND.AGRI.K2,13250.0
Rwanda,RWA,1961,Agricultural land (sq. km),AG.LND.AGRI.K2,13150.0
Rwanda,RWA,2021,Agricultural land (% of land area),AG.LND.AGRI.ZS,81.2509120389137
Rwanda,RWA,2020,Agricultural land (% of land area),AG.LND.AGRI.ZS,79.3919740575598
Rwanda,RWA,2019,Agricultural land (% of land area),AG.LND.AGRI.ZS,77.1787596270774
Rwanda,RWA,2018,Agricultural land (% of land area),AG.LND.AGRI.ZS,79.0028374543981
Rwanda,RWA,2017,Agricultural land (% of land area),AG.LND.AGRI.ZS,81.2728009728415
Rwanda,RWA,2016,Agricultural land (% of land area),AG.LND.AGRI.ZS,81.2728009728415
Rwanda,RWA,2015,Agricultural land (% of land area),AG.LND.AGRI.ZS,81.3538710985002
Rwanda,RWA,2014,Agricultural land (% of land area),AG.LND.AGRI.ZS,81.3133360356709
Rwanda,RWA,2013,Agricultural land (% of land area),AG.LND.AGRI.ZS,80.2594244021078
Rwanda,RWA,2012,Agricultural land (% of land area),AG.LND.AGRI.ZS,79.4081880826915
Rwanda,RWA,2011,Agricultural land (% of land area),AG.LND.AGRI.ZS,78.759627077422
Rwanda,RWA,2010,Agricultural land (% of land area),AG.LND.AGRI.ZS,77.9083907580057
Rwanda,RWA,2009,Agricultural land (% of land area),AG.LND.AGRI.ZS,77.2598297527361
Rwanda,RWA,2008,Agricultural land (% of land area),AG.LND.AGRI.ZS,76.2059181191731
Rwanda,RWA,2007,Agricultural land (% of land area),AG.LND.AGRI.ZS,76.1248479935144
Rwanda,RWA,2006,Agricultural land (% of land area),AG.LND.AGRI.ZS,76.3680583704905
Rwanda,RWA,2005,Agricultural land (% of land area),AG.LND.AGRI.ZS,76.2464531820024
Rwanda,RWA,2004,Agricultural land (% of land area),AG.LND.AGRI.ZS,76.3275233076611
Rwanda,RWA,2003,Agricultural land (% of land area),AG.LND.AGRI.ZS,76.4491284961492
Rwanda,RWA,2002,Agricultural land (% of land area),AG.LND.AGRI.ZS,76.5301986218079
Rwanda,RWA,2001,Agricultural land (% of land area),AG.LND.AGRI.ZS,76.895014187272
Rwanda,RWA,2000,Agricultural land (% of land area),AG.LND.AGRI.ZS,74.0170247263883
Rwanda,RWA,1999,Agricultural land (% of land area),AG.LND.AGRI.ZS,69.5987028779895
Rwanda,RWA,1998,Agricultural land (% of land area),AG.LND.AGRI.ZS,67.7340899878395
