Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
Samoa,WSM,2018,Agricultural land (sq. km),AG.LND.AGRI.K2,551.7
Samoa,WSM,2017,Agricultural land (sq. km),AG.LND.AGRI.K2,620.0
Samoa,WSM,2016,Agricultural land (sq. km),AG.LND.AGRI.K2,688.1
Samoa,WSM,2015,Agricultural land (sq. km),AG.LND.AGRI.K2,756.2
Samoa,WSM,2014,Agricultural land (sq. km),AG.LND.AGRI.K2,675.0
Samoa,WSM,2013,Agricultural land (sq. km),AG.LND.AGRI.K2,610.0
Samoa,WSM,2012,Agricultural land (sq. km),AG.LND.AGRI.K2,545.0
Samoa,WSM,2011,Agricultural land (sq. km),AG.LND.AGRI.K2,480.0
Samoa,WSM,2010,Agricultural land (sq. km),AG.LND.AGRI.K2,415.0
Samoa,WSM,2009,Agricultural land (sq. km),AG.LND.AGRI.K2,349.0
Samoa,WSM,2008,Agricultural land (sq. km),AG.LND.AGRI.K2,370.0
Samoa,WSM,2007,Agricultural land (sq. km),AG.LND.AGRI.K2,385.0
Samoa,WSM,2006,Agricultural land (sq. km),AG.LND.AGRI.K2,402.0
Samoa,WSM,2005,Agricultural land (sq. km),AG.LND.AGRI.K2,420.0
Samoa,WSM,2004,Agricultural land (sq. km),AG.LND.AGRI.K2,430.0
Samoa,WSM,2003,Agricultural land (sq. km),AG.LND.AGRI.K2,450.0
Samoa,WSM,2002,Agricultural land (sq. km),AG.LND.AGRI.K2,470.0
Samoa,WSM,2001,Agricultural land (sq. km),AG.LND.AGRI.K2,480.0
Samoa,WSM,2000,Agricultural land (sq. km),AG.LND.AGRI.K2,480.0
Samoa,WSM,1999,Agricultural land (sq. km),AG.LND.AGRI.K2,508.0
Samoa,WSM,1998,Agricultural land (sq. km),AG.LND.AGRI.K2,510.0
Samoa,WSM,1997,Agricultural land (sq. km),AG.LND.AGRI.K2,510.0
Samoa,WSM,1996,Agricultural land (sq. km),AG.LND.AGRI.K2,510.0
Samoa,WSM,1995,Agricultural land (sq. km),AG.LND.AGRI.K2,510.0
Samoa,WSM,1994,Agricultural land (sq. km),AG.LND.AGRI.K2,510.0
Samoa,WSM,1993,Agricultural land (sq. km),AG.LND.AGRI.K2,520.0
Samoa,WSM,1992,Agricultural land (sq. km),AG.LND.AGRI.K2,520.0
Samoa,WSM,1991,Agricultural land (sq. km),AG.LND.AGRI.K2,540.0
Samoa,WSM,1990,Agricultural land (sq. km),AG.LND.AGRI.K2,540.0
Samoa,WSM,1989,Agricultural land (sq. km),AG.LND.AGRI.K2,542.0
Samoa,WSM,1988,Agricultural land (sq. km),AG.LND.AGRI.K2,770.0
Samoa,WSM,1987,Agricultural land (sq. km),AG.LND.AGRI.K2,767.0
Samoa,WSM,1986,Agricultural land (sq. km),AG.LND.AGRI.K2,784.0
Samoa,WSM,1985,Agricultural land (sq. km),AG.LND.AGRI.K2,780.0
Samoa,WSM,1984,Agricultural land (sq. km),AG.LND.AGRI.K2,780.0
Samoa,WSM,1983,Agricultural land (sq. km),AG.LND.AGRI.K2,776.0
