Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
San Marino,SMR,2018,Agricultural land (sq. km),AG.LND.AGRI.K2,23.0
San Marino,SMR,2017,Agricultural land (sq. km),AG.LND.AGRI.K2,23.0
San Marino,SMR,2016,Agricultural land (sq. km),AG.LND.AGRI.K2,23.0
San Marino,SMR,2015,Agricultural land (sq. km),AG.LND.AGRI.K2,23.0
San Marino,SMR,2014,Agricultural land (sq. km),AG.LND.AGRI.K2,10.0
San Marino,SMR,2013,Agricultural land (sq. km),AG.LND.AGRI.K2,10.0
San Marino,SMR,2012,Agricultural land (sq. km),AG.LND.AGRI.K2,10.0
San Marino,SMR,2011,Agricultural land (sq. km),AG.LND.AGRI.K2,10.0
San Marino,SMR,2010,Agricultural land (sq. km),AG.LND.AGRI.K2,10.0
San Marino,SMR,2009,Agricultural land (sq. km),AG.LND.AGRI.K2,10.0
San Marino,SMR,2008,Agricultural land (sq. km),AG.LND.AGRI.K2,10.0
San Marino,SMR,2007,Agricultural land (sq. km),AG.LND.AGRI.K2,10.0
San Marino,SMR,2006,Agricultural land (sq. km),AG.LND.AGRI.K2,10.0
San Marino,SMR,2005,Agricultural land (sq. km),AG.LND.AGRI.K2,10.0
San Marino,SMR,2004,Agricultural land (sq. km),AG.LND.AGRI.K2,10.0
San Marino,SMR,2003,Agricultural land (sq. km),AG.LND.AGRI.K2,10.0
San Marino,SMR,2002,Agricultural land (sq. km),AG.LND.AGRI.K2,10.0
San Marino,SMR,2001,Agricultural land (sq. km),AG.LND.AGRI.K2,10.0
San Marino,SMR,2000,Agricultural land (sq. km),AG.LND.AGRI.K2,10.0
San Marino,SMR,1999,Agricultural land (sq. km),AG.LND.AGRI.K2,10.0
San Marino,SMR,1998,Agricultural land (sq. km),AG.LND.AGRI.K2,10.0
San Marino,SMR,1997,Agricultural land (sq. km),AG.LND.AGRI.K2,10.0
San Marino,SMR,1996,Agricultural land (sq. km),AG.LND.AGRI.K2,10.0
San Marino,SMR,1995,Agricultural land (sq. km),AG.LND.AGRI.K2,10.0
San Marino,SMR,1994,Agricultural land (sq. km),AG.LND.AGRI.K2,10.0
San Marino,SMR,1993,Agricultural land (sq. km),AG.LND.AGRI.K2,10.0
San Marino,SMR,1992,Agricultural land (sq. km),AG.LND.AGRI.K2,10.0
San Marino,SMR,1991,Agricultural land (sq. km),AG.LND.AGRI.K2,10.0
San Marino,SMR,1990,Agricultural land (sq. km),AG.LND.AGRI.K2,10.0
