Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
Saudi Arabia,SAU,2018,Agricultural land (sq. km),AG.LND.AGRI.K2,1735955.0
Saudi Arabia,SAU,2017,Agricultural land (sq. km),AG.LND.AGRI.K2,1735961.0
Saudi Arabia,SAU,2016,Agricultural land (sq. km),AG.LND.AGRI.K2,1736270.0
Saudi Arabia,SAU,2015,Agricultural land (sq. km),AG.LND.AGRI.K2,1736370.0
Saudi Arabia,SAU,2014,Agricultural land (sq. km),AG.LND.AGRI.K2,1735753.0
Saudi Arabia,SAU,2013,Agricultural land (sq. km),AG.LND.AGRI.K2,1732950.0
Saudi Arabia,SAU,2012,Agricultural land (sq. km),AG.LND.AGRI.K2,1733450.0
Saudi Arabia,SAU,2011,Agricultural land (sq. km),AG.LND.AGRI.K2,1733880.0
Saudi Arabia,SAU,2010,Agricultural land (sq. km),AG.LND.AGRI.K2,1734060.0
Saudi Arabia,SAU,2009,Agricultural land (sq. km),AG.LND.AGRI.K2,1734350.0
Saudi Arabia,SAU,2008,Agricultural land (sq. km),AG.LND.AGRI.K2,1735720.0
Saudi Arabia,SAU,2007,Agricultural land (sq. km),AG.LND.AGRI.K2,1736750.0
Saudi Arabia,SAU,2006,Agricultural land (sq. km),AG.LND.AGRI.K2,1736740.0
Saudi Arabia,SAU,2005,Agricultural land (sq. km),AG.LND.AGRI.K2,1737170.0
Saudi Arabia,SAU,2004,Agricultural land (sq. km),AG.LND.AGRI.K2,1737090.0
Saudi Arabia,SAU,2003,Agricultural land (sq. km),AG.LND.AGRI.K2,1737980.0
Saudi Arabia,SAU,2002,Agricultural land (sq. km),AG.LND.AGRI.K2,1737930.0
Saudi Arabia,SAU,2001,Agricultural land (sq. km),AG.LND.AGRI.K2,1737910.0
Saudi Arabia,SAU,2000,Agricultural land (sq. km),AG.LND.AGRI.K2,1737850.0
Saudi Arabia,SAU,1999,Agricultural land (sq. km),AG.LND.AGRI.K2,1737850.0
Saudi Arabia,SAU,1998,Agricultural land (sq. km),AG.LND.AGRI.K2,1667850.0
Saudi Arabia,SAU,1997,Agricultural land (sq. km),AG.LND.AGRI.K2,1587850.0
Saudi Arabia,SAU,1996,Agricultural land (sq. km),AG.LND.AGRI.K2,1517850.0
Saudi Arabia,SAU,1995,Agricultural land (sq. km),AG.LND.AGRI.K2,1447850.0
Saudi Arabia,SAU,1994,Agricultural land (sq. km),AG.LND.AGRI.K2,1377850.0
Saudi Arabia,SAU,1993,Agricultural land (sq. km),AG.LND.AGRI.K2,1307850.0
Saudi Arabia,SAU,1992,Agricultural land (sq. km),AG.LND.AGRI.K2,1237460.0
Saudi Arabia,SAU,1991,Agricultural land (sq. km),AG.LND.AGRI.K2,1236720.0
Saudi Arabia,SAU,1990,Agricultural land (sq. km),AG.LND.AGRI.K2,1234810.0
Saudi Arabia,SAU,1989,Agricultural land (sq. km),AG.LND.AGRI.K2,1182900.0
Saudi Arabia,SAU,1988,Agricultural land (sq. km),AG.LND.AGRI.K2,1131300.0
Saudi Arabia,SAU,1987,Agricultural land (sq. km),AG.LND.AGRI.K2,1079800.0
Saudi Arabia,SAU,1986,Agricultural land (sq. km),AG.LND.AGRI.K2,1027800.0
Saudi Arabia,SAU,1985,Agricultural land (sq. km),AG.LND.AGRI.K2,976250.0
Saudi Arabia,SAU,1984,Agricultural land (sq. km),AG.LND.AGRI.K2,924230.0
Saudi Arabia,SAU,1983,Agricultural land (sq. km),AG.LND.AGRI.K2,872700.0
Saudi Arabia,SAU,1982,Agricultural land (sq. km),AG.LND.AGRI.K2,870680.0
Saudi Arabia,SAU,1981,Agricultural land (sq. km),AG.LND.AGRI.K2,870130.0
Saudi Arabia,SAU,1980,Agricultural land (sq. km),AG.LND.AGRI.K2,869620.0
Saudi Arabia,SAU,1979,Agricultural land (sq. km),AG.LND.AGRI.K2,869090.0
Saudi Arabia,SAU,1978,Agricultural land (sq. km),AG.LND.AGRI.K2,868560.0
Saudi Arabia,SAU,1977,Agricultural land (sq. km),AG.LND.AGRI.K2,868040.0
Saudi Arabia,SAU,1976,Agricultural land (sq. km),AG.LND.AGRI.K2,867500.0
Saudi Arabia,SAU,1975,Agricultural land (sq. km),AG.LND.AGRI.K2,866840.0
Saudi Arabia,SAU,1974,Agricultural land (sq. km),AG.LND.AGRI.K2,866400.0
Saudi Arabia,SAU,1973,Agricultural land (sq. km),AG.LND.AGRI.K2,865700.0
Saudi Arabia,SAU,1972,Agricultural land (sq. km),AG.LND.AGRI.K2,865170.0
Saudi Arabia,SAU,1971,Agricultural land (sq. km),AG.LND.AGRI.K2,864670.0
Saudi Arabia,SAU,1970,Agricultural land (sq. km),AG.LND.AGRI.K2,864200.0
Saudi Arabia,SAU,1969,Agricultural land (sq. km),AG.LND.AGRI.K2,863750.0
Saudi Arabia,SAU,1968,Agricultural land (sq. km),AG.LND.AGRI.K2,863400.0
Saudi Arabia,SAU,1967,Agricultural land (sq. km),AG.LND.AGRI.K2,863040.0
Saudi Arabia,SAU,1966,Agricultural land (sq. km),AG.LND.AGRI.K2,862840.0
Saudi Arabia,SAU,1965,Agricultural land (sq. km),AG.LND.AGRI.K2,862620.0
Saudi Arabia,SAU,1964,Agricultural land (sq. km),AG.LND.AGRI.K2,862410.0
Saudi Arabia,SAU,1963,Agricultural land (sq. km),AG.LND.AGRI.K2,862120.0
Saudi Arabia,SAU,1962,Agricultural land (sq. km),AG.LND.AGRI.K2,861900.0
Saudi Arabia,SAU,1961,Agricultural land (sq. km),AG.LND.AGRI.K2,861700.0
Saudi Arabia,SAU,2021,Agricultural land (% of land area),AG.LND.AGRI.ZS,80.7730416943838
Saudi Arabia,SAU,2020,Agricultural land (% of land area),AG.LND.AGRI.ZS,80.7732138122241
Saudi Arabia,SAU,2019,Agricultural land (% of land area),AG.LND.AGRI.ZS,80.7634751987496
Saudi Arabia,SAU,2018,Agricultural land (% of land area),AG.LND.AGRI.ZS,80.7537365852751
Saudi Arabia,SAU,2017,Agricultural land (% of land area),AG.LND.AGRI.ZS,80.7540156952863
Saudi Arabia,SAU,2016,Agricultural land (% of land area),AG.LND.AGRI.ZS,80.7683898608636
Saudi Arabia,SAU,2015,Agricultural land (% of land area),AG.LND.AGRI.ZS,80.7730416943838
Saudi Arabia,SAU,2014,Agricultural land (% of land area),AG.LND.AGRI.ZS,80.7443398815643
Saudi Arabia,SAU,2013,Agricultural land (% of land area),AG.LND.AGRI.ZS,80.6139489879936
Saudi Arabia,SAU,2012,Agricultural land (% of land area),AG.LND.AGRI.ZS,80.6372081555945
Saudi Arabia,SAU,2011,Agricultural land (% of land area),AG.LND.AGRI.ZS,80.6572110397313
Saudi Arabia,SAU,2010,Agricultural land (% of land area),AG.LND.AGRI.ZS,80.6655843400676
Saudi Arabia,SAU,2009,Agricultural land (% of land area),AG.LND.AGRI.ZS,80.6790746572762
Saudi Arabia,SAU,2008,Agricultural land (% of land area),AG.LND.AGRI.ZS,80.7428047765027
Saudi Arabia,SAU,2007,Agricultural land (% of land area),AG.LND.AGRI.ZS,80.7907186617605
Saudi Arabia,SAU,2006,Agricultural land (% of land area),AG.LND.AGRI.ZS,80.7902534784085
Saudi Arabia,SAU,2005,Agricultural land (% of land area),AG.LND.AGRI.ZS,80.8102563625453
Saudi Arabia,SAU,2004,Agricultural land (% of land area),AG.LND.AGRI.ZS,80.8065348957292
Saudi Arabia,SAU,2003,Agricultural land (% of land area),AG.LND.AGRI.ZS,80.8479362140588
Saudi Arabia,SAU,2002,Agricultural land (% of land area),AG.LND.AGRI.ZS,80.8456102972987
Saudi Arabia,SAU,2001,Agricultural land (% of land area),AG.LND.AGRI.ZS,80.8446799305946
Saudi Arabia,SAU,2000,Agricultural land (% of land area),AG.LND.AGRI.ZS,80.8418888304825
Saudi Arabia,SAU,1999,Agricultural land (% of land area),AG.LND.AGRI.ZS,80.8418888304825
Saudi Arabia,SAU,1998,Agricultural land (% of land area),AG.LND.AGRI.ZS,77.5856053663552
Saudi Arabia,SAU,1997,Agricultural land (% of land area),AG.LND.AGRI.ZS,73.8641385502096
Saudi Arabia,SAU,1996,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.6078550860822
Saudi Arabia,SAU,1995,Agricultural land (% of land area),AG.LND.AGRI.ZS,67.3515716219548
Saudi Arabia,SAU,1994,Agricultural land (% of land area),AG.LND.AGRI.ZS,64.0952881578274
Saudi Arabia,SAU,1993,Agricultural land (% of land area),AG.LND.AGRI.ZS,60.8390046937
Saudi Arabia,SAU,1992,Agricultural land (% of land area),AG.LND.AGRI.ZS,57.5645790788439
Saudi Arabia,SAU,1991,Agricultural land (% of land area),AG.LND.AGRI.ZS,57.5301555107946
Saudi Arabia,SAU,1990,Agricultural land (% of land area),AG.LND.AGRI.ZS,57.4413054905591
Saudi Arabia,SAU,1989,Agricultural land (% of land area),AG.LND.AGRI.ZS,55.0265387102326
Saudi Arabia,SAU,1988,Agricultural land (% of land area),AG.LND.AGRI.ZS,52.6261926138187
Saudi Arabia,SAU,1987,Agricultural land (% of land area),AG.LND.AGRI.ZS,50.230498350925
Saudi Arabia,SAU,1986,Agricultural land (% of land area),AG.LND.AGRI.ZS,47.8115449204304
Saudi Arabia,SAU,1985,Agricultural land (% of land area),AG.LND.AGRI.ZS,45.4135247407766
Saudi Arabia,SAU,1984,Agricultural land (% of land area),AG.LND.AGRI.ZS,42.9936409435779
Saudi Arabia,SAU,1983,Agricultural land (% of land area),AG.LND.AGRI.ZS,40.5965511306281
Saudi Arabia,SAU,1982,Agricultural land (% of land area),AG.LND.AGRI.ZS,40.5025840935205
Saudi Arabia,SAU,1981,Agricultural land (% of land area),AG.LND.AGRI.ZS,40.4769990091595
Saudi Arabia,SAU,1980,Agricultural land (% of land area),AG.LND.AGRI.ZS,40.4532746582065
Saudi Arabia,SAU,1979,Agricultural land (% of land area),AG.LND.AGRI.ZS,40.4286199405496
Saudi Arabia,SAU,1978,Agricultural land (% of land area),AG.LND.AGRI.ZS,40.4039652228926
Saudi Arabia,SAU,1977,Agricultural land (% of land area),AG.LND.AGRI.ZS,40.3797756885877
Saudi Arabia,SAU,1976,Agricultural land (% of land area),AG.LND.AGRI.ZS,40.3546557875787
Saudi Arabia,SAU,1975,Agricultural land (% of land area),AG.LND.AGRI.ZS,40.3239536863455
Saudi Arabia,SAU,1974,Agricultural land (% of land area),AG.LND.AGRI.ZS,40.3034856188567
Saudi Arabia,SAU,1973,Agricultural land (% of land area),AG.LND.AGRI.ZS,40.2709227842154
Saudi Arabia,SAU,1972,Agricultural land (% of land area),AG.LND.AGRI.ZS,40.2462680665584
Saudi Arabia,SAU,1971,Agricultural land (% of land area),AG.LND.AGRI.ZS,40.2230088989575
Saudi Arabia,SAU,1970,Agricultural land (% of land area),AG.LND.AGRI.ZS,40.2011452814127
Saudi Arabia,SAU,1969,Agricultural land (% of land area),AG.LND.AGRI.ZS,40.1802120305719
Saudi Arabia,SAU,1968,Agricultural land (% of land area),AG.LND.AGRI.ZS,40.1639306132512
Saudi Arabia,SAU,1967,Agricultural land (% of land area),AG.LND.AGRI.ZS,40.1471840125786
Saudi Arabia,SAU,1966,Agricultural land (% of land area),AG.LND.AGRI.ZS,40.1378803455382
Saudi Arabia,SAU,1965,Agricultural land (% of land area),AG.LND.AGRI.ZS,40.1276463117938
Saudi Arabia,SAU,1964,Agricultural land (% of land area),AG.LND.AGRI.ZS,40.1178774614014
Saudi Arabia,SAU,1963,Agricultural land (% of land area),AG.LND.AGRI.ZS,40.1043871441929
Saudi Arabia,SAU,1962,Agricultural land (% of land area),AG.LND.AGRI.ZS,40.0941531104485
Saudi Arabia,SAU,1961,Agricultural land (% of land area),AG.LND.AGRI.ZS,40.0848494434081
Saudi Arabia,SAU,2021,Arable land (% of land area),AG.LND.ARBL.ZS,1.59557889742242
Saudi Arabia,SAU,2020,Arable land (% of land area),AG.LND.ARBL.ZS,1.59557889742242
Saudi Arabia,SAU,2019,Arable land (% of land area),AG.LND.ARBL.ZS,1.59557889742242
Saudi Arabia,SAU,2018,Arable land (% of land area),AG.LND.ARBL.ZS,1.59557889742242
Saudi Arabia,SAU,2017,Arable land (% of land area),AG.LND.ARBL.ZS,1.59930036423856
Saudi Arabia,SAU,2016,Arable land (% of land area),AG.LND.ARBL.ZS,1.61744251496727
Saudi Arabia,SAU,2015,Arable land (% of land area),AG.LND.ARBL.ZS,1.62348989854351
Saudi Arabia,SAU,2014,Arable land (% of land area),AG.LND.ARBL.ZS,1.59557889742242
Saudi Arabia,SAU,2013,Arable land (% of land area),AG.LND.ARBL.ZS,1.42718252399183
Saudi Arabia,SAU,2012,Arable land (% of land area),AG.LND.ARBL.ZS,1.44997650824072
Saudi Arabia,SAU,2011,Arable land (% of land area),AG.LND.ARBL.ZS,1.46951420902549
Saudi Arabia,SAU,2010,Arable land (% of land area),AG.LND.ARBL.ZS,1.47928305941787
Saudi Arabia,SAU,2009,Arable land (% of land area),AG.LND.ARBL.ZS,1.48672599305016
Saudi Arabia,SAU,2008,Arable land (% of land area),AG.LND.ARBL.ZS,1.55324721238876
Saudi Arabia,SAU,2007,Arable land (% of land area),AG.LND.ARBL.ZS,1.60302183105471
Saudi Arabia,SAU,2006,Arable land (% of land area),AG.LND.ARBL.ZS,1.60488256446278
Saudi Arabia,SAU,2005,Arable land (% of land area),AG.LND.ARBL.ZS,1.62814173206369
Saudi Arabia,SAU,2004,Arable land (% of land area),AG.LND.ARBL.ZS,1.62814173206369
Saudi Arabia,SAU,2003,Arable land (% of land area),AG.LND.ARBL.ZS,1.67466006726551
Saudi Arabia,SAU,2002,Arable land (% of land area),AG.LND.ARBL.ZS,1.67466006726551
Saudi Arabia,SAU,2001,Arable land (% of land area),AG.LND.ARBL.ZS,1.67466006726551
Saudi Arabia,SAU,2000,Arable land (% of land area),AG.LND.ARBL.ZS,1.67093860044937
Saudi Arabia,SAU,1999,Arable land (% of land area),AG.LND.ARBL.ZS,1.6718689671534
Saudi Arabia,SAU,1998,Arable land (% of land area),AG.LND.ARBL.ZS,1.69187185129019
Saudi Arabia,SAU,1997,Arable land (% of land area),AG.LND.ARBL.ZS,1.69280221799422
Saudi Arabia,SAU,1996,Arable land (% of land area),AG.LND.ARBL.ZS,1.69605850145835
Saudi Arabia,SAU,1995,Arable land (% of land area),AG.LND.ARBL.ZS,1.70024515162651
Saudi Arabia,SAU,1994,Arable land (% of land area),AG.LND.ARBL.ZS,1.70582735185073
Saudi Arabia,SAU,1993,Arable land (% of land area),AG.LND.ARBL.ZS,1.70815326861082
Saudi Arabia,SAU,1992,Arable land (% of land area),AG.LND.ARBL.ZS,1.69791923486642
Saudi Arabia,SAU,1991,Arable land (% of land area),AG.LND.ARBL.ZS,1.66489121687313
Saudi Arabia,SAU,1990,Arable land (% of land area),AG.LND.ARBL.ZS,1.57697156334169
Saudi Arabia,SAU,1989,Arable land (% of land area),AG.LND.ARBL.ZS,1.48858672645823
Saudi Arabia,SAU,1988,Arable land (% of land area),AG.LND.ARBL.ZS,1.4188092236555
Saudi Arabia,SAU,1987,Arable land (% of land area),AG.LND.ARBL.ZS,1.34903172085277
Saudi Arabia,SAU,1986,Arable land (% of land area),AG.LND.ARBL.ZS,1.25599505044913
Saudi Arabia,SAU,1985,Arable land (% of land area),AG.LND.ARBL.ZS,1.1862175476464
Saudi Arabia,SAU,1984,Arable land (% of land area),AG.LND.ARBL.ZS,1.09318087724277
Saudi Arabia,SAU,1983,Arable land (% of land area),AG.LND.ARBL.ZS,1.02340337444004
Saudi Arabia,SAU,1982,Arable land (% of land area),AG.LND.ARBL.ZS,0.925714870516214
Saudi Arabia,SAU,1981,Arable land (% of land area),AG.LND.ARBL.ZS,0.902455702915304
Saudi Arabia,SAU,1980,Arable land (% of land area),AG.LND.ARBL.ZS,0.879196535314394
Saudi Arabia,SAU,1979,Arable land (% of land area),AG.LND.ARBL.ZS,0.855937367713484
Saudi Arabia,SAU,1978,Arable land (% of land area),AG.LND.ARBL.ZS,0.832678200112574
