Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
Serbia,SRB,2018,Agricultural land (sq. km),AG.LND.AGRI.K2,34640.0
Serbia,SRB,2017,Agricultural land (sq. km),AG.LND.AGRI.K2,34190.0
Serbia,SRB,2016,Agricultural land (sq. km),AG.LND.AGRI.K2,34560.0
Serbia,SRB,2015,Agricultural land (sq. km),AG.LND.AGRI.K2,34810.0
Serbia,SRB,2014,Agricultural land (sq. km),AG.LND.AGRI.K2,35064.0
Serbia,SRB,2013,Agricultural land (sq. km),AG.LND.AGRI.K2,34912.0
Serbia,SRB,2012,Agricultural land (sq. km),AG.LND.AGRI.K2,34626.0
Serbia,SRB,2011,Agricultural land (sq. km),AG.LND.AGRI.K2,35282.0
Serbia,SRB,2010,Agricultural land (sq. km),AG.LND.AGRI.K2,35216.0
Serbia,SRB,2009,Agricultural land (sq. km),AG.LND.AGRI.K2,35180.0
Serbia,SRB,2008,Agricultural land (sq. km),AG.LND.AGRI.K2,36036.0
Serbia,SRB,2007,Agricultural land (sq. km),AG.LND.AGRI.K2,35729.0
Serbia,SRB,2006,Agricultural land (sq. km),AG.LND.AGRI.K2,35370.0
Serbia,SRB,2005,Agricultural land (sq. km),AG.LND.AGRI.K2,35370.0
Serbia,SRB,2004,Agricultural land (sq. km),AG.LND.AGRI.K2,35370.0
Serbia,SRB,2003,Agricultural land (sq. km),AG.LND.AGRI.K2,35370.0
Serbia,SRB,2002,Agricultural land (sq. km),AG.LND.AGRI.K2,35370.0
Serbia,SRB,2001,Agricultural land (sq. km),AG.LND.AGRI.K2,35370.0
Serbia,SRB,2000,Agricultural land (sq. km),AG.LND.AGRI.K2,35370.0
Serbia,SRB,1999,Agricultural land (sq. km),AG.LND.AGRI.K2,35370.0
Serbia,SRB,1998,Agricultural land (sq. km),AG.LND.AGRI.K2,35370.0
Serbia,SRB,1997,Agricultural land (sq. km),AG.LND.AGRI.K2,35370.0
Serbia,SRB,1996,Agricultural land (sq. km),AG.LND.AGRI.K2,35370.0
Serbia,SRB,1995,Agricultural land (sq. km),AG.LND.AGRI.K2,35370.0
Serbia,SRB,1994,Agricultural land (sq. km),AG.LND.AGRI.K2,35370.0
Serbia,SRB,1993,Agricultural land (sq. km),AG.LND.AGRI.K2,35370.0
Serbia,SRB,1992,Agricultural land (sq. km),AG.LND.AGRI.K2,35370.0
Serbia,SRB,1991,Agricultural land (sq. km),AG.LND.AGRI.K2,35370.0
Serbia,SRB,1990,Agricultural land (sq. km),AG.LND.AGRI.K2,35370.0
Serbia,SRB,1989,Agricultural land (sq. km),AG.LND.AGRI.K2,35370.0
Serbia,SRB,1988,Agricultural land (sq. km),AG.LND.AGRI.K2,35370.0
Serbia,SRB,1987,Agricultural land (sq. km),AG.LND.AGRI.K2,35370.0
Serbia,SRB,1986,Agricultural land (sq. km),AG.LND.AGRI.K2,35370.0
Serbia,SRB,1985,Agricultural land (sq. km),AG.LND.AGRI.K2,35370.0
Serbia,SRB,1984,Agricultural land (sq. km),AG.LND.AGRI.K2,35370.0
Serbia,SRB,1983,Agricultural land (sq. km),AG.LND.AGRI.K2,35370.0
Serbia,SRB,1982,Agricultural land (sq. km),AG.LND.AGRI.K2,35370.0
Serbia,SRB,1981,Agricultural land (sq. km),AG.LND.AGRI.K2,35370.0
Serbia,SRB,1980,Agricultural land (sq. km),AG.LND.AGRI.K2,35370.0
Serbia,SRB,1979,Agricultural land (sq. km),AG.LND.AGRI.K2,35370.0
Serbia,SRB,1978,Agricultural land (sq. km),AG.LND.AGRI.K2,35370.0
Serbia,SRB,1977,Agricultural land (sq. km),AG.LND.AGRI.K2,35370.0
Serbia,SRB,1976,Agricultural land (sq. km),AG.LND.AGRI.K2,35370.0
Serbia,SRB,1975,Agricultural land (sq. km),AG.LND.AGRI.K2,35370.0
Serbia,SRB,1974,Agricultural land (sq. km),AG.LND.AGRI.K2,35370.0
Serbia,SRB,1973,Agricultural land (sq. km),AG.LND.AGRI.K2,35370.0
Serbia,SRB,1972,Agricultural land (sq. km),AG.LND.AGRI.K2,35370.0
