Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
Seychelles,SYC,2018,Agricultural land (sq. km),AG.LND.AGRI.K2,15.5
Seychelles,SYC,2017,Agricultural land (sq. km),AG.LND.AGRI.K2,15.5
Seychelles,SYC,2016,Agricultural land (sq. km),AG.LND.AGRI.K2,15.5
Seychelles,SYC,2015,Agricultural land (sq. km),AG.LND.AGRI.K2,15.5
Seychelles,SYC,2014,Agricultural land (sq. km),AG.LND.AGRI.K2,15.5
Seychelles,SYC,2013,Agricultural land (sq. km),AG.LND.AGRI.K2,15.5
Seychelles,SYC,2012,Agricultural land (sq. km),AG.LND.AGRI.K2,15.0
Seychelles,SYC,2011,Agricultural land (sq. km),AG.LND.AGRI.K2,15.0
Seychelles,SYC,2010,Agricultural land (sq. km),AG.LND.AGRI.K2,24.0
Seychelles,SYC,2009,Agricultural land (sq. km),AG.LND.AGRI.K2,29.0
Seychelles,SYC,2008,Agricultural land (sq. km),AG.LND.AGRI.K2,30.0
Seychelles,SYC,2007,Agricultural land (sq. km),AG.LND.AGRI.K2,30.0
Seychelles,SYC,2006,Agricultural land (sq. km),AG.LND.AGRI.K2,40.0
Seychelles,SYC,2005,Agricultural land (sq. km),AG.LND.AGRI.K2,40.0
Seychelles,SYC,2004,Agricultural land (sq. km),AG.LND.AGRI.K2,40.0
Seychelles,SYC,2003,Agricultural land (sq. km),AG.LND.AGRI.K2,40.0
Seychelles,SYC,2002,Agricultural land (sq. km),AG.LND.AGRI.K2,40.0
Seychelles,SYC,2001,Agricultural land (sq. km),AG.LND.AGRI.K2,40.0
Seychelles,SYC,2000,Agricultural land (sq. km),AG.LND.AGRI.K2,40.0
Seychelles,SYC,1999,Agricultural land (sq. km),AG.LND.AGRI.K2,40.0
Seychelles,SYC,1998,Agricultural land (sq. km),AG.LND.AGRI.K2,40.0
Seychelles,SYC,1997,Agricultural land (sq. km),AG.LND.AGRI.K2,40.0
Seychelles,SYC,1996,Agricultural land (sq. km),AG.LND.AGRI.K2,40.0
Seychelles,SYC,1995,Agricultural land (sq. km),AG.LND.AGRI.K2,40.0
Seychelles,SYC,1994,Agricultural land (sq. km),AG.LND.AGRI.K2,40.0
Seychelles,SYC,1993,Agricultural land (sq. km),AG.LND.AGRI.K2,40.0
Seychelles,SYC,1992,Agricultural land (sq. km),AG.LND.AGRI.K2,40.0
Seychelles,SYC,1991,Agricultural land (sq. km),AG.LND.AGRI.K2,40.0
Seychelles,SYC,1990,Agricultural land (sq. km),AG.LND.AGRI.K2,40.0
Seychelles,SYC,1989,Agricultural land (sq. km),AG.LND.AGRI.K2,50.0
Seychelles,SYC,1988,Agricultural land (sq. km),AG.LND.AGRI.K2,50.0
Seychelles,SYC,1987,Agricultural land (sq. km),AG.LND.AGRI.K2,60.0
Seychelles,SYC,1986,Agricultural land (sq. km),AG.LND.AGRI.K2,60.0
Seychelles,SYC,1985,Agricultural land (sq. km),AG.LND.AGRI.K2,60.0
Seychelles,SYC,1984,Agricultural land (sq. km),AG.LND.AGRI.K2,60.0
Seychelles,SYC,1983,Agricultural land (sq. km),AG.LND.AGRI.K2,60.0
Seychelles,SYC,1982,Agricultural land (sq. km),AG.LND.AGRI.K2,60.0
Seychelles,SYC,1981,Agricultural land (sq. km),AG.LND.AGRI.K2,50.0
Seychelles,SYC,1980,Agricultural land (sq. km),AG.LND.AGRI.K2,50.0
Seychelles,SYC,1979,Agricultural land (sq. km),AG.LND.AGRI.K2,50.0
Seychelles,SYC,1978,Agricultural land (sq. km),AG.LND.AGRI.K2,50.0
Seychelles,SYC,1977,Agricultural land (sq. km),AG.LND.AGRI.K2,50.0
Seychelles,SYC,1976,Agricultural land (sq. km),AG.LND.AGRI.K2,50.0
Seychelles,SYC,1975,Agricultural land (sq. km),AG.LND.AGRI.K2,50.0
Seychelles,SYC,1974,Agricultural land (sq. km),AG.LND.AGRI.K2,50.0
Seychelles,SYC,1973,Agricultural land (sq. km),AG.LND.AGRI.K2,50.0
Seychelles,SYC,1972,Agricultural land (sq. km),AG.LND.AGRI.K2,50.0
Seychelles,SYC,1971,Agricultural land (sq. km),AG.LND.AGRI.K2,50.0
Seychelles,SYC,1970,Agricultural land (sq. km),AG.LND.AGRI.K2,50.0
Seychelles,SYC,1969,Agricultural land (sq. km),AG.LND.AGRI.K2,50.0
Seychelles,SYC,1968,Agricultural land (sq. km),AG.LND.AGRI.K2,50.0
Seychelles,SYC,1967,Agricultural land (sq. km),AG.LND.AGRI.K2,50.0
Seychelles,SYC,1966,Agricultural land (sq. km),AG.LND.AGRI.K2,50.0
Seychelles,SYC,1965,Agricultural land (sq. km),AG.LND.AGRI.K2,50.0
Seychelles,SYC,1964,Agricultural land (sq. km),AG.LND.AGRI.K2,50.0
Seychelles,SYC,1963,Agricultural land (sq. km),AG.LND.AGRI.K2,50.0
Seychelles,SYC,1962,Agricultural land (sq. km),AG.LND.AGRI.K2,50.0
Seychelles,SYC,1961,Agricultural land (sq. km),AG.LND.AGRI.K2,50.0
Seychelles,SYC,2021,Agricultural land (% of land area),AG.LND.AGRI.ZS,3.3695652173913
Seychelles,SYC,2020,Agricultural land (% of land area),AG.LND.AGRI.ZS,3.3695652173913
Seychelles,SYC,2019,Agricultural land (% of land area),AG.LND.AGRI.ZS,3.3695652173913
Seychelles,SYC,2018,Agricultural land (% of land area),AG.LND.AGRI.ZS,3.3695652173913
Seychelles,SYC,2017,Agricultural land (% of land area),AG.LND.AGRI.ZS,3.3695652173913
Seychelles,SYC,2016,Agricultural land (% of land area),AG.LND.AGRI.ZS,3.3695652173913
Seychelles,SYC,2015,Agricultural land (% of land area),AG.LND.AGRI.ZS,3.3695652173913
Seychelles,SYC,2014,Agricultural land (% of land area),AG.LND.AGRI.ZS,3.3695652173913
Seychelles,SYC,2013,Agricultural land (% of land area),AG.LND.AGRI.ZS,3.3695652173913
Seychelles,SYC,2012,Agricultural land (% of land area),AG.LND.AGRI.ZS,3.26086956521739
Seychelles,SYC,2011,Agricultural land (% of land area),AG.LND.AGRI.ZS,3.26086956521739
Seychelles,SYC,2010,Agricultural land (% of land area),AG.LND.AGRI.ZS,5.21739130434783
Seychelles,SYC,2009,Agricultural land (% of land area),AG.LND.AGRI.ZS,6.30434782608696
Seychelles,SYC,2008,Agricultural land (% of land area),AG.LND.AGRI.ZS,6.52173913043478
Seychelles,SYC,2007,Agricultural land (% of land area),AG.LND.AGRI.ZS,6.52173913043478
Seychelles,SYC,2006,Agricultural land (% of land area),AG.LND.AGRI.ZS,8.69565217391304
Seychelles,SYC,2005,Agricultural land (% of land area),AG.LND.AGRI.ZS,8.69565217391304
Seychelles,SYC,2004,Agricultural land (% of land area),AG.LND.AGRI.ZS,8.69565217391304
Seychelles,SYC,2003,Agricultural land (% of land area),AG.LND.AGRI.ZS,8.69565217391304
Seychelles,SYC,2002,Agricultural land (% of land area),AG.LND.AGRI.ZS,8.69565217391304
Seychelles,SYC,2001,Agricultural land (% of land area),AG.LND.AGRI.ZS,8.69565217391304
Seychelles,SYC,2000,Agricultural land (% of land area),AG.LND.AGRI.ZS,8.69565217391304
Seychelles,SYC,1999,Agricultural land (% of land area),AG.LND.AGRI.ZS,8.69565217391304
Seychelles,SYC,1998,Agricultural land (% of land area),AG.LND.AGRI.ZS,8.69565217391304
Seychelles,SYC,1997,Agricultural land (% of land area),AG.LND.AGRI.ZS,8.69565217391304
Seychelles,SYC,1996,Agricultural land (% of land area),AG.LND.AGRI.ZS,8.69565217391304
Seychelles,SYC,1995,Agricultural land (% of land area),AG.LND.AGRI.ZS,8.69565217391304
Seychelles,SYC,1994,Agricultural land (% of land area),AG.LND.AGRI.ZS,8.69565217391304
Seychelles,SYC,1993,Agricultural land (% of land area),AG.LND.AGRI.ZS,8.69565217391304
Seychelles,SYC,1992,Agricultural land (% of land area),AG.LND.AGRI.ZS,8.69565217391304
Seychelles,SYC,1991,Agricultural land (% of land area),AG.LND.AGRI.ZS,8.69565217391304
Seychelles,SYC,1990,Agricultural land (% of land area),AG.LND.AGRI.ZS,8.69565217391304
Seychelles,SYC,1989,Agricultural land (% of land area),AG.LND.AGRI.ZS,10.8695652173913
Seychelles,SYC,1988,Agricultural land (% of land area),AG.LND.AGRI.ZS,10.8695652173913
Seychelles,SYC,1987,Agricultural land (% of land area),AG.LND.AGRI.ZS,13.0434782608696
Seychelles,SYC,1986,Agricultural land (% of land area),AG.LND.AGRI.ZS,13.0434782608696
Seychelles,SYC,1985,Agricultural land (% of land area),AG.LND.AGRI.ZS,13.0434782608696
Seychelles,SYC,1984,Agricultural land (% of land area),AG.LND.AGRI.ZS,13.0434782608696
Seychelles,SYC,1983,Agricultural land (% of land area),AG.LND.AGRI.ZS,13.0434782608696
Seychelles,SYC,1982,Agricultural land (% of land area),AG.LND.AGRI.ZS,13.0434782608696
Seychelles,SYC,1981,Agricultural land (% of land area),AG.LND.AGRI.ZS,10.8695652173913
Seychelles,SYC,1980,Agricultural land (% of land area),AG.LND.AGRI.ZS,10.8695652173913
Seychelles,SYC,1979,Agricultural land (% of land area),AG.LND.AGRI.ZS,10.8695652173913
Seychelles,SYC,1978,Agricultural land (% of land area),AG.LND.AGRI.ZS,10.8695652173913
Seychelles,SYC,1977,Agricultural land (% of land area),AG.LND.AGRI.ZS,10.8695652173913
Seychelles,SYC,1976,Agricultural land (% of land area),AG.LND.AGRI.ZS,10.8695652173913
