Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
Sierra Leone,SLE,2018,Agricultural land (sq. km),AG.LND.AGRI.K2,39490.0
Sierra Leone,SLE,2017,Agricultural land (sq. km),AG.LND.AGRI.K2,39490.0
Sierra Leone,SLE,2016,Agricultural land (sq. km),AG.LND.AGRI.K2,39490.0
Sierra Leone,SLE,2015,Agricultural land (sq. km),AG.LND.AGRI.K2,39490.0
Sierra Leone,SLE,2014,Agricultural land (sq. km),AG.LND.AGRI.K2,39490.0
Sierra Leone,SLE,2013,Agricultural land (sq. km),AG.LND.AGRI.K2,39486.5
Sierra Leone,SLE,2012,Agricultural land (sq. km),AG.LND.AGRI.K2,38366.5
Sierra Leone,SLE,2011,Agricultural land (sq. km),AG.LND.AGRI.K2,40176.3
Sierra Leone,SLE,2010,Agricultural land (sq. km),AG.LND.AGRI.K2,39303.8
Sierra Leone,SLE,2009,Agricultural land (sq. km),AG.LND.AGRI.K2,38009.7
Sierra Leone,SLE,2008,Agricultural land (sq. km),AG.LND.AGRI.K2,37122.3
Sierra Leone,SLE,2007,Agricultural land (sq. km),AG.LND.AGRI.K2,36237.2
Sierra Leone,SLE,2006,Agricultural land (sq. km),AG.LND.AGRI.K2,40298.8
Sierra Leone,SLE,2005,Agricultural land (sq. km),AG.LND.AGRI.K2,38120.2
Sierra Leone,SLE,2004,Agricultural land (sq. km),AG.LND.AGRI.K2,37727.3
Sierra Leone,SLE,2003,Agricultural land (sq. km),AG.LND.AGRI.K2,35666.7
Sierra Leone,SLE,2002,Agricultural land (sq. km),AG.LND.AGRI.K2,32300.8
Sierra Leone,SLE,2001,Agricultural land (sq. km),AG.LND.AGRI.K2,30015.2
Sierra Leone,SLE,2000,Agricultural land (sq. km),AG.LND.AGRI.K2,28100.0
Sierra Leone,SLE,1999,Agricultural land (sq. km),AG.LND.AGRI.K2,28040.0
Sierra Leone,SLE,1998,Agricultural land (sq. km),AG.LND.AGRI.K2,28090.0
Sierra Leone,SLE,1997,Agricultural land (sq. km),AG.LND.AGRI.K2,28090.0
Sierra Leone,SLE,1996,Agricultural land (sq. km),AG.LND.AGRI.K2,28100.0
Sierra Leone,SLE,1995,Agricultural land (sq. km),AG.LND.AGRI.K2,28100.0
Sierra Leone,SLE,1994,Agricultural land (sq. km),AG.LND.AGRI.K2,28100.0
Sierra Leone,SLE,1993,Agricultural land (sq. km),AG.LND.AGRI.K2,28110.0
Sierra Leone,SLE,1992,Agricultural land (sq. km),AG.LND.AGRI.K2,28150.0
Sierra Leone,SLE,1991,Agricultural land (sq. km),AG.LND.AGRI.K2,28250.0
Sierra Leone,SLE,1990,Agricultural land (sq. km),AG.LND.AGRI.K2,28250.0
Sierra Leone,SLE,1989,Agricultural land (sq. km),AG.LND.AGRI.K2,28250.0
Sierra Leone,SLE,1988,Agricultural land (sq. km),AG.LND.AGRI.K2,28250.0
Sierra Leone,SLE,1987,Agricultural land (sq. km),AG.LND.AGRI.K2,28240.0
Sierra Leone,SLE,1986,Agricultural land (sq. km),AG.LND.AGRI.K2,28190.0
