Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
Slovak Republic,SVK,2018,Agricultural land (sq. km),AG.LND.AGRI.K2,18890.0
Slovak Republic,SVK,2017,Agricultural land (sq. km),AG.LND.AGRI.K2,18790.0
Slovak Republic,SVK,2016,Agricultural land (sq. km),AG.LND.AGRI.K2,18860.0
Slovak Republic,SVK,2015,Agricultural land (sq. km),AG.LND.AGRI.K2,18886.0
Slovak Republic,SVK,2014,Agricultural land (sq. km),AG.LND.AGRI.K2,18894.0
Slovak Republic,SVK,2013,Agricultural land (sq. km),AG.LND.AGRI.K2,18934.0
Slovak Republic,SVK,2012,Agricultural land (sq. km),AG.LND.AGRI.K2,19274.0
Slovak Republic,SVK,2011,Agricultural land (sq. km),AG.LND.AGRI.K2,19297.0
Slovak Republic,SVK,2010,Agricultural land (sq. km),AG.LND.AGRI.K2,19447.0
Slovak Republic,SVK,2009,Agricultural land (sq. km),AG.LND.AGRI.K2,19300.0
Slovak Republic,SVK,2008,Agricultural land (sq. km),AG.LND.AGRI.K2,19370.0
Slovak Republic,SVK,2007,Agricultural land (sq. km),AG.LND.AGRI.K2,19300.0
Slovak Republic,SVK,2006,Agricultural land (sq. km),AG.LND.AGRI.K2,19390.0
Slovak Republic,SVK,2005,Agricultural land (sq. km),AG.LND.AGRI.K2,19410.0
Slovak Republic,SVK,2004,Agricultural land (sq. km),AG.LND.AGRI.K2,19340.0
Slovak Republic,SVK,2003,Agricultural land (sq. km),AG.LND.AGRI.K2,22360.0
Slovak Republic,SVK,2002,Agricultural land (sq. km),AG.LND.AGRI.K2,22370.0
Slovak Republic,SVK,2001,Agricultural land (sq. km),AG.LND.AGRI.K2,22550.0
Slovak Republic,SVK,2000,Agricultural land (sq. km),AG.LND.AGRI.K2,24400.0
Slovak Republic,SVK,1999,Agricultural land (sq. km),AG.LND.AGRI.K2,24430.0
Slovak Republic,SVK,1998,Agricultural land (sq. km),AG.LND.AGRI.K2,24430.0
Slovak Republic,SVK,1997,Agricultural land (sq. km),AG.LND.AGRI.K2,24450.0
Slovak Republic,SVK,1996,Agricultural land (sq. km),AG.LND.AGRI.K2,24440.0
Slovak Republic,SVK,1995,Agricultural land (sq. km),AG.LND.AGRI.K2,24460.0
Slovak Republic,SVK,1994,Agricultural land (sq. km),AG.LND.AGRI.K2,24460.0
Slovak Republic,SVK,1993,Agricultural land (sq. km),AG.LND.AGRI.K2,24460.0
Slovak Republic,SVK,1992,Agricultural land (sq. km),AG.LND.AGRI.K2,24460.0
Slovak Republic,SVK,1991,Agricultural land (sq. km),AG.LND.AGRI.K2,24460.0
Slovak Republic,SVK,1990,Agricultural land (sq. km),AG.LND.AGRI.K2,24460.0
Slovak Republic,SVK,1989,Agricultural land (sq. km),AG.LND.AGRI.K2,24460.0
Slovak Republic,SVK,1988,Agricultural land (sq. km),AG.LND.AGRI.K2,24460.0
Slovak Republic,SVK,1987,Agricultural land (sq. km),AG.LND.AGRI.K2,24460.0
Slovak Republic,SVK,1986,Agricultural land (sq. km),AG.LND.AGRI.K2,24460.0
Slovak Republic,SVK,1985,Agricultural land (sq. km),AG.LND.AGRI.K2,24460.0
Slovak Republic,SVK,1984,Agricultural land (sq. km),AG.LND.AGRI.K2,24460.0
Slovak Republic,SVK,1983,Agricultural land (sq. km),AG.LND.AGRI.K2,24460.0
Slovak Republic,SVK,1982,Agricultural land (sq. km),AG.LND.AGRI.K2,24460.0
Slovak Republic,SVK,1981,Agricultural land (sq. km),AG.LND.AGRI.K2,24460.0
Slovak Republic,SVK,1980,Agricultural land (sq. km),AG.LND.AGRI.K2,24460.0
Slovak Republic,SVK,1979,Agricultural land (sq. km),AG.LND.AGRI.K2,24460.0
Slovak Republic,SVK,1978,Agricultural land (sq. km),AG.LND.AGRI.K2,24460.0
Slovak Republic,SVK,1977,Agricultural land (sq. km),AG.LND.AGRI.K2,24460.0
Slovak Republic,SVK,1976,Agricultural land (sq. km),AG.LND.AGRI.K2,24460.0
Slovak Republic,SVK,1975,Agricultural land (sq. km),AG.LND.AGRI.K2,24460.0
Slovak Republic,SVK,1974,Agricultural land (sq. km),AG.LND.AGRI.K2,24460.0
Slovak Republic,SVK,1973,Agricultural land (sq. km),AG.LND.AGRI.K2,24460.0
Slovak Republic,SVK,1972,Agricultural land (sq. km),AG.LND.AGRI.K2,24460.0
Slovak Republic,SVK,1971,Agricultural land (sq. km),AG.LND.AGRI.K2,24460.0
Slovak Republic,SVK,1970,Agricultural land (sq. km),AG.LND.AGRI.K2,24460.0
Slovak Republic,SVK,1969,Agricultural land (sq. km),AG.LND.AGRI.K2,24460.0
Slovak Republic,SVK,1968,Agricultural land (sq. km),AG.LND.AGRI.K2,24460.0
Slovak Republic,SVK,1967,Agricultural land (sq. km),AG.LND.AGRI.K2,24460.0
Slovak Republic,SVK,1966,Agricultural land (sq. km),AG.LND.AGRI.K2,24460.0
Slovak Republic,SVK,1965,Agricultural land (sq. km),AG.LND.AGRI.K2,24460.0
Slovak Republic,SVK,1964,Agricultural land (sq. km),AG.LND.AGRI.K2,24460.0
Slovak Republic,SVK,1963,Agricultural land (sq. km),AG.LND.AGRI.K2,24460.0
Slovak Republic,SVK,1962,Agricultural land (sq. km),AG.LND.AGRI.K2,24460.0
Slovak Republic,SVK,1961,Agricultural land (sq. km),AG.LND.AGRI.K2,24460.0
Slovak Republic,SVK,2021,Agricultural land (% of land area),AG.LND.AGRI.ZS,38.6023294509151
