Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
Slovenia,SVN,2018,Agricultural land (sq. km),AG.LND.AGRI.K2,6120.0
Slovenia,SVN,2017,Agricultural land (sq. km),AG.LND.AGRI.K2,6150.4
Slovenia,SVN,2016,Agricultural land (sq. km),AG.LND.AGRI.K2,6174.8
Slovenia,SVN,2015,Agricultural land (sq. km),AG.LND.AGRI.K2,6164.9
Slovenia,SVN,2014,Agricultural land (sq. km),AG.LND.AGRI.K2,6148.4
Slovenia,SVN,2013,Agricultural land (sq. km),AG.LND.AGRI.K2,6102.1
Slovenia,SVN,2012,Agricultural land (sq. km),AG.LND.AGRI.K2,6117.9
Slovenia,SVN,2011,Agricultural land (sq. km),AG.LND.AGRI.K2,6206.1
Slovenia,SVN,2010,Agricultural land (sq. km),AG.LND.AGRI.K2,6238.6
Slovenia,SVN,2009,Agricultural land (sq. km),AG.LND.AGRI.K2,6251.2
Slovenia,SVN,2008,Agricultural land (sq. km),AG.LND.AGRI.K2,6185.6
Slovenia,SVN,2007,Agricultural land (sq. km),AG.LND.AGRI.K2,4980.0
Slovenia,SVN,2006,Agricultural land (sq. km),AG.LND.AGRI.K2,4910.0
Slovenia,SVN,2005,Agricultural land (sq. km),AG.LND.AGRI.K2,5090.0
Slovenia,SVN,2004,Agricultural land (sq. km),AG.LND.AGRI.K2,4920.0
Slovenia,SVN,2003,Agricultural land (sq. km),AG.LND.AGRI.K2,5100.0
Slovenia,SVN,2002,Agricultural land (sq. km),AG.LND.AGRI.K2,5050.0
Slovenia,SVN,2001,Agricultural land (sq. km),AG.LND.AGRI.K2,5100.0
Slovenia,SVN,2000,Agricultural land (sq. km),AG.LND.AGRI.K2,5180.0
Slovenia,SVN,1999,Agricultural land (sq. km),AG.LND.AGRI.K2,5000.0
Slovenia,SVN,1998,Agricultural land (sq. km),AG.LND.AGRI.K2,4900.0
Slovenia,SVN,1997,Agricultural land (sq. km),AG.LND.AGRI.K2,4950.0
Slovenia,SVN,1996,Agricultural land (sq. km),AG.LND.AGRI.K2,5250.0
Slovenia,SVN,1995,Agricultural land (sq. km),AG.LND.AGRI.K2,5380.0
Slovenia,SVN,1994,Agricultural land (sq. km),AG.LND.AGRI.K2,5490.0
Slovenia,SVN,1993,Agricultural land (sq. km),AG.LND.AGRI.K2,5600.0
Slovenia,SVN,1992,Agricultural land (sq. km),AG.LND.AGRI.K2,5640.0
Slovenia,SVN,1991,Agricultural land (sq. km),AG.LND.AGRI.K2,5640.0
Slovenia,SVN,1990,Agricultural land (sq. km),AG.LND.AGRI.K2,5640.0
Slovenia,SVN,1989,Agricultural land (sq. km),AG.LND.AGRI.K2,5640.0
Slovenia,SVN,1988,Agricultural land (sq. km),AG.LND.AGRI.K2,5640.0
Slovenia,SVN,1987,Agricultural land (sq. km),AG.LND.AGRI.K2,5640.0
Slovenia,SVN,1986,Agricultural land (sq. km),AG.LND.AGRI.K2,5640.0
Slovenia,SVN,1985,Agricultural land (sq. km),AG.LND.AGRI.K2,5640.0
Slovenia,SVN,1984,Agricultural land (sq. km),AG.LND.AGRI.K2,5640.0
Slovenia,SVN,1983,Agricultural land (sq. km),AG.LND.AGRI.K2,5640.0
Slovenia,SVN,1982,Agricultural land (sq. km),AG.LND.AGRI.K2,5640.0
Slovenia,SVN,1981,Agricultural land (sq. km),AG.LND.AGRI.K2,5640.0
Slovenia,SVN,1980,Agricultural land (sq. km),AG.LND.AGRI.K2,5640.0
Slovenia,SVN,1979,Agricultural land (sq. km),AG.LND.AGRI.K2,5640.0
Slovenia,SVN,1978,Agricultural land (sq. km),AG.LND.AGRI.K2,5640.0
Slovenia,SVN,1977,Agricultural land (sq. km),AG.LND.AGRI.K2,5640.0
Slovenia,SVN,1976,Agricultural land (sq. km),AG.LND.AGRI.K2,5640.0
Slovenia,SVN,1975,Agricultural land (sq. km),AG.LND.AGRI.K2,5640.0
Slovenia,SVN,1974,Agricultural land (sq. km),AG.LND.AGRI.K2,5640.0
Slovenia,SVN,1973,Agricultural land (sq. km),AG.LND.AGRI.K2,5640.0
Slovenia,SVN,1972,Agricultural land (sq. km),AG.LND.AGRI.K2,5640.0
Slovenia,SVN,1971,Agricultural land (sq. km),AG.LND.AGRI.K2,5640.0
Slovenia,SVN,1970,Agricultural land (sq. km),AG.LND.AGRI.K2,5640.0
Slovenia,SVN,1969,Agricultural land (sq. km),AG.LND.AGRI.K2,5640.0
Slovenia,SVN,1968,Agricultural land (sq. km),AG.LND.AGRI.K2,5640.0
Slovenia,SVN,1967,Agricultural land (sq. km),AG.LND.AGRI.K2,5640.0
Slovenia,SVN,1966,Agricultural land (sq. km),AG.LND.AGRI.K2,5640.0
Slovenia,SVN,1965,Agricultural land (sq. km),AG.LND.AGRI.K2,5640.0
Slovenia,SVN,1964,Agricultural land (sq. km),AG.LND.AGRI.K2,5640.0
Slovenia,SVN,1963,Agricultural land (sq. km),AG.LND.AGRI.K2,5640.0
Slovenia,SVN,1962,Agricultural land (sq. km),AG.LND.AGRI.K2,5640.0
Slovenia,SVN,1961,Agricultural land (sq. km),AG.LND.AGRI.K2,5640.0
Slovenia,SVN,2021,Agricultural land (% of land area),AG.LND.AGRI.ZS,30.3410738761646
Slovenia,SVN,2020,Agricultural land (% of land area),AG.LND.AGRI.ZS,30.3177330605272
Slovenia,SVN,2019,Agricultural land (% of land area),AG.LND.AGRI.ZS,30.4066268051886
Slovenia,SVN,2018,Agricultural land (% of land area),AG.LND.AGRI.ZS,30.3927216384259
Slovenia,SVN,2017,Agricultural land (% of land area),AG.LND.AGRI.ZS,30.5411136105194
Slovenia,SVN,2016,Agricultural land (% of land area),AG.LND.AGRI.ZS,30.6563399860987
Slovenia,SVN,2015,Agricultural land (% of land area),AG.LND.AGRI.ZS,30.6062772432556
Slovenia,SVN,2014,Agricultural land (% of land area),AG.LND.AGRI.ZS,30.5283018867925
Slovenia,SVN,2013,Agricultural land (% of land area),AG.LND.AGRI.ZS,30.298411122145
Slovenia,SVN,2012,Agricultural land (% of land area),AG.LND.AGRI.ZS,30.36826717364
Slovenia,SVN,2011,Agricultural land (% of land area),AG.LND.AGRI.ZS,30.8056189814355
Slovenia,SVN,2010,Agricultural land (% of land area),AG.LND.AGRI.ZS,30.9666339061461
Slovenia,SVN,2009,Agricultural land (% of land area),AG.LND.AGRI.ZS,31.0297928104121
Slovenia,SVN,2008,Agricultural land (% of land area),AG.LND.AGRI.ZS,30.7035569983421
Slovenia,SVN,2007,Agricultural land (% of land area),AG.LND.AGRI.ZS,24.7269116186693
Slovenia,SVN,2006,Agricultural land (% of land area),AG.LND.AGRI.ZS,24.3793445878848
Slovenia,SVN,2005,Agricultural land (% of land area),AG.LND.AGRI.ZS,25.2730883813307
Slovenia,SVN,2004,Agricultural land (% of land area),AG.LND.AGRI.ZS,24.428997020854
Slovenia,SVN,2003,Agricultural land (% of land area),AG.LND.AGRI.ZS,25.3227408142999
Slovenia,SVN,2002,Agricultural land (% of land area),AG.LND.AGRI.ZS,25.0744786494538
Slovenia,SVN,2001,Agricultural land (% of land area),AG.LND.AGRI.ZS,25.3227408142999
Slovenia,SVN,2000,Agricultural land (% of land area),AG.LND.AGRI.ZS,25.7199602780536
