Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
Solomon Islands,SLB,2018,Agricultural land (sq. km),AG.LND.AGRI.K2,1200.0
Solomon Islands,SLB,2017,Agricultural land (sq. km),AG.LND.AGRI.K2,1200.0
Solomon Islands,SLB,2016,Agricultural land (sq. km),AG.LND.AGRI.K2,1170.0
Solomon Islands,SLB,2015,Agricultural land (sq. km),AG.LND.AGRI.K2,1160.0
Solomon Islands,SLB,2014,Agricultural land (sq. km),AG.LND.AGRI.K2,1145.0
Solomon Islands,SLB,2013,Agricultural land (sq. km),AG.LND.AGRI.K2,1130.0
Solomon Islands,SLB,2012,Agricultural land (sq. km),AG.LND.AGRI.K2,1130.0
Solomon Islands,SLB,2011,Agricultural land (sq. km),AG.LND.AGRI.K2,1110.0
Solomon Islands,SLB,2010,Agricultural land (sq. km),AG.LND.AGRI.K2,1080.0
Solomon Islands,SLB,2009,Agricultural land (sq. km),AG.LND.AGRI.K2,1020.0
Solomon Islands,SLB,2008,Agricultural land (sq. km),AG.LND.AGRI.K2,990.0
Solomon Islands,SLB,2007,Agricultural land (sq. km),AG.LND.AGRI.K2,960.0
Solomon Islands,SLB,2006,Agricultural land (sq. km),AG.LND.AGRI.K2,950.0
Solomon Islands,SLB,2005,Agricultural land (sq. km),AG.LND.AGRI.K2,910.0
Solomon Islands,SLB,2004,Agricultural land (sq. km),AG.LND.AGRI.K2,840.0
Solomon Islands,SLB,2003,Agricultural land (sq. km),AG.LND.AGRI.K2,830.0
Solomon Islands,SLB,2002,Agricultural land (sq. km),AG.LND.AGRI.K2,790.0
Solomon Islands,SLB,2001,Agricultural land (sq. km),AG.LND.AGRI.K2,770.0
Solomon Islands,SLB,2000,Agricultural land (sq. km),AG.LND.AGRI.K2,760.0
Solomon Islands,SLB,1999,Agricultural land (sq. km),AG.LND.AGRI.K2,760.0
Solomon Islands,SLB,1998,Agricultural land (sq. km),AG.LND.AGRI.K2,740.0
Solomon Islands,SLB,1997,Agricultural land (sq. km),AG.LND.AGRI.K2,730.0
Solomon Islands,SLB,1996,Agricultural land (sq. km),AG.LND.AGRI.K2,730.0
Solomon Islands,SLB,1995,Agricultural land (sq. km),AG.LND.AGRI.K2,730.0
Solomon Islands,SLB,1994,Agricultural land (sq. km),AG.LND.AGRI.K2,720.0
Solomon Islands,SLB,1993,Agricultural land (sq. km),AG.LND.AGRI.K2,710.0
Solomon Islands,SLB,1992,Agricultural land (sq. km),AG.LND.AGRI.K2,710.0
Solomon Islands,SLB,1991,Agricultural land (sq. km),AG.LND.AGRI.K2,690.0
Solomon Islands,SLB,1990,Agricultural land (sq. km),AG.LND.AGRI.K2,680.0
Solomon Islands,SLB,1989,Agricultural land (sq. km),AG.LND.AGRI.K2,680.0
Solomon Islands,SLB,1988,Agricultural land (sq. km),AG.LND.AGRI.K2,670.0
Solomon Islands,SLB,1987,Agricultural land (sq. km),AG.LND.AGRI.K2,650.0
Solomon Islands,SLB,1986,Agricultural land (sq. km),AG.LND.AGRI.K2,660.0
Solomon Islands,SLB,1985,Agricultural land (sq. km),AG.LND.AGRI.K2,640.0
Solomon Islands,SLB,1984,Agricultural land (sq. km),AG.LND.AGRI.K2,640.0
Solomon Islands,SLB,1983,Agricultural land (sq. km),AG.LND.AGRI.K2,620.0
Solomon Islands,SLB,1982,Agricultural land (sq. km),AG.LND.AGRI.K2,620.0
Solomon Islands,SLB,1981,Agricultural land (sq. km),AG.LND.AGRI.K2,590.0
Solomon Islands,SLB,1980,Agricultural land (sq. km),AG.LND.AGRI.K2,590.0
Solomon Islands,SLB,1979,Agricultural land (sq. km),AG.LND.AGRI.K2,590.0
Solomon Islands,SLB,1978,Agricultural land (sq. km),AG.LND.AGRI.K2,570.0
Solomon Islands,SLB,1977,Agricultural land (sq. km),AG.LND.AGRI.K2,560.0
Solomon Islands,SLB,1976,Agricultural land (sq. km),AG.LND.AGRI.K2,550.0
Solomon Islands,SLB,1975,Agricultural land (sq. km),AG.LND.AGRI.K2,550.0
Solomon Islands,SLB,1974,Agricultural land (sq. km),AG.LND.AGRI.K2,550.0
Solomon Islands,SLB,1973,Agricultural land (sq. km),AG.LND.AGRI.K2,550.0
Solomon Islands,SLB,1972,Agricultural land (sq. km),AG.LND.AGRI.K2,550.0
Solomon Islands,SLB,1971,Agricultural land (sq. km),AG.LND.AGRI.K2,550.0
Solomon Islands,SLB,1970,Agricultural land (sq. km),AG.LND.AGRI.K2,550.0
Solomon Islands,SLB,1969,Agricultural land (sq. km),AG.LND.AGRI.K2,550.0
Solomon Islands,SLB,1968,Agricultural land (sq. km),AG.LND.AGRI.K2,550.0
Solomon Islands,SLB,1967,Agricultural land (sq. km),AG.LND.AGRI.K2,550.0
Solomon Islands,SLB,1966,Agricultural land (sq. km),AG.LND.AGRI.K2,550.0
Solomon Islands,SLB,1965,Agricultural land (sq. km),AG.LND.AGRI.K2,550.0
Solomon Islands,SLB,1964,Agricultural land (sq. km),AG.LND.AGRI.K2,550.0
Solomon Islands,SLB,1963,Agricultural land (sq. km),AG.LND.AGRI.K2,550.0
Solomon Islands,SLB,1962,Agricultural land (sq. km),AG.LND.AGRI.K2,550.0
Solomon Islands,SLB,1961,Agricultural land (sq. km),AG.LND.AGRI.K2,550.0
Solomon Islands,SLB,2021,Agricultural land (% of land area),AG.LND.AGRI.ZS,4.28724544480171
Solomon Islands,SLB,2020,Agricultural land (% of land area),AG.LND.AGRI.ZS,4.28724544480171
Solomon Islands,SLB,2019,Agricultural land (% of land area),AG.LND.AGRI.ZS,4.28724544480171
Solomon Islands,SLB,2018,Agricultural land (% of land area),AG.LND.AGRI.ZS,4.28724544480171
Solomon Islands,SLB,2017,Agricultural land (% of land area),AG.LND.AGRI.ZS,4.28724544480171
Solomon Islands,SLB,2016,Agricultural land (% of land area),AG.LND.AGRI.ZS,4.18006430868167
Solomon Islands,SLB,2015,Agricultural land (% of land area),AG.LND.AGRI.ZS,4.14433726330832
Solomon Islands,SLB,2014,Agricultural land (% of land area),AG.LND.AGRI.ZS,4.0907466952483
Solomon Islands,SLB,2013,Agricultural land (% of land area),AG.LND.AGRI.ZS,4.03715612718828
Solomon Islands,SLB,2012,Agricultural land (% of land area),AG.LND.AGRI.ZS,4.03715612718828
Solomon Islands,SLB,2011,Agricultural land (% of land area),AG.LND.AGRI.ZS,3.96570203644159
Solomon Islands,SLB,2010,Agricultural land (% of land area),AG.LND.AGRI.ZS,3.85852090032154
Solomon Islands,SLB,2009,Agricultural land (% of land area),AG.LND.AGRI.ZS,3.64415862808146
Solomon Islands,SLB,2008,Agricultural land (% of land area),AG.LND.AGRI.ZS,3.53697749196141
Solomon Islands,SLB,2007,Agricultural land (% of land area),AG.LND.AGRI.ZS,3.42979635584137
Solomon Islands,SLB,2006,Agricultural land (% of land area),AG.LND.AGRI.ZS,3.39406931046802
Solomon Islands,SLB,2005,Agricultural land (% of land area),AG.LND.AGRI.ZS,3.25116112897463
Solomon Islands,SLB,2004,Agricultural land (% of land area),AG.LND.AGRI.ZS,3.0010718113612
Solomon Islands,SLB,2003,Agricultural land (% of land area),AG.LND.AGRI.ZS,2.96534476598785
Solomon Islands,SLB,2002,Agricultural land (% of land area),AG.LND.AGRI.ZS,2.82243658449446
Solomon Islands,SLB,2001,Agricultural land (% of land area),AG.LND.AGRI.ZS,2.75098249374777
Solomon Islands,SLB,2000,Agricultural land (% of land area),AG.LND.AGRI.ZS,2.71525544837442
Solomon Islands,SLB,1999,Agricultural land (% of land area),AG.LND.AGRI.ZS,2.71525544837442
Solomon Islands,SLB,1998,Agricultural land (% of land area),AG.LND.AGRI.ZS,2.64380135762772
Solomon Islands,SLB,1997,Agricultural land (% of land area),AG.LND.AGRI.ZS,2.60807431225438
Solomon Islands,SLB,1996,Agricultural land (% of land area),AG.LND.AGRI.ZS,2.60807431225438
Solomon Islands,SLB,1995,Agricultural land (% of land area),AG.LND.AGRI.ZS,2.60807431225438
Solomon Islands,SLB,1994,Agricultural land (% of land area),AG.LND.AGRI.ZS,2.57234726688103
Solomon Islands,SLB,1993,Agricultural land (% of land area),AG.LND.AGRI.ZS,2.53662022150768
Solomon Islands,SLB,1992,Agricultural land (% of land area),AG.LND.AGRI.ZS,2.53662022150768
Solomon Islands,SLB,1991,Agricultural land (% of land area),AG.LND.AGRI.ZS,2.46516613076099
Solomon Islands,SLB,1990,Agricultural land (% of land area),AG.LND.AGRI.ZS,2.42943908538764
Solomon Islands,SLB,1989,Agricultural land (% of land area),AG.LND.AGRI.ZS,2.42943908538764
Solomon Islands,SLB,1988,Agricultural land (% of land area),AG.LND.AGRI.ZS,2.39371204001429
Solomon Islands,SLB,1987,Agricultural land (% of land area),AG.LND.AGRI.ZS,2.3222579492676
Solomon Islands,SLB,1986,Agricultural land (% of land area),AG.LND.AGRI.ZS,2.35798499464094
Solomon Islands,SLB,1985,Agricultural land (% of land area),AG.LND.AGRI.ZS,2.28653090389425
Solomon Islands,SLB,1984,Agricultural land (% of land area),AG.LND.AGRI.ZS,2.28653090389425
Solomon Islands,SLB,1983,Agricultural land (% of land area),AG.LND.AGRI.ZS,2.21507681314755
Solomon Islands,SLB,1982,Agricultural land (% of land area),AG.LND.AGRI.ZS,2.21507681314755
Solomon Islands,SLB,1981,Agricultural land (% of land area),AG.LND.AGRI.ZS,2.10789567702751
Solomon Islands,SLB,1980,Agricultural land (% of land area),AG.LND.AGRI.ZS,2.10789567702751
Solomon Islands,SLB,1979,Agricultural land (% of land area),AG.LND.AGRI.ZS,2.10789567702751
Solomon Islands,SLB,1978,Agricultural land (% of land area),AG.LND.AGRI.ZS,2.03644158628081
Solomon Islands,SLB,1977,Agricultural land (% of land area),AG.LND.AGRI.ZS,2.00071454090747
Solomon Islands,SLB,1976,Agricultural land (% of land area),AG.LND.AGRI.ZS,1.96498749553412
Solomon Islands,SLB,1975,Agricultural land (% of land area),AG.LND.AGRI.ZS,1.96498749553412
