Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
South Africa,ZAF,2018,Agricultural land (sq. km),AG.LND.AGRI.K2,963410.0
South Africa,ZAF,2017,Agricultural land (sq. km),AG.LND.AGRI.K2,963410.0
South Africa,ZAF,2016,Agricultural land (sq. km),AG.LND.AGRI.K2,963410.0
South Africa,ZAF,2015,Agricultural land (sq. km),AG.LND.AGRI.K2,963410.0
South Africa,ZAF,2014,Agricultural land (sq. km),AG.LND.AGRI.K2,963410.0
South Africa,ZAF,2013,Agricultural land (sq. km),AG.LND.AGRI.K2,963410.0
South Africa,ZAF,2012,Agricultural land (sq. km),AG.LND.AGRI.K2,963410.0
South Africa,ZAF,2011,Agricultural land (sq. km),AG.LND.AGRI.K2,963740.0
South Africa,ZAF,2010,Agricultural land (sq. km),AG.LND.AGRI.K2,968910.0
South Africa,ZAF,2009,Agricultural land (sq. km),AG.LND.AGRI.K2,969880.0
South Africa,ZAF,2008,Agricultural land (sq. km),AG.LND.AGRI.K2,971080.0
South Africa,ZAF,2007,Agricultural land (sq. km),AG.LND.AGRI.K2,968900.0
South Africa,ZAF,2006,Agricultural land (sq. km),AG.LND.AGRI.K2,968880.0
South Africa,ZAF,2005,Agricultural land (sq. km),AG.LND.AGRI.K2,974830.0
South Africa,ZAF,2004,Agricultural land (sq. km),AG.LND.AGRI.K2,976080.0
South Africa,ZAF,2003,Agricultural land (sq. km),AG.LND.AGRI.K2,979280.0
South Africa,ZAF,2002,Agricultural land (sq. km),AG.LND.AGRI.K2,980280.0
South Africa,ZAF,2001,Agricultural land (sq. km),AG.LND.AGRI.K2,980130.0
South Africa,ZAF,2000,Agricultural land (sq. km),AG.LND.AGRI.K2,981250.0
South Africa,ZAF,1999,Agricultural land (sq. km),AG.LND.AGRI.K2,980580.0
South Africa,ZAF,1998,Agricultural land (sq. km),AG.LND.AGRI.K2,979880.0
South Africa,ZAF,1997,Agricultural land (sq. km),AG.LND.AGRI.K2,979450.0
South Africa,ZAF,1996,Agricultural land (sq. km),AG.LND.AGRI.K2,978900.0
South Africa,ZAF,1995,Agricultural land (sq. km),AG.LND.AGRI.K2,975200.0
South Africa,ZAF,1994,Agricultural land (sq. km),AG.LND.AGRI.K2,972650.0
South Africa,ZAF,1993,Agricultural land (sq. km),AG.LND.AGRI.K2,969360.0
South Africa,ZAF,1992,Agricultural land (sq. km),AG.LND.AGRI.K2,964730.0
South Africa,ZAF,1991,Agricultural land (sq. km),AG.LND.AGRI.K2,960050.0
South Africa,ZAF,1990,Agricultural land (sq. km),AG.LND.AGRI.K2,956000.0
South Africa,ZAF,1989,Agricultural land (sq. km),AG.LND.AGRI.K2,953000.0
South Africa,ZAF,1988,Agricultural land (sq. km),AG.LND.AGRI.K2,949000.0
South Africa,ZAF,1987,Agricultural land (sq. km),AG.LND.AGRI.K2,946500.0
South Africa,ZAF,1986,Agricultural land (sq. km),AG.LND.AGRI.K2,944000.0
South Africa,ZAF,1985,Agricultural land (sq. km),AG.LND.AGRI.K2,940330.0
South Africa,ZAF,1984,Agricultural land (sq. km),AG.LND.AGRI.K2,940330.0
