Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
St. Lucia,LCA,2018,Agricultural land (sq. km),AG.LND.AGRI.K2,99.4
St. Lucia,LCA,2017,Agricultural land (sq. km),AG.LND.AGRI.K2,99.4
St. Lucia,LCA,2016,Agricultural land (sq. km),AG.LND.AGRI.K2,99.4
St. Lucia,LCA,2015,Agricultural land (sq. km),AG.LND.AGRI.K2,99.4
St. Lucia,LCA,2014,Agricultural land (sq. km),AG.LND.AGRI.K2,99.4
St. Lucia,LCA,2013,Agricultural land (sq. km),AG.LND.AGRI.K2,99.4
St. Lucia,LCA,2012,Agricultural land (sq. km),AG.LND.AGRI.K2,99.4
St. Lucia,LCA,2011,Agricultural land (sq. km),AG.LND.AGRI.K2,99.4
St. Lucia,LCA,2010,Agricultural land (sq. km),AG.LND.AGRI.K2,99.4
St. Lucia,LCA,2009,Agricultural land (sq. km),AG.LND.AGRI.K2,99.4
St. Lucia,LCA,2008,Agricultural land (sq. km),AG.LND.AGRI.K2,99.4
St. Lucia,LCA,2007,Agricultural land (sq. km),AG.LND.AGRI.K2,99.3
St. Lucia,LCA,2006,Agricultural land (sq. km),AG.LND.AGRI.K2,101.0
St. Lucia,LCA,2005,Agricultural land (sq. km),AG.LND.AGRI.K2,109.0
St. Lucia,LCA,2004,Agricultural land (sq. km),AG.LND.AGRI.K2,111.0
St. Lucia,LCA,2003,Agricultural land (sq. km),AG.LND.AGRI.K2,124.0
St. Lucia,LCA,2002,Agricultural land (sq. km),AG.LND.AGRI.K2,131.0
St. Lucia,LCA,2001,Agricultural land (sq. km),AG.LND.AGRI.K2,139.0
St. Lucia,LCA,2000,Agricultural land (sq. km),AG.LND.AGRI.K2,142.0
St. Lucia,LCA,1999,Agricultural land (sq. km),AG.LND.AGRI.K2,154.0
St. Lucia,LCA,1998,Agricultural land (sq. km),AG.LND.AGRI.K2,155.0
St. Lucia,LCA,1997,Agricultural land (sq. km),AG.LND.AGRI.K2,170.0
St. Lucia,LCA,1996,Agricultural land (sq. km),AG.LND.AGRI.K2,174.0
St. Lucia,LCA,1995,Agricultural land (sq. km),AG.LND.AGRI.K2,180.0
St. Lucia,LCA,1994,Agricultural land (sq. km),AG.LND.AGRI.K2,195.0
St. Lucia,LCA,1993,Agricultural land (sq. km),AG.LND.AGRI.K2,197.0
St. Lucia,LCA,1992,Agricultural land (sq. km),AG.LND.AGRI.K2,197.0
St. Lucia,LCA,1991,Agricultural land (sq. km),AG.LND.AGRI.K2,198.0
St. Lucia,LCA,1990,Agricultural land (sq. km),AG.LND.AGRI.K2,209.0
St. Lucia,LCA,1989,Agricultural land (sq. km),AG.LND.AGRI.K2,210.0
St. Lucia,LCA,1988,Agricultural land (sq. km),AG.LND.AGRI.K2,210.0
St. Lucia,LCA,1987,Agricultural land (sq. km),AG.LND.AGRI.K2,210.0
St. Lucia,LCA,1986,Agricultural land (sq. km),AG.LND.AGRI.K2,212.0
St. Lucia,LCA,1985,Agricultural land (sq. km),AG.LND.AGRI.K2,218.0
St. Lucia,LCA,1984,Agricultural land (sq. km),AG.LND.AGRI.K2,215.0
St. Lucia,LCA,1983,Agricultural land (sq. km),AG.LND.AGRI.K2,212.0
