Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
St. Martin (French part),MAF,2015,Rural land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.RU.ZS,14.2006239661769
St. Martin (French part),MAF,2000,Rural land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.RU.ZS,16.7391935262498
St. Martin (French part),MAF,1990,Rural land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.RU.ZS,21.5924575179098
St. Martin (French part),MAF,2015,Urban land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.UR.K2,6.29246141296
St. Martin (French part),MAF,2000,Urban land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.UR.K2,5.03388083726
St. Martin (French part),MAF,1990,Urban land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.UR.K2,2.62771325186
St. Martin (French part),MAF,2015,Urban land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.UR.ZS,12.6919573600679
St. Martin (French part),MAF,2000,Urban land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.UR.ZS,10.1533877999765
St. Martin (French part),MAF,1990,Urban land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.UR.ZS,5.30012380820814
St. Martin (French part),MAF,2015,Land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.ZS,26.8925813262449
St. Martin (French part),MAF,2000,Land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.ZS,26.8925813262263
St. Martin (French part),MAF,1990,Land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.ZS,26.892581326118
St. Martin (French part),MAF,2021,Forest area (sq. km),AG.LND.FRST.K2,12.4
St. Martin (French part),MAF,2020,Forest area (sq. km),AG.LND.FRST.K2,12.4
St. Martin (French part),MAF,2019,Forest area (sq. km),AG.LND.FRST.K2,12.4
St. Martin (French part),MAF,2018,Forest area (sq. km),AG.LND.FRST.K2,12.4
St. Martin (French part),MAF,2017,Forest area (sq. km),AG.LND.FRST.K2,12.4
St. Martin (French part),MAF,2016,Forest area (sq. km),AG.LND.FRST.K2,12.4
St. Martin (French part),MAF,2015,Forest area (sq. km),AG.LND.FRST.K2,12.4
St. Martin (French part),MAF,2014,Forest area (sq. km),AG.LND.FRST.K2,12.4
St. Martin (French part),MAF,2013,Forest area (sq. km),AG.LND.FRST.K2,12.4
St. Martin (French part),MAF,2012,Forest area (sq. km),AG.LND.FRST.K2,12.4
St. Martin (French part),MAF,2011,Forest area (sq. km),AG.LND.FRST.K2,12.4
St. Martin (French part),MAF,2021,Forest area (% of land area),AG.LND.FRST.ZS,24.8
St. Martin (French part),MAF,2020,Forest area (% of land area),AG.LND.FRST.ZS,24.8
St. Martin (French part),MAF,2019,Forest area (% of land area),AG.LND.FRST.ZS,24.8
St. Martin (French part),MAF,2018,Forest area (% of land area),AG.LND.FRST.ZS,24.8
St. Martin (French part),MAF,2017,Forest area (% of land area),AG.LND.FRST.ZS,24.8
St. Martin (French part),MAF,2016,Forest area (% of land area),AG.LND.FRST.ZS,24.8
St. Martin (French part),MAF,2015,Forest area (% of land area),AG.LND.FRST.ZS,24.8
St. Martin (French part),MAF,2014,Forest area (% of land area),AG.LND.FRST.ZS,24.8
St. Martin (French part),MAF,2013,Forest area (% of land area),AG.LND.FRST.ZS,24.8
St. Martin (French part),MAF,2012,Forest area (% of land area),AG.LND.FRST.ZS,24.8
St. Martin (French part),MAF,2011,Forest area (% of land area),AG.LND.FRST.ZS,24.8
St. Martin (French part),MAF,2021,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0
St. Martin (French part),MAF,2020,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0
St. Martin (French part),MAF,2019,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0
St. Martin (French part),MAF,2018,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0
St. Martin (French part),MAF,2017,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0
St. Martin (French part),MAF,2016,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0
St. Martin (French part),MAF,2015,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0
St. Martin (French part),MAF,2014,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0
St. Martin (French part),MAF,2013,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0
St. Martin (French part),MAF,2012,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0
St. Martin (French part),MAF,2011,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0
St. Martin (French part),MAF,2010,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0
St. Martin (French part),MAF,2009,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.7433242797852
St. Martin (French part),MAF,2008,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.7128677368164
St. Martin (French part),MAF,2007,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.6957931518555
St. Martin (French part),MAF,2006,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.6959457397461
St. Martin (French part),MAF,2005,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.7169418334961
St. Martin (French part),MAF,2004,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.7571868896484
St. Martin (French part),MAF,2003,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.8099060058594
St. Martin (French part),MAF,2002,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.8680953979492
St. Martin (French part),MAF,2001,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.9201354980469
St. Martin (French part),MAF,2000,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.9613265991211
St. Martin (French part),MAF,1999,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0
St. Martin (French part),MAF,1998,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0
St. Martin (French part),MAF,1997,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0
St. Martin (French part),MAF,1996,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0
St. Martin (French part),MAF,1995,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0
St. Martin (French part),MAF,1994,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0
St. Martin (French part),MAF,1993,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0
St. Martin (French part),MAF,1992,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0
St. Martin (French part),MAF,1991,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0
St. Martin (French part),MAF,1990,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0
St. Martin (French part),MAF,2015,Rural population living in areas where elevation is below 5 meters (% of total population),EN.POP.EL5M.RU.ZS,3.06750329015774
St. Martin (French part),MAF,2000,Rural population living in areas where elevation is below 5 meters (% of total population),EN.POP.EL5M.RU.ZS,6.1624324768624
St. Martin (French part),MAF,1990,Rural population living in areas where elevation is below 5 meters (% of total population),EN.POP.EL5M.RU.ZS,17.3682709500077
St. Martin (French part),MAF,2015,Urban population living in areas where elevation is below 5 meters (% of total population),EN.POP.EL5M.UR.ZS,25.6116349326706
St. Martin (French part),MAF,2000,Urban population living in areas where elevation is below 5 meters (% of total population),EN.POP.EL5M.UR.ZS,22.1842228000098
St. Martin (French part),MAF,1990,Urban population living in areas where elevation is below 5 meters (% of total population),EN.POP.EL5M.UR.ZS,17.1675818977697
