Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
St. Vincent and the Grenadines,VCT,2018,Agricultural land (sq. km),AG.LND.AGRI.K2,70.0
St. Vincent and the Grenadines,VCT,2017,Agricultural land (sq. km),AG.LND.AGRI.K2,70.0
St. Vincent and the Grenadines,VCT,2016,Agricultural land (sq. km),AG.LND.AGRI.K2,70.0
St. Vincent and the Grenadines,VCT,2015,Agricultural land (sq. km),AG.LND.AGRI.K2,70.0
St. Vincent and the Grenadines,VCT,2014,Agricultural land (sq. km),AG.LND.AGRI.K2,70.0
St. Vincent and the Grenadines,VCT,2013,Agricultural land (sq. km),AG.LND.AGRI.K2,70.0
St. Vincent and the Grenadines,VCT,2012,Agricultural land (sq. km),AG.LND.AGRI.K2,70.0
St. Vincent and the Grenadines,VCT,2011,Agricultural land (sq. km),AG.LND.AGRI.K2,70.0
St. Vincent and the Grenadines,VCT,2010,Agricultural land (sq. km),AG.LND.AGRI.K2,70.0
St. Vincent and the Grenadines,VCT,2009,Agricultural land (sq. km),AG.LND.AGRI.K2,70.0
St. Vincent and the Grenadines,VCT,2008,Agricultural land (sq. km),AG.LND.AGRI.K2,70.0
St. Vincent and the Grenadines,VCT,2007,Agricultural land (sq. km),AG.LND.AGRI.K2,70.0
St. Vincent and the Grenadines,VCT,2006,Agricultural land (sq. km),AG.LND.AGRI.K2,70.0
St. Vincent and the Grenadines,VCT,2005,Agricultural land (sq. km),AG.LND.AGRI.K2,70.0
St. Vincent and the Grenadines,VCT,2004,Agricultural land (sq. km),AG.LND.AGRI.K2,70.0
St. Vincent and the Grenadines,VCT,2003,Agricultural land (sq. km),AG.LND.AGRI.K2,70.0
St. Vincent and the Grenadines,VCT,2002,Agricultural land (sq. km),AG.LND.AGRI.K2,70.0
St. Vincent and the Grenadines,VCT,2001,Agricultural land (sq. km),AG.LND.AGRI.K2,70.0
St. Vincent and the Grenadines,VCT,2000,Agricultural land (sq. km),AG.LND.AGRI.K2,70.0
St. Vincent and the Grenadines,VCT,1999,Agricultural land (sq. km),AG.LND.AGRI.K2,73.4
St. Vincent and the Grenadines,VCT,1998,Agricultural land (sq. km),AG.LND.AGRI.K2,77.0
St. Vincent and the Grenadines,VCT,1997,Agricultural land (sq. km),AG.LND.AGRI.K2,80.6
St. Vincent and the Grenadines,VCT,1996,Agricultural land (sq. km),AG.LND.AGRI.K2,84.2
St. Vincent and the Grenadines,VCT,1995,Agricultural land (sq. km),AG.LND.AGRI.K2,87.8
St. Vincent and the Grenadines,VCT,1994,Agricultural land (sq. km),AG.LND.AGRI.K2,91.4
St. Vincent and the Grenadines,VCT,1993,Agricultural land (sq. km),AG.LND.AGRI.K2,95.0
St. Vincent and the Grenadines,VCT,1992,Agricultural land (sq. km),AG.LND.AGRI.K2,98.6
