Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
Sudan,SDN,2018,Agricultural land (sq. km),AG.LND.AGRI.K2,1126646.4
Sudan,SDN,2017,Agricultural land (sq. km),AG.LND.AGRI.K2,1123597.2
Sudan,SDN,2016,Agricultural land (sq. km),AG.LND.AGRI.K2,1120548.0
Sudan,SDN,2015,Agricultural land (sq. km),AG.LND.AGRI.K2,1117498.8
Sudan,SDN,2014,Agricultural land (sq. km),AG.LND.AGRI.K2,1114449.6
Sudan,SDN,2013,Agricultural land (sq. km),AG.LND.AGRI.K2,1114533.6
Sudan,SDN,2012,Agricultural land (sq. km),AG.LND.AGRI.K2,1114659.6
Sudan,SDN,2011,Agricultural land (sq. km),AG.LND.AGRI.K2,1372462.0
Sudan,SDN,2010,Agricultural land (sq. km),AG.LND.AGRI.K2,1372462.0
Sudan,SDN,2009,Agricultural land (sq. km),AG.LND.AGRI.K2,1372658.0
Sudan,SDN,2008,Agricultural land (sq. km),AG.LND.AGRI.K2,1366980.0
Sudan,SDN,2007,Agricultural land (sq. km),AG.LND.AGRI.K2,1366150.0
Sudan,SDN,2006,Agricultural land (sq. km),AG.LND.AGRI.K2,1360530.0
Sudan,SDN,2005,Agricultural land (sq. km),AG.LND.AGRI.K2,1352200.0
Sudan,SDN,2004,Agricultural land (sq. km),AG.LND.AGRI.K2,1344970.0
Sudan,SDN,2003,Agricultural land (sq. km),AG.LND.AGRI.K2,1345300.0
Sudan,SDN,2002,Agricultural land (sq. km),AG.LND.AGRI.K2,1326140.0
Sudan,SDN,2001,Agricultural land (sq. km),AG.LND.AGRI.K2,1320930.0
Sudan,SDN,2000,Agricultural land (sq. km),AG.LND.AGRI.K2,1315750.0
Sudan,SDN,1999,Agricultural land (sq. km),AG.LND.AGRI.K2,1313520.0
Sudan,SDN,1998,Agricultural land (sq. km),AG.LND.AGRI.K2,1311020.0
Sudan,SDN,1997,Agricultural land (sq. km),AG.LND.AGRI.K2,1308320.0
Sudan,SDN,1996,Agricultural land (sq. km),AG.LND.AGRI.K2,1305390.0
Sudan,SDN,1995,Agricultural land (sq. km),AG.LND.AGRI.K2,1296440.0
Sudan,SDN,1994,Agricultural land (sq. km),AG.LND.AGRI.K2,1281150.0
Sudan,SDN,1993,Agricultural land (sq. km),AG.LND.AGRI.K2,1267330.0
Sudan,SDN,1992,Agricultural land (sq. km),AG.LND.AGRI.K2,1240150.0
Sudan,SDN,1991,Agricultural land (sq. km),AG.LND.AGRI.K2,1229650.0
Sudan,SDN,1990,Agricultural land (sq. km),AG.LND.AGRI.K2,1229100.0
Sudan,SDN,1989,Agricultural land (sq. km),AG.LND.AGRI.K2,1228600.0
Sudan,SDN,1988,Agricultural land (sq. km),AG.LND.AGRI.K2,1208450.0
Sudan,SDN,1987,Agricultural land (sq. km),AG.LND.AGRI.K2,1178050.0
Sudan,SDN,1986,Agricultural land (sq. km),AG.LND.AGRI.K2,1157500.0
Sudan,SDN,1985,Agricultural land (sq. km),AG.LND.AGRI.K2,1127000.0
Sudan,SDN,1984,Agricultural land (sq. km),AG.LND.AGRI.K2,1106450.0
Sudan,SDN,1983,Agricultural land (sq. km),AG.LND.AGRI.K2,1105900.0
Sudan,SDN,1982,Agricultural land (sq. km),AG.LND.AGRI.K2,1105400.0
Sudan,SDN,1981,Agricultural land (sq. km),AG.LND.AGRI.K2,1104800.0
Sudan,SDN,1980,Agricultural land (sq. km),AG.LND.AGRI.K2,1104500.0
Sudan,SDN,1979,Agricultural land (sq. km),AG.LND.AGRI.K2,1104350.0
Sudan,SDN,1978,Agricultural land (sq. km),AG.LND.AGRI.K2,1104360.0
Sudan,SDN,1977,Agricultural land (sq. km),AG.LND.AGRI.K2,1103980.0
Sudan,SDN,1976,Agricultural land (sq. km),AG.LND.AGRI.K2,1103000.0
Sudan,SDN,1975,Agricultural land (sq. km),AG.LND.AGRI.K2,1102050.0
Sudan,SDN,1974,Agricultural land (sq. km),AG.LND.AGRI.K2,1101050.0
Sudan,SDN,1973,Agricultural land (sq. km),AG.LND.AGRI.K2,1100480.0
Sudan,SDN,1972,Agricultural land (sq. km),AG.LND.AGRI.K2,1099410.0
Sudan,SDN,1971,Agricultural land (sq. km),AG.LND.AGRI.K2,1098430.0
Sudan,SDN,1970,Agricultural land (sq. km),AG.LND.AGRI.K2,1097450.0
Sudan,SDN,1969,Agricultural land (sq. km),AG.LND.AGRI.K2,1096470.0
Sudan,SDN,1968,Agricultural land (sq. km),AG.LND.AGRI.K2,1095470.0
Sudan,SDN,1967,Agricultural land (sq. km),AG.LND.AGRI.K2,1094500.0
Sudan,SDN,1966,Agricultural land (sq. km),AG.LND.AGRI.K2,1093400.0
Sudan,SDN,1965,Agricultural land (sq. km),AG.LND.AGRI.K2,1092420.0
Sudan,SDN,1964,Agricultural land (sq. km),AG.LND.AGRI.K2,1091420.0
Sudan,SDN,1963,Agricultural land (sq. km),AG.LND.AGRI.K2,1090400.0
Sudan,SDN,1962,Agricultural land (sq. km),AG.LND.AGRI.K2,1089400.0
Sudan,SDN,1961,Agricultural land (sq. km),AG.LND.AGRI.K2,1088400.0
Sudan,SDN,2021,Agricultural land (% of land area),AG.LND.AGRI.ZS,60.3130835117773
Sudan,SDN,2020,Agricultural land (% of land area),AG.LND.AGRI.ZS,60.3130835117773
Sudan,SDN,2019,Agricultural land (% of land area),AG.LND.AGRI.ZS,60.3129764453961
Sudan,SDN,2018,Agricultural land (% of land area),AG.LND.AGRI.ZS,60.3129764453961
Sudan,SDN,2017,Agricultural land (% of land area),AG.LND.AGRI.ZS,60.1497430406852
Sudan,SDN,2016,Agricultural land (% of land area),AG.LND.AGRI.ZS,59.9865096359743
Sudan,SDN,2015,Agricultural land (% of land area),AG.LND.AGRI.ZS,59.8232762312634
Sudan,SDN,2014,Agricultural land (% of land area),AG.LND.AGRI.ZS,59.6600428265525
Sudan,SDN,2013,Agricultural land (% of land area),AG.LND.AGRI.ZS,59.664539614561
Sudan,SDN,2012,Agricultural land (% of land area),AG.LND.AGRI.ZS,59.6712847965739
Sudan,SDN,2011,Agricultural land (% of land area),AG.LND.AGRI.ZS,57.7635521885522
Sudan,SDN,2010,Agricultural land (% of land area),AG.LND.AGRI.ZS,57.7635521885522
Sudan,SDN,2009,Agricultural land (% of land area),AG.LND.AGRI.ZS,57.7718013468013
Sudan,SDN,2008,Agricultural land (% of land area),AG.LND.AGRI.ZS,57.5328282828283
Sudan,SDN,2007,Agricultural land (% of land area),AG.LND.AGRI.ZS,57.4978956228956
Sudan,SDN,2006,Agricultural land (% of land area),AG.LND.AGRI.ZS,57.2613636363636
Sudan,SDN,2005,Agricultural land (% of land area),AG.LND.AGRI.ZS,56.9107744107744
Sudan,SDN,2004,Agricultural land (% of land area),AG.LND.AGRI.ZS,56.6064814814815
Sudan,SDN,2003,Agricultural land (% of land area),AG.LND.AGRI.ZS,56.6203703703704
Sudan,SDN,2002,Agricultural land (% of land area),AG.LND.AGRI.ZS,55.8139730639731
Sudan,SDN,2001,Agricultural land (% of land area),AG.LND.AGRI.ZS,55.594696969697
Sudan,SDN,2000,Agricultural land (% of land area),AG.LND.AGRI.ZS,55.3766835016835
Sudan,SDN,1999,Agricultural land (% of land area),AG.LND.AGRI.ZS,55.2828282828283
Sudan,SDN,1998,Agricultural land (% of land area),AG.LND.AGRI.ZS,55.1776094276094
Sudan,SDN,1997,Agricultural land (% of land area),AG.LND.AGRI.ZS,55.0639730639731
Sudan,SDN,1996,Agricultural land (% of land area),AG.LND.AGRI.ZS,54.9406565656566
Sudan,SDN,1995,Agricultural land (% of land area),AG.LND.AGRI.ZS,54.5639730639731
Sudan,SDN,1994,Agricultural land (% of land area),AG.LND.AGRI.ZS,53.9204545454545
Sudan,SDN,1993,Agricultural land (% of land area),AG.LND.AGRI.ZS,53.3388047138047
Sudan,SDN,1992,Agricultural land (% of land area),AG.LND.AGRI.ZS,52.1948653198653
Sudan,SDN,1991,Agricultural land (% of land area),AG.LND.AGRI.ZS,51.7529461279461
Sudan,SDN,1990,Agricultural land (% of land area),AG.LND.AGRI.ZS,51.729797979798
Sudan,SDN,1989,Agricultural land (% of land area),AG.LND.AGRI.ZS,51.7087542087542
Sudan,SDN,1988,Agricultural land (% of land area),AG.LND.AGRI.ZS,50.8606902356902
Sudan,SDN,1987,Agricultural land (% of land area),AG.LND.AGRI.ZS,49.581228956229
Sudan,SDN,1986,Agricultural land (% of land area),AG.LND.AGRI.ZS,48.71632996633
Sudan,SDN,1985,Agricultural land (% of land area),AG.LND.AGRI.ZS,47.4326599326599
Sudan,SDN,1984,Agricultural land (% of land area),AG.LND.AGRI.ZS,46.5677609427609
Sudan,SDN,1983,Agricultural land (% of land area),AG.LND.AGRI.ZS,46.5446127946128
Sudan,SDN,1982,Agricultural land (% of land area),AG.LND.AGRI.ZS,46.523569023569
Sudan,SDN,1981,Agricultural land (% of land area),AG.LND.AGRI.ZS,46.4983164983165
Sudan,SDN,1980,Agricultural land (% of land area),AG.LND.AGRI.ZS,46.4856902356902
Sudan,SDN,1979,Agricultural land (% of land area),AG.LND.AGRI.ZS,46.4793771043771
Sudan,SDN,1978,Agricultural land (% of land area),AG.LND.AGRI.ZS,46.479797979798
Sudan,SDN,1977,Agricultural land (% of land area),AG.LND.AGRI.ZS,46.4638047138047
Sudan,SDN,1976,Agricultural land (% of land area),AG.LND.AGRI.ZS,46.4225589225589
Sudan,SDN,1975,Agricultural land (% of land area),AG.LND.AGRI.ZS,46.3825757575758
Sudan,SDN,1974,Agricultural land (% of land area),AG.LND.AGRI.ZS,46.3404882154882
