Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
Suriname,SUR,2018,Agricultural land (sq. km),AG.LND.AGRI.K2,840.0
Suriname,SUR,2017,Agricultural land (sq. km),AG.LND.AGRI.K2,840.0
Suriname,SUR,2016,Agricultural land (sq. km),AG.LND.AGRI.K2,870.0
Suriname,SUR,2015,Agricultural land (sq. km),AG.LND.AGRI.K2,870.0
Suriname,SUR,2014,Agricultural land (sq. km),AG.LND.AGRI.K2,882.0
Suriname,SUR,2013,Agricultural land (sq. km),AG.LND.AGRI.K2,832.0
Suriname,SUR,2012,Agricultural land (sq. km),AG.LND.AGRI.K2,732.0
Suriname,SUR,2011,Agricultural land (sq. km),AG.LND.AGRI.K2,800.0
Suriname,SUR,2010,Agricultural land (sq. km),AG.LND.AGRI.K2,783.0
Suriname,SUR,2009,Agricultural land (sq. km),AG.LND.AGRI.K2,804.0
Suriname,SUR,2008,Agricultural land (sq. km),AG.LND.AGRI.K2,708.0
Suriname,SUR,2007,Agricultural land (sq. km),AG.LND.AGRI.K2,700.0
Suriname,SUR,2006,Agricultural land (sq. km),AG.LND.AGRI.K2,728.0
Suriname,SUR,2005,Agricultural land (sq. km),AG.LND.AGRI.K2,728.0
Suriname,SUR,2004,Agricultural land (sq. km),AG.LND.AGRI.K2,775.0
Suriname,SUR,2003,Agricultural land (sq. km),AG.LND.AGRI.K2,805.0
Suriname,SUR,2002,Agricultural land (sq. km),AG.LND.AGRI.K2,740.0
Suriname,SUR,2001,Agricultural land (sq. km),AG.LND.AGRI.K2,860.0
Suriname,SUR,2000,Agricultural land (sq. km),AG.LND.AGRI.K2,880.0
Suriname,SUR,1999,Agricultural land (sq. km),AG.LND.AGRI.K2,880.0
Suriname,SUR,1998,Agricultural land (sq. km),AG.LND.AGRI.K2,880.0
Suriname,SUR,1997,Agricultural land (sq. km),AG.LND.AGRI.K2,880.0
Suriname,SUR,1996,Agricultural land (sq. km),AG.LND.AGRI.K2,890.0
Suriname,SUR,1995,Agricultural land (sq. km),AG.LND.AGRI.K2,890.0
Suriname,SUR,1994,Agricultural land (sq. km),AG.LND.AGRI.K2,890.0
Suriname,SUR,1993,Agricultural land (sq. km),AG.LND.AGRI.K2,890.0
Suriname,SUR,1992,Agricultural land (sq. km),AG.LND.AGRI.K2,890.0
Suriname,SUR,1991,Agricultural land (sq. km),AG.LND.AGRI.K2,890.0
Suriname,SUR,1990,Agricultural land (sq. km),AG.LND.AGRI.K2,880.0
Suriname,SUR,1989,Agricultural land (sq. km),AG.LND.AGRI.K2,880.0
Suriname,SUR,1988,Agricultural land (sq. km),AG.LND.AGRI.K2,880.0
Suriname,SUR,1987,Agricultural land (sq. km),AG.LND.AGRI.K2,880.0
Suriname,SUR,1986,Agricultural land (sq. km),AG.LND.AGRI.K2,840.0
Suriname,SUR,1985,Agricultural land (sq. km),AG.LND.AGRI.K2,810.0
Suriname,SUR,1984,Agricultural land (sq. km),AG.LND.AGRI.K2,770.0
Suriname,SUR,1983,Agricultural land (sq. km),AG.LND.AGRI.K2,750.0
Suriname,SUR,1982,Agricultural land (sq. km),AG.LND.AGRI.K2,750.0
Suriname,SUR,1981,Agricultural land (sq. km),AG.LND.AGRI.K2,730.0
Suriname,SUR,1980,Agricultural land (sq. km),AG.LND.AGRI.K2,690.0
Suriname,SUR,1979,Agricultural land (sq. km),AG.LND.AGRI.K2,640.0
