Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
Sweden,SWE,2018,Agricultural land (sq. km),AG.LND.AGRI.K2,30003.9
Sweden,SWE,2017,Agricultural land (sq. km),AG.LND.AGRI.K2,30113.7
Sweden,SWE,2016,Agricultural land (sq. km),AG.LND.AGRI.K2,30209.2
Sweden,SWE,2015,Agricultural land (sq. km),AG.LND.AGRI.K2,30283.5
Sweden,SWE,2014,Agricultural land (sq. km),AG.LND.AGRI.K2,30360.7
Sweden,SWE,2013,Agricultural land (sq. km),AG.LND.AGRI.K2,30360.8
Sweden,SWE,2012,Agricultural land (sq. km),AG.LND.AGRI.K2,30315.0
Sweden,SWE,2011,Agricultural land (sq. km),AG.LND.AGRI.K2,30631.0
Sweden,SWE,2010,Agricultural land (sq. km),AG.LND.AGRI.K2,30737.0
Sweden,SWE,2009,Agricultural land (sq. km),AG.LND.AGRI.K2,30672.0
Sweden,SWE,2008,Agricultural land (sq. km),AG.LND.AGRI.K2,30758.0
Sweden,SWE,2007,Agricultural land (sq. km),AG.LND.AGRI.K2,31209.0
Sweden,SWE,2006,Agricultural land (sq. km),AG.LND.AGRI.K2,31501.0
Sweden,SWE,2005,Agricultural land (sq. km),AG.LND.AGRI.K2,32012.0
Sweden,SWE,2004,Agricultural land (sq. km),AG.LND.AGRI.K2,31532.0
Sweden,SWE,2003,Agricultural land (sq. km),AG.LND.AGRI.K2,31287.0
Sweden,SWE,2002,Agricultural land (sq. km),AG.LND.AGRI.K2,31399.0
Sweden,SWE,2001,Agricultural land (sq. km),AG.LND.AGRI.K2,30539.0
Sweden,SWE,2000,Agricultural land (sq. km),AG.LND.AGRI.K2,29741.0
Sweden,SWE,1999,Agricultural land (sq. km),AG.LND.AGRI.K2,31940.0
Sweden,SWE,1998,Agricultural land (sq. km),AG.LND.AGRI.K2,32310.0
Sweden,SWE,1997,Agricultural land (sq. km),AG.LND.AGRI.K2,32590.0
Sweden,SWE,1996,Agricultural land (sq. km),AG.LND.AGRI.K2,32970.0
Sweden,SWE,1995,Agricultural land (sq. km),AG.LND.AGRI.K2,32670.0
Sweden,SWE,1994,Agricultural land (sq. km),AG.LND.AGRI.K2,33560.0
Sweden,SWE,1993,Agricultural land (sq. km),AG.LND.AGRI.K2,33560.0
Sweden,SWE,1992,Agricultural land (sq. km),AG.LND.AGRI.K2,33440.0
Sweden,SWE,1991,Agricultural land (sq. km),AG.LND.AGRI.K2,33580.0
Sweden,SWE,1990,Agricultural land (sq. km),AG.LND.AGRI.K2,34130.0
Sweden,SWE,1989,Agricultural land (sq. km),AG.LND.AGRI.K2,34180.0
Sweden,SWE,1988,Agricultural land (sq. km),AG.LND.AGRI.K2,34370.0
Sweden,SWE,1987,Agricultural land (sq. km),AG.LND.AGRI.K2,34550.0
Sweden,SWE,1986,Agricultural land (sq. km),AG.LND.AGRI.K2,34760.0
Sweden,SWE,1985,Agricultural land (sq. km),AG.LND.AGRI.K2,34940.0
Sweden,SWE,1984,Agricultural land (sq. km),AG.LND.AGRI.K2,36110.0
Sweden,SWE,1983,Agricultural land (sq. km),AG.LND.AGRI.K2,36360.0
Sweden,SWE,1982,Agricultural land (sq. km),AG.LND.AGRI.K2,36600.0
Sweden,SWE,1981,Agricultural land (sq. km),AG.LND.AGRI.K2,36750.0
Sweden,SWE,1980,Agricultural land (sq. km),AG.LND.AGRI.K2,37040.0
Sweden,SWE,1979,Agricultural land (sq. km),AG.LND.AGRI.K2,37110.0
Sweden,SWE,1978,Agricultural land (sq. km),AG.LND.AGRI.K2,37280.0
Sweden,SWE,1977,Agricultural land (sq. km),AG.LND.AGRI.K2,37220.0
Sweden,SWE,1976,Agricultural land (sq. km),AG.LND.AGRI.K2,37350.0
Sweden,SWE,1975,Agricultural land (sq. km),AG.LND.AGRI.K2,37260.0
Sweden,SWE,1974,Agricultural land (sq. km),AG.LND.AGRI.K2,37350.0
Sweden,SWE,1973,Agricultural land (sq. km),AG.LND.AGRI.K2,37180.0
Sweden,SWE,1972,Agricultural land (sq. km),AG.LND.AGRI.K2,37340.0
Sweden,SWE,1971,Agricultural land (sq. km),AG.LND.AGRI.K2,37580.0
Sweden,SWE,1970,Agricultural land (sq. km),AG.LND.AGRI.K2,37530.0
Sweden,SWE,1969,Agricultural land (sq. km),AG.LND.AGRI.K2,37450.0
Sweden,SWE,1968,Agricultural land (sq. km),AG.LND.AGRI.K2,37210.0
Sweden,SWE,1967,Agricultural land (sq. km),AG.LND.AGRI.K2,37850.0
Sweden,SWE,1966,Agricultural land (sq. km),AG.LND.AGRI.K2,37970.0
Sweden,SWE,1965,Agricultural land (sq. km),AG.LND.AGRI.K2,38490.0
Sweden,SWE,1964,Agricultural land (sq. km),AG.LND.AGRI.K2,39430.0
Sweden,SWE,1963,Agricultural land (sq. km),AG.LND.AGRI.K2,39810.0
Sweden,SWE,1962,Agricultural land (sq. km),AG.LND.AGRI.K2,41720.0
Sweden,SWE,1961,Agricultural land (sq. km),AG.LND.AGRI.K2,42370.0
Sweden,SWE,2021,Agricultural land (% of land area),AG.LND.AGRI.ZS,7.37302077073873
Sweden,SWE,2020,Agricultural land (% of land area),AG.LND.AGRI.ZS,7.37947833353596
Sweden,SWE,2019,Agricultural land (% of land area),AG.LND.AGRI.ZS,7.37761126098893
Sweden,SWE,2018,Agricultural land (% of land area),AG.LND.AGRI.ZS,7.36634329022193
Sweden,SWE,2017,Agricultural land (% of land area),AG.LND.AGRI.ZS,7.39330060221358
Sweden,SWE,2016,Agricultural land (% of land area),AG.LND.AGRI.ZS,7.41674708031197
Sweden,SWE,2015,Agricultural land (% of land area),AG.LND.AGRI.ZS,7.43498868578537
Sweden,SWE,2014,Agricultural land (% of land area),AG.LND.AGRI.ZS,7.45341050724985
Sweden,SWE,2013,Agricultural land (% of land area),AG.LND.AGRI.ZS,7.4534350567843
Sweden,SWE,2012,Agricultural land (% of land area),AG.LND.AGRI.ZS,7.44219137000395
Sweden,SWE,2011,Agricultural land (% of land area),AG.LND.AGRI.ZS,7.51976789888145
Sweden,SWE,2010,Agricultural land (% of land area),AG.LND.AGRI.ZS,7.54579040540365
Sweden,SWE,2009,Agricultural land (% of land area),AG.LND.AGRI.ZS,7.52983320800796
Sweden,SWE,2008,Agricultural land (% of land area),AG.LND.AGRI.ZS,7.55094580763918
Sweden,SWE,2007,Agricultural land (% of land area),AG.LND.AGRI.ZS,7.66166420803079
Sweden,SWE,2006,Agricultural land (% of land area),AG.LND.AGRI.ZS,7.73334884863911
Sweden,SWE,2005,Agricultural land (% of land area),AG.LND.AGRI.ZS,7.85879696970366
Sweden,SWE,2004,Agricultural land (% of land area),AG.LND.AGRI.ZS,7.74095920432013
Sweden,SWE,2003,Agricultural land (% of land area),AG.LND.AGRI.ZS,7.68081284490562
Sweden,SWE,2002,Agricultural land (% of land area),AG.LND.AGRI.ZS,7.70830832349511
Sweden,SWE,2001,Agricultural land (% of land area),AG.LND.AGRI.ZS,7.49718232718294
Sweden,SWE,2000,Agricultural land (% of land area),AG.LND.AGRI.ZS,7.30127704223281
Sweden,SWE,1999,Agricultural land (% of land area),AG.LND.AGRI.ZS,7.84112130489613
Sweden,SWE,1998,Agricultural land (% of land area),AG.LND.AGRI.ZS,7.93195458237928
