Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
Syrian Arab Republic,SYR,2018,Agricultural land (sq. km),AG.LND.AGRI.K2,139176.88
Syrian Arab Republic,SYR,2017,Agricultural land (sq. km),AG.LND.AGRI.K2,139200.31
Syrian Arab Republic,SYR,2016,Agricultural land (sq. km),AG.LND.AGRI.K2,139161.26
Syrian Arab Republic,SYR,2015,Agricultural land (sq. km),AG.LND.AGRI.K2,139170.0
Syrian Arab Republic,SYR,2014,Agricultural land (sq. km),AG.LND.AGRI.K2,139190.0
Syrian Arab Republic,SYR,2013,Agricultural land (sq. km),AG.LND.AGRI.K2,139210.0
Syrian Arab Republic,SYR,2012,Agricultural land (sq. km),AG.LND.AGRI.K2,139210.0
Syrian Arab Republic,SYR,2011,Agricultural land (sq. km),AG.LND.AGRI.K2,139150.0
Syrian Arab Republic,SYR,2010,Agricultural land (sq. km),AG.LND.AGRI.K2,139080.0
Syrian Arab Republic,SYR,2009,Agricultural land (sq. km),AG.LND.AGRI.K2,139080.0
Syrian Arab Republic,SYR,2008,Agricultural land (sq. km),AG.LND.AGRI.K2,138980.0
Syrian Arab Republic,SYR,2007,Agricultural land (sq. km),AG.LND.AGRI.K2,138970.0
Syrian Arab Republic,SYR,2006,Agricultural land (sq. km),AG.LND.AGRI.K2,138770.0
Syrian Arab Republic,SYR,2005,Agricultural land (sq. km),AG.LND.AGRI.K2,138280.0
Syrian Arab Republic,SYR,2004,Agricultural land (sq. km),AG.LND.AGRI.K2,139050.0
Syrian Arab Republic,SYR,2003,Agricultural land (sq. km),AG.LND.AGRI.K2,138130.0
Syrian Arab Republic,SYR,2002,Agricultural land (sq. km),AG.LND.AGRI.K2,137590.0
Syrian Arab Republic,SYR,2001,Agricultural land (sq. km),AG.LND.AGRI.K2,137230.0
Syrian Arab Republic,SYR,2000,Agricultural land (sq. km),AG.LND.AGRI.K2,137110.0
Syrian Arab Republic,SYR,1999,Agricultural land (sq. km),AG.LND.AGRI.K2,137670.0
Syrian Arab Republic,SYR,1998,Agricultural land (sq. km),AG.LND.AGRI.K2,137540.0
Syrian Arab Republic,SYR,1997,Agricultural land (sq. km),AG.LND.AGRI.K2,138040.0
Syrian Arab Republic,SYR,1996,Agricultural land (sq. km),AG.LND.AGRI.K2,137900.0
Syrian Arab Republic,SYR,1995,Agricultural land (sq. km),AG.LND.AGRI.K2,137890.0
Syrian Arab Republic,SYR,1994,Agricultural land (sq. km),AG.LND.AGRI.K2,137860.0
Syrian Arab Republic,SYR,1993,Agricultural land (sq. km),AG.LND.AGRI.K2,136420.0
Syrian Arab Republic,SYR,1992,Agricultural land (sq. km),AG.LND.AGRI.K2,136130.0
Syrian Arab Republic,SYR,1991,Agricultural land (sq. km),AG.LND.AGRI.K2,135120.0
