Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
Tajikistan,TJK,2018,Agricultural land (sq. km),AG.LND.AGRI.K2,49116.0
Tajikistan,TJK,2017,Agricultural land (sq. km),AG.LND.AGRI.K2,49071.0
Tajikistan,TJK,2016,Agricultural land (sq. km),AG.LND.AGRI.K2,48754.0
Tajikistan,TJK,2015,Agricultural land (sq. km),AG.LND.AGRI.K2,48438.0
Tajikistan,TJK,2014,Agricultural land (sq. km),AG.LND.AGRI.K2,48122.0
Tajikistan,TJK,2013,Agricultural land (sq. km),AG.LND.AGRI.K2,47806.0
Tajikistan,TJK,2012,Agricultural land (sq. km),AG.LND.AGRI.K2,47490.0
Tajikistan,TJK,2011,Agricultural land (sq. km),AG.LND.AGRI.K2,47528.0
Tajikistan,TJK,2010,Agricultural land (sq. km),AG.LND.AGRI.K2,47557.0
Tajikistan,TJK,2009,Agricultural land (sq. km),AG.LND.AGRI.K2,47594.0
Tajikistan,TJK,2008,Agricultural land (sq. km),AG.LND.AGRI.K2,47270.0
Tajikistan,TJK,2007,Agricultural land (sq. km),AG.LND.AGRI.K2,47290.0
Tajikistan,TJK,2006,Agricultural land (sq. km),AG.LND.AGRI.K2,47350.0
Tajikistan,TJK,2005,Agricultural land (sq. km),AG.LND.AGRI.K2,46720.0
Tajikistan,TJK,2004,Agricultural land (sq. km),AG.LND.AGRI.K2,46500.0
Tajikistan,TJK,2003,Agricultural land (sq. km),AG.LND.AGRI.K2,45960.0
Tajikistan,TJK,2002,Agricultural land (sq. km),AG.LND.AGRI.K2,45710.0
Tajikistan,TJK,2001,Agricultural land (sq. km),AG.LND.AGRI.K2,45730.0
Tajikistan,TJK,2000,Agricultural land (sq. km),AG.LND.AGRI.K2,45730.0
Tajikistan,TJK,1999,Agricultural land (sq. km),AG.LND.AGRI.K2,45680.0
Tajikistan,TJK,1998,Agricultural land (sq. km),AG.LND.AGRI.K2,45470.0
Tajikistan,TJK,1997,Agricultural land (sq. km),AG.LND.AGRI.K2,45620.0
Tajikistan,TJK,1996,Agricultural land (sq. km),AG.LND.AGRI.K2,45850.0
Tajikistan,TJK,1995,Agricultural land (sq. km),AG.LND.AGRI.K2,45820.0
Tajikistan,TJK,1994,Agricultural land (sq. km),AG.LND.AGRI.K2,44700.0
Tajikistan,TJK,1993,Agricultural land (sq. km),AG.LND.AGRI.K2,45430.0
Tajikistan,TJK,1992,Agricultural land (sq. km),AG.LND.AGRI.K2,44890.0
Tajikistan,TJK,1991,Agricultural land (sq. km),AG.LND.AGRI.K2,44890.0
Tajikistan,TJK,1990,Agricultural land (sq. km),AG.LND.AGRI.K2,44890.0
Tajikistan,TJK,1989,Agricultural land (sq. km),AG.LND.AGRI.K2,44890.0
Tajikistan,TJK,1988,Agricultural land (sq. km),AG.LND.AGRI.K2,44890.0
Tajikistan,TJK,1987,Agricultural land (sq. km),AG.LND.AGRI.K2,44890.0
Tajikistan,TJK,1986,Agricultural land (sq. km),AG.LND.AGRI.K2,44890.0
Tajikistan,TJK,1985,Agricultural land (sq. km),AG.LND.AGRI.K2,44890.0
