Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
Timor-Leste,TLS,2018,Agricultural land (sq. km),AG.LND.AGRI.K2,3421.0
Timor-Leste,TLS,2017,Agricultural land (sq. km),AG.LND.AGRI.K2,3416.0
Timor-Leste,TLS,2016,Agricultural land (sq. km),AG.LND.AGRI.K2,3411.0
Timor-Leste,TLS,2015,Agricultural land (sq. km),AG.LND.AGRI.K2,3406.0
Timor-Leste,TLS,2014,Agricultural land (sq. km),AG.LND.AGRI.K2,3401.0
Timor-Leste,TLS,2013,Agricultural land (sq. km),AG.LND.AGRI.K2,3396.0
Timor-Leste,TLS,2012,Agricultural land (sq. km),AG.LND.AGRI.K2,3391.0
Timor-Leste,TLS,2011,Agricultural land (sq. km),AG.LND.AGRI.K2,3386.0
Timor-Leste,TLS,2010,Agricultural land (sq. km),AG.LND.AGRI.K2,3380.0
Timor-Leste,TLS,2009,Agricultural land (sq. km),AG.LND.AGRI.K2,3384.0
Timor-Leste,TLS,2008,Agricultural land (sq. km),AG.LND.AGRI.K2,3368.0
Timor-Leste,TLS,2007,Agricultural land (sq. km),AG.LND.AGRI.K2,3322.0
Timor-Leste,TLS,2006,Agricultural land (sq. km),AG.LND.AGRI.K2,3326.0
Timor-Leste,TLS,2005,Agricultural land (sq. km),AG.LND.AGRI.K2,3330.0
Timor-Leste,TLS,2004,Agricultural land (sq. km),AG.LND.AGRI.K2,3334.0
Timor-Leste,TLS,2003,Agricultural land (sq. km),AG.LND.AGRI.K2,3338.0
Timor-Leste,TLS,2002,Agricultural land (sq. km),AG.LND.AGRI.K2,3362.0
Timor-Leste,TLS,2001,Agricultural land (sq. km),AG.LND.AGRI.K2,3366.0
Timor-Leste,TLS,2000,Agricultural land (sq. km),AG.LND.AGRI.K2,3370.0
Timor-Leste,TLS,1999,Agricultural land (sq. km),AG.LND.AGRI.K2,3370.0
Timor-Leste,TLS,1998,Agricultural land (sq. km),AG.LND.AGRI.K2,3410.0
Timor-Leste,TLS,1997,Agricultural land (sq. km),AG.LND.AGRI.K2,3430.0
Timor-Leste,TLS,1996,Agricultural land (sq. km),AG.LND.AGRI.K2,3420.0
Timor-Leste,TLS,1995,Agricultural land (sq. km),AG.LND.AGRI.K2,3400.0
Timor-Leste,TLS,1994,Agricultural land (sq. km),AG.LND.AGRI.K2,3400.0
Timor-Leste,TLS,1993,Agricultural land (sq. km),AG.LND.AGRI.K2,3350.0
Timor-Leste,TLS,1992,Agricultural land (sq. km),AG.LND.AGRI.K2,3300.0
Timor-Leste,TLS,1991,Agricultural land (sq. km),AG.LND.AGRI.K2,3300.0
Timor-Leste,TLS,1990,Agricultural land (sq. km),AG.LND.AGRI.K2,3180.0
Timor-Leste,TLS,1989,Agricultural land (sq. km),AG.LND.AGRI.K2,3050.0
Timor-Leste,TLS,1988,Agricultural land (sq. km),AG.LND.AGRI.K2,3030.0
Timor-Leste,TLS,1987,Agricultural land (sq. km),AG.LND.AGRI.K2,2990.0
Timor-Leste,TLS,1986,Agricultural land (sq. km),AG.LND.AGRI.K2,2950.0
Timor-Leste,TLS,1985,Agricultural land (sq. km),AG.LND.AGRI.K2,2920.0
Timor-Leste,TLS,1984,Agricultural land (sq. km),AG.LND.AGRI.K2,2890.0
Timor-Leste,TLS,1983,Agricultural land (sq. km),AG.LND.AGRI.K2,2860.0
Timor-Leste,TLS,1982,Agricultural land (sq. km),AG.LND.AGRI.K2,2840.0
Timor-Leste,TLS,1981,Agricultural land (sq. km),AG.LND.AGRI.K2,2820.0
Timor-Leste,TLS,1980,Agricultural land (sq. km),AG.LND.AGRI.K2,2790.0
Timor-Leste,TLS,1979,Agricultural land (sq. km),AG.LND.AGRI.K2,2760.0
Timor-Leste,TLS,1978,Agricultural land (sq. km),AG.LND.AGRI.K2,2710.0
Timor-Leste,TLS,1977,Agricultural land (sq. km),AG.LND.AGRI.K2,2620.0
Timor-Leste,TLS,1976,Agricultural land (sq. km),AG.LND.AGRI.K2,2580.0
Timor-Leste,TLS,1975,Agricultural land (sq. km),AG.LND.AGRI.K2,2550.0
Timor-Leste,TLS,1974,Agricultural land (sq. km),AG.LND.AGRI.K2,2500.0
Timor-Leste,TLS,1973,Agricultural land (sq. km),AG.LND.AGRI.K2,2500.0
Timor-Leste,TLS,1972,Agricultural land (sq. km),AG.LND.AGRI.K2,2450.0
Timor-Leste,TLS,1971,Agricultural land (sq. km),AG.LND.AGRI.K2,2430.0
Timor-Leste,TLS,1970,Agricultural land (sq. km),AG.LND.AGRI.K2,2430.0
Timor-Leste,TLS,1969,Agricultural land (sq. km),AG.LND.AGRI.K2,2330.0
Timor-Leste,TLS,1968,Agricultural land (sq. km),AG.LND.AGRI.K2,2320.0
Timor-Leste,TLS,1967,Agricultural land (sq. km),AG.LND.AGRI.K2,2320.0
Timor-Leste,TLS,1966,Agricultural land (sq. km),AG.LND.AGRI.K2,2300.0
Timor-Leste,TLS,1965,Agricultural land (sq. km),AG.LND.AGRI.K2,2300.0
Timor-Leste,TLS,1964,Agricultural land (sq. km),AG.LND.AGRI.K2,2300.0
