Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
Trinidad and Tobago,TTO,2018,Agricultural land (sq. km),AG.LND.AGRI.K2,540.0
Trinidad and Tobago,TTO,2017,Agricultural land (sq. km),AG.LND.AGRI.K2,540.0
Trinidad and Tobago,TTO,2016,Agricultural land (sq. km),AG.LND.AGRI.K2,540.0
Trinidad and Tobago,TTO,2015,Agricultural land (sq. km),AG.LND.AGRI.K2,540.0
Trinidad and Tobago,TTO,2014,Agricultural land (sq. km),AG.LND.AGRI.K2,540.0
Trinidad and Tobago,TTO,2013,Agricultural land (sq. km),AG.LND.AGRI.K2,540.0
Trinidad and Tobago,TTO,2012,Agricultural land (sq. km),AG.LND.AGRI.K2,540.0
Trinidad and Tobago,TTO,2011,Agricultural land (sq. km),AG.LND.AGRI.K2,540.0
Trinidad and Tobago,TTO,2010,Agricultural land (sq. km),AG.LND.AGRI.K2,540.0
Trinidad and Tobago,TTO,2009,Agricultural land (sq. km),AG.LND.AGRI.K2,540.0
Trinidad and Tobago,TTO,2008,Agricultural land (sq. km),AG.LND.AGRI.K2,540.0
Trinidad and Tobago,TTO,2007,Agricultural land (sq. km),AG.LND.AGRI.K2,540.0
Trinidad and Tobago,TTO,2006,Agricultural land (sq. km),AG.LND.AGRI.K2,540.0
Trinidad and Tobago,TTO,2005,Agricultural land (sq. km),AG.LND.AGRI.K2,540.0
Trinidad and Tobago,TTO,2004,Agricultural land (sq. km),AG.LND.AGRI.K2,550.0
Trinidad and Tobago,TTO,2003,Agricultural land (sq. km),AG.LND.AGRI.K2,600.0
Trinidad and Tobago,TTO,2002,Agricultural land (sq. km),AG.LND.AGRI.K2,600.0
Trinidad and Tobago,TTO,2001,Agricultural land (sq. km),AG.LND.AGRI.K2,600.0
Trinidad and Tobago,TTO,2000,Agricultural land (sq. km),AG.LND.AGRI.K2,670.0
Trinidad and Tobago,TTO,1999,Agricultural land (sq. km),AG.LND.AGRI.K2,670.0
Trinidad and Tobago,TTO,1998,Agricultural land (sq. km),AG.LND.AGRI.K2,660.0
Trinidad and Tobago,TTO,1997,Agricultural land (sq. km),AG.LND.AGRI.K2,710.0
Trinidad and Tobago,TTO,1996,Agricultural land (sq. km),AG.LND.AGRI.K2,760.0
Trinidad and Tobago,TTO,1995,Agricultural land (sq. km),AG.LND.AGRI.K2,760.0
Trinidad and Tobago,TTO,1994,Agricultural land (sq. km),AG.LND.AGRI.K2,810.0
Trinidad and Tobago,TTO,1993,Agricultural land (sq. km),AG.LND.AGRI.K2,810.0
Trinidad and Tobago,TTO,1992,Agricultural land (sq. km),AG.LND.AGRI.K2,810.0
Trinidad and Tobago,TTO,1991,Agricultural land (sq. km),AG.LND.AGRI.K2,810.0
Trinidad and Tobago,TTO,1990,Agricultural land (sq. km),AG.LND.AGRI.K2,770.0
Trinidad and Tobago,TTO,1989,Agricultural land (sq. km),AG.LND.AGRI.K2,720.0
Trinidad and Tobago,TTO,1988,Agricultural land (sq. km),AG.LND.AGRI.K2,720.0
Trinidad and Tobago,TTO,1987,Agricultural land (sq. km),AG.LND.AGRI.K2,710.0
Trinidad and Tobago,TTO,1986,Agricultural land (sq. km),AG.LND.AGRI.K2,710.0
Trinidad and Tobago,TTO,1985,Agricultural land (sq. km),AG.LND.AGRI.K2,710.0
Trinidad and Tobago,TTO,1984,Agricultural land (sq. km),AG.LND.AGRI.K2,740.0
Trinidad and Tobago,TTO,1983,Agricultural land (sq. km),AG.LND.AGRI.K2,740.0
Trinidad and Tobago,TTO,1982,Agricultural land (sq. km),AG.LND.AGRI.K2,880.0
Trinidad and Tobago,TTO,1981,Agricultural land (sq. km),AG.LND.AGRI.K2,950.0
Trinidad and Tobago,TTO,1980,Agricultural land (sq. km),AG.LND.AGRI.K2,1010.0
Trinidad and Tobago,TTO,1979,Agricultural land (sq. km),AG.LND.AGRI.K2,1060.0
Trinidad and Tobago,TTO,1978,Agricultural land (sq. km),AG.LND.AGRI.K2,1060.0
Trinidad and Tobago,TTO,1977,Agricultural land (sq. km),AG.LND.AGRI.K2,1060.0
Trinidad and Tobago,TTO,1976,Agricultural land (sq. km),AG.LND.AGRI.K2,1060.0
Trinidad and Tobago,TTO,1975,Agricultural land (sq. km),AG.LND.AGRI.K2,1060.0
Trinidad and Tobago,TTO,1974,Agricultural land (sq. km),AG.LND.AGRI.K2,1110.0
Trinidad and Tobago,TTO,1973,Agricultural land (sq. km),AG.LND.AGRI.K2,1100.0
Trinidad and Tobago,TTO,1972,Agricultural land (sq. km),AG.LND.AGRI.K2,1010.0
Trinidad and Tobago,TTO,1971,Agricultural land (sq. km),AG.LND.AGRI.K2,1010.0
Trinidad and Tobago,TTO,1970,Agricultural land (sq. km),AG.LND.AGRI.K2,980.0
Trinidad and Tobago,TTO,1969,Agricultural land (sq. km),AG.LND.AGRI.K2,980.0
Trinidad and Tobago,TTO,1968,Agricultural land (sq. km),AG.LND.AGRI.K2,980.0
Trinidad and Tobago,TTO,1967,Agricultural land (sq. km),AG.LND.AGRI.K2,980.0
Trinidad and Tobago,TTO,1966,Agricultural land (sq. km),AG.LND.AGRI.K2,980.0
Trinidad and Tobago,TTO,1965,Agricultural land (sq. km),AG.LND.AGRI.K2,980.0
Trinidad and Tobago,TTO,1964,Agricultural land (sq. km),AG.LND.AGRI.K2,980.0
Trinidad and Tobago,TTO,1963,Agricultural land (sq. km),AG.LND.AGRI.K2,980.0
Trinidad and Tobago,TTO,1962,Agricultural land (sq. km),AG.LND.AGRI.K2,970.0
Trinidad and Tobago,TTO,1961,Agricultural land (sq. km),AG.LND.AGRI.K2,970.0
Trinidad and Tobago,TTO,2021,Agricultural land (% of land area),AG.LND.AGRI.ZS,10.5263157894737
Trinidad and Tobago,TTO,2020,Agricultural land (% of land area),AG.LND.AGRI.ZS,10.5263157894737
Trinidad and Tobago,TTO,2019,Agricultural land (% of land area),AG.LND.AGRI.ZS,10.5263157894737
Trinidad and Tobago,TTO,2018,Agricultural land (% of land area),AG.LND.AGRI.ZS,10.5263157894737
Trinidad and Tobago,TTO,2017,Agricultural land (% of land area),AG.LND.AGRI.ZS,10.5263157894737
Trinidad and Tobago,TTO,2016,Agricultural land (% of land area),AG.LND.AGRI.ZS,10.5263157894737
Trinidad and Tobago,TTO,2015,Agricultural land (% of land area),AG.LND.AGRI.ZS,10.5263157894737
Trinidad and Tobago,TTO,2014,Agricultural land (% of land area),AG.LND.AGRI.ZS,10.5263157894737
Trinidad and Tobago,TTO,2013,Agricultural land (% of land area),AG.LND.AGRI.ZS,10.5263157894737
Trinidad and Tobago,TTO,2012,Agricultural land (% of land area),AG.LND.AGRI.ZS,10.5263157894737
Trinidad and Tobago,TTO,2011,Agricultural land (% of land area),AG.LND.AGRI.ZS,10.5263157894737
Trinidad and Tobago,TTO,2010,Agricultural land (% of land area),AG.LND.AGRI.ZS,10.5263157894737
Trinidad and Tobago,TTO,2009,Agricultural land (% of land area),AG.LND.AGRI.ZS,10.5263157894737
Trinidad and Tobago,TTO,2008,Agricultural land (% of land area),AG.LND.AGRI.ZS,10.5263157894737
