Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
Tunisia,TUN,2018,Agricultural land (sq. km),AG.LND.AGRI.K2,97005.0
Tunisia,TUN,2017,Agricultural land (sq. km),AG.LND.AGRI.K2,97429.0
Tunisia,TUN,2016,Agricultural land (sq. km),AG.LND.AGRI.K2,97026.0
Tunisia,TUN,2015,Agricultural land (sq. km),AG.LND.AGRI.K2,98340.0
Tunisia,TUN,2014,Agricultural land (sq. km),AG.LND.AGRI.K2,97610.0
Tunisia,TUN,2013,Agricultural land (sq. km),AG.LND.AGRI.K2,99430.0
Tunisia,TUN,2012,Agricultural land (sq. km),AG.LND.AGRI.K2,99220.0
Tunisia,TUN,2011,Agricultural land (sq. km),AG.LND.AGRI.K2,100720.0
Tunisia,TUN,2010,Agricultural land (sq. km),AG.LND.AGRI.K2,100380.0
Tunisia,TUN,2009,Agricultural land (sq. km),AG.LND.AGRI.K2,97890.0
Tunisia,TUN,2008,Agricultural land (sq. km),AG.LND.AGRI.K2,98810.0
Tunisia,TUN,2007,Agricultural land (sq. km),AG.LND.AGRI.K2,98050.0
Tunisia,TUN,2006,Agricultural land (sq. km),AG.LND.AGRI.K2,98060.0
Tunisia,TUN,2005,Agricultural land (sq. km),AG.LND.AGRI.K2,98240.0
Tunisia,TUN,2004,Agricultural land (sq. km),AG.LND.AGRI.K2,98300.0
Tunisia,TUN,2003,Agricultural land (sq. km),AG.LND.AGRI.K2,97840.0
Tunisia,TUN,2002,Agricultural land (sq. km),AG.LND.AGRI.K2,97630.0
Tunisia,TUN,2001,Agricultural land (sq. km),AG.LND.AGRI.K2,94990.0
Tunisia,TUN,2000,Agricultural land (sq. km),AG.LND.AGRI.K2,95510.0
Tunisia,TUN,1999,Agricultural land (sq. km),AG.LND.AGRI.K2,95260.0
Tunisia,TUN,1998,Agricultural land (sq. km),AG.LND.AGRI.K2,94200.0
Tunisia,TUN,1997,Agricultural land (sq. km),AG.LND.AGRI.K2,93470.0
Tunisia,TUN,1996,Agricultural land (sq. km),AG.LND.AGRI.K2,93240.0
Tunisia,TUN,1995,Agricultural land (sq. km),AG.LND.AGRI.K2,93480.0
Tunisia,TUN,1994,Agricultural land (sq. km),AG.LND.AGRI.K2,92830.0
Tunisia,TUN,1993,Agricultural land (sq. km),AG.LND.AGRI.K2,94220.0
Tunisia,TUN,1992,Agricultural land (sq. km),AG.LND.AGRI.K2,93550.0
Tunisia,TUN,1991,Agricultural land (sq. km),AG.LND.AGRI.K2,92100.0
Tunisia,TUN,1990,Agricultural land (sq. km),AG.LND.AGRI.K2,91910.0
Tunisia,TUN,1989,Agricultural land (sq. km),AG.LND.AGRI.K2,92190.0
Tunisia,TUN,1988,Agricultural land (sq. km),AG.LND.AGRI.K2,91700.0
Tunisia,TUN,1987,Agricultural land (sq. km),AG.LND.AGRI.K2,92060.0
Tunisia,TUN,1986,Agricultural land (sq. km),AG.LND.AGRI.K2,91940.0
Tunisia,TUN,1985,Agricultural land (sq. km),AG.LND.AGRI.K2,92880.0
Tunisia,TUN,1984,Agricultural land (sq. km),AG.LND.AGRI.K2,93420.0
Tunisia,TUN,1983,Agricultural land (sq. km),AG.LND.AGRI.K2,93210.0
Tunisia,TUN,1982,Agricultural land (sq. km),AG.LND.AGRI.K2,92160.0
Tunisia,TUN,1981,Agricultural land (sq. km),AG.LND.AGRI.K2,91280.0
Tunisia,TUN,1980,Agricultural land (sq. km),AG.LND.AGRI.K2,90610.0
Tunisia,TUN,1979,Agricultural land (sq. km),AG.LND.AGRI.K2,92930.0
Tunisia,TUN,1978,Agricultural land (sq. km),AG.LND.AGRI.K2,93570.0
Tunisia,TUN,1977,Agricultural land (sq. km),AG.LND.AGRI.K2,94730.0
Tunisia,TUN,1976,Agricultural land (sq. km),AG.LND.AGRI.K2,94280.0
Tunisia,TUN,1975,Agricultural land (sq. km),AG.LND.AGRI.K2,93600.0
Tunisia,TUN,1974,Agricultural land (sq. km),AG.LND.AGRI.K2,92920.0
Tunisia,TUN,1973,Agricultural land (sq. km),AG.LND.AGRI.K2,92440.0
Tunisia,TUN,1972,Agricultural land (sq. km),AG.LND.AGRI.K2,91560.0
Tunisia,TUN,1971,Agricultural land (sq. km),AG.LND.AGRI.K2,90580.0
Tunisia,TUN,1970,Agricultural land (sq. km),AG.LND.AGRI.K2,90530.0
Tunisia,TUN,1969,Agricultural land (sq. km),AG.LND.AGRI.K2,88680.0
Tunisia,TUN,1968,Agricultural land (sq. km),AG.LND.AGRI.K2,87180.0
Tunisia,TUN,1967,Agricultural land (sq. km),AG.LND.AGRI.K2,87200.0
Tunisia,TUN,1966,Agricultural land (sq. km),AG.LND.AGRI.K2,87220.0
Tunisia,TUN,1965,Agricultural land (sq. km),AG.LND.AGRI.K2,87240.0
Tunisia,TUN,1964,Agricultural land (sq. km),AG.LND.AGRI.K2,87260.0
Tunisia,TUN,1963,Agricultural land (sq. km),AG.LND.AGRI.K2,86440.0
Tunisia,TUN,1962,Agricultural land (sq. km),AG.LND.AGRI.K2,86460.0
Tunisia,TUN,1961,Agricultural land (sq. km),AG.LND.AGRI.K2,86480.0
Tunisia,TUN,2021,Agricultural land (% of land area),AG.LND.AGRI.ZS,62.4388516992791
Tunisia,TUN,2020,Agricultural land (% of land area),AG.LND.AGRI.ZS,62.4388516992791
Tunisia,TUN,2019,Agricultural land (% of land area),AG.LND.AGRI.ZS,62.4388516992791
Tunisia,TUN,2018,Agricultural land (% of land area),AG.LND.AGRI.ZS,62.4388516992791
Tunisia,TUN,2017,Agricultural land (% of land area),AG.LND.AGRI.ZS,62.7117662203914
Tunisia,TUN,2016,Agricultural land (% of land area),AG.LND.AGRI.ZS,62.45236869207
Tunisia,TUN,2015,Agricultural land (% of land area),AG.LND.AGRI.ZS,63.2981462409887
Tunisia,TUN,2014,Agricultural land (% of land area),AG.LND.AGRI.ZS,62.8282698249228
Tunisia,TUN,2013,Agricultural land (% of land area),AG.LND.AGRI.ZS,63.9997425334707
Tunisia,TUN,2012,Agricultural land (% of land area),AG.LND.AGRI.ZS,63.8645726055613
Tunisia,TUN,2011,Agricultural land (% of land area),AG.LND.AGRI.ZS,64.8300720906282
Tunisia,TUN,2010,Agricultural land (% of land area),AG.LND.AGRI.ZS,64.6112255406797
Tunisia,TUN,2009,Agricultural land (% of land area),AG.LND.AGRI.ZS,63.0084963954686
Tunisia,TUN,2008,Agricultural land (% of land area),AG.LND.AGRI.ZS,63.6006694129763
Tunisia,TUN,2007,Agricultural land (% of land area),AG.LND.AGRI.ZS,63.1114830072091
Tunisia,TUN,2006,Agricultural land (% of land area),AG.LND.AGRI.ZS,63.1179196704428
Tunisia,TUN,2005,Agricultural land (% of land area),AG.LND.AGRI.ZS,63.2337796086509
Tunisia,TUN,2004,Agricultural land (% of land area),AG.LND.AGRI.ZS,63.2723995880536
Tunisia,TUN,2003,Agricultural land (% of land area),AG.LND.AGRI.ZS,62.9763130792997
Tunisia,TUN,2002,Agricultural land (% of land area),AG.LND.AGRI.ZS,62.8411431513903
Tunisia,TUN,2001,Agricultural land (% of land area),AG.LND.AGRI.ZS,61.1418640576725
Tunisia,TUN,2000,Agricultural land (% of land area),AG.LND.AGRI.ZS,61.476570545829
Tunisia,TUN,1999,Agricultural land (% of land area),AG.LND.AGRI.ZS,61.3156539649845
Tunisia,TUN,1998,Agricultural land (% of land area),AG.LND.AGRI.ZS,60.6333676622039
Tunisia,TUN,1997,Agricultural land (% of land area),AG.LND.AGRI.ZS,60.163491246138
Tunisia,TUN,1996,Agricultural land (% of land area),AG.LND.AGRI.ZS,60.0154479917611
Tunisia,TUN,1995,Agricultural land (% of land area),AG.LND.AGRI.ZS,60.1699279093718
Tunisia,TUN,1994,Agricultural land (% of land area),AG.LND.AGRI.ZS,59.7515447991761
Tunisia,TUN,1993,Agricultural land (% of land area),AG.LND.AGRI.ZS,60.6462409886715
Tunisia,TUN,1992,Agricultural land (% of land area),AG.LND.AGRI.ZS,60.2149845520082
Tunisia,TUN,1991,Agricultural land (% of land area),AG.LND.AGRI.ZS,59.2816683831102
Tunisia,TUN,1990,Agricultural land (% of land area),AG.LND.AGRI.ZS,59.1593717816684
Tunisia,TUN,1989,Agricultural land (% of land area),AG.LND.AGRI.ZS,59.3395983522142
Tunisia,TUN,1988,Agricultural land (% of land area),AG.LND.AGRI.ZS,59.024201853759
Tunisia,TUN,1987,Agricultural land (% of land area),AG.LND.AGRI.ZS,59.2559217301751
Tunisia,TUN,1986,Agricultural land (% of land area),AG.LND.AGRI.ZS,59.1786817713697
Tunisia,TUN,1985,Agricultural land (% of land area),AG.LND.AGRI.ZS,59.783728115345
Tunisia,TUN,1984,Agricultural land (% of land area),AG.LND.AGRI.ZS,60.1313079299691
Tunisia,TUN,1983,Agricultural land (% of land area),AG.LND.AGRI.ZS,59.9961380020597
Tunisia,TUN,1982,Agricultural land (% of land area),AG.LND.AGRI.ZS,59.3202883625129
Tunisia,TUN,1981,Agricultural land (% of land area),AG.LND.AGRI.ZS,58.7538619979403
Tunisia,TUN,1980,Agricultural land (% of land area),AG.LND.AGRI.ZS,58.322605561277
Tunisia,TUN,1979,Agricultural land (% of land area),AG.LND.AGRI.ZS,59.8159114315139
Tunisia,TUN,1978,Agricultural land (% of land area),AG.LND.AGRI.ZS,60.2278578784758
Tunisia,TUN,1977,Agricultural land (% of land area),AG.LND.AGRI.ZS,60.9745108135942
Tunisia,TUN,1976,Agricultural land (% of land area),AG.LND.AGRI.ZS,60.6848609680741
Tunisia,TUN,1975,Agricultural land (% of land area),AG.LND.AGRI.ZS,60.2471678681771
Tunisia,TUN,1974,Agricultural land (% of land area),AG.LND.AGRI.ZS,59.8094747682801
Tunisia,TUN,1973,Agricultural land (% of land area),AG.LND.AGRI.ZS,59.5005149330587
Tunisia,TUN,1972,Agricultural land (% of land area),AG.LND.AGRI.ZS,58.9340885684861
Tunisia,TUN,1971,Agricultural land (% of land area),AG.LND.AGRI.ZS,58.3032955715757
Tunisia,TUN,1970,Agricultural land (% of land area),AG.LND.AGRI.ZS,58.2711122554068
Tunisia,TUN,1969,Agricultural land (% of land area),AG.LND.AGRI.ZS,57.0803295571576
Tunisia,TUN,1968,Agricultural land (% of land area),AG.LND.AGRI.ZS,56.1148300720906
Tunisia,TUN,1967,Agricultural land (% of land area),AG.LND.AGRI.ZS,56.1277033985582
Tunisia,TUN,1966,Agricultural land (% of land area),AG.LND.AGRI.ZS,56.1405767250257
Tunisia,TUN,1965,Agricultural land (% of land area),AG.LND.AGRI.ZS,56.1534500514933
Tunisia,TUN,1964,Agricultural land (% of land area),AG.LND.AGRI.ZS,56.1663233779609
Tunisia,TUN,1963,Agricultural land (% of land area),AG.LND.AGRI.ZS,55.6385169927909
Tunisia,TUN,1962,Agricultural land (% of land area),AG.LND.AGRI.ZS,55.6513903192585
Tunisia,TUN,1961,Agricultural land (% of land area),AG.LND.AGRI.ZS,55.6642636457261
Tunisia,TUN,2021,Arable land (% of land area),AG.LND.ARBL.ZS,18.2241246138002
Tunisia,TUN,2020,Arable land (% of land area),AG.LND.ARBL.ZS,18.2241246138002
Tunisia,TUN,2019,Arable land (% of land area),AG.LND.ARBL.ZS,16.5396498455201
Tunisia,TUN,2018,Arable land (% of land area),AG.LND.ARBL.ZS,16.5396498455201
Tunisia,TUN,2017,Arable land (% of land area),AG.LND.ARBL.ZS,16.7797373841401
Tunisia,TUN,2016,Arable land (% of land area),AG.LND.ARBL.ZS,16.5010298661174
Tunisia,TUN,2015,Arable land (% of land area),AG.LND.ARBL.ZS,16.5422245108136
Tunisia,TUN,2014,Arable land (% of land area),AG.LND.ARBL.ZS,16.6580844490216
Tunisia,TUN,2013,Arable land (% of land area),AG.LND.ARBL.ZS,18.3638002059732
Tunisia,TUN,2012,Arable land (% of land area),AG.LND.ARBL.ZS,18.3316168898043
Tunisia,TUN,2011,Arable land (% of land area),AG.LND.ARBL.ZS,18.2736869207003
Tunisia,TUN,2010,Arable land (% of land area),AG.LND.ARBL.ZS,18.1707003089598
Tunisia,TUN,2009,Arable land (% of land area),AG.LND.ARBL.ZS,17.4240473738414
Tunisia,TUN,2008,Arable land (% of land area),AG.LND.ARBL.ZS,18.2479402677652
Tunisia,TUN,2007,Arable land (% of land area),AG.LND.ARBL.ZS,17.5914006179197
Tunisia,TUN,2006,Arable land (% of land area),AG.LND.ARBL.ZS,17.7845005149331
Tunisia,TUN,2005,Arable land (% of land area),AG.LND.ARBL.ZS,17.5720906282183
Tunisia,TUN,2004,Arable land (% of land area),AG.LND.ARBL.ZS,17.9647270854789
Tunisia,TUN,2003,Arable land (% of land area),AG.LND.ARBL.ZS,17.9582904222451
Tunisia,TUN,2002,Arable land (% of land area),AG.LND.ARBL.ZS,17.8359938208033
Tunisia,TUN,2001,Arable land (% of land area),AG.LND.ARBL.ZS,17.8553038105046
Tunisia,TUN,2000,Arable land (% of land area),AG.LND.ARBL.ZS,18.4346035015448
Tunisia,TUN,1999,Arable land (% of land area),AG.LND.ARBL.ZS,18.7242533470649
Tunisia,TUN,1998,Arable land (% of land area),AG.LND.ARBL.ZS,18.5311534500515
Tunisia,TUN,1997,Arable land (% of land area),AG.LND.ARBL.ZS,18.312306900103
Tunisia,TUN,1996,Arable land (% of land area),AG.LND.ARBL.ZS,18.312306900103
Tunisia,TUN,1995,Arable land (% of land area),AG.LND.ARBL.ZS,18.2929969104016
Tunisia,TUN,1994,Arable land (% of land area),AG.LND.ARBL.ZS,18.2157569515963
Tunisia,TUN,1993,Arable land (% of land area),AG.LND.ARBL.ZS,19.2263130792997
Tunisia,TUN,1992,Arable land (% of land area),AG.LND.ARBL.ZS,18.7178166838311
Tunisia,TUN,1991,Arable land (% of land area),AG.LND.ARBL.ZS,18.7178166838311
Tunisia,TUN,1990,Arable land (% of land area),AG.LND.ARBL.ZS,18.7242533470649
Tunisia,TUN,1989,Arable land (% of land area),AG.LND.ARBL.ZS,18.7306900102987
Tunisia,TUN,1988,Arable land (% of land area),AG.LND.ARBL.ZS,18.8980432543769
Tunisia,TUN,1987,Arable land (% of land area),AG.LND.ARBL.ZS,19.1812564366632
Tunisia,TUN,1986,Arable land (% of land area),AG.LND.ARBL.ZS,19.5030895983522
Tunisia,TUN,1985,Arable land (% of land area),AG.LND.ARBL.ZS,19.7605561277034
Tunisia,TUN,1984,Arable land (% of land area),AG.LND.ARBL.ZS,20.0823892893924
Tunisia,TUN,1983,Arable land (% of land area),AG.LND.ARBL.ZS,20.211122554068
Tunisia,TUN,1982,Arable land (% of land area),AG.LND.ARBL.ZS,20.3398558187436
Tunisia,TUN,1981,Arable land (% of land area),AG.LND.ARBL.ZS,20.4042224510814
Tunisia,TUN,1980,Arable land (% of land area),AG.LND.ARBL.ZS,20.5393923789907
Tunisia,TUN,1979,Arable land (% of land area),AG.LND.ARBL.ZS,21.9232749742533
Tunisia,TUN,1978,Arable land (% of land area),AG.LND.ARBL.ZS,21.9683316168898
Tunisia,TUN,1977,Arable land (% of land area),AG.LND.ARBL.ZS,22.7021112255407
Tunisia,TUN,1976,Arable land (% of land area),AG.LND.ARBL.ZS,22.399588053553
Tunisia,TUN,1975,Arable land (% of land area),AG.LND.ARBL.ZS,21.9490216271885
Tunisia,TUN,1974,Arable land (% of land area),AG.LND.ARBL.ZS,21.4984552008239
Tunisia,TUN,1973,Arable land (% of land area),AG.LND.ARBL.ZS,21.1766220391349
Tunisia,TUN,1972,Arable land (% of land area),AG.LND.ARBL.ZS,20.7904222451081
Tunisia,TUN,1971,Arable land (% of land area),AG.LND.ARBL.ZS,20.5973223480947
Tunisia,TUN,1970,Arable land (% of land area),AG.LND.ARBL.ZS,20.5522657054583
Tunisia,TUN,1969,Arable land (% of land area),AG.LND.ARBL.ZS,20.5072090628218
Tunisia,TUN,1968,Arable land (% of land area),AG.LND.ARBL.ZS,20.4685890834192
Tunisia,TUN,1967,Arable land (% of land area),AG.LND.ARBL.ZS,20.4685890834192
Tunisia,TUN,1966,Arable land (% of land area),AG.LND.ARBL.ZS,20.4685890834192
Tunisia,TUN,1965,Arable land (% of land area),AG.LND.ARBL.ZS,20.4685890834192
Tunisia,TUN,1964,Arable land (% of land area),AG.LND.ARBL.ZS,20.4685890834192
Tunisia,TUN,1963,Arable land (% of land area),AG.LND.ARBL.ZS,19.9536560247168
Tunisia,TUN,1962,Arable land (% of land area),AG.LND.ARBL.ZS,19.9536560247168
Tunisia,TUN,1961,Arable land (% of land area),AG.LND.ARBL.ZS,19.9536560247168
Tunisia,TUN,2015,Rural land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.RU.K2,1935.88021427
