Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
Turkiye,TUR,2018,Agricultural land (sq. km),AG.LND.AGRI.K2,378020.0
Turkiye,TUR,2017,Agricultural land (sq. km),AG.LND.AGRI.K2,379640.0
Turkiye,TUR,2016,Agricultural land (sq. km),AG.LND.AGRI.K2,383280.0
Turkiye,TUR,2015,Agricultural land (sq. km),AG.LND.AGRI.K2,385510.0
Turkiye,TUR,2014,Agricultural land (sq. km),AG.LND.AGRI.K2,385540.0
Turkiye,TUR,2013,Agricultural land (sq. km),AG.LND.AGRI.K2,384230.0
Turkiye,TUR,2012,Agricultural land (sq. km),AG.LND.AGRI.K2,384070.0
Turkiye,TUR,2011,Agricultural land (sq. km),AG.LND.AGRI.K2,382470.0
Turkiye,TUR,2010,Agricultural land (sq. km),AG.LND.AGRI.K2,390120.0
Turkiye,TUR,2009,Agricultural land (sq. km),AG.LND.AGRI.K2,389110.0
Turkiye,TUR,2008,Agricultural land (sq. km),AG.LND.AGRI.K2,391220.0
Turkiye,TUR,2007,Agricultural land (sq. km),AG.LND.AGRI.K2,395050.0
Turkiye,TUR,2006,Agricultural land (sq. km),AG.LND.AGRI.K2,404930.0
Turkiye,TUR,2005,Agricultural land (sq. km),AG.LND.AGRI.K2,412230.0
Turkiye,TUR,2004,Agricultural land (sq. km),AG.LND.AGRI.K2,412100.0
Turkiye,TUR,2003,Agricultural land (sq. km),AG.LND.AGRI.K2,406440.0
Turkiye,TUR,2002,Agricultural land (sq. km),AG.LND.AGRI.K2,411960.0
Turkiye,TUR,2001,Agricultural land (sq. km),AG.LND.AGRI.K2,409680.0
Turkiye,TUR,2000,Agricultural land (sq. km),AG.LND.AGRI.K2,404790.0
Turkiye,TUR,1999,Agricultural land (sq. km),AG.LND.AGRI.K2,403020.0
Turkiye,TUR,1998,Agricultural land (sq. km),AG.LND.AGRI.K2,399190.0
Turkiye,TUR,1997,Agricultural land (sq. km),AG.LND.AGRI.K2,392420.0
Turkiye,TUR,1996,Agricultural land (sq. km),AG.LND.AGRI.K2,393640.0
Turkiye,TUR,1995,Agricultural land (sq. km),AG.LND.AGRI.K2,394930.0
Turkiye,TUR,1994,Agricultural land (sq. km),AG.LND.AGRI.K2,401490.0
Turkiye,TUR,1993,Agricultural land (sq. km),AG.LND.AGRI.K2,399130.0
Turkiye,TUR,1992,Agricultural land (sq. km),AG.LND.AGRI.K2,399040.0
Turkiye,TUR,1991,Agricultural land (sq. km),AG.LND.AGRI.K2,400670.0
Turkiye,TUR,1990,Agricultural land (sq. km),AG.LND.AGRI.K2,396770.0
Turkiye,TUR,1989,Agricultural land (sq. km),AG.LND.AGRI.K2,398970.0
Turkiye,TUR,1988,Agricultural land (sq. km),AG.LND.AGRI.K2,392630.0
Turkiye,TUR,1987,Agricultural land (sq. km),AG.LND.AGRI.K2,394270.0
Turkiye,TUR,1986,Agricultural land (sq. km),AG.LND.AGRI.K2,384830.0
Turkiye,TUR,1985,Agricultural land (sq. km),AG.LND.AGRI.K2,381300.0
Turkiye,TUR,1984,Agricultural land (sq. km),AG.LND.AGRI.K2,376130.0
Turkiye,TUR,1983,Agricultural land (sq. km),AG.LND.AGRI.K2,367180.0
Turkiye,TUR,1982,Agricultural land (sq. km),AG.LND.AGRI.K2,371910.0
Turkiye,TUR,1981,Agricultural land (sq. km),AG.LND.AGRI.K2,386130.0
Turkiye,TUR,1980,Agricultural land (sq. km),AG.LND.AGRI.K2,385790.0
Turkiye,TUR,1979,Agricultural land (sq. km),AG.LND.AGRI.K2,388920.0
Turkiye,TUR,1978,Agricultural land (sq. km),AG.LND.AGRI.K2,380450.0
Turkiye,TUR,1977,Agricultural land (sq. km),AG.LND.AGRI.K2,380290.0
Turkiye,TUR,1976,Agricultural land (sq. km),AG.LND.AGRI.K2,379030.0
Turkiye,TUR,1975,Agricultural land (sq. km),AG.LND.AGRI.K2,379620.0
Turkiye,TUR,1974,Agricultural land (sq. km),AG.LND.AGRI.K2,383280.0
Turkiye,TUR,1973,Agricultural land (sq. km),AG.LND.AGRI.K2,387870.0
Turkiye,TUR,1972,Agricultural land (sq. km),AG.LND.AGRI.K2,388260.0
Turkiye,TUR,1971,Agricultural land (sq. km),AG.LND.AGRI.K2,383140.0
Turkiye,TUR,1970,Agricultural land (sq. km),AG.LND.AGRI.K2,381780.0
Turkiye,TUR,1969,Agricultural land (sq. km),AG.LND.AGRI.K2,386430.0
Turkiye,TUR,1968,Agricultural land (sq. km),AG.LND.AGRI.K2,376010.0
Turkiye,TUR,1967,Agricultural land (sq. km),AG.LND.AGRI.K2,373000.0
Turkiye,TUR,1966,Agricultural land (sq. km),AG.LND.AGRI.K2,374840.0
Turkiye,TUR,1965,Agricultural land (sq. km),AG.LND.AGRI.K2,372960.0
Turkiye,TUR,1964,Agricultural land (sq. km),AG.LND.AGRI.K2,372920.0
