Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
Turkmenistan,TKM,2018,Agricultural land (sq. km),AG.LND.AGRI.K2,338380.0
Turkmenistan,TKM,2017,Agricultural land (sq. km),AG.LND.AGRI.K2,338380.0
Turkmenistan,TKM,2016,Agricultural land (sq. km),AG.LND.AGRI.K2,338380.0
Turkmenistan,TKM,2015,Agricultural land (sq. km),AG.LND.AGRI.K2,338380.0
Turkmenistan,TKM,2014,Agricultural land (sq. km),AG.LND.AGRI.K2,338380.0
Turkmenistan,TKM,2013,Agricultural land (sq. km),AG.LND.AGRI.K2,338380.0
Turkmenistan,TKM,2012,Agricultural land (sq. km),AG.LND.AGRI.K2,338380.0
Turkmenistan,TKM,2011,Agricultural land (sq. km),AG.LND.AGRI.K2,338380.0
Turkmenistan,TKM,2010,Agricultural land (sq. km),AG.LND.AGRI.K2,340000.0
Turkmenistan,TKM,2009,Agricultural land (sq. km),AG.LND.AGRI.K2,342050.0
Turkmenistan,TKM,2008,Agricultural land (sq. km),AG.LND.AGRI.K2,343500.0
Turkmenistan,TKM,2007,Agricultural land (sq. km),AG.LND.AGRI.K2,345500.0
Turkmenistan,TKM,2006,Agricultural land (sq. km),AG.LND.AGRI.K2,347000.0
Turkmenistan,TKM,2005,Agricultural land (sq. km),AG.LND.AGRI.K2,348800.0
Turkmenistan,TKM,2004,Agricultural land (sq. km),AG.LND.AGRI.K2,350500.0
Turkmenistan,TKM,2003,Agricultural land (sq. km),AG.LND.AGRI.K2,351900.0
Turkmenistan,TKM,2002,Agricultural land (sq. km),AG.LND.AGRI.K2,353500.0
Turkmenistan,TKM,2001,Agricultural land (sq. km),AG.LND.AGRI.K2,355000.0
Turkmenistan,TKM,2000,Agricultural land (sq. km),AG.LND.AGRI.K2,355000.0
Turkmenistan,TKM,1999,Agricultural land (sq. km),AG.LND.AGRI.K2,355400.0
Turkmenistan,TKM,1998,Agricultural land (sq. km),AG.LND.AGRI.K2,355000.0
Turkmenistan,TKM,1997,Agricultural land (sq. km),AG.LND.AGRI.K2,355000.0
Turkmenistan,TKM,1996,Agricultural land (sq. km),AG.LND.AGRI.K2,355000.0
Turkmenistan,TKM,1995,Agricultural land (sq. km),AG.LND.AGRI.K2,355000.0
Turkmenistan,TKM,1994,Agricultural land (sq. km),AG.LND.AGRI.K2,354500.0
Turkmenistan,TKM,1993,Agricultural land (sq. km),AG.LND.AGRI.K2,354500.0
Turkmenistan,TKM,1992,Agricultural land (sq. km),AG.LND.AGRI.K2,353500.0
Turkmenistan,TKM,1991,Agricultural land (sq. km),AG.LND.AGRI.K2,353500.0
Turkmenistan,TKM,1990,Agricultural land (sq. km),AG.LND.AGRI.K2,353500.0
Turkmenistan,TKM,1989,Agricultural land (sq. km),AG.LND.AGRI.K2,353500.0
Turkmenistan,TKM,1988,Agricultural land (sq. km),AG.LND.AGRI.K2,353500.0
Turkmenistan,TKM,1987,Agricultural land (sq. km),AG.LND.AGRI.K2,353500.0
Turkmenistan,TKM,1986,Agricultural land (sq. km),AG.LND.AGRI.K2,353500.0
Turkmenistan,TKM,1985,Agricultural land (sq. km),AG.LND.AGRI.K2,353500.0
Turkmenistan,TKM,1984,Agricultural land (sq. km),AG.LND.AGRI.K2,353500.0
Turkmenistan,TKM,1983,Agricultural land (sq. km),AG.LND.AGRI.K2,353500.0
Turkmenistan,TKM,1982,Agricultural land (sq. km),AG.LND.AGRI.K2,353500.0
Turkmenistan,TKM,1981,Agricultural land (sq. km),AG.LND.AGRI.K2,353500.0
Turkmenistan,TKM,1980,Agricultural land (sq. km),AG.LND.AGRI.K2,353500.0
Turkmenistan,TKM,1979,Agricultural land (sq. km),AG.LND.AGRI.K2,353500.0
Turkmenistan,TKM,1978,Agricultural land (sq. km),AG.LND.AGRI.K2,353500.0
Turkmenistan,TKM,1977,Agricultural land (sq. km),AG.LND.AGRI.K2,353500.0
Turkmenistan,TKM,1976,Agricultural land (sq. km),AG.LND.AGRI.K2,353500.0
Turkmenistan,TKM,1975,Agricultural land (sq. km),AG.LND.AGRI.K2,353500.0
Turkmenistan,TKM,1974,Agricultural land (sq. km),AG.LND.AGRI.K2,353500.0
Turkmenistan,TKM,1973,Agricultural land (sq. km),AG.LND.AGRI.K2,353500.0
Turkmenistan,TKM,1972,Agricultural land (sq. km),AG.LND.AGRI.K2,353500.0
Turkmenistan,TKM,1971,Agricultural land (sq. km),AG.LND.AGRI.K2,353500.0
Turkmenistan,TKM,1970,Agricultural land (sq. km),AG.LND.AGRI.K2,353500.0
Turkmenistan,TKM,1969,Agricultural land (sq. km),AG.LND.AGRI.K2,353500.0
Turkmenistan,TKM,1968,Agricultural land (sq. km),AG.LND.AGRI.K2,353500.0
Turkmenistan,TKM,1967,Agricultural land (sq. km),AG.LND.AGRI.K2,353500.0
Turkmenistan,TKM,1966,Agricultural land (sq. km),AG.LND.AGRI.K2,353500.0
Turkmenistan,TKM,1965,Agricultural land (sq. km),AG.LND.AGRI.K2,353500.0
Turkmenistan,TKM,1964,Agricultural land (sq. km),AG.LND.AGRI.K2,353500.0
Turkmenistan,TKM,1963,Agricultural land (sq. km),AG.LND.AGRI.K2,353500.0
Turkmenistan,TKM,1962,Agricultural land (sq. km),AG.LND.AGRI.K2,353500.0
Turkmenistan,TKM,1961,Agricultural land (sq. km),AG.LND.AGRI.K2,353500.0
Turkmenistan,TKM,2021,Agricultural land (% of land area),AG.LND.AGRI.ZS,72.0064690485817
Turkmenistan,TKM,2020,Agricultural land (% of land area),AG.LND.AGRI.ZS,72.0064690485817
Turkmenistan,TKM,2019,Agricultural land (% of land area),AG.LND.AGRI.ZS,72.0064690485817
Turkmenistan,TKM,2018,Agricultural land (% of land area),AG.LND.AGRI.ZS,72.0064690485817
Turkmenistan,TKM,2017,Agricultural land (% of land area),AG.LND.AGRI.ZS,72.0064690485817
Turkmenistan,TKM,2016,Agricultural land (% of land area),AG.LND.AGRI.ZS,72.0064690485817
Turkmenistan,TKM,2015,Agricultural land (% of land area),AG.LND.AGRI.ZS,72.0064690485817
Turkmenistan,TKM,2014,Agricultural land (% of land area),AG.LND.AGRI.ZS,72.0064690485817
Turkmenistan,TKM,2013,Agricultural land (% of land area),AG.LND.AGRI.ZS,72.0064690485817
Turkmenistan,TKM,2012,Agricultural land (% of land area),AG.LND.AGRI.ZS,72.0064690485817
Turkmenistan,TKM,2011,Agricultural land (% of land area),AG.LND.AGRI.ZS,72.0064690485817
Turkmenistan,TKM,2010,Agricultural land (% of land area),AG.LND.AGRI.ZS,72.3512012427383
Turkmenistan,TKM,2009,Agricultural land (% of land area),AG.LND.AGRI.ZS,72.7874364267018
Turkmenistan,TKM,2008,Agricultural land (% of land area),AG.LND.AGRI.ZS,73.0959930202371
Turkmenistan,TKM,2007,Agricultural land (% of land area),AG.LND.AGRI.ZS,73.5215883216649
Turkmenistan,TKM,2006,Agricultural land (% of land area),AG.LND.AGRI.ZS,73.8407847977358
Turkmenistan,TKM,2005,Agricultural land (% of land area),AG.LND.AGRI.ZS,74.2238205690209
Turkmenistan,TKM,2004,Agricultural land (% of land area),AG.LND.AGRI.ZS,74.5855765752346
Turkmenistan,TKM,2003,Agricultural land (% of land area),AG.LND.AGRI.ZS,74.8834932862341
Turkmenistan,TKM,2002,Agricultural land (% of land area),AG.LND.AGRI.ZS,75.2239695273764
Turkmenistan,TKM,2001,Agricultural land (% of land area),AG.LND.AGRI.ZS,75.5431660034473
Turkmenistan,TKM,2000,Agricultural land (% of land area),AG.LND.AGRI.ZS,75.5431660034473
Turkmenistan,TKM,1999,Agricultural land (% of land area),AG.LND.AGRI.ZS,75.6282850637329
Turkmenistan,TKM,1998,Agricultural land (% of land area),AG.LND.AGRI.ZS,75.5431660034473
Turkmenistan,TKM,1997,Agricultural land (% of land area),AG.LND.AGRI.ZS,75.5431660034473
Turkmenistan,TKM,1996,Agricultural land (% of land area),AG.LND.AGRI.ZS,75.5431660034473
Turkmenistan,TKM,1995,Agricultural land (% of land area),AG.LND.AGRI.ZS,75.5431660034473
Turkmenistan,TKM,1994,Agricultural land (% of land area),AG.LND.AGRI.ZS,75.4367671780904
Turkmenistan,TKM,1993,Agricultural land (% of land area),AG.LND.AGRI.ZS,75.4367671780904
Turkmenistan,TKM,1992,Agricultural land (% of land area),AG.LND.AGRI.ZS,75.2239695273764
Turkmenistan,TKM,2021,Arable land (% of land area),AG.LND.ARBL.ZS,4.12827442385036
Turkmenistan,TKM,2020,Arable land (% of land area),AG.LND.ARBL.ZS,4.12827442385036
Turkmenistan,TKM,2019,Arable land (% of land area),AG.LND.ARBL.ZS,4.12827442385036
Turkmenistan,TKM,2018,Arable land (% of land area),AG.LND.ARBL.ZS,4.12827442385036
Turkmenistan,TKM,2017,Arable land (% of land area),AG.LND.ARBL.ZS,4.12827442385036
Turkmenistan,TKM,2016,Arable land (% of land area),AG.LND.ARBL.ZS,4.12827442385036
Turkmenistan,TKM,2015,Arable land (% of land area),AG.LND.ARBL.ZS,4.12827442385036
Turkmenistan,TKM,2014,Arable land (% of land area),AG.LND.ARBL.ZS,4.12827442385036
Turkmenistan,TKM,2013,Arable land (% of land area),AG.LND.ARBL.ZS,4.12827442385036
Turkmenistan,TKM,2012,Arable land (% of land area),AG.LND.ARBL.ZS,4.12827442385036
Turkmenistan,TKM,2011,Arable land (% of land area),AG.LND.ARBL.ZS,4.12827442385036
Turkmenistan,TKM,2010,Arable land (% of land area),AG.LND.ARBL.ZS,4.12827442385036
Turkmenistan,TKM,2009,Arable land (% of land area),AG.LND.ARBL.ZS,4.23467324920733
