Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
Turks and Caicos Islands,TCA,2018,Agricultural land (sq. km),AG.LND.AGRI.K2,10.0
Turks and Caicos Islands,TCA,2017,Agricultural land (sq. km),AG.LND.AGRI.K2,10.0
Turks and Caicos Islands,TCA,2016,Agricultural land (sq. km),AG.LND.AGRI.K2,10.0
Turks and Caicos Islands,TCA,2015,Agricultural land (sq. km),AG.LND.AGRI.K2,10.0
Turks and Caicos Islands,TCA,2014,Agricultural land (sq. km),AG.LND.AGRI.K2,10.0
Turks and Caicos Islands,TCA,2013,Agricultural land (sq. km),AG.LND.AGRI.K2,10.0
Turks and Caicos Islands,TCA,2012,Agricultural land (sq. km),AG.LND.AGRI.K2,10.0
Turks and Caicos Islands,TCA,2011,Agricultural land (sq. km),AG.LND.AGRI.K2,10.0
Turks and Caicos Islands,TCA,2010,Agricultural land (sq. km),AG.LND.AGRI.K2,10.0
Turks and Caicos Islands,TCA,2009,Agricultural land (sq. km),AG.LND.AGRI.K2,10.0
Turks and Caicos Islands,TCA,2008,Agricultural land (sq. km),AG.LND.AGRI.K2,10.0
Turks and Caicos Islands,TCA,2007,Agricultural land (sq. km),AG.LND.AGRI.K2,10.0
Turks and Caicos Islands,TCA,2006,Agricultural land (sq. km),AG.LND.AGRI.K2,10.0
Turks and Caicos Islands,TCA,2005,Agricultural land (sq. km),AG.LND.AGRI.K2,10.0
Turks and Caicos Islands,TCA,2004,Agricultural land (sq. km),AG.LND.AGRI.K2,10.0
Turks and Caicos Islands,TCA,2003,Agricultural land (sq. km),AG.LND.AGRI.K2,10.0
Turks and Caicos Islands,TCA,2002,Agricultural land (sq. km),AG.LND.AGRI.K2,10.0
Turks and Caicos Islands,TCA,2001,Agricultural land (sq. km),AG.LND.AGRI.K2,10.0
Turks and Caicos Islands,TCA,2000,Agricultural land (sq. km),AG.LND.AGRI.K2,10.0
Turks and Caicos Islands,TCA,1999,Agricultural land (sq. km),AG.LND.AGRI.K2,10.0
Turks and Caicos Islands,TCA,1998,Agricultural land (sq. km),AG.LND.AGRI.K2,10.0
Turks and Caicos Islands,TCA,1997,Agricultural land (sq. km),AG.LND.AGRI.K2,10.0
Turks and Caicos Islands,TCA,1996,Agricultural land (sq. km),AG.LND.AGRI.K2,10.0
Turks and Caicos Islands,TCA,1995,Agricultural land (sq. km),AG.LND.AGRI.K2,10.0
Turks and Caicos Islands,TCA,1994,Agricultural land (sq. km),AG.LND.AGRI.K2,10.0
Turks and Caicos Islands,TCA,1993,Agricultural land (sq. km),AG.LND.AGRI.K2,10.0
Turks and Caicos Islands,TCA,1992,Agricultural land (sq. km),AG.LND.AGRI.K2,10.0
Turks and Caicos Islands,TCA,1991,Agricultural land (sq. km),AG.LND.AGRI.K2,10.0
Turks and Caicos Islands,TCA,1990,Agricultural land (sq. km),AG.LND.AGRI.K2,10.0
Turks and Caicos Islands,TCA,1989,Agricultural land (sq. km),AG.LND.AGRI.K2,10.0
Turks and Caicos Islands,TCA,1988,Agricultural land (sq. km),AG.LND.AGRI.K2,10.0
Turks and Caicos Islands,TCA,1987,Agricultural land (sq. km),AG.LND.AGRI.K2,10.0
Turks and Caicos Islands,TCA,1986,Agricultural land (sq. km),AG.LND.AGRI.K2,10.0
Turks and Caicos Islands,TCA,1985,Agricultural land (sq. km),AG.LND.AGRI.K2,10.0
Turks and Caicos Islands,TCA,1984,Agricultural land (sq. km),AG.LND.AGRI.K2,10.0
Turks and Caicos Islands,TCA,1983,Agricultural land (sq. km),AG.LND.AGRI.K2,10.0
Turks and Caicos Islands,TCA,1982,Agricultural land (sq. km),AG.LND.AGRI.K2,10.0
Turks and Caicos Islands,TCA,1981,Agricultural land (sq. km),AG.LND.AGRI.K2,10.0
Turks and Caicos Islands,TCA,1980,Agricultural land (sq. km),AG.LND.AGRI.K2,10.0
Turks and Caicos Islands,TCA,1979,Agricultural land (sq. km),AG.LND.AGRI.K2,10.0
Turks and Caicos Islands,TCA,1978,Agricultural land (sq. km),AG.LND.AGRI.K2,10.0
Turks and Caicos Islands,TCA,1977,Agricultural land (sq. km),AG.LND.AGRI.K2,10.0
Turks and Caicos Islands,TCA,1976,Agricultural land (sq. km),AG.LND.AGRI.K2,10.0
Turks and Caicos Islands,TCA,1975,Agricultural land (sq. km),AG.LND.AGRI.K2,10.0
Turks and Caicos Islands,TCA,1974,Agricultural land (sq. km),AG.LND.AGRI.K2,10.0
Turks and Caicos Islands,TCA,1973,Agricultural land (sq. km),AG.LND.AGRI.K2,10.0
Turks and Caicos Islands,TCA,1972,Agricultural land (sq. km),AG.LND.AGRI.K2,10.0
Turks and Caicos Islands,TCA,1971,Agricultural land (sq. km),AG.LND.AGRI.K2,10.0
Turks and Caicos Islands,TCA,1970,Agricultural land (sq. km),AG.LND.AGRI.K2,10.0
Turks and Caicos Islands,TCA,1969,Agricultural land (sq. km),AG.LND.AGRI.K2,10.0
Turks and Caicos Islands,TCA,1968,Agricultural land (sq. km),AG.LND.AGRI.K2,10.0
Turks and Caicos Islands,TCA,1967,Agricultural land (sq. km),AG.LND.AGRI.K2,10.0
Turks and Caicos Islands,TCA,1966,Agricultural land (sq. km),AG.LND.AGRI.K2,10.0
Turks and Caicos Islands,TCA,1965,Agricultural land (sq. km),AG.LND.AGRI.K2,10.0
Turks and Caicos Islands,TCA,1964,Agricultural land (sq. km),AG.LND.AGRI.K2,10.0
Turks and Caicos Islands,TCA,1963,Agricultural land (sq. km),AG.LND.AGRI.K2,10.0
Turks and Caicos Islands,TCA,1962,Agricultural land (sq. km),AG.LND.AGRI.K2,10.0
Turks and Caicos Islands,TCA,1961,Agricultural land (sq. km),AG.LND.AGRI.K2,10.0
Turks and Caicos Islands,TCA,2021,Agricultural land (% of land area),AG.LND.AGRI.ZS,1.05263157894737
Turks and Caicos Islands,TCA,2020,Agricultural land (% of land area),AG.LND.AGRI.ZS,1.05263157894737
Turks and Caicos Islands,TCA,2019,Agricultural land (% of land area),AG.LND.AGRI.ZS,1.05263157894737
Turks and Caicos Islands,TCA,2018,Agricultural land (% of land area),AG.LND.AGRI.ZS,1.05263157894737
Turks and Caicos Islands,TCA,2017,Agricultural land (% of land area),AG.LND.AGRI.ZS,1.05263157894737
Turks and Caicos Islands,TCA,2016,Agricultural land (% of land area),AG.LND.AGRI.ZS,1.05263157894737
Turks and Caicos Islands,TCA,2015,Agricultural land (% of land area),AG.LND.AGRI.ZS,1.05263157894737
Turks and Caicos Islands,TCA,2014,Agricultural land (% of land area),AG.LND.AGRI.ZS,1.05263157894737
Turks and Caicos Islands,TCA,2013,Agricultural land (% of land area),AG.LND.AGRI.ZS,1.05263157894737
Turks and Caicos Islands,TCA,2012,Agricultural land (% of land area),AG.LND.AGRI.ZS,1.05263157894737
Turks and Caicos Islands,TCA,2011,Agricultural land (% of land area),AG.LND.AGRI.ZS,1.05263157894737
Turks and Caicos Islands,TCA,2010,Agricultural land (% of land area),AG.LND.AGRI.ZS,1.05263157894737
Turks and Caicos Islands,TCA,2009,Agricultural land (% of land area),AG.LND.AGRI.ZS,1.05263157894737
Turks and Caicos Islands,TCA,2008,Agricultural land (% of land area),AG.LND.AGRI.ZS,1.05263157894737
Turks and Caicos Islands,TCA,2007,Agricultural land (% of land area),AG.LND.AGRI.ZS,1.05263157894737
Turks and Caicos Islands,TCA,2006,Agricultural land (% of land area),AG.LND.AGRI.ZS,1.05263157894737
Turks and Caicos Islands,TCA,2005,Agricultural land (% of land area),AG.LND.AGRI.ZS,1.05263157894737
Turks and Caicos Islands,TCA,2004,Agricultural land (% of land area),AG.LND.AGRI.ZS,1.05263157894737
