Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
Ukraine,UKR,2018,Agricultural land (sq. km),AG.LND.AGRI.K2,413290.0
Ukraine,UKR,2017,Agricultural land (sq. km),AG.LND.AGRI.K2,414890.0
Ukraine,UKR,2016,Agricultural land (sq. km),AG.LND.AGRI.K2,415150.0
Ukraine,UKR,2015,Agricultural land (sq. km),AG.LND.AGRI.K2,415080.0
Ukraine,UKR,2014,Agricultural land (sq. km),AG.LND.AGRI.K2,415110.0
Ukraine,UKR,2013,Agricultural land (sq. km),AG.LND.AGRI.K2,415260.0
Ukraine,UKR,2012,Agricultural land (sq. km),AG.LND.AGRI.K2,412970.0
Ukraine,UKR,2011,Agricultural land (sq. km),AG.LND.AGRI.K2,412810.0
Ukraine,UKR,2010,Agricultural land (sq. km),AG.LND.AGRI.K2,412670.0
Ukraine,UKR,2009,Agricultural land (sq. km),AG.LND.AGRI.K2,412760.0
Ukraine,UKR,2008,Agricultural land (sq. km),AG.LND.AGRI.K2,412920.0
Ukraine,UKR,2007,Agricultural land (sq. km),AG.LND.AGRI.K2,412660.0
Ukraine,UKR,2006,Agricultural land (sq. km),AG.LND.AGRI.K2,412840.0
Ukraine,UKR,2005,Agricultural land (sq. km),AG.LND.AGRI.K2,413040.0
Ukraine,UKR,2004,Agricultural land (sq. km),AG.LND.AGRI.K2,413540.0
Ukraine,UKR,2003,Agricultural land (sq. km),AG.LND.AGRI.K2,413550.0
Ukraine,UKR,2002,Agricultural land (sq. km),AG.LND.AGRI.K2,413960.0
Ukraine,UKR,2001,Agricultural land (sq. km),AG.LND.AGRI.K2,413850.0
Ukraine,UKR,2000,Agricultural land (sq. km),AG.LND.AGRI.K2,414060.0
Ukraine,UKR,1999,Agricultural land (sq. km),AG.LND.AGRI.K2,414530.0
Ukraine,UKR,1998,Agricultural land (sq. km),AG.LND.AGRI.K2,416110.0
Ukraine,UKR,1997,Agricultural land (sq. km),AG.LND.AGRI.K2,418540.0
Ukraine,UKR,1996,Agricultural land (sq. km),AG.LND.AGRI.K2,418400.0
Ukraine,UKR,1995,Agricultural land (sq. km),AG.LND.AGRI.K2,418530.0
Ukraine,UKR,1994,Agricultural land (sq. km),AG.LND.AGRI.K2,418610.0
Ukraine,UKR,1993,Agricultural land (sq. km),AG.LND.AGRI.K2,418900.0
Ukraine,UKR,1992,Agricultural land (sq. km),AG.LND.AGRI.K2,419290.0
Ukraine,UKR,1991,Agricultural land (sq. km),AG.LND.AGRI.K2,419290.0
Ukraine,UKR,1990,Agricultural land (sq. km),AG.LND.AGRI.K2,419290.0
Ukraine,UKR,1989,Agricultural land (sq. km),AG.LND.AGRI.K2,419290.0
Ukraine,UKR,1988,Agricultural land (sq. km),AG.LND.AGRI.K2,419290.0
Ukraine,UKR,1987,Agricultural land (sq. km),AG.LND.AGRI.K2,419290.0
Ukraine,UKR,1986,Agricultural land (sq. km),AG.LND.AGRI.K2,419290.0
Ukraine,UKR,1985,Agricultural land (sq. km),AG.LND.AGRI.K2,419290.0
Ukraine,UKR,1984,Agricultural land (sq. km),AG.LND.AGRI.K2,419290.0
Ukraine,UKR,1983,Agricultural land (sq. km),AG.LND.AGRI.K2,419290.0
Ukraine,UKR,1982,Agricultural land (sq. km),AG.LND.AGRI.K2,419290.0
Ukraine,UKR,1981,Agricultural land (sq. km),AG.LND.AGRI.K2,419290.0
Ukraine,UKR,1980,Agricultural land (sq. km),AG.LND.AGRI.K2,419290.0
Ukraine,UKR,1979,Agricultural land (sq. km),AG.LND.AGRI.K2,419290.0
Ukraine,UKR,1978,Agricultural land (sq. km),AG.LND.AGRI.K2,419290.0
Ukraine,UKR,1977,Agricultural land (sq. km),AG.LND.AGRI.K2,419290.0
Ukraine,UKR,1976,Agricultural land (sq. km),AG.LND.AGRI.K2,419290.0
Ukraine,UKR,1975,Agricultural land (sq. km),AG.LND.AGRI.K2,419290.0
Ukraine,UKR,1974,Agricultural land (sq. km),AG.LND.AGRI.K2,419290.0
Ukraine,UKR,1973,Agricultural land (sq. km),AG.LND.AGRI.K2,419290.0
Ukraine,UKR,1972,Agricultural land (sq. km),AG.LND.AGRI.K2,419290.0
Ukraine,UKR,1971,Agricultural land (sq. km),AG.LND.AGRI.K2,419290.0
Ukraine,UKR,1970,Agricultural land (sq. km),AG.LND.AGRI.K2,419290.0
Ukraine,UKR,1969,Agricultural land (sq. km),AG.LND.AGRI.K2,419290.0
Ukraine,UKR,1968,Agricultural land (sq. km),AG.LND.AGRI.K2,419290.0
Ukraine,UKR,1967,Agricultural land (sq. km),AG.LND.AGRI.K2,419290.0
Ukraine,UKR,1966,Agricultural land (sq. km),AG.LND.AGRI.K2,419290.0
Ukraine,UKR,1965,Agricultural land (sq. km),AG.LND.AGRI.K2,419290.0
Ukraine,UKR,1964,Agricultural land (sq. km),AG.LND.AGRI.K2,419290.0
Ukraine,UKR,1963,Agricultural land (sq. km),AG.LND.AGRI.K2,419290.0
Ukraine,UKR,1962,Agricultural land (sq. km),AG.LND.AGRI.K2,419290.0
Ukraine,UKR,1961,Agricultural land (sq. km),AG.LND.AGRI.K2,419290.0
Ukraine,UKR,2021,Agricultural land (% of land area),AG.LND.AGRI.ZS,71.2996202968588
Ukraine,UKR,2020,Agricultural land (% of land area),AG.LND.AGRI.ZS,71.2996202968588
