Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
United Kingdom,GBR,2018,Agricultural land (sq. km),AG.LND.AGRI.K2,173508.616
United Kingdom,GBR,2017,Agricultural land (sq. km),AG.LND.AGRI.K2,174661.525
United Kingdom,GBR,2016,Agricultural land (sq. km),AG.LND.AGRI.K2,173499.818
United Kingdom,GBR,2015,Agricultural land (sq. km),AG.LND.AGRI.K2,171380.0
United Kingdom,GBR,2014,Agricultural land (sq. km),AG.LND.AGRI.K2,172320.0
United Kingdom,GBR,2013,Agricultural land (sq. km),AG.LND.AGRI.K2,172502.0
United Kingdom,GBR,2012,Agricultural land (sq. km),AG.LND.AGRI.K2,171820.0
United Kingdom,GBR,2011,Agricultural land (sq. km),AG.LND.AGRI.K2,171640.0
United Kingdom,GBR,2010,Agricultural land (sq. km),AG.LND.AGRI.K2,172240.0
United Kingdom,GBR,2009,Agricultural land (sq. km),AG.LND.AGRI.K2,173250.0
United Kingdom,GBR,2008,Agricultural land (sq. km),AG.LND.AGRI.K2,176840.0
United Kingdom,GBR,2007,Agricultural land (sq. km),AG.LND.AGRI.K2,176470.0
United Kingdom,GBR,2006,Agricultural land (sq. km),AG.LND.AGRI.K2,178380.0
United Kingdom,GBR,2005,Agricultural land (sq. km),AG.LND.AGRI.K2,169560.0
United Kingdom,GBR,2004,Agricultural land (sq. km),AG.LND.AGRI.K2,170510.0
United Kingdom,GBR,2003,Agricultural land (sq. km),AG.LND.AGRI.K2,169560.0
United Kingdom,GBR,2002,Agricultural land (sq. km),AG.LND.AGRI.K2,169760.0
United Kingdom,GBR,2001,Agricultural land (sq. km),AG.LND.AGRI.K2,169530.0
United Kingdom,GBR,2000,Agricultural land (sq. km),AG.LND.AGRI.K2,169640.0
United Kingdom,GBR,1999,Agricultural land (sq. km),AG.LND.AGRI.K2,172190.0
United Kingdom,GBR,1998,Agricultural land (sq. km),AG.LND.AGRI.K2,175180.0
United Kingdom,GBR,1997,Agricultural land (sq. km),AG.LND.AGRI.K2,175850.0
United Kingdom,GBR,1996,Agricultural land (sq. km),AG.LND.AGRI.K2,174940.0
United Kingdom,GBR,1995,Agricultural land (sq. km),AG.LND.AGRI.K2,173790.0
United Kingdom,GBR,1994,Agricultural land (sq. km),AG.LND.AGRI.K2,174090.0
United Kingdom,GBR,1993,Agricultural land (sq. km),AG.LND.AGRI.K2,175340.0
United Kingdom,GBR,1992,Agricultural land (sq. km),AG.LND.AGRI.K2,180700.0
United Kingdom,GBR,1991,Agricultural land (sq. km),AG.LND.AGRI.K2,181430.0
United Kingdom,GBR,1990,Agricultural land (sq. km),AG.LND.AGRI.K2,182030.0
United Kingdom,GBR,1989,Agricultural land (sq. km),AG.LND.AGRI.K2,183060.0
United Kingdom,GBR,1988,Agricultural land (sq. km),AG.LND.AGRI.K2,184230.0
United Kingdom,GBR,1987,Agricultural land (sq. km),AG.LND.AGRI.K2,181160.0
United Kingdom,GBR,1986,Agricultural land (sq. km),AG.LND.AGRI.K2,181300.0
United Kingdom,GBR,1985,Agricultural land (sq. km),AG.LND.AGRI.K2,181680.0
United Kingdom,GBR,1984,Agricultural land (sq. km),AG.LND.AGRI.K2,182020.0
United Kingdom,GBR,1983,Agricultural land (sq. km),AG.LND.AGRI.K2,182160.0
United Kingdom,GBR,1982,Agricultural land (sq. km),AG.LND.AGRI.K2,182810.0
United Kingdom,GBR,1981,Agricultural land (sq. km),AG.LND.AGRI.K2,183200.0
United Kingdom,GBR,1980,Agricultural land (sq. km),AG.LND.AGRI.K2,184690.0
United Kingdom,GBR,1979,Agricultural land (sq. km),AG.LND.AGRI.K2,184520.0
United Kingdom,GBR,1978,Agricultural land (sq. km),AG.LND.AGRI.K2,184780.0
United Kingdom,GBR,1977,Agricultural land (sq. km),AG.LND.AGRI.K2,184900.0
United Kingdom,GBR,1976,Agricultural land (sq. km),AG.LND.AGRI.K2,185680.0
United Kingdom,GBR,1975,Agricultural land (sq. km),AG.LND.AGRI.K2,185830.0
United Kingdom,GBR,1974,Agricultural land (sq. km),AG.LND.AGRI.K2,186380.0
United Kingdom,GBR,1973,Agricultural land (sq. km),AG.LND.AGRI.K2,186960.0
United Kingdom,GBR,1972,Agricultural land (sq. km),AG.LND.AGRI.K2,187560.0
United Kingdom,GBR,1971,Agricultural land (sq. km),AG.LND.AGRI.K2,188430.0
United Kingdom,GBR,1970,Agricultural land (sq. km),AG.LND.AGRI.K2,188490.0
United Kingdom,GBR,1969,Agricultural land (sq. km),AG.LND.AGRI.K2,193800.0
United Kingdom,GBR,1968,Agricultural land (sq. km),AG.LND.AGRI.K2,194260.0
United Kingdom,GBR,1967,Agricultural land (sq. km),AG.LND.AGRI.K2,195540.0
United Kingdom,GBR,1966,Agricultural land (sq. km),AG.LND.AGRI.K2,195500.0
United Kingdom,GBR,1965,Agricultural land (sq. km),AG.LND.AGRI.K2,195850.0
United Kingdom,GBR,1964,Agricultural land (sq. km),AG.LND.AGRI.K2,197030.0
United Kingdom,GBR,1963,Agricultural land (sq. km),AG.LND.AGRI.K2,197470.0
United Kingdom,GBR,1962,Agricultural land (sq. km),AG.LND.AGRI.K2,197790.0
United Kingdom,GBR,1961,Agricultural land (sq. km),AG.LND.AGRI.K2,198000.0
United Kingdom,GBR,2021,Agricultural land (% of land area),AG.LND.AGRI.ZS,71.1575290373248
United Kingdom,GBR,2020,Agricultural land (% of land area),AG.LND.AGRI.ZS,71.3400491877816
United Kingdom,GBR,2019,Agricultural land (% of land area),AG.LND.AGRI.ZS,72.4229988013062
United Kingdom,GBR,2018,Agricultural land (% of land area),AG.LND.AGRI.ZS,71.7185202331253
United Kingdom,GBR,2017,Agricultural land (% of land area),AG.LND.AGRI.ZS,72.1950667548465
United Kingdom,GBR,2016,Agricultural land (% of land area),AG.LND.AGRI.ZS,71.7148836440293
United Kingdom,GBR,2015,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.8386723432398
United Kingdom,GBR,2014,Agricultural land (% of land area),AG.LND.AGRI.ZS,71.2272144835283
United Kingdom,GBR,2013,Agricultural land (% of land area),AG.LND.AGRI.ZS,71.3024428553714
United Kingdom,GBR,2012,Agricultural land (% of land area),AG.LND.AGRI.ZS,71.020543132311
United Kingdom,GBR,2011,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.9461414458728
United Kingdom,GBR,2010,Agricultural land (% of land area),AG.LND.AGRI.ZS,71.1941470673335
United Kingdom,GBR,2009,Agricultural land (% of land area),AG.LND.AGRI.ZS,71.6116231967925
United Kingdom,GBR,2008,Agricultural land (% of land area),AG.LND.AGRI.ZS,73.0955234985326
United Kingdom,GBR,2007,Agricultural land (% of land area),AG.LND.AGRI.ZS,72.9425866986318
United Kingdom,GBR,2006,Agricultural land (% of land area),AG.LND.AGRI.ZS,73.7320712602819
United Kingdom,GBR,2005,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.0863886248088
United Kingdom,GBR,2004,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.4790641921217
United Kingdom,GBR,2003,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.0863886248088
United Kingdom,GBR,2002,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.1690571652957
United Kingdom,GBR,2001,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.0739883437358
United Kingdom,GBR,2000,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.1194560410036
United Kingdom,GBR,1999,Agricultural land (% of land area),AG.LND.AGRI.ZS,71.1734799322118
United Kingdom,GBR,1998,Agricultural land (% of land area),AG.LND.AGRI.ZS,72.4093746124912
United Kingdom,GBR,1997,Agricultural land (% of land area),AG.LND.AGRI.ZS,72.6863142231224
United Kingdom,GBR,1996,Agricultural land (% of land area),AG.LND.AGRI.ZS,72.3101723639069
United Kingdom,GBR,1995,Agricultural land (% of land area),AG.LND.AGRI.ZS,71.8348282561071
United Kingdom,GBR,1994,Agricultural land (% of land area),AG.LND.AGRI.ZS,71.9588310668375
United Kingdom,GBR,1993,Agricultural land (% of land area),AG.LND.AGRI.ZS,72.4755094448807
United Kingdom,GBR,1992,Agricultural land (% of land area),AG.LND.AGRI.ZS,74.6910263299301
United Kingdom,GBR,1991,Agricultural land (% of land area),AG.LND.AGRI.ZS,74.9927665027074
United Kingdom,GBR,1990,Agricultural land (% of land area),AG.LND.AGRI.ZS,75.2407721241681
United Kingdom,GBR,1989,Agricultural land (% of land area),AG.LND.AGRI.ZS,75.6665151076758
United Kingdom,GBR,1988,Agricultural land (% of land area),AG.LND.AGRI.ZS,76.1501260695242
United Kingdom,GBR,1987,Agricultural land (% of land area),AG.LND.AGRI.ZS,74.8811639730501
United Kingdom,GBR,1986,Agricultural land (% of land area),AG.LND.AGRI.ZS,74.9390319513909
United Kingdom,GBR,1985,Agricultural land (% of land area),AG.LND.AGRI.ZS,75.096102178316
United Kingdom,GBR,1984,Agricultural land (% of land area),AG.LND.AGRI.ZS,75.2366386971438
United Kingdom,GBR,1983,Agricultural land (% of land area),AG.LND.AGRI.ZS,75.2945066754846
United Kingdom,GBR,1982,Agricultural land (% of land area),AG.LND.AGRI.ZS,75.5631794320671
United Kingdom,GBR,1981,Agricultural land (% of land area),AG.LND.AGRI.ZS,75.7243830860166
United Kingdom,GBR,1980,Agricultural land (% of land area),AG.LND.AGRI.ZS,76.3402637126441
United Kingdom,GBR,1979,Agricultural land (% of land area),AG.LND.AGRI.ZS,76.2699954532303
United Kingdom,GBR,1978,Agricultural land (% of land area),AG.LND.AGRI.ZS,76.3774645558633
United Kingdom,GBR,1977,Agricultural land (% of land area),AG.LND.AGRI.ZS,76.4270656801554
United Kingdom,GBR,1976,Agricultural land (% of land area),AG.LND.AGRI.ZS,76.7494729880544
United Kingdom,GBR,1975,Agricultural land (% of land area),AG.LND.AGRI.ZS,76.8114743934196
United Kingdom,GBR,1974,Agricultural land (% of land area),AG.LND.AGRI.ZS,77.0388128797586
United Kingdom,GBR,1973,Agricultural land (% of land area),AG.LND.AGRI.ZS,77.2785516471707
United Kingdom,GBR,1972,Agricultural land (% of land area),AG.LND.AGRI.ZS,77.5265572686314
United Kingdom,GBR,1971,Agricultural land (% of land area),AG.LND.AGRI.ZS,77.8861654197495
United Kingdom,GBR,1970,Agricultural land (% of land area),AG.LND.AGRI.ZS,77.9109659818956
United Kingdom,GBR,1969,Agricultural land (% of land area),AG.LND.AGRI.ZS,80.1058157318233
United Kingdom,GBR,1968,Agricultural land (% of land area),AG.LND.AGRI.ZS,80.2959533749432
United Kingdom,GBR,1967,Agricultural land (% of land area),AG.LND.AGRI.ZS,80.8250320340594
United Kingdom,GBR,1966,Agricultural land (% of land area),AG.LND.AGRI.ZS,80.808498325962
United Kingdom,GBR,1965,Agricultural land (% of land area),AG.LND.AGRI.ZS,80.9531682718142
United Kingdom,GBR,1964,Agricultural land (% of land area),AG.LND.AGRI.ZS,81.440912660687
United Kingdom,GBR,1963,Agricultural land (% of land area),AG.LND.AGRI.ZS,81.6227834497582
United Kingdom,GBR,1962,Agricultural land (% of land area),AG.LND.AGRI.ZS,81.7550531145373
United Kingdom,GBR,1961,Agricultural land (% of land area),AG.LND.AGRI.ZS,81.8418550820485
United Kingdom,GBR,2021,Arable land (% of land area),AG.LND.ARBL.ZS,24.8410870913074
United Kingdom,GBR,2020,Arable land (% of land area),AG.LND.ARBL.ZS,24.7117025585913
United Kingdom,GBR,2019,Arable land (% of land area),AG.LND.ARBL.ZS,25.1543768858761
United Kingdom,GBR,2018,Arable land (% of land area),AG.LND.ARBL.ZS,24.9567536064151
United Kingdom,GBR,2017,Arable land (% of land area),AG.LND.ARBL.ZS,25.1431380977969
United Kingdom,GBR,2016,Arable land (% of land area),AG.LND.ARBL.ZS,24.9080746496921
United Kingdom,GBR,2015,Arable land (% of land area),AG.LND.ARBL.ZS,24.8460298433431
United Kingdom,GBR,2014,Arable land (% of land area),AG.LND.ARBL.ZS,25.7657173562601
