Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
Virgin Islands (U.S.),VIR,2018,Agricultural land (sq. km),AG.LND.AGRI.K2,33.0
Virgin Islands (U.S.),VIR,2017,Agricultural land (sq. km),AG.LND.AGRI.K2,40.0
Virgin Islands (U.S.),VIR,2016,Agricultural land (sq. km),AG.LND.AGRI.K2,40.0
Virgin Islands (U.S.),VIR,2015,Agricultural land (sq. km),AG.LND.AGRI.K2,40.0
Virgin Islands (U.S.),VIR,2014,Agricultural land (sq. km),AG.LND.AGRI.K2,40.0
Virgin Islands (U.S.),VIR,2013,Agricultural land (sq. km),AG.LND.AGRI.K2,40.0
Virgin Islands (U.S.),VIR,2012,Agricultural land (sq. km),AG.LND.AGRI.K2,40.0
Virgin Islands (U.S.),VIR,2011,Agricultural land (sq. km),AG.LND.AGRI.K2,40.0
Virgin Islands (U.S.),VIR,2010,Agricultural land (sq. km),AG.LND.AGRI.K2,40.0
Virgin Islands (U.S.),VIR,2009,Agricultural land (sq. km),AG.LND.AGRI.K2,40.0
Virgin Islands (U.S.),VIR,2008,Agricultural land (sq. km),AG.LND.AGRI.K2,40.0
Virgin Islands (U.S.),VIR,2007,Agricultural land (sq. km),AG.LND.AGRI.K2,40.0
Virgin Islands (U.S.),VIR,2006,Agricultural land (sq. km),AG.LND.AGRI.K2,40.0
Virgin Islands (U.S.),VIR,2005,Agricultural land (sq. km),AG.LND.AGRI.K2,60.0
Virgin Islands (U.S.),VIR,2004,Agricultural land (sq. km),AG.LND.AGRI.K2,60.0
Virgin Islands (U.S.),VIR,2003,Agricultural land (sq. km),AG.LND.AGRI.K2,60.0
Virgin Islands (U.S.),VIR,2002,Agricultural land (sq. km),AG.LND.AGRI.K2,60.0
Virgin Islands (U.S.),VIR,2001,Agricultural land (sq. km),AG.LND.AGRI.K2,70.0
Virgin Islands (U.S.),VIR,2000,Agricultural land (sq. km),AG.LND.AGRI.K2,70.0
Virgin Islands (U.S.),VIR,1999,Agricultural land (sq. km),AG.LND.AGRI.K2,70.0
Virgin Islands (U.S.),VIR,1998,Agricultural land (sq. km),AG.LND.AGRI.K2,80.0
Virgin Islands (U.S.),VIR,1997,Agricultural land (sq. km),AG.LND.AGRI.K2,80.0
Virgin Islands (U.S.),VIR,1996,Agricultural land (sq. km),AG.LND.AGRI.K2,80.0
Virgin Islands (U.S.),VIR,1995,Agricultural land (sq. km),AG.LND.AGRI.K2,80.0
Virgin Islands (U.S.),VIR,1994,Agricultural land (sq. km),AG.LND.AGRI.K2,90.0
Virgin Islands (U.S.),VIR,1993,Agricultural land (sq. km),AG.LND.AGRI.K2,100.0
Virgin Islands (U.S.),VIR,1992,Agricultural land (sq. km),AG.LND.AGRI.K2,100.0
Virgin Islands (U.S.),VIR,1991,Agricultural land (sq. km),AG.LND.AGRI.K2,100.0
Virgin Islands (U.S.),VIR,1990,Agricultural land (sq. km),AG.LND.AGRI.K2,100.0
Virgin Islands (U.S.),VIR,1989,Agricultural land (sq. km),AG.LND.AGRI.K2,110.0
Virgin Islands (U.S.),VIR,1988,Agricultural land (sq. km),AG.LND.AGRI.K2,110.0
Virgin Islands (U.S.),VIR,1987,Agricultural land (sq. km),AG.LND.AGRI.K2,120.0
Virgin Islands (U.S.),VIR,1986,Agricultural land (sq. km),AG.LND.AGRI.K2,120.0
Virgin Islands (U.S.),VIR,1985,Agricultural land (sq. km),AG.LND.AGRI.K2,120.0
Virgin Islands (U.S.),VIR,1984,Agricultural land (sq. km),AG.LND.AGRI.K2,140.0
Virgin Islands (U.S.),VIR,1983,Agricultural land (sq. km),AG.LND.AGRI.K2,140.0
Virgin Islands (U.S.),VIR,1982,Agricultural land (sq. km),AG.LND.AGRI.K2,150.0
Virgin Islands (U.S.),VIR,1981,Agricultural land (sq. km),AG.LND.AGRI.K2,160.0
Virgin Islands (U.S.),VIR,1980,Agricultural land (sq. km),AG.LND.AGRI.K2,160.0
Virgin Islands (U.S.),VIR,1979,Agricultural land (sq. km),AG.LND.AGRI.K2,150.0
Virgin Islands (U.S.),VIR,1978,Agricultural land (sq. km),AG.LND.AGRI.K2,150.0
Virgin Islands (U.S.),VIR,1977,Agricultural land (sq. km),AG.LND.AGRI.K2,150.0
Virgin Islands (U.S.),VIR,1976,Agricultural land (sq. km),AG.LND.AGRI.K2,150.0
Virgin Islands (U.S.),VIR,1975,Agricultural land (sq. km),AG.LND.AGRI.K2,150.0
Virgin Islands (U.S.),VIR,1974,Agricultural land (sq. km),AG.LND.AGRI.K2,150.0
Virgin Islands (U.S.),VIR,1973,Agricultural land (sq. km),AG.LND.AGRI.K2,150.0
Virgin Islands (U.S.),VIR,1972,Agricultural land (sq. km),AG.LND.AGRI.K2,150.0
Virgin Islands (U.S.),VIR,1971,Agricultural land (sq. km),AG.LND.AGRI.K2,150.0
Virgin Islands (U.S.),VIR,1970,Agricultural land (sq. km),AG.LND.AGRI.K2,150.0
Virgin Islands (U.S.),VIR,1969,Agricultural land (sq. km),AG.LND.AGRI.K2,150.0
Virgin Islands (U.S.),VIR,1968,Agricultural land (sq. km),AG.LND.AGRI.K2,150.0
Virgin Islands (U.S.),VIR,1967,Agricultural land (sq. km),AG.LND.AGRI.K2,150.0
Virgin Islands (U.S.),VIR,1966,Agricultural land (sq. km),AG.LND.AGRI.K2,160.0
Virgin Islands (U.S.),VIR,1965,Agricultural land (sq. km),AG.LND.AGRI.K2,160.0
Virgin Islands (U.S.),VIR,1964,Agricultural land (sq. km),AG.LND.AGRI.K2,160.0
Virgin Islands (U.S.),VIR,1963,Agricultural land (sq. km),AG.LND.AGRI.K2,140.0
Virgin Islands (U.S.),VIR,1962,Agricultural land (sq. km),AG.LND.AGRI.K2,120.0
Virgin Islands (U.S.),VIR,1961,Agricultural land (sq. km),AG.LND.AGRI.K2,120.0
Virgin Islands (U.S.),VIR,2021,Agricultural land (% of land area),AG.LND.AGRI.ZS,9.42857142857143
Virgin Islands (U.S.),VIR,2020,Agricultural land (% of land area),AG.LND.AGRI.ZS,9.42857142857143
Virgin Islands (U.S.),VIR,2019,Agricultural land (% of land area),AG.LND.AGRI.ZS,9.42857142857143
Virgin Islands (U.S.),VIR,2018,Agricultural land (% of land area),AG.LND.AGRI.ZS,9.42857142857143
Virgin Islands (U.S.),VIR,2017,Agricultural land (% of land area),AG.LND.AGRI.ZS,11.4285714285714
Virgin Islands (U.S.),VIR,2016,Agricultural land (% of land area),AG.LND.AGRI.ZS,11.4285714285714
Virgin Islands (U.S.),VIR,2015,Agricultural land (% of land area),AG.LND.AGRI.ZS,11.4285714285714
Virgin Islands (U.S.),VIR,2014,Agricultural land (% of land area),AG.LND.AGRI.ZS,11.4285714285714
Virgin Islands (U.S.),VIR,2013,Agricultural land (% of land area),AG.LND.AGRI.ZS,11.4285714285714
Virgin Islands (U.S.),VIR,2012,Agricultural land (% of land area),AG.LND.AGRI.ZS,11.4285714285714
Virgin Islands (U.S.),VIR,2011,Agricultural land (% of land area),AG.LND.AGRI.ZS,11.4285714285714
Virgin Islands (U.S.),VIR,2010,Agricultural land (% of land area),AG.LND.AGRI.ZS,11.4285714285714
Virgin Islands (U.S.),VIR,2009,Agricultural land (% of land area),AG.LND.AGRI.ZS,11.4285714285714
