Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
West Bank and Gaza,PSE,2018,Agricultural land (sq. km),AG.LND.AGRI.K2,4287.909
West Bank and Gaza,PSE,2017,Agricultural land (sq. km),AG.LND.AGRI.K2,4297.545
West Bank and Gaza,PSE,2016,Agricultural land (sq. km),AG.LND.AGRI.K2,4344.182
West Bank and Gaza,PSE,2015,Agricultural land (sq. km),AG.LND.AGRI.K2,4304.018
West Bank and Gaza,PSE,2014,Agricultural land (sq. km),AG.LND.AGRI.K2,4204.555
West Bank and Gaza,PSE,2013,Agricultural land (sq. km),AG.LND.AGRI.K2,4144.291
West Bank and Gaza,PSE,2012,Agricultural land (sq. km),AG.LND.AGRI.K2,4006.427
West Bank and Gaza,PSE,2011,Agricultural land (sq. km),AG.LND.AGRI.K2,3872.364
West Bank and Gaza,PSE,2010,Agricultural land (sq. km),AG.LND.AGRI.K2,3749.0
West Bank and Gaza,PSE,2009,Agricultural land (sq. km),AG.LND.AGRI.K2,4297.5
West Bank and Gaza,PSE,2008,Agricultural land (sq. km),AG.LND.AGRI.K2,4691.564
West Bank and Gaza,PSE,2007,Agricultural land (sq. km),AG.LND.AGRI.K2,4673.289
West Bank and Gaza,PSE,2006,Agricultural land (sq. km),AG.LND.AGRI.K2,4664.403
West Bank and Gaza,PSE,2005,Agricultural land (sq. km),AG.LND.AGRI.K2,4672.159
West Bank and Gaza,PSE,2004,Agricultural land (sq. km),AG.LND.AGRI.K2,4658.978
West Bank and Gaza,PSE,2003,Agricultural land (sq. km),AG.LND.AGRI.K2,4654.969
West Bank and Gaza,PSE,2002,Agricultural land (sq. km),AG.LND.AGRI.K2,4687.831
West Bank and Gaza,PSE,2001,Agricultural land (sq. km),AG.LND.AGRI.K2,4649.089
West Bank and Gaza,PSE,2000,Agricultural land (sq. km),AG.LND.AGRI.K2,4682.131
West Bank and Gaza,PSE,1999,Agricultural land (sq. km),AG.LND.AGRI.K2,4475.998
West Bank and Gaza,PSE,1998,Agricultural land (sq. km),AG.LND.AGRI.K2,4700.975
West Bank and Gaza,PSE,1997,Agricultural land (sq. km),AG.LND.AGRI.K2,4685.332
West Bank and Gaza,PSE,1996,Agricultural land (sq. km),AG.LND.AGRI.K2,4699.805
West Bank and Gaza,PSE,1995,Agricultural land (sq. km),AG.LND.AGRI.K2,4749.327
West Bank and Gaza,PSE,1994,Agricultural land (sq. km),AG.LND.AGRI.K2,4668.296
West Bank and Gaza,PSE,1993,Agricultural land (sq. km),AG.LND.AGRI.K2,4970.0
West Bank and Gaza,PSE,1992,Agricultural land (sq. km),AG.LND.AGRI.K2,4970.0
West Bank and Gaza,PSE,1991,Agricultural land (sq. km),AG.LND.AGRI.K2,4990.0
West Bank and Gaza,PSE,1990,Agricultural land (sq. km),AG.LND.AGRI.K2,5010.0
West Bank and Gaza,PSE,1989,Agricultural land (sq. km),AG.LND.AGRI.K2,5030.0
West Bank and Gaza,PSE,1988,Agricultural land (sq. km),AG.LND.AGRI.K2,5020.0
West Bank and Gaza,PSE,1987,Agricultural land (sq. km),AG.LND.AGRI.K2,5020.0
West Bank and Gaza,PSE,1986,Agricultural land (sq. km),AG.LND.AGRI.K2,5020.0
West Bank and Gaza,PSE,1985,Agricultural land (sq. km),AG.LND.AGRI.K2,5020.0
West Bank and Gaza,PSE,1984,Agricultural land (sq. km),AG.LND.AGRI.K2,5030.0
West Bank and Gaza,PSE,1983,Agricultural land (sq. km),AG.LND.AGRI.K2,5020.0
West Bank and Gaza,PSE,1982,Agricultural land (sq. km),AG.LND.AGRI.K2,5000.0
West Bank and Gaza,PSE,1981,Agricultural land (sq. km),AG.LND.AGRI.K2,4980.0
West Bank and Gaza,PSE,1980,Agricultural land (sq. km),AG.LND.AGRI.K2,4940.0
West Bank and Gaza,PSE,1979,Agricultural land (sq. km),AG.LND.AGRI.K2,4930.0
West Bank and Gaza,PSE,1978,Agricultural land (sq. km),AG.LND.AGRI.K2,4930.0
West Bank and Gaza,PSE,1977,Agricultural land (sq. km),AG.LND.AGRI.K2,4910.0
West Bank and Gaza,PSE,1976,Agricultural land (sq. km),AG.LND.AGRI.K2,4890.0
West Bank and Gaza,PSE,1975,Agricultural land (sq. km),AG.LND.AGRI.K2,4860.0
West Bank and Gaza,PSE,1974,Agricultural land (sq. km),AG.LND.AGRI.K2,4860.0
West Bank and Gaza,PSE,1973,Agricultural land (sq. km),AG.LND.AGRI.K2,4850.0
West Bank and Gaza,PSE,1972,Agricultural land (sq. km),AG.LND.AGRI.K2,4840.0
West Bank and Gaza,PSE,1971,Agricultural land (sq. km),AG.LND.AGRI.K2,4840.0
West Bank and Gaza,PSE,1970,Agricultural land (sq. km),AG.LND.AGRI.K2,4840.0
West Bank and Gaza,PSE,1969,Agricultural land (sq. km),AG.LND.AGRI.K2,4820.0
West Bank and Gaza,PSE,1968,Agricultural land (sq. km),AG.LND.AGRI.K2,4820.0
West Bank and Gaza,PSE,1967,Agricultural land (sq. km),AG.LND.AGRI.K2,4820.0
West Bank and Gaza,PSE,1966,Agricultural land (sq. km),AG.LND.AGRI.K2,4800.0
West Bank and Gaza,PSE,1965,Agricultural land (sq. km),AG.LND.AGRI.K2,4790.0
