Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
Zambia,ZMB,2018,Agricultural land (sq. km),AG.LND.AGRI.K2,238390.0
Zambia,ZMB,2017,Agricultural land (sq. km),AG.LND.AGRI.K2,238390.0
Zambia,ZMB,2016,Agricultural land (sq. km),AG.LND.AGRI.K2,237390.0
Zambia,ZMB,2015,Agricultural land (sq. km),AG.LND.AGRI.K2,237390.0
Zambia,ZMB,2014,Agricultural land (sq. km),AG.LND.AGRI.K2,237380.0
Zambia,ZMB,2013,Agricultural land (sq. km),AG.LND.AGRI.K2,237370.0
Zambia,ZMB,2012,Agricultural land (sq. km),AG.LND.AGRI.K2,238360.0
Zambia,ZMB,2011,Agricultural land (sq. km),AG.LND.AGRI.K2,236360.0
Zambia,ZMB,2010,Agricultural land (sq. km),AG.LND.AGRI.K2,234360.0
Zambia,ZMB,2009,Agricultural land (sq. km),AG.LND.AGRI.K2,235860.0
Zambia,ZMB,2008,Agricultural land (sq. km),AG.LND.AGRI.K2,230870.0
Zambia,ZMB,2007,Agricultural land (sq. km),AG.LND.AGRI.K2,229840.0
Zambia,ZMB,2006,Agricultural land (sq. km),AG.LND.AGRI.K2,230480.0
Zambia,ZMB,2005,Agricultural land (sq. km),AG.LND.AGRI.K2,227620.0
Zambia,ZMB,2004,Agricultural land (sq. km),AG.LND.AGRI.K2,228970.0
Zambia,ZMB,2003,Agricultural land (sq. km),AG.LND.AGRI.K2,229090.0
Zambia,ZMB,2002,Agricultural land (sq. km),AG.LND.AGRI.K2,226160.0
Zambia,ZMB,2001,Agricultural land (sq. km),AG.LND.AGRI.K2,225550.0
Zambia,ZMB,2000,Agricultural land (sq. km),AG.LND.AGRI.K2,225260.0
Zambia,ZMB,1999,Agricultural land (sq. km),AG.LND.AGRI.K2,223540.0
Zambia,ZMB,1998,Agricultural land (sq. km),AG.LND.AGRI.K2,221740.0
Zambia,ZMB,1997,Agricultural land (sq. km),AG.LND.AGRI.K2,220070.0
Zambia,ZMB,1996,Agricultural land (sq. km),AG.LND.AGRI.K2,218340.0
Zambia,ZMB,1995,Agricultural land (sq. km),AG.LND.AGRI.K2,216530.0
Zambia,ZMB,1994,Agricultural land (sq. km),AG.LND.AGRI.K2,214730.0
Zambia,ZMB,1993,Agricultural land (sq. km),AG.LND.AGRI.K2,212020.0
Zambia,ZMB,1992,Agricultural land (sq. km),AG.LND.AGRI.K2,210650.0
Zambia,ZMB,1991,Agricultural land (sq. km),AG.LND.AGRI.K2,208260.0
Zambia,ZMB,1990,Agricultural land (sq. km),AG.LND.AGRI.K2,208110.0
Zambia,ZMB,1989,Agricultural land (sq. km),AG.LND.AGRI.K2,207600.0
Zambia,ZMB,1988,Agricultural land (sq. km),AG.LND.AGRI.K2,206170.0
Zambia,ZMB,1987,Agricultural land (sq. km),AG.LND.AGRI.K2,205210.0
Zambia,ZMB,1986,Agricultural land (sq. km),AG.LND.AGRI.K2,204240.0
Zambia,ZMB,1985,Agricultural land (sq. km),AG.LND.AGRI.K2,203290.0
Zambia,ZMB,1984,Agricultural land (sq. km),AG.LND.AGRI.K2,202220.0
Zambia,ZMB,1983,Agricultural land (sq. km),AG.LND.AGRI.K2,201360.0
Zambia,ZMB,1982,Agricultural land (sq. km),AG.LND.AGRI.K2,200390.0
Zambia,ZMB,1981,Agricultural land (sq. km),AG.LND.AGRI.K2,199530.0
