iter	Passed	Remaining
0	2	1487
1	5	1445
2	8	1436
3	11	1466
4	15	1521
5	18	1554
6	22	1562
7	24	1535
8	28	1543
9	31	1565
10	34	1551
11	37	1533
12	40	1522
13	43	1515
14	46	1511
15	49	1505
16	52	1483
17	54	1467
18	57	1457
19	60	1447
20	63	1441
21	65	1429
22	68	1419
23	70	1407
24	73	1395
25	76	1400
26	79	1398
27	82	1391
28	85	1382
29	87	1373
30	90	1368
31	92	1359
32	95	1354
33	98	1347
34	100	1340
35	103	1331
36	105	1326
37	108	1322
38	111	1318
39	114	1311
40	116	1305
41	119	1299
42	121	1296
43	124	1293
44	127	1291
45	130	1285
46	132	1279
47	135	1275
48	138	1271
49	140	1268
50	143	1266
51	146	1259
52	148	1254
53	151	1248
54	153	1244
55	156	1240
56	159	1236
57	161	1233
58	164	1229
59	167	1227
60	169	1221
61	172	1215
62	174	1211
63	177	1209
64	180	1205
65	182	1203
66	185	1200
67	188	1196
68	191	1194
69	193	1190
70	196	1189
71	199	1185
72	201	1181
73	204	1177
74	207	1174
75	209	1171
76	212	1166
77	214	1162
78	217	1158
79	219	1154
80	222	1153
81	225	1149
82	227	1145
83	230	1141
84	233	1137
85	235	1134
86	238	1133
87	241	1129
88	243	1124
89	245	1120
90	248	1116
91	251	1114
92	254	1112
93	256	1108
94	259	1104
95	261	1101
96	264	1098
97	267	1096
98	270	1095
99	272	1091
100	275	1087
101	277	1083
102	280	1081
103	283	1078
104	286	1075
105	288	1072
106	291	1069
107	293	1065
108	296	1061
109	298	1059
110	301	1057
111	304	1054
112	306	1050
113	309	1047
114	311	1043
115	314	1040
116	316	1037
117	319	1035
118	322	1031
119	324	1028
120	327	1025
121	330	1022
122	332	1020
123	335	1018
124	338	1015
125	341	1012
126	343	1009
127	346	1007
128	349	1005
129	352	1002
130	355	999
131	357	996
132	360	994
133	363	993
134	366	990
135	369	987
136	371	985
137	374	982
138	377	979
139	380	977
140	382	975
141	385	971
142	388	968
143	390	966
144	393	963
145	396	961
146	399	959
147	402	956
148	404	953
149	407	950
150	410	947
151	412	945
152	415	941
153	417	938
154	420	935
155	422	932
156	425	929
157	428	927
158	431	924
159	433	921
160	436	918
161	438	915
162	441	913
163	444	911
164	447	908
165	449	905
166	452	902
167	455	899
168	457	896
169	460	894
170	463	891
171	465	888
172	468	885
173	471	882
174	473	879
175	476	876
176	478	873
177	481	870
178	483	867
179	486	865
180	489	862
181	492	860
182	495	857
183	497	854
184	500	851
185	502	849
186	505	845
187	508	843
188	510	840
189	513	837
190	515	834
191	518	831
192	520	828
193	523	826
194	526	823
195	529	820
196	531	817
197	534	814
198	537	812
199	539	809
200	542	806
201	544	803
202	547	800
203	549	798
204	552	795
205	555	793
206	558	790
207	561	787
208	563	784
209	566	782
210	569	779
211	571	777
212	574	774
213	577	771
214	579	768
215	582	765
216	584	762
217	587	760
218	602	773
219	605	770
220	608	767
221	610	764
222	612	761
223	615	758
224	618	755
225	620	752
226	623	749
227	626	746
228	628	743
229	631	740
230	634	738
231	636	735
232	639	732
233	642	729
234	644	726
235	647	724
