Domain,Area,Element,Item,Year,Unit,Value
Suite of Food Security Indicators,Afghanistan,Value,Average fat supply (g/cap/day) (3-year average),2000-2002,g/cap/d,29.7
Suite of Food Security Indicators,Afghanistan,Value,Average fat supply (g/cap/day) (3-year average),2001-2003,g/cap/d,29
Suite of Food Security Indicators,Afghanistan,Value,Average fat supply (g/cap/day) (3-year average),2002-2004,g/cap/d,31.6
Suite of Food Security Indicators,Afghanistan,Value,Average fat supply (g/cap/day) (3-year average),2003-2005,g/cap/d,33.9
Suite of Food Security Indicators,Afghanistan,Value,Average fat supply (g/cap/day) (3-year average),2004-2006,g/cap/d,34.3
Suite of Food Security Indicators,Afghanistan,Value,Average fat supply (g/cap/day) (3-year average),2005-2007,g/cap/d,33.3
Suite of Food Security Indicators,Afghanistan,Value,Average fat supply (g/cap/day) (3-year average),2006-2008,g/cap/d,31
Suite of Food Security Indicators,Afghanistan,Value,Average fat supply (g/cap/day) (3-year average),2007-2009,g/cap/d,30.8
Suite of Food Security Indicators,Afghanistan,Value,Average fat supply (g/cap/day) (3-year average),2008-2010,g/cap/d,32.8
Suite of Food Security Indicators,Afghanistan,Value,Average fat supply (g/cap/day) (3-year average),2009-2011,g/cap/d,34.9
Suite of Food Security Indicators,Afghanistan,Value,Average fat supply (g/cap/day) (3-year average),2010-2012,g/cap/d,37.2
Suite of Food Security Indicators,Afghanistan,Value,Average fat supply (g/cap/day) (3-year average),2011-2013,g/cap/d,37.2
Suite of Food Security Indicators,Afghanistan,Value,Average fat supply (g/cap/day) (3-year average),2012-2014,g/cap/d,39.2
Suite of Food Security Indicators,Afghanistan,Value,Average fat supply (g/cap/day) (3-year average),2013-2015,g/cap/d,39.7
Suite of Food Security Indicators,Afghanistan,Value,Average fat supply (g/cap/day) (3-year average),2014-2016,g/cap/d,40.9
Suite of Food Security Indicators,Afghanistan,Value,Average fat supply (g/cap/day) (3-year average),2015-2017,g/cap/d,40.5
Suite of Food Security Indicators,Afghanistan,Value,Average fat supply (g/cap/day) (3-year average),2016-2018,g/cap/d,41.5
Suite of Food Security Indicators,Afghanistan,Value,Average fat supply (g/cap/day) (3-year average),2017-2019,g/cap/d,41.6
Suite of Food Security Indicators,Afghanistan,Value,Average fat supply (g/cap/day) (3-year average),2018-2020,g/cap/d,42
Suite of Food Security Indicators,Afghanistan,Value,Average fat supply (g/cap/day) (3-year average),2019-2021,g/cap/d,41.9
Suite of Food Security Indicators,Afghanistan,Value,Average fat supply (g/cap/day) (3-year average),2020-2022,g/cap/d,43
Suite of Food Security Indicators,Albania,Value,Average fat supply (g/cap/day) (3-year average),2000-2002,g/cap/d,78.9
Suite of Food Security Indicators,Albania,Value,Average fat supply (g/cap/day) (3-year average),2001-2003,g/cap/d,81.1
Suite of Food Security Indicators,Albania,Value,Average fat supply (g/cap/day) (3-year average),2002-2004,g/cap/d,84
Suite of Food Security Indicators,Albania,Value,Average fat supply (g/cap/day) (3-year average),2003-2005,g/cap/d,86.6
Suite of Food Security Indicators,Albania,Value,Average fat supply (g/cap/day) (3-year average),2004-2006,g/cap/d,89.6
Suite of Food Security Indicators,Albania,Value,Average fat supply (g/cap/day) (3-year average),2005-2007,g/cap/d,90.5
Suite of Food Security Indicators,Albania,Value,Average fat supply (g/cap/day) (3-year average),2006-2008,g/cap/d,92.8
Suite of Food Security Indicators,Albania,Value,Average fat supply (g/cap/day) (3-year average),2007-2009,g/cap/d,96.2
Suite of Food Security Indicators,Albania,Value,Average fat supply (g/cap/day) (3-year average),2008-2010,g/cap/d,100.8
Suite of Food Security Indicators,Albania,Value,Average fat supply (g/cap/day) (3-year average),2009-2011,g/cap/d,104
Suite of Food Security Indicators,Albania,Value,Average fat supply (g/cap/day) (3-year average),2010-2012,g/cap/d,106.2
Suite of Food Security Indicators,Albania,Value,Average fat supply (g/cap/day) (3-year average),2011-2013,g/cap/d,107.3
Suite of Food Security Indicators,Albania,Value,Average fat supply (g/cap/day) (3-year average),2012-2014,g/cap/d,109.5
Suite of Food Security Indicators,Albania,Value,Average fat supply (g/cap/day) (3-year average),2013-2015,g/cap/d,110.8
Suite of Food Security Indicators,Albania,Value,Average fat supply (g/cap/day) (3-year average),2014-2016,g/cap/d,113.6
Suite of Food Security Indicators,Albania,Value,Average fat supply (g/cap/day) (3-year average),2015-2017,g/cap/d,116
Suite of Food Security Indicators,Albania,Value,Average fat supply (g/cap/day) (3-year average),2016-2018,g/cap/d,117.5
Suite of Food Security Indicators,Albania,Value,Average fat supply (g/cap/day) (3-year average),2017-2019,g/cap/d,117.1
Suite of Food Security Indicators,Albania,Value,Average fat supply (g/cap/day) (3-year average),2018-2020,g/cap/d,114.7
Suite of Food Security Indicators,Albania,Value,Average fat supply (g/cap/day) (3-year average),2019-2021,g/cap/d,111.6
Suite of Food Security Indicators,Albania,Value,Average fat supply (g/cap/day) (3-year average),2020-2022,g/cap/d,112.7
Suite of Food Security Indicators,Algeria,Value,Average fat supply (g/cap/day) (3-year average),2000-2002,g/cap/d,67
Suite of Food Security Indicators,Algeria,Value,Average fat supply (g/cap/day) (3-year average),2001-2003,g/cap/d,65.4
Suite of Food Security Indicators,Algeria,Value,Average fat supply (g/cap/day) (3-year average),2002-2004,g/cap/d,63.4
Suite of Food Security Indicators,Algeria,Value,Average fat supply (g/cap/day) (3-year average),2003-2005,g/cap/d,62.1
Suite of Food Security Indicators,Algeria,Value,Average fat supply (g/cap/day) (3-year average),2004-2006,g/cap/d,64.7
Suite of Food Security Indicators,Algeria,Value,Average fat supply (g/cap/day) (3-year average),2005-2007,g/cap/d,65.8
Suite of Food Security Indicators,Algeria,Value,Average fat supply (g/cap/day) (3-year average),2006-2008,g/cap/d,67.7
Suite of Food Security Indicators,Algeria,Value,Average fat supply (g/cap/day) (3-year average),2007-2009,g/cap/d,66.6
Suite of Food Security Indicators,Algeria,Value,Average fat supply (g/cap/day) (3-year average),2008-2010,g/cap/d,73.8
Suite of Food Security Indicators,Algeria,Value,Average fat supply (g/cap/day) (3-year average),2009-2011,g/cap/d,84.3
Suite of Food Security Indicators,Algeria,Value,Average fat supply (g/cap/day) (3-year average),2010-2012,g/cap/d,93.4
Suite of Food Security Indicators,Algeria,Value,Average fat supply (g/cap/day) (3-year average),2011-2013,g/cap/d,98
Suite of Food Security Indicators,Algeria,Value,Average fat supply (g/cap/day) (3-year average),2012-2014,g/cap/d,99.4
Suite of Food Security Indicators,Algeria,Value,Average fat supply (g/cap/day) (3-year average),2013-2015,g/cap/d,101.2
Suite of Food Security Indicators,Algeria,Value,Average fat supply (g/cap/day) (3-year average),2014-2016,g/cap/d,102.2
Suite of Food Security Indicators,Algeria,Value,Average fat supply (g/cap/day) (3-year average),2015-2017,g/cap/d,101.9
Suite of Food Security Indicators,Algeria,Value,Average fat supply (g/cap/day) (3-year average),2016-2018,g/cap/d,99.8
Suite of Food Security Indicators,Algeria,Value,Average fat supply (g/cap/day) (3-year average),2017-2019,g/cap/d,96.9
Suite of Food Security Indicators,Algeria,Value,Average fat supply (g/cap/day) (3-year average),2018-2020,g/cap/d,96.5
Suite of Food Security Indicators,Algeria,Value,Average fat supply (g/cap/day) (3-year average),2019-2021,g/cap/d,98.8
Suite of Food Security Indicators,Algeria,Value,Average fat supply (g/cap/day) (3-year average),2020-2022,g/cap/d,99.1
Suite of Food Security Indicators,Angola,Value,Average fat supply (g/cap/day) (3-year average),2000-2002,g/cap/d,39.4
Suite of Food Security Indicators,Angola,Value,Average fat supply (g/cap/day) (3-year average),2001-2003,g/cap/d,40.9
Suite of Food Security Indicators,Angola,Value,Average fat supply (g/cap/day) (3-year average),2002-2004,g/cap/d,42.1
Suite of Food Security Indicators,Angola,Value,Average fat supply (g/cap/day) (3-year average),2003-2005,g/cap/d,43.8
Suite of Food Security Indicators,Angola,Value,Average fat supply (g/cap/day) (3-year average),2004-2006,g/cap/d,44.6
Suite of Food Security Indicators,Angola,Value,Average fat supply (g/cap/day) (3-year average),2005-2007,g/cap/d,45.9
Suite of Food Security Indicators,Angola,Value,Average fat supply (g/cap/day) (3-year average),2006-2008,g/cap/d,47
