Domain,Area,Element,Item,Year,Unit,Value
Suite of Food Security Indicators,Afghanistan,Value,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),2000,kcal/cap/d,1774
Suite of Food Security Indicators,Afghanistan,Value,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),2001,kcal/cap/d,1716
Suite of Food Security Indicators,Afghanistan,Value,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),2002,kcal/cap/d,1794
Suite of Food Security Indicators,Afghanistan,Value,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),2003,kcal/cap/d,1847
Suite of Food Security Indicators,Afghanistan,Value,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),2004,kcal/cap/d,1911
Suite of Food Security Indicators,Afghanistan,Value,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),2005,kcal/cap/d,1888
Suite of Food Security Indicators,Afghanistan,Value,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),2006,kcal/cap/d,1906
Suite of Food Security Indicators,Afghanistan,Value,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),2007,kcal/cap/d,1989
Suite of Food Security Indicators,Afghanistan,Value,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),2008,kcal/cap/d,1990
Suite of Food Security Indicators,Afghanistan,Value,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),2009,kcal/cap/d,2031
Suite of Food Security Indicators,Afghanistan,Value,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),2010,kcal/cap/d,2208
Suite of Food Security Indicators,Afghanistan,Value,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),2011,kcal/cap/d,2179
Suite of Food Security Indicators,Afghanistan,Value,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),2012,kcal/cap/d,2173
Suite of Food Security Indicators,Afghanistan,Value,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),2013,kcal/cap/d,2211
Suite of Food Security Indicators,Afghanistan,Value,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),2014,kcal/cap/d,2276
Suite of Food Security Indicators,Afghanistan,Value,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),2015,kcal/cap/d,2257
Suite of Food Security Indicators,Afghanistan,Value,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),2016,kcal/cap/d,2245
Suite of Food Security Indicators,Afghanistan,Value,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),2017,kcal/cap/d,2311
Suite of Food Security Indicators,Afghanistan,Value,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),2018,kcal/cap/d,2265
Suite of Food Security Indicators,Afghanistan,Value,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),2019,kcal/cap/d,2228
Suite of Food Security Indicators,Afghanistan,Value,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),2020,kcal/cap/d,2266
Suite of Food Security Indicators,Afghanistan,Value,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),2021,kcal/cap/d,2240
Suite of Food Security Indicators,Afghanistan,Value,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),2022,kcal/cap/d,2244
Suite of Food Security Indicators,Afghanistan,Value,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),2023,kcal/cap/d,2242
