Domain,Area,Element,Item,Year,Unit,Value
Suite of Food Security Indicators,Afghanistan,Value,Number of obese adults (18 years and older) (million),2000,million No,0.4
Suite of Food Security Indicators,Afghanistan,Value,Number of obese adults (18 years and older) (million),2001,million No,0.4
Suite of Food Security Indicators,Afghanistan,Value,Number of obese adults (18 years and older) (million),2002,million No,0.5
Suite of Food Security Indicators,Afghanistan,Value,Number of obese adults (18 years and older) (million),2003,million No,0.5
Suite of Food Security Indicators,Afghanistan,Value,Number of obese adults (18 years and older) (million),2004,million No,0.6
Suite of Food Security Indicators,Afghanistan,Value,Number of obese adults (18 years and older) (million),2005,million No,0.7
Suite of Food Security Indicators,Afghanistan,Value,Number of obese adults (18 years and older) (million),2006,million No,0.8
Suite of Food Security Indicators,Afghanistan,Value,Number of obese adults (18 years and older) (million),2007,million No,0.8
Suite of Food Security Indicators,Afghanistan,Value,Number of obese adults (18 years and older) (million),2008,million No,0.9
Suite of Food Security Indicators,Afghanistan,Value,Number of obese adults (18 years and older) (million),2009,million No,1
Suite of Food Security Indicators,Afghanistan,Value,Number of obese adults (18 years and older) (million),2010,million No,1.1
Suite of Food Security Indicators,Afghanistan,Value,Number of obese adults (18 years and older) (million),2011,million No,1.3
Suite of Food Security Indicators,Afghanistan,Value,Number of obese adults (18 years and older) (million),2012,million No,1.4
Suite of Food Security Indicators,Afghanistan,Value,Number of obese adults (18 years and older) (million),2013,million No,1.6
Suite of Food Security Indicators,Afghanistan,Value,Number of obese adults (18 years and older) (million),2014,million No,1.8
Suite of Food Security Indicators,Afghanistan,Value,Number of obese adults (18 years and older) (million),2015,million No,2
Suite of Food Security Indicators,Afghanistan,Value,Number of obese adults (18 years and older) (million),2016,million No,2.2
Suite of Food Security Indicators,Afghanistan,Value,Number of obese adults (18 years and older) (million),2017,million No,2.4
Suite of Food Security Indicators,Afghanistan,Value,Number of obese adults (18 years and older) (million),2018,million No,2.7
Suite of Food Security Indicators,Afghanistan,Value,Number of obese adults (18 years and older) (million),2019,million No,3
Suite of Food Security Indicators,Afghanistan,Value,Number of obese adults (18 years and older) (million),2020,million No,3.3
Suite of Food Security Indicators,Afghanistan,Value,Number of obese adults (18 years and older) (million),2021,million No,3.6
Suite of Food Security Indicators,Afghanistan,Value,Number of obese adults (18 years and older) (million),2022,million No,3.9
Suite of Food Security Indicators,Albania,Value,Number of obese adults (18 years and older) (million),2000,million No,0.3
Suite of Food Security Indicators,Albania,Value,Number of obese adults (18 years and older) (million),2001,million No,0.3
Suite of Food Security Indicators,Albania,Value,Number of obese adults (18 years and older) (million),2002,million No,0.3
Suite of Food Security Indicators,Albania,Value,Number of obese adults (18 years and older) (million),2003,million No,0.3
Suite of Food Security Indicators,Albania,Value,Number of obese adults (18 years and older) (million),2004,million No,0.3
Suite of Food Security Indicators,Albania,Value,Number of obese adults (18 years and older) (million),2005,million No,0.3
Suite of Food Security Indicators,Albania,Value,Number of obese adults (18 years and older) (million),2006,million No,0.3
Suite of Food Security Indicators,Albania,Value,Number of obese adults (18 years and older) (million),2007,million No,0.3
Suite of Food Security Indicators,Albania,Value,Number of obese adults (18 years and older) (million),2008,million No,0.3
Suite of Food Security Indicators,Albania,Value,Number of obese adults (18 years and older) (million),2009,million No,0.3
Suite of Food Security Indicators,Albania,Value,Number of obese adults (18 years and older) (million),2010,million No,0.4
Suite of Food Security Indicators,Albania,Value,Number of obese adults (18 years and older) (million),2011,million No,0.4
Suite of Food Security Indicators,Albania,Value,Number of obese adults (18 years and older) (million),2012,million No,0.4
Suite of Food Security Indicators,Albania,Value,Number of obese adults (18 years and older) (million),2013,million No,0.4
Suite of Food Security Indicators,Albania,Value,Number of obese adults (18 years and older) (million),2014,million No,0.4
Suite of Food Security Indicators,Albania,Value,Number of obese adults (18 years and older) (million),2015,million No,0.4
Suite of Food Security Indicators,Albania,Value,Number of obese adults (18 years and older) (million),2016,million No,0.4
