Domain,Area,Element,Item,Year,Unit,Value
Suite of Food Security Indicators,Afghanistan,Value,Percent of arable land equipped for irrigation (percent) (3-year average),2000-2002,%,4.9
Suite of Food Security Indicators,Afghanistan,Value,Percent of arable land equipped for irrigation (percent) (3-year average),2001-2003,%,4.9
Suite of Food Security Indicators,Afghanistan,Value,Percent of arable land equipped for irrigation (percent) (3-year average),2002-2004,%,4.9
Suite of Food Security Indicators,Afghanistan,Value,Percent of arable land equipped for irrigation (percent) (3-year average),2003-2005,%,4.9
Suite of Food Security Indicators,Afghanistan,Value,Percent of arable land equipped for irrigation (percent) (3-year average),2004-2006,%,4.9
Suite of Food Security Indicators,Afghanistan,Value,Percent of arable land equipped for irrigation (percent) (3-year average),2005-2007,%,4.9
Suite of Food Security Indicators,Afghanistan,Value,Percent of arable land equipped for irrigation (percent) (3-year average),2006-2008,%,4.9
Suite of Food Security Indicators,Afghanistan,Value,Percent of arable land equipped for irrigation (percent) (3-year average),2007-2009,%,4.9
Suite of Food Security Indicators,Afghanistan,Value,Percent of arable land equipped for irrigation (percent) (3-year average),2008-2010,%,4.9
Suite of Food Security Indicators,Afghanistan,Value,Percent of arable land equipped for irrigation (percent) (3-year average),2009-2011,%,4.9
Suite of Food Security Indicators,Afghanistan,Value,Percent of arable land equipped for irrigation (percent) (3-year average),2010-2012,%,4.9
Suite of Food Security Indicators,Afghanistan,Value,Percent of arable land equipped for irrigation (percent) (3-year average),2011-2013,%,4.9
Suite of Food Security Indicators,Afghanistan,Value,Percent of arable land equipped for irrigation (percent) (3-year average),2012-2014,%,4.9
Suite of Food Security Indicators,Afghanistan,Value,Percent of arable land equipped for irrigation (percent) (3-year average),2013-2015,%,4.9
Suite of Food Security Indicators,Afghanistan,Value,Percent of arable land equipped for irrigation (percent) (3-year average),2014-2016,%,4.9
Suite of Food Security Indicators,Afghanistan,Value,Percent of arable land equipped for irrigation (percent) (3-year average),2015-2017,%,4.9
Suite of Food Security Indicators,Afghanistan,Value,Percent of arable land equipped for irrigation (percent) (3-year average),2016-2018,%,4.9
Suite of Food Security Indicators,Afghanistan,Value,Percent of arable land equipped for irrigation (percent) (3-year average),2017-2019,%,4.9
Suite of Food Security Indicators,Afghanistan,Value,Percent of arable land equipped for irrigation (percent) (3-year average),2018-2020,%,4.9
Suite of Food Security Indicators,Afghanistan,Value,Percent of arable land equipped for irrigation (percent) (3-year average),2019-2021,%,4.9
Suite of Food Security Indicators,Afghanistan,Value,Percent of arable land equipped for irrigation (percent) (3-year average),2020-2022,%,4.9
Suite of Food Security Indicators,Albania,Value,Percent of arable land equipped for irrigation (percent) (3-year average),2000-2002,%,12.5
Suite of Food Security Indicators,Albania,Value,Percent of arable land equipped for irrigation (percent) (3-year average),2001-2003,%,12.7
Suite of Food Security Indicators,Albania,Value,Percent of arable land equipped for irrigation (percent) (3-year average),2002-2004,%,12.8
Suite of Food Security Indicators,Albania,Value,Percent of arable land equipped for irrigation (percent) (3-year average),2003-2005,%,13
Suite of Food Security Indicators,Albania,Value,Percent of arable land equipped for irrigation (percent) (3-year average),2004-2006,%,13.2
Suite of Food Security Indicators,Albania,Value,Percent of arable land equipped for irrigation (percent) (3-year average),2005-2007,%,13.2
Suite of Food Security Indicators,Albania,Value,Percent of arable land equipped for irrigation (percent) (3-year average),2006-2008,%,13
