Domain,Area,Element,Item,Year,Unit,Value
Suite of Food Security Indicators,Afghanistan,Value,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),2000,%,54.9
Suite of Food Security Indicators,Afghanistan,Value,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),2001,%,55
Suite of Food Security Indicators,Afghanistan,Value,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),2002,%,54.7
Suite of Food Security Indicators,Afghanistan,Value,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),2003,%,54.3
Suite of Food Security Indicators,Afghanistan,Value,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),2004,%,53.8
Suite of Food Security Indicators,Afghanistan,Value,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),2005,%,53.2
Suite of Food Security Indicators,Afghanistan,Value,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),2006,%,52.5
Suite of Food Security Indicators,Afghanistan,Value,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),2007,%,51.6
Suite of Food Security Indicators,Afghanistan,Value,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),2008,%,50.4
Suite of Food Security Indicators,Afghanistan,Value,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),2009,%,48.9
Suite of Food Security Indicators,Afghanistan,Value,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),2010,%,47.4
Suite of Food Security Indicators,Afghanistan,Value,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),2011,%,45.8
Suite of Food Security Indicators,Afghanistan,Value,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),2012,%,44.3
Suite of Food Security Indicators,Afghanistan,Value,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),2013,%,42.9
Suite of Food Security Indicators,Afghanistan,Value,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),2014,%,41.6
Suite of Food Security Indicators,Afghanistan,Value,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),2015,%,40.5
Suite of Food Security Indicators,Afghanistan,Value,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),2016,%,39.4
Suite of Food Security Indicators,Afghanistan,Value,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),2017,%,38.3
Suite of Food Security Indicators,Afghanistan,Value,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),2018,%,37.2
Suite of Food Security Indicators,Afghanistan,Value,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),2019,%,36.1
Suite of Food Security Indicators,Afghanistan,Value,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),2020,%,35.1
Suite of Food Security Indicators,Afghanistan,Value,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),2021,%,34
Suite of Food Security Indicators,Afghanistan,Value,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),2022,%,33.1
Suite of Food Security Indicators,Albania,Value,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),2000,%,29.5
Suite of Food Security Indicators,Albania,Value,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),2001,%,29.6
Suite of Food Security Indicators,Albania,Value,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),2002,%,29.5
Suite of Food Security Indicators,Albania,Value,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),2003,%,29.2
Suite of Food Security Indicators,Albania,Value,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),2004,%,28.5
Suite of Food Security Indicators,Albania,Value,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),2005,%,27.6
Suite of Food Security Indicators,Albania,Value,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),2006,%,26.3
Suite of Food Security Indicators,Albania,Value,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),2007,%,24.7
Suite of Food Security Indicators,Albania,Value,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),2008,%,22.9
Suite of Food Security Indicators,Albania,Value,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),2009,%,21.1
Suite of Food Security Indicators,Albania,Value,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),2010,%,19.3
Suite of Food Security Indicators,Albania,Value,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),2011,%,17.8
Suite of Food Security Indicators,Albania,Value,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),2012,%,16.4
Suite of Food Security Indicators,Albania,Value,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),2013,%,15.2
Suite of Food Security Indicators,Albania,Value,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),2014,%,14.3
Suite of Food Security Indicators,Albania,Value,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),2015,%,13.5
Suite of Food Security Indicators,Albania,Value,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),2016,%,12.7
Suite of Food Security Indicators,Albania,Value,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),2017,%,11.9
Suite of Food Security Indicators,Albania,Value,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),2018,%,11.1
Suite of Food Security Indicators,Albania,Value,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),2019,%,10.3
Suite of Food Security Indicators,Albania,Value,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),2020,%,9.5
Suite of Food Security Indicators,Albania,Value,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),2021,%,8.8
Suite of Food Security Indicators,Albania,Value,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),2022,%,8.3
Suite of Food Security Indicators,Algeria,Value,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),2000,%,22.3
Suite of Food Security Indicators,Algeria,Value,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),2001,%,21.5
Suite of Food Security Indicators,Algeria,Value,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),2002,%,20.7
Suite of Food Security Indicators,Algeria,Value,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),2003,%,19.8
