Domain,Area,Element,Item,Year,Unit,Value
Suite of Food Security Indicators,Afghanistan,Value,Percentage of population using at least basic drinking water services (percent),2000,%,27
Suite of Food Security Indicators,Afghanistan,Value,Percentage of population using at least basic drinking water services (percent),2001,%,28
Suite of Food Security Indicators,Afghanistan,Value,Percentage of population using at least basic drinking water services (percent),2002,%,30
Suite of Food Security Indicators,Afghanistan,Value,Percentage of population using at least basic drinking water services (percent),2003,%,32
Suite of Food Security Indicators,Afghanistan,Value,Percentage of population using at least basic drinking water services (percent),2004,%,34
Suite of Food Security Indicators,Afghanistan,Value,Percentage of population using at least basic drinking water services (percent),2005,%,36
Suite of Food Security Indicators,Afghanistan,Value,Percentage of population using at least basic drinking water services (percent),2006,%,39
Suite of Food Security Indicators,Afghanistan,Value,Percentage of population using at least basic drinking water services (percent),2007,%,41
Suite of Food Security Indicators,Afghanistan,Value,Percentage of population using at least basic drinking water services (percent),2008,%,44
Suite of Food Security Indicators,Afghanistan,Value,Percentage of population using at least basic drinking water services (percent),2009,%,46
Suite of Food Security Indicators,Afghanistan,Value,Percentage of population using at least basic drinking water services (percent),2010,%,49
Suite of Food Security Indicators,Afghanistan,Value,Percentage of population using at least basic drinking water services (percent),2011,%,52
Suite of Food Security Indicators,Afghanistan,Value,Percentage of population using at least basic drinking water services (percent),2012,%,54
Suite of Food Security Indicators,Afghanistan,Value,Percentage of population using at least basic drinking water services (percent),2013,%,57
Suite of Food Security Indicators,Afghanistan,Value,Percentage of population using at least basic drinking water services (percent),2014,%,60
Suite of Food Security Indicators,Afghanistan,Value,Percentage of population using at least basic drinking water services (percent),2015,%,62
Suite of Food Security Indicators,Afghanistan,Value,Percentage of population using at least basic drinking water services (percent),2016,%,65
Suite of Food Security Indicators,Afghanistan,Value,Percentage of population using at least basic drinking water services (percent),2017,%,68
Suite of Food Security Indicators,Afghanistan,Value,Percentage of population using at least basic drinking water services (percent),2018,%,71
Suite of Food Security Indicators,Afghanistan,Value,Percentage of population using at least basic drinking water services (percent),2019,%,74
Suite of Food Security Indicators,Afghanistan,Value,Percentage of population using at least basic drinking water services (percent),2020,%,77
Suite of Food Security Indicators,Afghanistan,Value,Percentage of population using at least basic drinking water services (percent),2021,%,80
Suite of Food Security Indicators,Afghanistan,Value,Percentage of population using at least basic drinking water services (percent),2022,%,82
Suite of Food Security Indicators,Albania,Value,Percentage of population using at least basic drinking water services (percent),2000,%,86
Suite of Food Security Indicators,Albania,Value,Percentage of population using at least basic drinking water services (percent),2001,%,87
Suite of Food Security Indicators,Albania,Value,Percentage of population using at least basic drinking water services (percent),2002,%,88
Suite of Food Security Indicators,Albania,Value,Percentage of population using at least basic drinking water services (percent),2003,%,88
