Domain,Area,Element,Item,Year,Unit,Value
Suite of Food Security Indicators,Afghanistan,Value,Percentage of population using at least basic sanitation services (percent),2000,%,21
Suite of Food Security Indicators,Afghanistan,Value,Percentage of population using at least basic sanitation services (percent),2001,%,21
Suite of Food Security Indicators,Afghanistan,Value,Percentage of population using at least basic sanitation services (percent),2002,%,22
Suite of Food Security Indicators,Afghanistan,Value,Percentage of population using at least basic sanitation services (percent),2003,%,24
Suite of Food Security Indicators,Afghanistan,Value,Percentage of population using at least basic sanitation services (percent),2004,%,26
Suite of Food Security Indicators,Afghanistan,Value,Percentage of population using at least basic sanitation services (percent),2005,%,27
Suite of Food Security Indicators,Afghanistan,Value,Percentage of population using at least basic sanitation services (percent),2006,%,29
Suite of Food Security Indicators,Afghanistan,Value,Percentage of population using at least basic sanitation services (percent),2007,%,30
Suite of Food Security Indicators,Afghanistan,Value,Percentage of population using at least basic sanitation services (percent),2008,%,32
Suite of Food Security Indicators,Afghanistan,Value,Percentage of population using at least basic sanitation services (percent),2009,%,34
Suite of Food Security Indicators,Afghanistan,Value,Percentage of population using at least basic sanitation services (percent),2010,%,36
Suite of Food Security Indicators,Afghanistan,Value,Percentage of population using at least basic sanitation services (percent),2011,%,37
Suite of Food Security Indicators,Afghanistan,Value,Percentage of population using at least basic sanitation services (percent),2012,%,39
Suite of Food Security Indicators,Afghanistan,Value,Percentage of population using at least basic sanitation services (percent),2013,%,41
Suite of Food Security Indicators,Afghanistan,Value,Percentage of population using at least basic sanitation services (percent),2014,%,42
Suite of Food Security Indicators,Afghanistan,Value,Percentage of population using at least basic sanitation services (percent),2015,%,44
Suite of Food Security Indicators,Afghanistan,Value,Percentage of population using at least basic sanitation services (percent),2016,%,46
Suite of Food Security Indicators,Afghanistan,Value,Percentage of population using at least basic sanitation services (percent),2017,%,48
Suite of Food Security Indicators,Afghanistan,Value,Percentage of population using at least basic sanitation services (percent),2018,%,49
Suite of Food Security Indicators,Afghanistan,Value,Percentage of population using at least basic sanitation services (percent),2019,%,51
Suite of Food Security Indicators,Afghanistan,Value,Percentage of population using at least basic sanitation services (percent),2020,%,53
Suite of Food Security Indicators,Afghanistan,Value,Percentage of population using at least basic sanitation services (percent),2021,%,54
Suite of Food Security Indicators,Afghanistan,Value,Percentage of population using at least basic sanitation services (percent),2022,%,56
