Domain,Area,Element,Item,Year,Unit,Value
Suite of Food Security Indicators,Afghanistan,Value,Political stability and absence of violence/terrorism (index),2000,,-2.44
Suite of Food Security Indicators,Afghanistan,Value,Political stability and absence of violence/terrorism (index),2002,,-2.04
Suite of Food Security Indicators,Afghanistan,Value,Political stability and absence of violence/terrorism (index),2003,,-2.2
Suite of Food Security Indicators,Afghanistan,Value,Political stability and absence of violence/terrorism (index),2004,,-2.3
Suite of Food Security Indicators,Afghanistan,Value,Political stability and absence of violence/terrorism (index),2005,,-2.07
Suite of Food Security Indicators,Afghanistan,Value,Political stability and absence of violence/terrorism (index),2006,,-2.22
Suite of Food Security Indicators,Afghanistan,Value,Political stability and absence of violence/terrorism (index),2007,,-2.41
Suite of Food Security Indicators,Afghanistan,Value,Political stability and absence of violence/terrorism (index),2008,,-2.69
Suite of Food Security Indicators,Afghanistan,Value,Political stability and absence of violence/terrorism (index),2009,,-2.71
Suite of Food Security Indicators,Afghanistan,Value,Political stability and absence of violence/terrorism (index),2010,,-2.58
Suite of Food Security Indicators,Afghanistan,Value,Political stability and absence of violence/terrorism (index),2011,,-2.5
Suite of Food Security Indicators,Afghanistan,Value,Political stability and absence of violence/terrorism (index),2012,,-2.42
Suite of Food Security Indicators,Afghanistan,Value,Political stability and absence of violence/terrorism (index),2013,,-2.52
Suite of Food Security Indicators,Afghanistan,Value,Political stability and absence of violence/terrorism (index),2014,,-2.41
Suite of Food Security Indicators,Afghanistan,Value,Political stability and absence of violence/terrorism (index),2015,,-2.56
Suite of Food Security Indicators,Afghanistan,Value,Political stability and absence of violence/terrorism (index),2016,,-2.66
Suite of Food Security Indicators,Afghanistan,Value,Political stability and absence of violence/terrorism (index),2017,,-2.79
Suite of Food Security Indicators,Afghanistan,Value,Political stability and absence of violence/terrorism (index),2018,,-2.75
Suite of Food Security Indicators,Afghanistan,Value,Political stability and absence of violence/terrorism (index),2019,,-2.65
Suite of Food Security Indicators,Afghanistan,Value,Political stability and absence of violence/terrorism (index),2020,,-2.7
Suite of Food Security Indicators,Afghanistan,Value,Political stability and absence of violence/terrorism (index),2021,,-2.52
Suite of Food Security Indicators,Afghanistan,Value,Political stability and absence of violence/terrorism (index),2022,,-2.55
Suite of Food Security Indicators,Albania,Value,Political stability and absence of violence/terrorism (index),2000,,-0.54
Suite of Food Security Indicators,Albania,Value,Political stability and absence of violence/terrorism (index),2002,,-0.3
Suite of Food Security Indicators,Albania,Value,Political stability and absence of violence/terrorism (index),2003,,-0.31
Suite of Food Security Indicators,Albania,Value,Political stability and absence of violence/terrorism (index),2004,,-0.43
Suite of Food Security Indicators,Albania,Value,Political stability and absence of violence/terrorism (index),2005,,-0.51
Suite of Food Security Indicators,Albania,Value,Political stability and absence of violence/terrorism (index),2006,,-0.51
Suite of Food Security Indicators,Albania,Value,Political stability and absence of violence/terrorism (index),2007,,-0.2
Suite of Food Security Indicators,Albania,Value,Political stability and absence of violence/terrorism (index),2008,,-0.03
Suite of Food Security Indicators,Albania,Value,Political stability and absence of violence/terrorism (index),2009,,-0.05
Suite of Food Security Indicators,Albania,Value,Political stability and absence of violence/terrorism (index),2010,,-0.19
Suite of Food Security Indicators,Albania,Value,Political stability and absence of violence/terrorism (index),2011,,-0.28
Suite of Food Security Indicators,Albania,Value,Political stability and absence of violence/terrorism (index),2012,,-0.14
Suite of Food Security Indicators,Albania,Value,Political stability and absence of violence/terrorism (index),2013,,0.09
Suite of Food Security Indicators,Albania,Value,Political stability and absence of violence/terrorism (index),2014,,0.49
Suite of Food Security Indicators,Albania,Value,Political stability and absence of violence/terrorism (index),2015,,0.34
Suite of Food Security Indicators,Albania,Value,Political stability and absence of violence/terrorism (index),2016,,0.34
Suite of Food Security Indicators,Albania,Value,Political stability and absence of violence/terrorism (index),2017,,0.37
Suite of Food Security Indicators,Albania,Value,Political stability and absence of violence/terrorism (index),2018,,0.37
Suite of Food Security Indicators,Albania,Value,Political stability and absence of violence/terrorism (index),2019,,0.11
Suite of Food Security Indicators,Albania,Value,Political stability and absence of violence/terrorism (index),2020,,0.09
Suite of Food Security Indicators,Albania,Value,Political stability and absence of violence/terrorism (index),2021,,0.2
Suite of Food Security Indicators,Albania,Value,Political stability and absence of violence/terrorism (index),2022,,0.11
Suite of Food Security Indicators,Algeria,Value,Political stability and absence of violence/terrorism (index),2000,,-1.43
Suite of Food Security Indicators,Algeria,Value,Political stability and absence of violence/terrorism (index),2002,,-1.63
Suite of Food Security Indicators,Algeria,Value,Political stability and absence of violence/terrorism (index),2003,,-1.75
Suite of Food Security Indicators,Algeria,Value,Political stability and absence of violence/terrorism (index),2004,,-1.36
Suite of Food Security Indicators,Algeria,Value,Political stability and absence of violence/terrorism (index),2005,,-0.91
Suite of Food Security Indicators,Algeria,Value,Political stability and absence of violence/terrorism (index),2006,,-1.13
Suite of Food Security Indicators,Algeria,Value,Political stability and absence of violence/terrorism (index),2007,,-1.15
Suite of Food Security Indicators,Algeria,Value,Political stability and absence of violence/terrorism (index),2008,,-1.1
Suite of Food Security Indicators,Algeria,Value,Political stability and absence of violence/terrorism (index),2009,,-1.2
Suite of Food Security Indicators,Algeria,Value,Political stability and absence of violence/terrorism (index),2010,,-1.26
Suite of Food Security Indicators,Algeria,Value,Political stability and absence of violence/terrorism (index),2011,,-1.36
Suite of Food Security Indicators,Algeria,Value,Political stability and absence of violence/terrorism (index),2012,,-1.33
Suite of Food Security Indicators,Algeria,Value,Political stability and absence of violence/terrorism (index),2013,,-1.2
Suite of Food Security Indicators,Algeria,Value,Political stability and absence of violence/terrorism (index),2014,,-1.19
Suite of Food Security Indicators,Algeria,Value,Political stability and absence of violence/terrorism (index),2015,,-1.09
Suite of Food Security Indicators,Algeria,Value,Political stability and absence of violence/terrorism (index),2016,,-1.1
Suite of Food Security Indicators,Algeria,Value,Political stability and absence of violence/terrorism (index),2017,,-0.92
Suite of Food Security Indicators,Algeria,Value,Political stability and absence of violence/terrorism (index),2018,,-0.84
Suite of Food Security Indicators,Algeria,Value,Political stability and absence of violence/terrorism (index),2019,,-1.06
Suite of Food Security Indicators,Algeria,Value,Political stability and absence of violence/terrorism (index),2020,,-0.85
Suite of Food Security Indicators,Algeria,Value,Political stability and absence of violence/terrorism (index),2021,,-0.99
Suite of Food Security Indicators,Algeria,Value,Political stability and absence of violence/terrorism (index),2022,,-0.74
Suite of Food Security Indicators,American Samoa,Value,Political stability and absence of violence/terrorism (index),2004,,0.74
Suite of Food Security Indicators,American Samoa,Value,Political stability and absence of violence/terrorism (index),2005,,0.75
Suite of Food Security Indicators,American Samoa,Value,Political stability and absence of violence/terrorism (index),2006,,0.7
Suite of Food Security Indicators,American Samoa,Value,Political stability and absence of violence/terrorism (index),2007,,0.97
Suite of Food Security Indicators,American Samoa,Value,Political stability and absence of violence/terrorism (index),2008,,0.98
Suite of Food Security Indicators,American Samoa,Value,Political stability and absence of violence/terrorism (index),2009,,0.95
Suite of Food Security Indicators,American Samoa,Value,Political stability and absence of violence/terrorism (index),2010,,0.92
Suite of Food Security Indicators,American Samoa,Value,Political stability and absence of violence/terrorism (index),2011,,0.93
Suite of Food Security Indicators,American Samoa,Value,Political stability and absence of violence/terrorism (index),2012,,0.95
Suite of Food Security Indicators,American Samoa,Value,Political stability and absence of violence/terrorism (index),2013,,0.93
Suite of Food Security Indicators,American Samoa,Value,Political stability and absence of violence/terrorism (index),2014,,1.08
Suite of Food Security Indicators,American Samoa,Value,Political stability and absence of violence/terrorism (index),2015,,1.15
Suite of Food Security Indicators,American Samoa,Value,Political stability and absence of violence/terrorism (index),2016,,1.16
Suite of Food Security Indicators,American Samoa,Value,Political stability and absence of violence/terrorism (index),2017,,1.18
Suite of Food Security Indicators,American Samoa,Value,Political stability and absence of violence/terrorism (index),2018,,1.17
Suite of Food Security Indicators,American Samoa,Value,Political stability and absence of violence/terrorism (index),2019,,1.15
Suite of Food Security Indicators,American Samoa,Value,Political stability and absence of violence/terrorism (index),2020,,1.09
Suite of Food Security Indicators,American Samoa,Value,Political stability and absence of violence/terrorism (index),2021,,1.07
Suite of Food Security Indicators,American Samoa,Value,Political stability and absence of violence/terrorism (index),2022,,1.13
Suite of Food Security Indicators,Andorra,Value,Political stability and absence of violence/terrorism (index),2000,,1.17
Suite of Food Security Indicators,Andorra,Value,Political stability and absence of violence/terrorism (index),2002,,1.28
Suite of Food Security Indicators,Andorra,Value,Political stability and absence of violence/terrorism (index),2003,,1.47
Suite of Food Security Indicators,Andorra,Value,Political stability and absence of violence/terrorism (index),2004,,1.4
Suite of Food Security Indicators,Andorra,Value,Political stability and absence of violence/terrorism (index),2005,,1.38
Suite of Food Security Indicators,Andorra,Value,Political stability and absence of violence/terrorism (index),2006,,1.35
Suite of Food Security Indicators,Andorra,Value,Political stability and absence of violence/terrorism (index),2007,,1.34
Suite of Food Security Indicators,Andorra,Value,Political stability and absence of violence/terrorism (index),2008,,1.34
