Domain,Area,Element,Item,Year,Unit,Value
Suite of Food Security Indicators,Afghanistan,Value,Prevalence of exclusive breastfeeding among infants 0-5 months of age (percent),2000,%,
Suite of Food Security Indicators,Afghanistan,Value,Prevalence of exclusive breastfeeding among infants 0-5 months of age (percent),2001,%,
Suite of Food Security Indicators,Afghanistan,Value,Prevalence of exclusive breastfeeding among infants 0-5 months of age (percent),2002,%,
Suite of Food Security Indicators,Afghanistan,Value,Prevalence of exclusive breastfeeding among infants 0-5 months of age (percent),2003,%,
Suite of Food Security Indicators,Afghanistan,Value,Prevalence of exclusive breastfeeding among infants 0-5 months of age (percent),2004,%,
Suite of Food Security Indicators,Afghanistan,Value,Prevalence of exclusive breastfeeding among infants 0-5 months of age (percent),2005,%,
Suite of Food Security Indicators,Afghanistan,Value,Prevalence of exclusive breastfeeding among infants 0-5 months of age (percent),2006,%,
Suite of Food Security Indicators,Afghanistan,Value,Prevalence of exclusive breastfeeding among infants 0-5 months of age (percent),2007,%,
Suite of Food Security Indicators,Afghanistan,Value,Prevalence of exclusive breastfeeding among infants 0-5 months of age (percent),2008,%,
Suite of Food Security Indicators,Afghanistan,Value,Prevalence of exclusive breastfeeding among infants 0-5 months of age (percent),2009,%,
Suite of Food Security Indicators,Afghanistan,Value,Prevalence of exclusive breastfeeding among infants 0-5 months of age (percent),2010,%,
Suite of Food Security Indicators,Afghanistan,Value,Prevalence of exclusive breastfeeding among infants 0-5 months of age (percent),2011,%,
Suite of Food Security Indicators,Afghanistan,Value,Prevalence of exclusive breastfeeding among infants 0-5 months of age (percent),2012,%,
Suite of Food Security Indicators,Afghanistan,Value,Prevalence of exclusive breastfeeding among infants 0-5 months of age (percent),2013,%,
Suite of Food Security Indicators,Afghanistan,Value,Prevalence of exclusive breastfeeding among infants 0-5 months of age (percent),2014,%,
Suite of Food Security Indicators,Afghanistan,Value,Prevalence of exclusive breastfeeding among infants 0-5 months of age (percent),2015,%,43.1
Suite of Food Security Indicators,Afghanistan,Value,Prevalence of exclusive breastfeeding among infants 0-5 months of age (percent),2016,%,
Suite of Food Security Indicators,Afghanistan,Value,Prevalence of exclusive breastfeeding among infants 0-5 months of age (percent),2017,%,
Suite of Food Security Indicators,Afghanistan,Value,Prevalence of exclusive breastfeeding among infants 0-5 months of age (percent),2018,%,57.5
Suite of Food Security Indicators,Afghanistan,Value,Prevalence of exclusive breastfeeding among infants 0-5 months of age (percent),2019,%,
Suite of Food Security Indicators,Afghanistan,Value,Prevalence of exclusive breastfeeding among infants 0-5 months of age (percent),2020,%,
Suite of Food Security Indicators,Afghanistan,Value,Prevalence of exclusive breastfeeding among infants 0-5 months of age (percent),2021,%,
Suite of Food Security Indicators,Afghanistan,Value,Prevalence of exclusive breastfeeding among infants 0-5 months of age (percent),2022,%,63.3
Suite of Food Security Indicators,Albania,Value,Prevalence of exclusive breastfeeding among infants 0-5 months of age (percent),2000,%,6.3
Suite of Food Security Indicators,Albania,Value,Prevalence of exclusive breastfeeding among infants 0-5 months of age (percent),2001,%,
Suite of Food Security Indicators,Albania,Value,Prevalence of exclusive breastfeeding among infants 0-5 months of age (percent),2002,%,
Suite of Food Security Indicators,Albania,Value,Prevalence of exclusive breastfeeding among infants 0-5 months of age (percent),2003,%,
Suite of Food Security Indicators,Albania,Value,Prevalence of exclusive breastfeeding among infants 0-5 months of age (percent),2004,%,
Suite of Food Security Indicators,Albania,Value,Prevalence of exclusive breastfeeding among infants 0-5 months of age (percent),2005,%,3.4
Suite of Food Security Indicators,Albania,Value,Prevalence of exclusive breastfeeding among infants 0-5 months of age (percent),2006,%,
Suite of Food Security Indicators,Albania,Value,Prevalence of exclusive breastfeeding among infants 0-5 months of age (percent),2007,%,
Suite of Food Security Indicators,Albania,Value,Prevalence of exclusive breastfeeding among infants 0-5 months of age (percent),2008,%,
Suite of Food Security Indicators,Albania,Value,Prevalence of exclusive breastfeeding among infants 0-5 months of age (percent),2009,%,37.1
Suite of Food Security Indicators,Albania,Value,Prevalence of exclusive breastfeeding among infants 0-5 months of age (percent),2010,%,
Suite of Food Security Indicators,Albania,Value,Prevalence of exclusive breastfeeding among infants 0-5 months of age (percent),2011,%,
Suite of Food Security Indicators,Albania,Value,Prevalence of exclusive breastfeeding among infants 0-5 months of age (percent),2012,%,
Suite of Food Security Indicators,Albania,Value,Prevalence of exclusive breastfeeding among infants 0-5 months of age (percent),2013,%,
Suite of Food Security Indicators,Albania,Value,Prevalence of exclusive breastfeeding among infants 0-5 months of age (percent),2014,%,
Suite of Food Security Indicators,Albania,Value,Prevalence of exclusive breastfeeding among infants 0-5 months of age (percent),2015,%,
Suite of Food Security Indicators,Albania,Value,Prevalence of exclusive breastfeeding among infants 0-5 months of age (percent),2016,%,
Suite of Food Security Indicators,Albania,Value,Prevalence of exclusive breastfeeding among infants 0-5 months of age (percent),2017,%,36.5
Suite of Food Security Indicators,Albania,Value,Prevalence of exclusive breastfeeding among infants 0-5 months of age (percent),2018,%,
Suite of Food Security Indicators,Albania,Value,Prevalence of exclusive breastfeeding among infants 0-5 months of age (percent),2019,%,
Suite of Food Security Indicators,Albania,Value,Prevalence of exclusive breastfeeding among infants 0-5 months of age (percent),2020,%,
Suite of Food Security Indicators,Albania,Value,Prevalence of exclusive breastfeeding among infants 0-5 months of age (percent),2021,%,
Suite of Food Security Indicators,Albania,Value,Prevalence of exclusive breastfeeding among infants 0-5 months of age (percent),2022,%,
Suite of Food Security Indicators,Algeria,Value,Prevalence of exclusive breastfeeding among infants 0-5 months of age (percent),2000,%,12.6
Suite of Food Security Indicators,Algeria,Value,Prevalence of exclusive breastfeeding among infants 0-5 months of age (percent),2001,%,
Suite of Food Security Indicators,Algeria,Value,Prevalence of exclusive breastfeeding among infants 0-5 months of age (percent),2002,%,
Suite of Food Security Indicators,Algeria,Value,Prevalence of exclusive breastfeeding among infants 0-5 months of age (percent),2003,%,
Suite of Food Security Indicators,Algeria,Value,Prevalence of exclusive breastfeeding among infants 0-5 months of age (percent),2004,%,
Suite of Food Security Indicators,Algeria,Value,Prevalence of exclusive breastfeeding among infants 0-5 months of age (percent),2005,%,
Suite of Food Security Indicators,Algeria,Value,Prevalence of exclusive breastfeeding among infants 0-5 months of age (percent),2006,%,6.9
Suite of Food Security Indicators,Algeria,Value,Prevalence of exclusive breastfeeding among infants 0-5 months of age (percent),2007,%,
Suite of Food Security Indicators,Algeria,Value,Prevalence of exclusive breastfeeding among infants 0-5 months of age (percent),2008,%,
Suite of Food Security Indicators,Algeria,Value,Prevalence of exclusive breastfeeding among infants 0-5 months of age (percent),2009,%,
Suite of Food Security Indicators,Algeria,Value,Prevalence of exclusive breastfeeding among infants 0-5 months of age (percent),2010,%,
Suite of Food Security Indicators,Algeria,Value,Prevalence of exclusive breastfeeding among infants 0-5 months of age (percent),2011,%,
Suite of Food Security Indicators,Algeria,Value,Prevalence of exclusive breastfeeding among infants 0-5 months of age (percent),2012,%,25.4
Suite of Food Security Indicators,Algeria,Value,Prevalence of exclusive breastfeeding among infants 0-5 months of age (percent),2013,%,
Suite of Food Security Indicators,Algeria,Value,Prevalence of exclusive breastfeeding among infants 0-5 months of age (percent),2014,%,
Suite of Food Security Indicators,Algeria,Value,Prevalence of exclusive breastfeeding among infants 0-5 months of age (percent),2015,%,
Suite of Food Security Indicators,Algeria,Value,Prevalence of exclusive breastfeeding among infants 0-5 months of age (percent),2016,%,
Suite of Food Security Indicators,Algeria,Value,Prevalence of exclusive breastfeeding among infants 0-5 months of age (percent),2017,%,
Suite of Food Security Indicators,Algeria,Value,Prevalence of exclusive breastfeeding among infants 0-5 months of age (percent),2018,%,
Suite of Food Security Indicators,Algeria,Value,Prevalence of exclusive breastfeeding among infants 0-5 months of age (percent),2019,%,28.6
Suite of Food Security Indicators,Algeria,Value,Prevalence of exclusive breastfeeding among infants 0-5 months of age (percent),2020,%,
Suite of Food Security Indicators,Algeria,Value,Prevalence of exclusive breastfeeding among infants 0-5 months of age (percent),2021,%,
