Domain,Area,Element,Item,Year,Unit,Value
Suite of Food Security Indicators,Afghanistan,Value,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),2014-2016,%,42.5
Suite of Food Security Indicators,Afghanistan,Value,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),2015-2017,%,46.5
Suite of Food Security Indicators,Afghanistan,Value,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),2016-2018,%,50.8
Suite of Food Security Indicators,Afghanistan,Value,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),2017-2019,%,52.4
Suite of Food Security Indicators,Afghanistan,Value,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),2018-2020,%,56.5
Suite of Food Security Indicators,Afghanistan,Value,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),2019-2021,%,62
Suite of Food Security Indicators,Afghanistan,Value,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),2020-2022,%,72.9
Suite of Food Security Indicators,Afghanistan,Value,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),2021-2023,%,76.4
Suite of Food Security Indicators,Albania,Value,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),2014-2016,%,35.2
Suite of Food Security Indicators,Albania,Value,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),2015-2017,%,35.6
Suite of Food Security Indicators,Albania,Value,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),2016-2018,%,34.4
Suite of Food Security Indicators,Albania,Value,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),2017-2019,%,33.6
Suite of Food Security Indicators,Albania,Value,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),2018-2020,%,30.2
Suite of Food Security Indicators,Albania,Value,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),2019-2021,%,27.5
Suite of Food Security Indicators,Albania,Value,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),2020-2022,%,26.3
Suite of Food Security Indicators,Albania,Value,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),2021-2023,%,28.6
Suite of Food Security Indicators,Algeria,Value,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),2014-2016,%,21.6
Suite of Food Security Indicators,Algeria,Value,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),2015-2017,%,20
Suite of Food Security Indicators,Algeria,Value,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),2016-2018,%,18.2
Suite of Food Security Indicators,Algeria,Value,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),2017-2019,%,16.1
Suite of Food Security Indicators,Algeria,Value,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),2018-2020,%,17.5
Suite of Food Security Indicators,Algeria,Value,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),2019-2021,%,20.7
Suite of Food Security Indicators,Algeria,Value,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),2020-2022,%,21.7
Suite of Food Security Indicators,Algeria,Value,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),2021-2023,%,20.9
Suite of Food Security Indicators,American Samoa,Value,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),2014-2016,%,
Suite of Food Security Indicators,American Samoa,Value,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),2015-2017,%,
Suite of Food Security Indicators,American Samoa,Value,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),2016-2018,%,
Suite of Food Security Indicators,American Samoa,Value,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),2017-2019,%,
Suite of Food Security Indicators,American Samoa,Value,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),2018-2020,%,
Suite of Food Security Indicators,American Samoa,Value,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),2019-2021,%,
Suite of Food Security Indicators,American Samoa,Value,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),2020-2022,%,
Suite of Food Security Indicators,American Samoa,Value,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),2021-2023,%,
Suite of Food Security Indicators,Andorra,Value,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),2014-2016,%,
Suite of Food Security Indicators,Andorra,Value,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),2015-2017,%,
Suite of Food Security Indicators,Andorra,Value,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),2016-2018,%,
Suite of Food Security Indicators,Andorra,Value,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),2017-2019,%,
Suite of Food Security Indicators,Andorra,Value,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),2018-2020,%,
Suite of Food Security Indicators,Andorra,Value,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),2019-2021,%,
Suite of Food Security Indicators,Andorra,Value,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),2020-2022,%,
Suite of Food Security Indicators,Andorra,Value,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),2021-2023,%,
Suite of Food Security Indicators,Angola,Value,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),2014-2016,%,
Suite of Food Security Indicators,Angola,Value,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),2015-2017,%,
Suite of Food Security Indicators,Angola,Value,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),2016-2018,%,64
Suite of Food Security Indicators,Angola,Value,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),2017-2019,%,67.5
Suite of Food Security Indicators,Angola,Value,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),2018-2020,%,70.8
Suite of Food Security Indicators,Angola,Value,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),2019-2021,%,74.8
Suite of Food Security Indicators,Angola,Value,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),2020-2022,%,75.5
Suite of Food Security Indicators,Angola,Value,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),2021-2023,%,76.2
Suite of Food Security Indicators,Antigua and Barbuda,Value,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),2014-2016,%,
Suite of Food Security Indicators,Antigua and Barbuda,Value,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),2015-2017,%,
Suite of Food Security Indicators,Antigua and Barbuda,Value,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),2016-2018,%,
Suite of Food Security Indicators,Antigua and Barbuda,Value,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),2017-2019,%,
Suite of Food Security Indicators,Antigua and Barbuda,Value,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),2018-2020,%,
Suite of Food Security Indicators,Antigua and Barbuda,Value,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),2019-2021,%,29
Suite of Food Security Indicators,Antigua and Barbuda,Value,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),2020-2022,%,29
Suite of Food Security Indicators,Antigua and Barbuda,Value,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),2021-2023,%,29
Suite of Food Security Indicators,Argentina,Value,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),2014-2016,%,15.8
Suite of Food Security Indicators,Argentina,Value,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),2015-2017,%,22.1
Suite of Food Security Indicators,Argentina,Value,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),2016-2018,%,27.9
Suite of Food Security Indicators,Argentina,Value,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),2017-2019,%,31.2
Suite of Food Security Indicators,Argentina,Value,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),2018-2020,%,31.4
Suite of Food Security Indicators,Argentina,Value,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),2019-2021,%,31.7
Suite of Food Security Indicators,Argentina,Value,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),2020-2022,%,31.1
Suite of Food Security Indicators,Argentina,Value,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),2021-2023,%,30.5
Suite of Food Security Indicators,Armenia,Value,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),2014-2016,%,
Suite of Food Security Indicators,Armenia,Value,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),2015-2017,%,
Suite of Food Security Indicators,Armenia,Value,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),2016-2018,%,15.6
Suite of Food Security Indicators,Armenia,Value,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),2017-2019,%,13.3
Suite of Food Security Indicators,Armenia,Value,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),2018-2020,%,10.3
Suite of Food Security Indicators,Armenia,Value,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),2019-2021,%,7.5
Suite of Food Security Indicators,Armenia,Value,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),2020-2022,%,7.3
Suite of Food Security Indicators,Armenia,Value,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),2021-2023,%,7.2
Suite of Food Security Indicators,Australia,Value,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),2014-2016,%,9.2
Suite of Food Security Indicators,Australia,Value,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),2015-2017,%,10.6
Suite of Food Security Indicators,Australia,Value,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),2016-2018,%,11.5
Suite of Food Security Indicators,Australia,Value,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),2017-2019,%,13
Suite of Food Security Indicators,Australia,Value,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),2018-2020,%,11.8
Suite of Food Security Indicators,Australia,Value,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),2019-2021,%,11.9
Suite of Food Security Indicators,Australia,Value,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),2020-2022,%,11.6
Suite of Food Security Indicators,Australia,Value,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),2021-2023,%,12.8
Suite of Food Security Indicators,Austria,Value,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),2014-2016,%,4.5
Suite of Food Security Indicators,Austria,Value,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),2015-2017,%,4.4
Suite of Food Security Indicators,Austria,Value,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),2016-2018,%,3.8
Suite of Food Security Indicators,Austria,Value,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),2017-2019,%,3
Suite of Food Security Indicators,Austria,Value,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),2018-2020,%,2.6
Suite of Food Security Indicators,Austria,Value,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),2019-2021,%,3.1
Suite of Food Security Indicators,Austria,Value,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),2020-2022,%,4.5
Suite of Food Security Indicators,Austria,Value,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),2021-2023,%,5.4
Suite of Food Security Indicators,Azerbaijan,Value,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),2014-2016,%,5.5
Suite of Food Security Indicators,Azerbaijan,Value,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),2015-2017,%,7.5
Suite of Food Security Indicators,Azerbaijan,Value,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),2016-2018,%,8.5
Suite of Food Security Indicators,Azerbaijan,Value,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),2017-2019,%,9.7
