Domain,Area,Element,Item,Year,Unit,Value
Suite of Food Security Indicators,Afghanistan,Value,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),2014-2016,%,14.2
Suite of Food Security Indicators,Afghanistan,Value,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),2015-2017,%,14.1
Suite of Food Security Indicators,Afghanistan,Value,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),2016-2018,%,15.3
Suite of Food Security Indicators,Afghanistan,Value,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),2017-2019,%,14.1
Suite of Food Security Indicators,Afghanistan,Value,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),2018-2020,%,14.8
Suite of Food Security Indicators,Afghanistan,Value,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),2019-2021,%,17.5
Suite of Food Security Indicators,Afghanistan,Value,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),2020-2022,%,23.5
Suite of Food Security Indicators,Afghanistan,Value,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),2021-2023,%,26.5
Suite of Food Security Indicators,Albania,Value,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),2014-2016,%,9.3
Suite of Food Security Indicators,Albania,Value,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),2015-2017,%,9.3
Suite of Food Security Indicators,Albania,Value,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),2016-2018,%,9.3
Suite of Food Security Indicators,Albania,Value,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),2017-2019,%,9.1
Suite of Food Security Indicators,Albania,Value,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),2018-2020,%,7.7
Suite of Food Security Indicators,Albania,Value,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),2019-2021,%,6.7
Suite of Food Security Indicators,Albania,Value,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),2020-2022,%,5.8
Suite of Food Security Indicators,Albania,Value,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),2021-2023,%,7.2
Suite of Food Security Indicators,Algeria,Value,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),2014-2016,%,11.9
Suite of Food Security Indicators,Algeria,Value,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),2015-2017,%,11.5
Suite of Food Security Indicators,Algeria,Value,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),2016-2018,%,10.3
Suite of Food Security Indicators,Algeria,Value,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),2017-2019,%,8.4
Suite of Food Security Indicators,Algeria,Value,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),2018-2020,%,6.7
