Domain,Area,Element,Item,Year,Unit,Value
Suite of Food Security Indicators,Afghanistan,Value,Prevalence of undernourishment (percent) (3-year average),2000-2002,%,46
Suite of Food Security Indicators,Afghanistan,Value,Prevalence of undernourishment (percent) (3-year average),2001-2003,%,43.7
Suite of Food Security Indicators,Afghanistan,Value,Prevalence of undernourishment (percent) (3-year average),2002-2004,%,38.6
Suite of Food Security Indicators,Afghanistan,Value,Prevalence of undernourishment (percent) (3-year average),2003-2005,%,35.9
Suite of Food Security Indicators,Afghanistan,Value,Prevalence of undernourishment (percent) (3-year average),2004-2006,%,34.2
Suite of Food Security Indicators,Afghanistan,Value,Prevalence of undernourishment (percent) (3-year average),2005-2007,%,31.6
Suite of Food Security Indicators,Afghanistan,Value,Prevalence of undernourishment (percent) (3-year average),2006-2008,%,28.3
Suite of Food Security Indicators,Afghanistan,Value,Prevalence of undernourishment (percent) (3-year average),2007-2009,%,25.1
Suite of Food Security Indicators,Afghanistan,Value,Prevalence of undernourishment (percent) (3-year average),2008-2010,%,21.6
Suite of Food Security Indicators,Afghanistan,Value,Prevalence of undernourishment (percent) (3-year average),2009-2011,%,19.4
Suite of Food Security Indicators,Afghanistan,Value,Prevalence of undernourishment (percent) (3-year average),2010-2012,%,18.3
Suite of Food Security Indicators,Afghanistan,Value,Prevalence of undernourishment (percent) (3-year average),2011-2013,%,19.5
Suite of Food Security Indicators,Afghanistan,Value,Prevalence of undernourishment (percent) (3-year average),2012-2014,%,19.4
Suite of Food Security Indicators,Afghanistan,Value,Prevalence of undernourishment (percent) (3-year average),2013-2015,%,19.3
Suite of Food Security Indicators,Afghanistan,Value,Prevalence of undernourishment (percent) (3-year average),2014-2016,%,20
Suite of Food Security Indicators,Afghanistan,Value,Prevalence of undernourishment (percent) (3-year average),2015-2017,%,20.5
Suite of Food Security Indicators,Afghanistan,Value,Prevalence of undernourishment (percent) (3-year average),2016-2018,%,21.4
Suite of Food Security Indicators,Afghanistan,Value,Prevalence of undernourishment (percent) (3-year average),2017-2019,%,22.6
Suite of Food Security Indicators,Afghanistan,Value,Prevalence of undernourishment (percent) (3-year average),2018-2020,%,25.1
Suite of Food Security Indicators,Afghanistan,Value,Prevalence of undernourishment (percent) (3-year average),2019-2021,%,27.7
Suite of Food Security Indicators,Afghanistan,Value,Prevalence of undernourishment (percent) (3-year average),2020-2022,%,29.4
Suite of Food Security Indicators,Afghanistan,Value,Prevalence of undernourishment (percent) (3-year average),2021-2023,%,30.4
Suite of Food Security Indicators,Albania,Value,Prevalence of undernourishment (percent) (3-year average),2000-2002,%,4.9
Suite of Food Security Indicators,Albania,Value,Prevalence of undernourishment (percent) (3-year average),2001-2003,%,6
Suite of Food Security Indicators,Albania,Value,Prevalence of undernourishment (percent) (3-year average),2002-2004,%,7.4
Suite of Food Security Indicators,Albania,Value,Prevalence of undernourishment (percent) (3-year average),2003-2005,%,8.6
Suite of Food Security Indicators,Albania,Value,Prevalence of undernourishment (percent) (3-year average),2004-2006,%,8.9
Suite of Food Security Indicators,Albania,Value,Prevalence of undernourishment (percent) (3-year average),2005-2007,%,8.9
Suite of Food Security Indicators,Albania,Value,Prevalence of undernourishment (percent) (3-year average),2006-2008,%,8.4
Suite of Food Security Indicators,Albania,Value,Prevalence of undernourishment (percent) (3-year average),2007-2009,%,7.4
Suite of Food Security Indicators,Albania,Value,Prevalence of undernourishment (percent) (3-year average),2008-2010,%,6.2
Suite of Food Security Indicators,Albania,Value,Prevalence of undernourishment (percent) (3-year average),2009-2011,%,5.4
Suite of Food Security Indicators,Albania,Value,Prevalence of undernourishment (percent) (3-year average),2010-2012,%,4.8
Suite of Food Security Indicators,Albania,Value,Prevalence of undernourishment (percent) (3-year average),2011-2013,%,4.5
Suite of Food Security Indicators,Albania,Value,Prevalence of undernourishment (percent) (3-year average),2012-2014,%,4.4
Suite of Food Security Indicators,Albania,Value,Prevalence of undernourishment (percent) (3-year average),2013-2015,%,4.5
Suite of Food Security Indicators,Albania,Value,Prevalence of undernourishment (percent) (3-year average),2014-2016,%,4.4
Suite of Food Security Indicators,Albania,Value,Prevalence of undernourishment (percent) (3-year average),2015-2017,%,4.3
Suite of Food Security Indicators,Albania,Value,Prevalence of undernourishment (percent) (3-year average),2016-2018,%,4.3
Suite of Food Security Indicators,Albania,Value,Prevalence of undernourishment (percent) (3-year average),2017-2019,%,4.2
Suite of Food Security Indicators,Albania,Value,Prevalence of undernourishment (percent) (3-year average),2018-2020,%,4.3
Suite of Food Security Indicators,Albania,Value,Prevalence of undernourishment (percent) (3-year average),2019-2021,%,4.4
Suite of Food Security Indicators,Albania,Value,Prevalence of undernourishment (percent) (3-year average),2020-2022,%,4.3
Suite of Food Security Indicators,Albania,Value,Prevalence of undernourishment (percent) (3-year average),2021-2023,%,4.5
Suite of Food Security Indicators,Algeria,Value,Prevalence of undernourishment (percent) (3-year average),2000-2002,%,7.5
Suite of Food Security Indicators,Algeria,Value,Prevalence of undernourishment (percent) (3-year average),2001-2003,%,6.8
Suite of Food Security Indicators,Algeria,Value,Prevalence of undernourishment (percent) (3-year average),2002-2004,%,6.5
Suite of Food Security Indicators,Algeria,Value,Prevalence of undernourishment (percent) (3-year average),2003-2005,%,6.5
Suite of Food Security Indicators,Algeria,Value,Prevalence of undernourishment (percent) (3-year average),2004-2006,%,6.2
Suite of Food Security Indicators,Algeria,Value,Prevalence of undernourishment (percent) (3-year average),2005-2007,%,6
Suite of Food Security Indicators,Algeria,Value,Prevalence of undernourishment (percent) (3-year average),2006-2008,%,5.5
Suite of Food Security Indicators,Algeria,Value,Prevalence of undernourishment (percent) (3-year average),2007-2009,%,5.2
Suite of Food Security Indicators,Algeria,Value,Prevalence of undernourishment (percent) (3-year average),2008-2010,%,4.8
Suite of Food Security Indicators,Algeria,Value,Prevalence of undernourishment (percent) (3-year average),2009-2011,%,4.1
Suite of Food Security Indicators,Algeria,Value,Prevalence of undernourishment (percent) (3-year average),2010-2012,%,3.6
Suite of Food Security Indicators,Algeria,Value,Prevalence of undernourishment (percent) (3-year average),2011-2013,%,3.1
Suite of Food Security Indicators,Algeria,Value,Prevalence of undernourishment (percent) (3-year average),2012-2014,%,2.9
Suite of Food Security Indicators,Algeria,Value,Prevalence of undernourishment (percent) (3-year average),2013-2015,%,2.7
Suite of Food Security Indicators,Algeria,Value,Prevalence of undernourishment (percent) (3-year average),2014-2016,%,2.6
Suite of Food Security Indicators,Algeria,Value,Prevalence of undernourishment (percent) (3-year average),2015-2017,%,2.6
Suite of Food Security Indicators,Algeria,Value,Prevalence of undernourishment (percent) (3-year average),2016-2018,%,2.5
Suite of Food Security Indicators,Algeria,Value,Prevalence of undernourishment (percent) (3-year average),2017-2019,%,<2.5
Suite of Food Security Indicators,Algeria,Value,Prevalence of undernourishment (percent) (3-year average),2018-2020,%,<2.5
Suite of Food Security Indicators,Algeria,Value,Prevalence of undernourishment (percent) (3-year average),2019-2021,%,<2.5
Suite of Food Security Indicators,Algeria,Value,Prevalence of undernourishment (percent) (3-year average),2020-2022,%,<2.5
Suite of Food Security Indicators,Algeria,Value,Prevalence of undernourishment (percent) (3-year average),2021-2023,%,<2.5
Suite of Food Security Indicators,American Samoa,Value,Prevalence of undernourishment (percent) (3-year average),2000-2002,%,
Suite of Food Security Indicators,American Samoa,Value,Prevalence of undernourishment (percent) (3-year average),2001-2003,%,
Suite of Food Security Indicators,American Samoa,Value,Prevalence of undernourishment (percent) (3-year average),2002-2004,%,
Suite of Food Security Indicators,American Samoa,Value,Prevalence of undernourishment (percent) (3-year average),2003-2005,%,
Suite of Food Security Indicators,American Samoa,Value,Prevalence of undernourishment (percent) (3-year average),2004-2006,%,
Suite of Food Security Indicators,American Samoa,Value,Prevalence of undernourishment (percent) (3-year average),2005-2007,%,
Suite of Food Security Indicators,American Samoa,Value,Prevalence of undernourishment (percent) (3-year average),2006-2008,%,
Suite of Food Security Indicators,American Samoa,Value,Prevalence of undernourishment (percent) (3-year average),2007-2009,%,
Suite of Food Security Indicators,American Samoa,Value,Prevalence of undernourishment (percent) (3-year average),2008-2010,%,
Suite of Food Security Indicators,American Samoa,Value,Prevalence of undernourishment (percent) (3-year average),2009-2011,%,
Suite of Food Security Indicators,American Samoa,Value,Prevalence of undernourishment (percent) (3-year average),2010-2012,%,
Suite of Food Security Indicators,American Samoa,Value,Prevalence of undernourishment (percent) (3-year average),2011-2013,%,
Suite of Food Security Indicators,American Samoa,Value,Prevalence of undernourishment (percent) (3-year average),2012-2014,%,
Suite of Food Security Indicators,American Samoa,Value,Prevalence of undernourishment (percent) (3-year average),2013-2015,%,
Suite of Food Security Indicators,American Samoa,Value,Prevalence of undernourishment (percent) (3-year average),2014-2016,%,
Suite of Food Security Indicators,American Samoa,Value,Prevalence of undernourishment (percent) (3-year average),2015-2017,%,
Suite of Food Security Indicators,American Samoa,Value,Prevalence of undernourishment (percent) (3-year average),2016-2018,%,
Suite of Food Security Indicators,American Samoa,Value,Prevalence of undernourishment (percent) (3-year average),2017-2019,%,
Suite of Food Security Indicators,American Samoa,Value,Prevalence of undernourishment (percent) (3-year average),2018-2020,%,
Suite of Food Security Indicators,American Samoa,Value,Prevalence of undernourishment (percent) (3-year average),2019-2021,%,
Suite of Food Security Indicators,American Samoa,Value,Prevalence of undernourishment (percent) (3-year average),2020-2022,%,
Suite of Food Security Indicators,American Samoa,Value,Prevalence of undernourishment (percent) (3-year average),2021-2023,%,
Suite of Food Security Indicators,Andorra,Value,Prevalence of undernourishment (percent) (3-year average),2000-2002,%,
Suite of Food Security Indicators,Andorra,Value,Prevalence of undernourishment (percent) (3-year average),2001-2003,%,
Suite of Food Security Indicators,Andorra,Value,Prevalence of undernourishment (percent) (3-year average),2002-2004,%,
Suite of Food Security Indicators,Andorra,Value,Prevalence of undernourishment (percent) (3-year average),2003-2005,%,
Suite of Food Security Indicators,Andorra,Value,Prevalence of undernourishment (percent) (3-year average),2004-2006,%,
Suite of Food Security Indicators,Andorra,Value,Prevalence of undernourishment (percent) (3-year average),2005-2007,%,
Suite of Food Security Indicators,Andorra,Value,Prevalence of undernourishment (percent) (3-year average),2006-2008,%,
Suite of Food Security Indicators,Andorra,Value,Prevalence of undernourishment (percent) (3-year average),2007-2009,%,
Suite of Food Security Indicators,Andorra,Value,Prevalence of undernourishment (percent) (3-year average),2008-2010,%,
Suite of Food Security Indicators,Andorra,Value,Prevalence of undernourishment (percent) (3-year average),2009-2011,%,
Suite of Food Security Indicators,Andorra,Value,Prevalence of undernourishment (percent) (3-year average),2010-2012,%,
Suite of Food Security Indicators,Andorra,Value,Prevalence of undernourishment (percent) (3-year average),2011-2013,%,
Suite of Food Security Indicators,Andorra,Value,Prevalence of undernourishment (percent) (3-year average),2012-2014,%,
Suite of Food Security Indicators,Andorra,Value,Prevalence of undernourishment (percent) (3-year average),2013-2015,%,
Suite of Food Security Indicators,Andorra,Value,Prevalence of undernourishment (percent) (3-year average),2014-2016,%,
Suite of Food Security Indicators,Andorra,Value,Prevalence of undernourishment (percent) (3-year average),2015-2017,%,
Suite of Food Security Indicators,Andorra,Value,Prevalence of undernourishment (percent) (3-year average),2016-2018,%,
Suite of Food Security Indicators,Andorra,Value,Prevalence of undernourishment (percent) (3-year average),2017-2019,%,
Suite of Food Security Indicators,Andorra,Value,Prevalence of undernourishment (percent) (3-year average),2018-2020,%,
Suite of Food Security Indicators,Andorra,Value,Prevalence of undernourishment (percent) (3-year average),2019-2021,%,
Suite of Food Security Indicators,Andorra,Value,Prevalence of undernourishment (percent) (3-year average),2020-2022,%,
